,wavelength,intensity
0,300.0,0.0
1,300.1,0.0
2,300.2,0.0
3,300.3,0.0
4,300.4,0.0
5,300.5,0.0
6,300.6,0.0
7,300.7,0.0
8,300.8,0.0
9,300.9,0.0
10,301.0,0.0
11,301.1,0.0
12,301.2,0.0
13,301.3,0.007
14,301.4,0.081
15,301.5,0.813
16,301.6,6.459
17,301.7,41.52
18,301.8,216.7
19,301.9,906.97
20,302.0,3077.026
21,302.1,8509.0
22,302.2,19340.494
23,302.3,36619.562
24,302.4,58700.0
25,302.5,80962.092
26,302.6,97084.493
27,302.7,101100.0
28,302.8,90398.06
29,302.9,68261.643
30,303.0,42840.0
31,303.1,22080.648
32,303.2,9265.991
33,303.3,3149.0
34,303.4,864.152
35,303.5,190.741
36,303.6,34.04
37,303.7,4.88
38,303.8,0.556
39,303.9,0.052
40,304.0,0.004
41,304.1,0.0
42,304.2,0.0
43,304.3,0.0
44,304.4,0.0
45,304.5,0.0
46,304.6,0.0
47,304.7,0.0
48,304.8,0.0
49,304.9,0.0
50,305.0,0.0
51,305.1,0.0
52,305.2,0.0
53,305.3,0.0
54,305.4,0.0
55,305.5,0.0
56,305.6,0.0
57,305.7,0.0
58,305.8,0.0
59,305.9,0.0
60,306.0,0.0
61,306.1,0.0
62,306.2,0.0
63,306.3,0.004
64,306.4,0.045
65,306.5,0.479
66,306.6,4.049
67,306.7,27.618
68,306.8,153.771
69,306.9,691.3
70,307.0,2529.815
71,307.1,7751.219
72,307.2,21780.0
73,307.3,72111.862
74,307.4,336751.147
75,307.5,1777000.0
76,307.6,8334915.953
77,307.7,32566804.003
78,307.8,103600000.002
79,307.9,266902496.156
80,308.0,557395248.066
81,308.1,943100000.007
82,308.2,1293233041.257
83,308.3,1436777591.165
84,308.4,1292999999.995
85,308.5,944072757.682
86,308.6,564380043.656
87,308.7,297499999.996
88,308.8,213320946.351
89,308.9,351917261.499
90,309.0,761800000.011
91,309.1,1445290331.309
92,309.2,2242333602.285
93,309.3,2827000000.008
94,309.4,2892447389.774
95,309.5,2401676221.218
96,309.6,1617999999.983
97,309.7,884666772.112
98,309.8,392385584.91
99,309.9,141199999.996
100,310.0,41238813.24
101,310.1,9762414.093
102,310.2,1880000.0
103,310.3,289900.954
104,310.4,37062.923
105,310.5,3818.0
106,310.6,306.973
107,310.7,22.927
108,310.8,1.183
109,310.9,0.024
110,311.0,0.007
111,311.1,0.0
112,311.2,0.0
113,311.3,0.0
114,311.4,0.001
115,311.5,0.002
