,wavelength,intensity
0,200.0,8233000.0
1,200.1,15747707.423
2,200.2,26880000.0
3,200.3,44810000.0
4,200.4,70924635.359
5,200.5,106000000.0
6,200.6,150400000.0
7,200.7,202493265.65
8,200.8,258200000.0
9,200.9,312500000.0
10,201.0,359109732.213
11,201.1,393000000.0
12,201.2,410300000.0
13,201.3,410995083.65
14,201.4,399400000.0
15,201.5,381500000.0
16,201.6,365901564.366
17,201.7,360100000.0
18,201.8,370300000.0
19,201.9,398466664.019
20,202.0,441900000.0
21,202.1,496000000.0
22,202.2,552594227.932
23,202.3,603300000.0
24,202.4,640200000.0
25,202.5,657356368.935
26,202.6,652500000.0
27,202.7,625000000.0
28,202.8,577804490.567
29,202.9,516300000.0
30,203.0,446500000.0
31,203.1,374900734.845
32,203.2,306700000.0
33,203.3,246300000.0
34,203.4,195969399.53
35,203.5,155700000.0
36,203.6,124700000.0
37,203.7,100986207.864
38,203.8,82590000.0
39,203.9,67720000.0
40,204.0,55110572.362
41,204.1,44190000.0
42,204.2,34640000.0
43,204.3,26536413.744
44,204.4,19980000.0
45,204.5,15040000.0
46,204.6,11737590.672
47,204.7,10080000.0
48,204.8,10090000.0
49,204.9,11893741.667
50,205.0,15790000.0
51,205.1,22128974.735
52,205.2,31310000.0
53,205.3,43720000.0
54,205.4,59582770.961
55,205.5,78840000.0
56,205.6,101300000.0
57,205.7,126433975.157
58,205.8,153400000.0
59,205.9,181200000.0
60,206.0,208418843.978
61,206.1,233400000.0
62,206.2,254300000.0
63,206.3,268883106.502
64,206.4,275600000.0
65,206.5,273200000.0
66,206.6,261169306.804
67,206.7,240600000.0
68,206.8,213200000.0
69,206.9,181616148.955
70,207.0,148700000.0
71,207.1,117200000.0
72,207.2,89281001.998
73,207.3,66200000.0
74,207.4,48800000.0
75,207.5,37001882.014
76,207.6,30200000.0
77,207.7,27630000.0
78,207.8,28215669.217
79,207.9,30830000.0
80,208.0,34350000.0
81,208.1,37705990.849
82,208.2,40090000.0
