,wavelength,intensity
0,200.0,3064000.0
1,200.1,3704000.0
2,200.2,4148326.637
3,200.3,4311000.0
4,200.4,4151000.0
5,200.5,3705000.0
6,200.6,3065000.0
7,200.7,2353648.252
8,200.8,1672000.0
9,200.9,1102000.0
10,201.0,673700.0
11,201.1,382362.637
12,201.2,201000.0
13,201.3,98260.0
14,201.4,44690.0
15,201.5,18960.0
16,201.6,7299.412
17,201.7,2865.0
18,201.8,1161.0
19,201.9,949.8
20,202.0,1926.418
21,202.1,8345.0
22,202.2,27850.0
23,202.3,86760.0
24,202.4,251400.0
25,202.5,656130.34
26,202.6,1698000.0
27,202.7,3959000.0
28,202.8,8586000.0
29,202.9,17330000.0
30,203.0,32567906.478
31,203.1,56930000.0
32,203.2,92750000.0
33,203.3,140800000.0
34,203.4,199562970.156
35,203.5,263400000.0
36,203.6,325000000.0
37,203.7,374700000.0
38,203.8,404200000.0
39,203.9,407996377.904
40,204.0,386700000.0
41,204.1,343600000.0
42,204.2,286800000.0
43,204.3,225193418.683
44,204.4,166000000.0
45,204.5,115200000.0
46,204.6,75210000.0
47,204.7,46190000.0
48,204.8,26667770.865
49,204.9,14460000.0
50,205.0,7357000.0
51,205.1,3510000.0
52,205.2,1543259.791
53,205.3,655600.0
54,205.4,256200.0
55,205.5,93510.0
56,205.6,31860.0
57,205.7,9045.686
58,205.8,3184.0
59,205.9,1521.0
60,206.0,2599.0
61,206.1,7074.098
62,206.2,22810.0
63,206.3,63400.0
64,206.4,164300.0
65,206.5,396700.0
66,206.6,885206.116
67,206.7,1873000.0
68,206.8,3660000.0
69,206.9,6670000.0
70,207.0,11348501.012
71,207.1,17950000.0
72,207.2,26550000.0
73,207.3,36660000.0
74,207.4,47370000.0
75,207.5,57413320.216
76,207.6,65690000.0
77,207.7,71370000.0
78,207.8,74540000.0
79,207.9,76000000.0
80,208.0,77012825.722
81,208.1,78480000.0
82,208.2,80940000.0
83,208.3,83860000.0
84,208.4,86079645.69
85,208.5,86430000.0
86,208.6,83960000.0
87,208.7,78620000.0
88,208.8,71170000.0
89,208.9,62990205.808
90,209.0,55630000.0
91,209.1,50560000.0
92,209.2,48810000.0
93,209.3,50804958.818
94,209.4,56080000.0
95,209.5,63780000.0
96,209.6,72320000.0
97,209.7,79990000.0
98,209.8,85226786.042
99,209.9,87190000.0
100,210.0,85430000.0
101,210.1,80350000.0
102,210.2,72715433.064
103,210.3,63510000.0
104,210.4,53770000.0
105,210.5,44540000.0
106,210.6,36840000.0
107,210.7,31668362.862
108,210.8,29770000.0
109,210.9,31700000.0
110,211.0,37460000.0
111,211.1,46523786.022
112,211.2,57670000.0
113,211.3,69440000.0
114,211.4,80130000.0
115,211.5,88290000.0
116,211.6,92910460.333
117,211.7,93700000.0
118,211.8,90670000.0
119,211.9,84370000.0
120,212.0,75504887.079
121,212.1,64940000.0
122,212.2,53600000.0
123,212.3,42460000.0
124,212.4,32430000.0
125,212.5,24316826.306
126,212.6,18590000.0
127,212.7,15550000.0
128,212.8,15120000.0
129,212.9,16930000.0
130,213.0,20319258.077
131,213.1,24410000.0
132,213.2,28280000.0
133,213.3,31020000.0
134,213.4,31945707.443
135,213.5,30890000.0
136,213.6,27930000.0
137,213.7,23630000.0
138,213.8,18700000.0
139,213.9,13863741.41
140,214.0,9591000.0
141,214.1,6213000.0
142,214.2,3765000.0
143,214.3,2133517.374
144,214.4,1131000.0
145,214.5,561200.0
146,214.6,260300.0
147,214.7,113000.0
148,214.8,44539.985
149,214.9,17420.0
150,215.0,6189.0
151,215.1,2059.0
152,215.2,604.239
153,215.3,187.6
154,215.4,51.61
155,215.5,13.46
156,215.6,3.367
157,215.7,0.338
158,215.8,0.206
159,215.9,0.054
160,216.0,0.015
161,216.1,0.013
162,216.2,0.001
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.001
180,218.0,0.003
181,218.1,0.012
182,218.2,0.038
183,218.3,0.115
184,218.4,0.31
185,218.5,0.863
186,218.6,2.148
187,218.7,5.018
188,218.8,11.01
189,218.9,22.571
190,219.0,43.88
191,219.1,79.74
192,219.2,136.0
193,219.3,218.301
