,wavelength,intensity
0,200.0,38380.0
1,200.1,130304.186
2,200.2,375379.838
3,200.3,906152.52
4,200.4,1840306.225
5,200.5,3147589.106
6,200.6,4546244.078
7,200.7,5594341.663
8,200.8,6030971.515
9,200.9,6183777.939
10,201.0,7026795.18
11,201.1,9731000.0
12,201.2,14763102.03
13,201.3,21139909.465
14,201.4,26458003.96
15,201.5,28209460.285
16,201.6,25418138.365
17,201.7,19321717.873
18,201.8,12410610.359
19,201.9,6830296.057
20,202.0,3542896.926
21,202.1,2554431.397
22,202.2,3606000.0
23,202.3,6485301.296
24,202.4,10772827.573
25,202.5,15441675.098
26,202.6,18909465.008
27,202.7,19738413.334
28,202.8,17560000.0
29,202.9,13298542.754
30,203.0,8573016.676
31,203.1,4699553.711
32,203.2,2187774.974
33,203.3,864757.442
34,203.4,289981.295
35,203.5,82217.919
36,203.6,19922.188
37,203.7,4337.247
38,203.8,2486.307
39,203.9,8592.0
40,204.0,34662.264
41,204.1,120517.991
42,204.2,354906.078
43,204.3,885837.288
44,204.4,1877680.856
45,204.5,3384928.476
46,204.6,5219832.25
47,204.7,6959140.976
48,204.8,8197352.313
49,204.9,8846741.297
50,205.0,9199000.0
51,205.1,9618550.057
52,205.2,10200527.193
53,205.3,10740554.333
54,205.4,10996755.106
55,205.5,10869303.642
56,205.6,10511058.252
57,205.7,10176632.251
58,205.8,10074793.078
59,205.9,10148988.161
60,206.0,10000496.844
61,206.1,9171000.0
62,206.2,7514714.937
63,206.3,5366746.605
64,206.4,3295487.625
65,206.5,1728794.689
66,206.6,771778.653
67,206.7,292863.118
68,206.8,94437.524
69,206.9,25748.007
70,207.0,6002.081
71,207.1,1173.499
72,207.2,209.0
73,207.3,102.666
74,207.4,500.661
75,207.5,3273.561
76,207.6,17803.423
77,207.7,84540.236
78,207.8,339500.0
79,207.9,1162808.856
80,208.0,3398547.828
81,208.1,8471815.783
82,208.2,17989617.885
83,208.3,32627462.067
84,208.4,50629735.807
85,208.5,67492024.37
86,208.6,77978185.528
87,208.7,79462949.28
88,208.8,73852050.503
89,208.9,66000000.0
90,209.0,60334684.831
91,209.1,58333207.239
92,209.2,58581739.599
93,209.3,58212028.548
94,209.4,54588468.9
95,209.5,46668375.284
96,209.6,35514809.147
97,209.7,23692198.112
98,209.8,13705900.603
99,209.9,6836103.39
100,210.0,2929000.0
101,210.1,1078075.923
102,210.2,343354.493
103,210.3,96660.677
104,210.4,27108.614
105,210.5,9914.814
106,210.6,5789.517
107,210.7,4164.899
108,210.8,2884.533
109,210.9,1794.736
110,211.0,1097.693
111,211.1,1357.0
112,211.2,4928.75
113,211.3,21022.707
114,211.4,80089.683
115,211.5,262202.252
116,211.6,742335.572
117,211.7,1824629.266
118,211.8,3931225.232
119,211.9,7530063.595
120,212.0,13075494.691
121,212.1,21058660.885
122,212.2,32120000.0
123,212.3,47136566.085
124,212.4,66975557.122
125,212.5,91843064.058
126,212.6,120554911.041
127,212.7,149026758.574
128,212.8,170000000.0
129,212.9,175305114.484
130,213.0,160789601.936
131,213.1,129679899.272
132,213.2,91914210.449
133,213.3,59111989.469
134,213.4,39349773.503
135,213.5,35369395.2
136,213.6,45220593.351
137,213.7,63342459.161
138,213.8,81620009.88
139,213.9,91790000.0
140,214.0,88979802.319
141,214.1,74259378.044
142,214.2,53517595.117
143,214.3,33828020.128
144,214.4,19846855.836
145,214.5,12643483.71
146,214.6,10660427.194
147,214.7,11326363.717
148,214.8,12295013.215
149,214.9,12129190.401
150,215.0,10610000.0
151,215.1,8677974.94
152,215.2,8172754.672
153,215.3,11770926.274
154,215.4,23019671.916
155,215.5,45834672.625
156,215.6,83034231.714
157,215.7,134701774.798
158,215.8,199197715.761
159,215.9,279610784.79
160,216.0,394222643.1
161,216.1,583499999.998
162,216.2,897798152.801
163,216.3,1362300828.932
164,216.4,1935361931.081
165,216.5,2495718355.991
166,216.6,2892082161.573
167,216.7,3022144615.238
168,216.8,2887607153.302
169,216.9,2582820664.215
170,217.0,2241528404.089
171,217.1,1991506785.095
172,217.2,1918000000.0
173,217.3,2025876777.924
174,217.4,2218990291.235
175,217.5,2337539142.772
176,217.6,2243792740.922
177,217.7,1909834093.301
178,217.8,1430000000.005
179,217.9,959746112.194
180,218.0,625665752.926
181,218.1,484624268.008
182,218.2,520123698.179
183,218.3,665936344.78
184,218.4,829768674.678
185,218.5,923099609.228
186,218.6,895783074.416
187,218.7,754126642.214
188,218.8,551444274.587
189,218.9,351900000.002
190,219.0,198290020.042
191,219.1,101228459.424
192,219.2,49792909.754
193,219.3,27428002.878
194,219.4,22842214.397
195,219.5,33052306.042
196,219.6,62584190.279
197,219.7,121105460.684
198,219.8,218094317.196
199,219.9,354442129.923
200,220.0,515399999.998
201,220.1,673859298.9
202,220.2,808186896.693
203,220.3,919819445.691
204,220.4,1033080675.279
205,220.5,1165865778.729
206,220.6,1303708044.012
207,220.7,1397892483.813
208,220.8,1404261431.868
209,220.9,1319142837.055
210,221.0,1200314673.914
211,221.1,1150000000.0
212,221.2,1292204826.86
213,221.3,1728267995.663
214,221.4,2474474620.621
215,221.5,3405586152.745
216,221.6,4253651018.003
217,221.7,4727223895.221
218,221.8,4674116990.425
219,221.9,4185293020.193
220,222.0,3538097298.533
221,222.1,3028667389.936
222,222.2,2810000000.001
223,222.3,2846005551.619
224,222.4,2973548112.545
225,222.5,3003746051.61
226,222.6,2818753378.754
227,222.7,2407937546.54
228,222.8,1852000000.008
229,222.9,1274619092.586
230,223.0,781550918.101
231,223.1,425347287.694
232,223.2,204762911.086
233,223.3,87028953.261
234,223.4,32566344.813
235,223.5,10713515.615
236,223.6,3147900.431
237,223.7,967887.856
238,223.8,718685.265
239,223.9,1400000.0
240,224.0,3000771.349
241,224.1,5728342.725
242,224.2,9560461.01
243,224.3,13968088.902
244,224.4,18071410.882
245,224.5,21517469.01
246,224.6,26166190.405
247,224.7,38401255.813
248,224.8,71129643.139
249,224.9,143406667.739
250,225.0,274199999.998
251,225.1,469591312.073
252,225.2,706618828.86
253,225.3,929262247.496
254,225.4,1067680149.846
255,225.5,1070589399.779
256,225.6,939571707.724
257,225.7,727612966.818
258,225.8,512703794.617
259,225.9,364367429.184
260,226.0,325126330.703
261,226.1,406899999.998
262,226.2,592813452.737
263,226.3,838443136.789
264,226.4,1082421502.895
265,226.5,1273089043.64
266,226.6,1399778513.337
267,226.7,1496838555.126
268,226.8,1608698192.837
269,226.9,1738529387.18
270,227.0,1830048922.763
271,227.1,1805424732.872
272,227.2,1627000000.004
273,227.3,1336733345.408
274,227.4,1038338434.146
275,227.5,836508751.538
276,227.6,789033155.656
277,227.7,876146882.531
278,227.8,1019999999.998
279,227.9,1121947908.529
280,228.0,1114520728.079
281,228.1,990451976.599
282,228.2,802837277.371
283,228.3,630646924.429
284,228.4,536535967.357
285,228.5,539030214.146
286,228.6,610781419.466
287,228.7,697941073.243
288,228.8,749334104.622
289,228.9,742600000.001
290,229.0,696365720.686
291,229.1,667822678.737
292,229.2,738012838.34
293,229.3,986641128.815
294,229.4,1460693295.884
295,229.5,2127653769.706
296,229.6,2867133274.745
297,229.7,3493940950.734
298,229.8,3849401059.355
299,229.9,3881989348.557
300,230.0,3671000000.005
301,230.1,3361583306.735
302,230.2,3056135690.219
303,230.3,2763851425.192
304,230.4,2430435459.532
305,230.5,2012957550.149
306,230.6,1536739830.471
307,230.7,1081279643.593
308,230.8,738514842.699
309,230.9,570995830.498
310,231.0,607134550.705
311,231.1,852399999.994
312,231.2,1299126576.152
313,231.3,1914859153.019
314,231.4,2621710038.48
315,231.5,3292857142.389
316,231.6,3775164092.196
317,231.7,3957404938.992
318,231.8,3821788961.568
319,231.9,3440600162.106
320,232.0,2935885586.405
321,232.1,2411024031.111
322,232.2,1932000000.008
323,232.3,1528476888.24
324,232.4,1212826481.735
325,232.5,984417369.803
326,232.6,826395119.799
327,232.7,711839808.356
328,232.8,618300000.002
329,232.9,537917580.627
330,233.0,476540407.618
331,233.1,444762578.36
332,233.2,446375760.412
333,233.3,471734747.237
334,233.4,498937996.426
335,233.5,502320491.845
336,233.6,465319915.522
337,233.7,389131397.955
338,233.8,291914512.251
339,233.9,198600000.002
340,234.0,129780939.153
341,234.1,96050915.969
342,234.2,98001971.162
343,234.3,129068409.639
344,234.4,177246123.947
345,234.5,226367488.854
346,234.6,260157681.611
347,234.7,267016189.144
348,234.8,244887759.046
349,234.9,201858028.99
350,235.0,151400000.001
351,235.1,107273076.363
352,235.2,78078912.065
353,235.3,66941550.882
354,235.4,71140420.986
355,235.5,84058627.192
356,235.6,97114752.916
357,235.7,102777550.369
358,235.8,97190977.721
359,235.9,81708885.011
360,236.0,61376151.382
361,236.1,42470000.0
362,236.2,29918747.023
363,236.3,26131632.757
364,236.4,31090739.302
365,236.5,42691830.985
366,236.6,57224381.137
367,236.7,70398762.043
368,236.8,79290927.782
369,236.9,84642853.075
370,237.0,92001196.639
371,237.1,109940466.277
372,237.2,145499999.999
373,237.3,198810116.698
374,237.4,259499814.571
375,237.5,309563031.047
376,237.6,330678868.696
377,237.7,313901266.046
378,237.8,263900000.001
379,237.9,196679056.559
380,238.0,130398328.184
381,238.1,78662558.036
382,238.2,46799814.38
383,238.3,34174049.839
384,238.4,37225054.931
385,238.5,51965463.978
386,238.6,75073256.52
387,238.7,105446203.576
388,238.8,147118771.892
389,238.9,212299999.998
390,239.0,320337534.786
391,239.1,488453106.084
392,239.2,715783145.391
393,239.3,969373446.877
394,239.4,1186099619.091
395,239.5,1297878927.205
396,239.6,1262896265.915
397,239.7,1090002725.071
398,239.8,833971867.954
399,239.9,565476610.717
400,240.0,339600000.004
401,240.1,180707962.279
402,240.2,85160777.656
403,240.3,35542380.242
404,240.4,13196320.757
405,240.5,4546641.716
406,240.6,2200073.458
407,240.7,3595808.726
408,240.8,10058692.57
409,240.9,27110807.068
410,241.0,65294486.846
411,241.1,139699999.998
412,241.2,265595783.339
413,241.3,448429071.438
414,241.4,672281821.054
415,241.5,895281015.653
416,241.6,1058991396.441
417,241.7,1113587175.0
418,241.8,1039806093.419
419,241.9,864418856.829
420,242.0,639859276.194
421,242.1,422892763.35
422,242.2,250700000.003
423,242.3,134699833.039
424,242.4,67075228.844
425,242.5,32402236.743
426,242.6,16624515.791
427,242.7,10442375.899
428,242.8,9230000.0
429,242.9,11664155.684
430,243.0,18615824.479
431,243.1,32612556.181
432,243.2,57798841.714
433,243.3,99350154.886
434,243.4,161736527.62
435,243.5,245161481.407
436,243.6,341393269.751
437,243.7,432997899.967
438,243.8,497365615.275
439,243.9,516000000.0
440,244.0,482900327.798
441,244.1,407887411.859
442,244.2,311593123.009
443,244.3,216537682.209
444,244.4,139531131.153
445,244.5,88531001.884
446,244.6,63989756.026
447,244.7,61636108.938
448,244.8,74610200.386
449,244.9,94565790.555
450,245.0,112600000.0
451,245.1,121344354.546
452,245.2,117004986.348
453,245.3,100617164.545
454,245.4,77056623.023
455,245.5,52575206.623
456,245.6,31942908.632
457,245.7,17279487.861
458,245.8,8329987.99
459,245.9,3573643.917
460,246.0,1365815.532
461,246.1,465100.0
462,246.2,141060.185
463,246.3,37915.006
464,246.4,9156.972
465,246.5,1935.007
466,246.6,374.114
467,246.7,63.753
468,246.8,9.593
469,246.9,1.271
470,247.0,0.157
471,247.1,0.015
472,247.2,0.002
473,247.3,0.0
474,247.4,0.0
475,247.5,0.0
476,247.6,0.0
477,247.7,0.0
478,247.8,0.0
479,247.9,0.0
480,248.0,0.0
481,248.1,0.0
482,248.2,0.0
483,248.3,0.0
484,248.4,0.0
485,248.5,0.0
486,248.6,0.0
487,248.7,0.0
488,248.8,0.0
489,248.9,0.0
490,249.0,0.002
491,249.1,0.043
492,249.2,0.27
493,249.3,2.739
494,249.4,19.092
495,249.5,125.765
496,249.6,754.54
497,249.7,3934.173
498,249.8,18907.75
499,249.9,80108.27
500,250.0,305000.0
501,250.1,1036658.389
502,250.2,3164124.49
503,250.3,8635547.768
504,250.4,21124946.486
505,250.5,46251970.24
506,250.6,90713015.983
507,250.7,159298032.504
508,250.8,250626406.862
509,250.9,353335397.919
510,251.0,446669733.302
511,251.1,507199999.999
512,251.2,518688192.74
513,251.3,480422296.181
514,251.4,407549027.504
515,251.5,323258330.16
516,251.6,248083547.749
517,251.7,193623299.337
518,251.8,163282453.943
519,251.9,157800479.184
520,252.0,180639616.53
521,252.1,238490150.584
522,252.2,336299999.997
523,252.3,469837201.484
524,252.4,620711186.425
525,252.5,760790469.771
526,252.6,862550617.067
527,252.7,913241254.699
528,252.8,919500000.0
529,252.9,902446514.665
530,253.0,883059969.826
531,253.1,871663730.659
532,253.2,864807197.84
533,253.3,850691424.812
534,253.4,817558641.426
535,253.5,757596599.543
536,253.6,669913080.598
537,253.7,559943881.292
538,253.8,439197642.134
539,253.9,322500000.003
540,254.0,223619949.297
541,254.1,151828638.635
542,254.2,109052709.139
543,254.3,91260619.42
544,254.4,90259587.652
545,254.5,96684815.847
546,254.6,102363521.235
547,254.7,102207886.837
548,254.8,95875019.533
549,254.9,87435220.477
550,255.0,84460000.0
551,255.1,95337431.332
552,255.2,126039647.519
553,255.3,176954270.725
554,255.4,240700753.114
555,255.5,302850618.338
556,255.6,346009631.972
557,255.7,356664767.587
558,255.8,330806963.383
559,255.9,276033830.339
560,256.0,207132212.439
561,256.1,140000000.002
562,256.2,85857524.779
563,256.3,49316813.733
564,256.4,30064524.008
565,256.5,25772431.342
566,256.6,34262020.133
567,256.7,53895952.498
568,256.8,82457684.741
569,256.9,115663286.735
570,257.0,146854442.01
571,257.1,167962081.675
572,257.2,173200000.0
573,257.3,160732967.679
574,257.4,134449501.079
575,257.5,101320413.015
576,257.6,68797021.209
577,257.7,42140995.133
578,257.8,23320000.0
579,257.9,11694322.468
580,258.0,5335171.984
581,258.1,2236699.195
582,258.2,884273.483
583,258.3,363484.75
584,258.4,217262.975
585,258.5,253741.546
586,258.6,411238.845
587,258.7,678069.779
588,258.8,1051953.458
589,258.9,1525000.0
590,259.0,2080843.321
591,259.1,2708108.468
592,259.2,3420740.97
593,259.3,4267200.198
594,259.4,5338233.318
595,259.5,6744615.48
596,259.6,8568877.132
597,259.7,10795662.207
598,259.8,13287436.467
599,259.9,15777151.604
600,260.0,18010000.0
601,260.1,19841683.725
602,260.2,21274736.734
603,260.3,22432694.682
604,260.4,23396780.23
605,260.5,24207171.316
606,260.6,24899231.319
607,260.7,25686858.336
608,260.8,26823071.873
609,260.9,28449909.899
610,261.0,30249207.652
611,261.1,31490000.0
612,261.2,31261724.662
613,261.3,29053859.089
614,261.4,25038722.446
615,261.5,20056019.462
616,261.6,15210328.46
617,261.7,11353703.325
618,261.8,8836660.412
619,261.9,7466334.867
620,262.0,6749492.388
621,262.1,6178137.942
622,262.2,5446000.0
623,262.3,4511223.048
624,262.4,3547335.002
