,wavelength,intensity
0,200.0,49.13
1,200.1,265.033
2,200.2,1242.945
3,200.3,5075.58
4,200.4,17666.68
5,200.5,52594.112
6,200.6,133200.0
7,200.7,286969.006
8,200.8,525238.38
9,200.9,817255.504
10,201.0,1081519.791
11,201.1,1218401.129
12,201.2,1168897.202
13,201.3,958038.229
14,201.4,671505.915
15,201.5,403586.237
16,201.6,208558.399
17,201.7,92825.181
18,201.8,35712.835
19,201.9,11890.0
20,202.0,3420.951
21,202.1,854.499
22,202.2,184.365
23,202.3,33.98
24,202.4,5.55
25,202.5,0.769
26,202.6,0.107
27,202.7,0.091
28,202.8,0.329
29,202.9,1.12
30,203.0,3.273
31,203.1,8.168
32,203.2,17.441
33,203.3,31.873
34,203.4,49.957
35,203.5,67.239
36,203.6,77.865
37,203.7,77.807
38,203.8,67.553
39,203.9,52.198
40,204.0,39.055
41,204.1,34.738
42,204.2,42.918
43,204.3,62.829
44,204.4,88.33
45,204.5,109.296
46,204.6,116.077
47,204.7,105.279
48,204.8,81.36
49,204.9,53.707
50,205.0,32.2
51,205.1,35.799
52,205.2,178.31
53,205.3,1249.021
54,205.4,7579.283
55,205.5,39016.457
56,205.6,172500.0
57,205.7,649413.356
58,205.8,2090645.418
59,205.9,5754165.912
60,206.0,13552465.202
61,206.1,27341607.146
62,206.2,47417039.56
63,206.3,70978231.302
64,206.4,92472753.652
65,206.5,106129049.517
66,206.6,109186652.494
67,206.7,102767832.249
68,206.8,89798479.919
69,206.9,73210000.0
70,207.0,55131531.281
71,207.1,37650751.63
72,207.2,22866595.076
73,207.3,12166038.838
74,207.4,5611800.983
75,207.5,2231000.0
76,207.6,761715.127
77,207.7,222338.196
78,207.8,55882.971
79,207.9,11992.721
80,208.0,2350.34
81,208.1,489.9
82,208.2,157.986
83,208.3,84.839
84,208.4,57.725
85,208.5,44.858
86,208.6,39.879
87,208.7,40.084
88,208.8,44.533
89,208.9,54.625
90,209.0,78.672
91,209.1,142.36
92,209.2,302.95
93,209.3,651.724
94,209.4,1287.0
95,209.5,2247.994
96,209.6,3436.251
97,209.7,4601.195
98,209.8,5425.778
99,209.9,5686.476
100,210.0,5373.0
101,210.1,4687.278
102,210.2,3936.432
103,210.3,3426.74
104,210.4,3554.678
105,210.5,5355.03
106,210.6,11800.0
107,210.7,29877.002
108,210.8,72613.389
109,210.9,159192.259
110,211.0,312007.939
111,211.1,551911.146
112,211.2,896355.981
113,211.3,1361233.22
114,211.4,1953362.359
115,211.5,2655794.097
116,211.6,3415575.789
117,211.7,4152105.04
118,211.8,4779588.622
119,211.9,5209000.0
120,212.0,5337992.107
121,212.1,5061572.944
122,212.2,4358710.847
123,212.3,3348167.222
124,212.4,2264797.499
125,212.5,1337000.0
126,212.6,685357.522
127,212.7,303787.895
128,212.8,116256.949
129,212.9,38354.169
130,213.0,10936.095
131,213.1,2720.0
132,213.2,607.852
133,213.3,138.426
134,213.4,43.379
135,213.5,22.171
136,213.6,14.69
137,213.7,11.581
138,213.8,11.181
139,213.9,12.856
140,214.0,16.421
141,214.1,22.112
142,214.2,30.162
143,214.3,39.748
144,214.4,48.46
145,214.5,52.962
146,214.6,50.995
147,214.7,42.843
148,214.8,31.263
149,214.9,19.774
150,215.0,10.82
151,215.1,5.121
152,215.2,2.095
153,215.3,0.741
154,215.4,0.226
155,215.5,0.06
156,215.6,0.014
157,215.7,0.003
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.004
187,218.7,0.024
188,218.8,0.133
189,218.9,0.649
190,219.0,2.77
191,219.1,10.214
192,219.2,32.913
193,219.3,92.087
194,219.4,224.2
195,219.5,475.026
196,219.6,875.646
197,219.7,1404.526
198,219.8,1960.533
199,219.9,2382.595
200,220.0,2519.0
201,220.1,2316.933
202,220.2,1854.746
203,220.3,1292.335
204,220.4,783.789
205,220.5,413.376
206,220.6,189.7
207,220.7,75.8
208,220.8,26.351
209,220.9,7.952
210,221.0,2.097
211,221.1,0.478
212,221.2,0.096
213,221.3,0.017
214,221.4,0.003
215,221.5,0.018
216,221.6,0.174
217,221.7,1.854
218,221.8,16.213
219,221.9,123.6
220,222.0,824.375
221,222.1,4765.993
222,222.2,24757.727
223,222.3,110170.178
224,222.4,431854.444
225,222.5,1473000.0
226,222.6,4391221.026
227,222.7,11440712.522
228,222.8,26047176.877
229,222.9,51808414.051
230,223.0,90061622.844
231,223.1,136799999.999
232,223.2,181592030.52
233,223.3,210633491.783
234,223.4,213439519.134
235,223.5,189074461.662
236,223.6,146345379.126
237,223.7,98971841.302
238,223.8,58498251.922
239,223.9,30208353.701
240,224.0,13636628.145
241,224.1,5373710.403
242,224.2,1853141.739
243,224.3,558128.327
244,224.4,147200.0
245,224.5,33827.688
246,224.6,6847.954
247,224.7,1206.83
248,224.8,185.67
249,224.9,29.08
250,225.0,19.84
251,225.1,87.552
252,225.2,401.29
253,225.3,1648.375
254,225.4,5945.891
255,225.5,18962.536
256,225.6,53630.0
257,225.7,134696.048
258,225.8,301668.911
259,225.9,606495.549
260,226.0,1102884.083
261,226.1,1846058.783
262,226.2,2942473.813
263,226.3,4793936.157
264,226.4,8832626.755
265,226.5,19268099.633
266,226.6,46129715.928
267,226.7,109294680.58
268,226.8,238922775.816
269,226.9,468399999.996
270,227.0,813307219.821
271,227.1,1244239536.021
272,227.2,1674463035.598
273,227.3,1981198384.476
274,227.4,2059632062.889
275,227.5,1882000000.005
276,227.6,1511610222.326
277,227.7,1069094404.259
278,227.8,667231557.174
279,227.9,370692884.252
280,228.0,186169350.349
281,228.1,87680000.001
282,228.2,41183261.13
283,228.3,20655054.168
284,228.4,11270259.234
285,228.5,6421336.266
286,228.6,3674245.067
287,228.7,2186017.304
288,228.8,1505474.083
289,228.9,1270338.532
290,229.0,1195773.341
291,229.1,1108938.168
292,229.2,959821.125
293,229.3,795050.443
294,229.4,716500.0
295,229.5,843082.02
296,229.6,1281247.75
297,229.7,2095210.666
298,229.8,3275696.994
299,229.9,4718805.116
300,230.0,6243000.0
301,230.1,7641773.886
