,wavelength,intensity
0,200.0,5475000.0
1,200.1,10472704.437
2,200.2,17880000.0
3,200.3,29810000.0
4,200.4,47173601.028
5,200.5,70520000.0
6,200.6,100100000.0
7,200.7,134739986.492
8,200.8,171800000.0
9,200.9,208000000.0
10,201.0,239027439.604
11,201.1,261600000.0
12,201.2,273200000.0
13,201.3,273660327.367
14,201.4,265900000.0
15,201.5,254000000.0
16,201.6,243695134.59
17,201.7,239900000.0
18,201.8,246700000.0
19,201.9,265501758.778
20,202.0,294500000.0
21,202.1,330600000.0
22,202.2,368369626.471
23,202.3,402200000.0
24,202.4,426800000.0
25,202.5,438252451.53
26,202.6,435000000.0
27,202.7,416600000.0
28,202.8,385143372.243
29,202.9,344200000.0
30,203.0,297700000.0
31,203.1,249907318.234
32,203.2,204400000.0
33,203.3,164200000.0
34,203.4,130670060.387
35,203.5,103800000.0
36,203.6,83110000.0
37,203.7,67307367.768
38,203.8,55060000.0
39,203.9,45150000.0
40,204.0,36740390.022
41,204.1,29460000.0
42,204.2,23100000.0
43,204.3,17697427.572
44,204.4,13320000.0
45,204.5,10020000.0
46,204.6,7817237.346
47,204.7,6710000.0
48,204.8,6706000.0
49,204.9,7887501.295
50,205.0,10440000.0
51,205.1,14572774.694
52,205.2,20500000.0
53,205.3,28420000.0
54,205.4,38407631.438
55,205.5,50300000.0
56,205.6,63830000.0
57,205.7,78500512.597
58,205.8,93630000.0
59,205.9,108500000.0
60,206.0,122337813.813
61,206.1,134200000.0
62,206.2,143100000.0
63,206.3,148115601.504
64,206.4,148600000.0
65,206.5,144100000.0
66,206.6,134779009.493
67,206.7,121400000.0
68,206.8,105000000.0
69,206.9,87172795.635
70,207.0,69410000.0
71,207.1,53090000.0
72,207.2,39266822.849
73,207.3,28430000.0
74,207.4,20840000.0
75,207.5,16317958.529
76,207.6,14430000.0
77,207.7,14680000.0
78,207.8,16471534.343
79,207.9,19160000.0
80,208.0,22100000.0
81,208.1,24699573.783
82,208.2,26500000.0
83,208.3,27120000.0
84,208.4,26418109.294
85,208.5,24530000.0
86,208.6,21690000.0
87,208.7,18299870.277
88,208.8,14820000.0
89,208.9,11700000.0
90,209.0,9330505.0
91,209.1,8095000.0
92,209.2,8387000.0
93,209.3,10649082.22
94,209.4,15400000.0
95,209.5,23200000.0
96,209.6,34612894.405
97,209.7,49850000.0
98,209.8,68930000.0
99,209.9,91325406.055
100,210.0,115800000.0
101,210.1,140986037.217
102,210.2,165600000.0
103,210.3,188500000.0
104,210.4,209258902.769
105,210.5,228500000.0
106,210.6,247200000.0
107,210.7,266564455.708
108,210.8,286900000.0
109,210.9,307900000.0
110,211.0,327602660.701
111,211.1,342800000.0
112,211.2,350100000.0
113,211.3,346689285.158
114,211.4,331500000.0
115,211.5,304500000.0
116,211.6,268243759.246
117,211.7,226500000.0
118,211.8,183300000.0
119,211.9,142713983.153
120,212.0,107300000.0
121,212.1,78890000.0
122,212.2,57827979.624
123,212.3,43310000.0
124,212.4,34210000.0
125,212.5,29008451.018
126,212.6,26340000.0
127,212.7,24990000.0
128,212.8,24144261.157
129,212.9,23340000.0
130,213.0,22250000.0
131,213.1,20827596.914
132,213.2,19120000.0
133,213.3,17190000.0
134,213.4,15133491.016
135,213.5,13040000.0
136,213.6,10990000.0
137,213.7,9043763.829
138,213.8,7258000.0
139,213.9,5687000.0
140,214.0,4369098.333
141,214.1,3321000.0
142,214.2,2550000.0
143,214.3,2040635.337
144,214.4,1757000.0
145,214.5,1657000.0
146,214.6,1689874.387
147,214.7,1804000.0
148,214.8,1950000.0
149,214.9,2088417.66
150,215.0,2191000.0
151,215.1,2236201.354
152,215.2,2220000.0
153,215.3,2145000.0
154,215.4,2023636.874
155,215.5,1874000.0
156,215.6,1714000.0
157,215.7,1558170.194
158,215.8,1423000.0
159,215.9,1325000.0
160,216.0,1281376.138
161,216.1,1323000.0
162,216.2,1487000.0
163,216.3,1825159.952
164,216.4,2408000.0
165,216.5,3313000.0
166,216.6,4623103.114
167,216.7,6399000.0
168,216.8,8685000.0
169,216.9,11470938.318
170,217.0,14680000.0
171,217.1,18200000.0
172,217.2,21838440.809
173,217.3,25400000.0
174,217.4,28700000.0
175,217.5,31598019.215
176,217.6,34040000.0
177,217.7,36010000.0
178,217.8,37597107.029
179,217.9,39040000.0
180,218.0,40640000.0
181,218.1,42852139.728
182,218.2,46300000.0
183,218.3,51680000.0
184,218.4,59781058.758
185,218.5,71190000.0
186,218.6,86350000.0
187,218.7,105210521.025
188,218.8,127000000.0
189,218.9,150600000.0
190,219.0,174158267.134
191,219.1,195700000.0
192,219.2,213300000.0
193,219.3,225423869.555
194,219.4,231600000.0
195,219.5,231900000.0
196,219.6,227636710.971
197,219.7,220800000.0
198,219.8,213600000.0
199,219.9,208532650.487
200,220.0,207400000.0
201,220.1,211496177.611
202,220.2,220900000.0
203,220.3,235100000.0
204,220.4,252404772.895
205,220.5,270700000.0
206,220.6,287800000.0
207,220.7,301577802.269
208,220.8,310700000.0
209,220.9,314300000.0
210,221.0,312638662.272
211,221.1,306600000.0
212,221.2,297300000.0
213,221.3,286271462.95
214,221.4,274600000.0
215,221.5,263100000.0
216,221.6,251994013.453
217,221.7,241000000.0
218,221.8,229700000.0
219,221.9,217560745.567
220,222.0,204200000.0
221,222.1,189400000.0
222,222.2,173485042.84
223,222.3,157200000.0
224,222.4,141400000.0
225,222.5,127032418.456
226,222.6,114900000.0
227,222.7,105700000.0
228,222.8,99729943.22
229,222.9,96600000.0
230,223.0,95700000.0
231,223.1,96212951.454
232,223.2,97450000.0
233,223.3,98880000.0
234,223.4,100528304.324
235,223.5,103000000.0
236,223.6,107200000.0
237,223.7,114649515.567
238,223.8,126600000.0
239,223.9,144000000.0
240,224.0,166824186.973
241,224.1,194000000.0
242,224.2,223900000.0
243,224.3,253625382.518
244,224.4,280300000.0
245,224.5,301200000.0
246,224.6,314281742.067
247,224.7,319300000.0
248,224.8,316800000.0
249,224.9,308829119.525
250,225.0,298100000.0
251,225.1,287249211.818
252,225.2,278300000.0
253,225.3,272800000.0
254,225.4,270850303.44
255,225.5,271600000.0
256,225.6,273900000.0
257,225.7,276130491.507
258,225.8,276900000.0
259,225.9,275100000.0
260,226.0,270434814.913
261,226.1,263000000.0
262,226.2,253100000.0
263,226.3,241609139.648
264,226.4,229300000.0
265,226.5,216800000.0
266,226.6,204469349.629
267,226.7,192800000.0
268,226.8,182300000.0
269,226.9,173453279.605
270,227.0,167200000.0
271,227.1,164800000.0
272,227.2,168556484.243
273,227.3,182000000.0
274,227.4,209299999.999
275,227.5,256259726.16
276,227.6,329499999.999
277,227.7,435899999.998
278,227.8,581881771.246
279,227.9,769799999.997
280,228.0,999799999.996
281,228.1,1265532728.189
282,228.2,1551999999.995
283,228.3,1840999999.995
284,228.4,2109238015.743
285,228.5,2332999999.997
286,228.6,2489999999.998
287,228.7,2565256515.886
288,228.8,2555000000.001
289,228.9,2461000000.002
290,229.0,2297862980.5
