,wavelength,intensity
0,200.0,49200000.0
1,200.1,52317588.642
2,200.2,55220000.0
3,200.3,57741523.549
4,200.4,59914315.795
5,200.5,61820000.0
6,200.6,63532398.057
7,200.7,65094126.377
8,200.8,66540000.0
9,200.9,67895653.551
10,201.0,69150000.0
11,201.1,70277309.175
12,201.2,71230000.0
13,201.3,71951327.769
14,201.4,72369744.173
15,201.5,72410000.0
16,201.6,72009093.747
17,201.7,71153014.737
18,201.8,69840000.0
19,201.9,68083772.634
20,202.0,65960000.0
21,202.1,63568031.447
22,202.2,61040000.0
23,202.3,58517982.096
24,202.4,56151044.133
25,202.5,54090000.0
26,202.6,52469723.977
27,202.7,51361331.901
28,202.8,50820000.0
29,202.9,50882251.797
30,203.0,51510000.0
31,203.1,52634626.408
32,203.2,54140000.0
33,203.3,55894018.528
34,203.4,57748207.649
35,203.5,59550000.0
36,203.6,61157001.446
37,203.7,62467510.774
38,203.8,63390000.0
39,203.9,63849840.365
40,204.0,63840000.0
41,204.1,63379002.948
42,204.2,62520000.0
43,204.3,61330612.317
44,204.4,59901715.792
45,204.5,58330000.0
46,204.6,56706049.599
47,204.7,55096029.576
48,204.8,53560000.0
49,204.9,52150501.882
50,205.0,50890000.0
51,205.1,49787719.098
52,205.2,48830000.0
53,205.3,47998188.035
54,205.4,47276530.457
55,205.5,46650000.0
56,205.6,46103906.485
57,205.7,45624908.07
58,205.8,45200000.0
59,205.9,44814873.035
60,206.0,44450000.0
61,206.1,44082338.101
62,206.2,43680000.0
63,206.3,43209111.528
64,206.4,42636695.742
65,206.5,41930000.0
66,206.6,41061578.826
67,206.7,40025215.383
68,206.8,38820000.0
69,206.9,37453851.162
70,207.0,35970000.0
71,207.1,34422077.321
72,207.2,32870000.0
73,207.3,31374748.127
74,207.4,29995268.596
75,207.5,28790000.0
76,207.6,27808349.608
77,207.7,27063599.392
78,207.8,26560000.0
79,207.9,26292645.046
80,208.0,26220000.0
81,208.1,26289364.127
82,208.2,26440000.0
83,208.3,26608713.904
84,208.4,26730523.666
85,208.5,26740000.0
86,208.6,26579486.376
87,208.7,26222417.291
88,208.8,25650000.0
89,208.9,24851698.029
90,209.0,23850000.0
91,209.1,22679476.389
92,209.2,21390000.0
93,209.3,20037682.625
94,209.4,18688289.683
95,209.5,17410000.0
96,209.6,16266787.262
97,209.7,15305804.598
98,209.8,14570000.0
99,209.9,14095356.837
100,210.0,13890000.0
101,210.1,13949866.461
102,210.2,14250000.0
103,210.3,14755768.954
104,210.4,15414733.083
105,210.5,16170000.0
106,210.6,16964503.482
107,210.7,17740481.953
108,210.8,18440000.0
109,210.9,19009133.063
110,211.0,19410000.0
111,211.1,19613548.73
112,211.2,19610000.0
113,211.3,19399683.187
114,211.4,19004089.358
115,211.5,18450000.0
116,211.6,17766990.172
117,211.7,16995809.205
118,211.8,16180000.0
119,211.9,15362021.898
120,212.0,14580000.0
121,212.1,13868226.974
122,212.2,13250000.0
123,212.3,12742086.7
124,212.4,12346131.965
125,212.5,12060000.0
126,212.6,11878622.317
127,212.7,11785199.64
128,212.8,11760000.0
129,212.9,11783873.682
130,213.0,11840000.0
131,213.1,11912883.421
132,213.2,11990000.0
133,213.3,12063311.718
134,213.4,12139752.675
135,213.5,12230000.0
136,213.6,12346569.657
137,213.7,12509332.945
138,213.8,12740000.0
139,213.9,13060045.212
140,214.0,13490000.0
141,214.1,14050057.415
142,214.2,14760000.0
143,214.3,15638547.008
144,214.4,16700575.032
145,214.5,17960000.0
146,214.6,19434003.919
147,214.7,21152833.116
148,214.8,23150000.0
149,214.9,25461092.42
150,215.0,28130000.0
151,215.1,31202047.693
152,215.2,34720000.0
153,215.3,38718183.956
154,215.4,43199737.195
155,215.5,48160000.0
156,215.6,53575555.298
157,215.7,59347956.585
158,215.8,65360000.0
159,215.9,71480206.96
160,216.0,77520000.0
161,216.1,83274409.985
162,216.2,88530000.0
163,216.3,93079426.862
164,216.4,96748190.119
165,216.5,99370000.0
166,216.6,100808536.671
167,216.7,101047360.052
168,216.8,100100000.0
169,216.9,97998630.245
170,217.0,94850000.0
171,217.1,90791686.052
172,217.2,86010000.0
173,217.3,80704931.137
174,217.4,75082444.721
175,217.5,69350000.0
176,217.6,63705148.502
177,217.7,58305810.864
178,217.8,53300000.0
179,217.9,48824352.544
180,218.0,44970000.0
181,218.1,41808672.523
182,218.2,39380000.0
183,218.3,37705736.867
184,218.4,36768236.028
185,218.5,36540000.0
186,218.6,36984423.675
187,218.7,38028471.426
188,218.8,39590000.0
189,218.9,41584750.317
190,219.0,43920000.0
191,219.1,46501830.267
192,219.2,49240000.0
193,219.3,52051508.648
194,219.4,54878640.252
195,219.5,57670000.0
196,219.6,60385470.859
197,219.7,63030046.907
198,219.8,65620000.0
199,219.9,68177711.4
200,220.0,70750000.0
201,220.1,73392291.35
202,220.2,76170000.0
203,220.3,79146787.832
204,220.4,82369317.065
205,220.5,85880000.0
206,220.6,89711430.641
207,220.7,93856929.803
208,220.8,98300000.0
209,220.9,103010035.804
210,221.0,107900000.0
211,221.1,112866855.813
212,221.2,117800000.0
213,221.3,122580559.398
214,221.4,127064147.627
215,221.5,131100000.0
216,221.6,134547963.124
217,221.7,137310328.77
218,221.8,139300000.0
219,221.9,140440770.943
220,222.0,140700000.0
221,222.1,140070082.847
222,222.2,138600000.0
223,222.3,136368432.831
224,222.4,133516281.296
225,222.5,130200000.0
226,222.6,126574898.228
227,222.7,122791703.996
228,222.8,119000000.0
229,222.9,115350694.75
230,223.0,112000000.0
231,223.1,109089879.285
232,223.2,106700000.0
233,223.3,104891020.533
234,223.4,103709859.365
235,223.5,103200000.0
236,223.6,103388886.396
237,223.7,104239804.323
238,223.8,105700000.0
239,223.9,107724568.463
240,224.0,110300000.0
241,224.1,113398032.625
242,224.2,116900000.0
243,224.3,120664011.13
244,224.4,124545680.743
245,224.5,128400000.0
246,224.6,132083857.569
247,224.7,135461732.162
248,224.8,138400000.0
249,224.9,140762134.767
250,225.0,142400000.0
251,225.1,143187710.965
252,225.2,143100000.0
253,225.3,142148486.984
254,225.4,140391724.898
255,225.5,137900000.0
256,225.6,134765157.398
257,225.7,131165277.609
258,225.8,127300000.0
259,225.9,123359987.84
260,226.0,119500000.0
261,226.1,115877915.707
262,226.2,112700000.0
263,226.3,110150729.954
264,226.4,108279044.963
265,226.5,107100000.0
266,226.6,106614973.927
267,226.7,106770641.159
268,226.8,107500000.0
269,226.9,108709575.538
270,227.0,110200000.0
271,227.1,111755428.429
272,227.2,113200000.0
273,227.3,114371186.01
274,227.4,115119802.1
275,227.5,115300000.0
276,227.6,114785501.741
277,227.7,113528310.561
278,227.8,111500000.0
279,227.9,108695104.236
280,228.0,105200000.0
281,228.1,101123210.211
282,228.2,96570000.0
283,228.3,91654214.359
284,228.4,86527275.514
285,228.5,81350000.0
286,228.6,76274525.879
287,228.7,71418277.316
288,228.8,66890000.0
289,228.9,62786896.889
290,229.0,59160000.0
291,229.1,56042200.865
292,229.2,53440000.0
293,229.3,51345299.627
294,229.4,49717999.792
295,229.5,48510000.0
296,229.6,47672799.905
297,229.7,47156299.768
298,229.8,46910000.0
299,229.9,46891400.611
300,230.0,47090000.0
301,230.1,47510947.776
302,230.2,48190000.0
303,230.3,49188347.304
304,230.4,50638312.161
305,230.5,52690000.0
306,230.6,55525869.745
307,230.7,59457794.285
308,230.8,64830000.0
309,230.9,72020193.21
310,231.0,81540000.0
311,231.1,93953416.59
312,231.2,109900000.0
313,231.3,130066966.952
314,231.4,155256612.198
315,231.5,186299999.999
316,231.6,224018444.195
317,231.7,269194256.947
318,231.8,322599999.999
319,231.9,384959294.596
320,232.0,456799999.999
321,232.1,538558370.185
322,232.2,630499999.998
323,232.3,732753236.245
324,232.4,845068092.727
325,232.5,967099999.998
326,232.6,1098428376.309
327,232.7,1238328590.721
328,232.8,1385999999.997
329,232.9,1540585232.125
330,233.0,1700999999.997
331,233.1,1866009027.799
332,233.2,2033999999.997
333,233.3,2203236754.892
334,233.4,2371864785.848
335,233.5,2537999999.997
336,233.6,2699624681.769
337,233.7,2854186624.792
338,233.8,2998999999.997
339,233.9,3131424261.979
340,234.0,3248999999.998
341,234.1,3349319412.5
342,234.2,3429999999.999
343,234.3,3489019400.642
344,234.4,3525770501.06
345,234.5,3540000000.0
346,234.6,3531824008.232
347,234.7,3502836284.608
348,234.8,3455000000.001
349,234.9,3390574021.369
350,235.0,3313000000.002
351,235.1,3226095630.955
352,235.2,3134000000.002
353,235.3,3040719212.069
354,235.4,2949406057.973
355,235.5,2863000000.002
356,235.6,2784232388.379
357,235.7,2715002125.076
358,235.8,2657000000.001
359,235.9,2611736387.54
360,236.0,2580000000.001
361,236.1,2562456373.315
362,236.2,2560000000.0
363,236.3,2573668844.426
364,236.4,2604845801.791
365,236.5,2654999999.999
366,236.6,2725636962.558
367,236.7,2818407795.384
