,wavelength,intensity
0,200.0,754500.0
1,200.1,988900.0
2,200.2,1134829.1
3,200.3,1144502.459
4,200.4,1025682.314
5,200.5,847537.518
6,200.6,701529.205
7,200.7,662750.379
8,200.8,752168.594
9,200.9,929202.633
10,201.0,1108889.445
11,201.1,1202637.391
12,201.2,1158438.065
13,201.3,984747.491
14,201.4,738026.039
15,201.5,487639.96
16,201.6,284279.788
17,201.7,146490.919
18,201.8,66794.951
19,201.9,26996.782
20,202.0,9667.124
21,202.1,3074.286
22,202.2,873.327
23,202.3,248.381
24,202.4,254.4
25,202.5,1219.0
26,202.6,6238.0
27,202.7,28170.371
28,202.8,112511.756
29,202.9,393426.135
30,203.0,1212030.052
31,203.1,3284747.558
32,203.2,7827463.856
33,203.3,16440437.738
34,203.4,30446220.869
35,203.5,49786731.089
36,203.6,72025023.764
37,203.7,92381707.758
38,203.8,105359801.064
39,203.9,107200110.367
40,204.0,97509079.491
41,204.1,79581338.217
42,204.2,58423986.72
43,204.3,38638927.831
44,204.4,23015826.213
45,204.5,12345406.934
46,204.6,5947306.501
47,204.7,2566367.447
48,204.8,988947.207
49,204.9,339400.0
50,205.0,103500.0
51,205.1,28320.0
52,205.2,8918.905
53,205.3,12381.78
54,205.4,46783.807
55,205.5,174269.896
56,205.6,576068.098
57,205.7,1674555.97
58,205.8,4295996.861
59,205.9,9726339.634
60,206.0,19450266.407
61,206.1,34406084.521
62,206.2,54059794.665
63,206.3,75655566.563
64,206.4,94997281.199
65,206.5,107751007.428
66,206.6,111612588.141
67,206.7,106646222.728
68,206.8,94850190.556
69,206.9,78893510.316
70,207.0,61465614.579
71,207.1,45076490.823
72,207.2,31848792.133
73,207.3,23071976.431
74,207.4,18750000.0
75,207.5,17660000.0
76,207.6,17920000.0
77,207.7,17832272.982
78,207.8,16572099.968
79,207.9,14438173.647
80,208.0,12466325.54
81,208.1,11745370.76
82,208.2,12837931.383
83,208.3,15417064.452
84,208.4,18431471.839
85,208.5,20603516.163
86,208.6,21030590.476
87,208.7,19557287.628
88,208.8,16717284.476
89,208.9,13335935.165
90,209.0,10170988.545
91,209.1,7754753.15
92,209.2,6461226.619
93,209.3,6569108.583
94,209.4,8203908.933
95,209.5,11153395.28
96,209.6,14763151.069
97,209.7,18055869.025
98,209.8,20131732.788
99,209.9,20550000.0
100,210.0,19540000.0
101,210.1,17680000.0
102,210.2,15496622.911
103,210.3,13230074.484
104,210.4,10883937.888
105,210.5,8487101.095
106,210.6,6230953.905
107,210.7,4493012.948
108,210.8,3681609.056
109,210.9,4134876.455
110,211.0,6032802.013
111,211.1,9278085.714
112,211.2,13422660.602
113,211.3,17662006.968
114,211.4,21098349.14
115,211.5,23148450.295
116,211.6,23800659.147
117,211.7,23546069.286
118,211.8,22920947.55
119,211.9,22111798.018
120,212.0,20853118.907
121,212.1,18750647.464
122,212.2,15671798.422
123,212.3,11962203.274
124,212.4,8248000.0
125,212.5,5139000.0
