,wavelength,intensity
0,200.0,5236000000.0
1,200.1,5046052446.105
2,200.2,3998769980.211
3,200.3,2621825753.106
4,200.4,1418000000.0
5,200.5,632539147.878
6,200.6,232947489.099
7,200.7,71196850.076
8,200.8,19350773.816
9,200.9,8445472.698
10,201.0,12831823.622
11,201.1,27429996.626
12,201.2,53774521.982
13,201.3,92532356.734
14,201.4,138136139.824
15,201.5,177012955.703
16,201.6,192739397.362
17,201.7,177245590.062
18,201.8,138790482.795
19,201.9,99661278.601
20,202.0,88199432.694
21,202.1,134300000.0
22,202.2,264919923.423
23,202.3,488286218.763
24,202.4,765898943.713
25,202.5,1005000000.0
26,202.6,1101207334.338
27,202.7,1007665959.148
28,202.8,775329693.858
29,202.9,519800000.0
30,203.0,358143453.076
31,203.1,389660194.652
32,203.2,723004300.527
33,203.3,1482308626.589
34,203.4,2716184993.615
35,203.5,4250207302.321
36,203.6,5625087658.178
37,203.7,6294472844.531
38,203.8,5983260063.759
39,203.9,4923705050.766
40,204.0,3731266723.512
41,204.1,3011558964.087
42,204.2,3002560096.145
43,204.3,3464505866.787
44,204.4,3875255142.405
45,204.5,3797182713.874
46,204.6,3143000000.002
47,204.7,2176621824.205
48,204.8,1268436184.755
49,204.9,657865920.475
50,205.0,411100000.0
51,205.1,510287408.066
52,205.2,927422461.049
53,205.3,1593590862.991
54,205.4,2326999999.998
55,205.5,2839779110.771
56,205.6,2889129912.66
57,205.7,2451987690.049
58,205.8,1735532187.065
59,205.9,1025878088.701
60,206.0,507925896.546
61,206.1,214139451.503
62,206.2,81521223.421
63,206.3,33321478.527
64,206.4,18796211.276
65,206.5,14525926.232
66,206.6,12515689.078
67,206.7,10749895.25
68,206.8,8872313.819
69,206.9,6930513.339
70,207.0,5130843.883
71,207.1,3654000.0
72,207.2,2640711.996
73,207.3,2361334.36
74,207.4,3374362.279
75,207.5,6461000.0
76,207.6,12122871.764
77,207.7,19753673.998
78,207.8,27162413.245
79,207.9,31370000.0
80,208.0,30467662.104
81,208.1,25263754.778
82,208.2,18860837.709
83,208.3,14998103.852
84,208.4,16388009.11
85,208.5,23918992.587
86,208.6,36183450.042
87,208.7,49358237.059
88,208.8,58117660.843
89,208.9,58479122.422
90,209.0,50484691.082
91,209.1,38229593.316
92,209.2,26914465.987
93,209.3,19697018.7
94,209.4,17019259.207
95,209.5,18032518.349
96,209.6,22070000.0
97,209.7,29173998.505
98,209.8,41213584.92
99,209.9,66124589.295
100,210.0,124000000.0
101,210.1,247257895.841
102,210.2,463823605.988
103,210.3,763745769.195
104,210.4,1074999999.998
105,210.5,1286220818.136
106,210.6,1320745256.311
107,210.7,1217782169.73
108,210.8,1128787722.769
109,210.9,1232629988.197
110,211.0,1607943975.043
111,211.1,2150098134.769
112,211.2,2606734446.014
113,211.3,2725427527.853
114,211.4,2423763192.039
115,211.5,1835642864.169
116,211.6,1208033908.161
117,211.7,748208010.42
118,211.8,559041514.644
119,211.9,677492682.225
120,212.0,1118790016.656
121,212.1,1859999999.994
122,212.2,2794590309.088
123,212.3,3720060047.411
124,212.4,4411059513.088
125,212.5,4703000000.0
126,212.6,4531034265.994
127,212.7,3938529027.794
128,212.8,3077185004.809
129,212.9,2208000000.006
130,213.0,1676804238.0
131,213.1,1892956530.228
132,213.2,3294929690.744
133,213.3,6201512044.282
134,213.4,10450260829.253
135,213.5,15058443296.846
136,213.6,18381828201.824
137,213.7,18983132960.02
138,213.8,16576352505.798
139,213.9,12233390489.447
140,214.0,7629774442.375
141,214.1,4026603813.358
142,214.2,1813041009.313
143,214.3,747113855.209
144,214.4,415256736.149
145,214.5,530365498.898
146,214.6,957599999.995
147,214.7,1604687231.089
148,214.8,2306204019.105
149,214.9,2813219572.239
150,215.0,2910000000.001
