,wavelength,intensity
0,200.0,323.1
1,200.1,4655.306
2,200.2,45833.791
3,200.3,312089.976
4,200.4,1456000.0
5,200.5,4664888.424
6,200.6,10260947.838
7,200.7,15513437.266
8,200.8,16120000.0
9,200.9,11616241.726
10,201.0,6572001.95
11,201.1,6770871.362
12,201.2,17767386.469
13,201.3,42479288.888
14,201.4,71461373.973
15,201.5,82959144.28
16,201.6,66330598.085
17,201.7,36527767.522
18,201.8,13857212.866
19,201.9,3622000.0
20,202.0,682070.429
21,202.1,331118.799
22,202.2,1421136.111
23,202.3,5673000.0
24,202.4,16322105.863
25,202.5,33954011.479
26,202.6,51264908.421
27,202.7,56140000.0
28,202.8,44394313.572
29,202.9,25170080.785
30,203.0,10140555.183
31,203.1,2885000.0
32,203.2,575080.652
33,203.3,80260.045
34,203.4,7886.659
35,203.5,661.616
36,203.6,214.705
37,203.7,189.007
38,203.8,138.485
39,203.9,86.436
40,204.0,234.176
41,204.1,2995.078
42,204.2,31310.0
43,204.3,227753.457
44,204.4,1155402.038
45,204.5,4089022.718
46,204.6,10080000.0
47,204.7,17373725.078
48,204.8,21132741.418
49,204.9,19091692.118
50,205.0,15720000.0
51,205.1,16654037.623
52,205.2,21111663.646
53,205.3,23956051.795
54,205.4,23620000.0
55,205.5,22693256.447
56,205.6,21541311.878
57,205.7,18834265.043
58,205.8,17030000.0
59,205.9,19738580.963
60,206.0,24440246.974
61,206.1,24340401.908
62,206.2,17518256.006
63,206.3,8885526.179
64,206.4,3158088.242
65,206.5,786101.579
66,206.6,136874.903
67,206.7,16717.272
68,206.8,1432.587
69,206.9,85.44
70,207.0,3.375
71,207.1,0.164
72,207.2,0.766
73,207.3,4.575
74,207.4,19.687
75,207.5,62.476
76,207.6,152.314
77,207.7,364.4
78,207.8,2177.345
79,207.9,26565.122
80,208.0,270413.668
81,208.1,1967000.0
82,208.2,10079012.774
83,208.3,36523711.258
84,208.4,93442711.651
85,208.5,168956985.644
86,208.6,216796695.285
87,208.7,200774325.57
88,208.8,145006004.83
89,208.9,104235124.304
90,209.0,98180239.745
91,209.1,107880534.769
92,209.2,118900000.0
93,209.3,131950497.202
94,209.4,136133764.681
95,209.5,113850791.922
96,209.6,70960000.0
97,209.7,31849823.225
98,209.8,10290926.627
99,209.9,3091075.134
100,210.0,3916000.0
101,210.1,11387201.187
102,210.2,25776628.452
103,210.3,41599275.583
104,210.4,47700000.0
105,210.5,38849382.266
