,wavelength,intensity
0,200.0,10210000.0
1,200.1,10846247.118
2,200.2,11460308.897
3,200.3,12030000.0
4,200.4,12538283.389
5,200.5,12988715.233
6,200.6,13390000.0
7,200.7,13749598.887
8,200.8,14070000.0
9,200.9,14351764.282
10,201.0,14592717.117
11,201.1,14790000.0
12,201.2,14939967.615
13,201.3,15035827.405
14,201.4,15070000.0
15,201.5,15036143.035
16,201.6,14932862.152
17,201.7,14760000.0
18,201.8,14519286.415
19,201.9,14220000.0
20,202.0,13874330.19
21,202.1,13498560.979
22,202.2,13110000.0
23,202.3,12726301.451
24,202.4,12366505.781
25,202.5,12050000.0
26,202.6,11794538.079
27,202.7,11611341.824
28,202.8,11510000.0
29,202.9,11496286.972
30,203.0,11560719.514
31,203.1,11690000.0
32,203.2,11870841.517
33,203.3,12090000.0
34,203.4,12332573.81
35,203.5,12576988.166
36,203.6,12800000.0
37,203.7,12981025.886
38,203.8,13110120.96
39,203.9,13180000.0
40,204.0,13185174.5
41,204.1,13127342.811
42,204.2,13010000.0
43,204.3,12837795.975
44,204.4,12620000.0
45,204.5,12367136.128
46,204.6,12090128.199
47,204.7,11800000.0
48,204.8,11506992.664
49,204.9,11218216.71
50,205.0,10940000.0
51,205.1,10677485.807
52,205.2,10431079.035
53,205.3,10200000.0
54,205.4,9983360.405
55,205.5,9779837.519
56,205.6,9588000.0
57,205.7,9406209.545
58,205.8,9232000.0
59,205.9,9062693.596
60,206.0,8895593.943
61,206.1,8728000.0
62,206.2,8557275.834
63,206.3,8381045.959
64,206.4,8197000.0
65,206.5,8003240.105
66,206.6,7799518.517
67,206.7,7586000.0
68,206.8,7363445.415
69,206.9,7135000.0
70,207.0,6904748.344
71,207.1,6678148.055
72,207.2,6461000.0
73,207.3,6258946.603
74,207.4,6076996.528
75,207.5,5920000.0
76,207.6,5791872.654
77,207.7,5692791.76
78,207.8,5622000.0
79,207.9,5577710.931
80,208.0,5554021.617
81,208.1,5544000.0
82,208.2,5540435.068
83,208.3,5535000.0
84,208.4,5519443.978
85,208.5,5486935.995
