,wavelength,intensity
0,200.0,23.05
1,200.1,74.663
2,200.2,208.8
3,200.3,500.847
4,200.4,1037.879
5,200.5,1867.023
6,200.6,2938.074
7,200.7,4094.826
8,200.8,5123.0
9,200.9,5831.357
10,201.0,6093.652
11,201.1,5844.073
12,201.2,5099.395
13,201.3,3994.228
14,201.4,2768.949
15,201.5,1680.139
16,201.6,885.3
17,201.7,402.8
18,201.8,157.804
19,201.9,53.005
20,202.0,15.289
21,202.1,3.772
22,202.2,0.798
23,202.3,0.145
24,202.4,0.023
25,202.5,0.005
26,202.6,0.008
27,202.7,0.031
28,202.8,0.113
29,202.9,0.357
30,203.0,0.972
31,203.1,2.286
32,203.2,4.644
33,203.3,8.167
34,203.4,12.446
35,203.5,16.444
36,203.6,18.876
37,203.7,18.884
38,203.8,16.602
39,203.9,13.176
40,204.0,10.257
41,204.1,9.38
42,204.2,11.38
43,204.3,16.019
44,204.4,21.828
45,204.5,26.534
46,204.6,28.041
47,204.7,25.584
48,204.8,20.115
49,204.9,13.619
50,205.0,7.936
51,205.1,3.982
52,205.2,1.72
53,205.3,0.64
54,205.4,0.205
55,205.5,0.056
56,205.6,0.013
57,205.7,0.003
58,205.8,0.0
59,205.9,0.0
60,206.0,0.0
61,206.1,0.0
62,206.2,0.0
63,206.3,0.0
64,206.4,0.0
65,206.5,0.0
66,206.6,0.001
67,206.7,0.005
68,206.8,0.023
69,206.9,0.086
70,207.0,0.286
71,207.1,0.84
72,207.2,2.161
73,207.3,4.885
74,207.4,9.711
75,207.5,17.02
76,207.6,26.32
77,207.7,35.903
78,207.8,43.251
79,207.9,46.055
80,208.0,43.493
81,208.1,36.728
82,208.2,28.233
83,208.3,20.48
84,208.4,14.892
85,208.5,11.68
86,208.6,10.536
87,208.7,11.806
88,208.8,21.62
89,208.9,78.08
90,209.0,438.453
91,209.1,2560.041
92,209.2,14080.0
93,209.3,69187.737
94,209.4,297941.853
95,209.5,1126001.224
96,209.6,3697549.06
97,209.7,10550951.916
98,209.8,26123099.789
99,209.9,56137887.961
100,210.0,104700000.0
101,210.1,169544199.549
102,210.2,238221451.291
103,210.3,290663775.193
104,210.4,308468113.165
105,210.5,286305984.116
106,210.6,237463478.285
107,210.7,188432302.668
108,210.8,168800000.0
109,210.9,199274750.247
110,211.0,283529089.666
111,211.1,403487255.382
112,211.2,521078640.2
113,211.3,591876645.585
114,211.4,586278277.921
115,211.5,505174508.146
116,211.6,378391280.434
117,211.7,246500000.001
118,211.8,139493416.028
119,211.9,68682093.865
120,212.0,29369332.351
121,212.1,10917228.051
122,212.2,3527692.952
123,212.3,990971.354
124,212.4,242202.564
125,212.5,51550.0
126,212.6,9539.736
127,212.7,1534.595
128,212.8,219.918
129,212.9,34.759
130,213.0,13.328
131,213.1,11.356
132,213.2,10.437
133,213.3,8.869
134,213.4,6.939
135,213.5,5.153
136,213.6,4.041
137,213.7,5.082
138,213.8,16.62
139,213.9,83.282
140,214.0,412.05
141,214.1,1816.423
142,214.2,7028.0
143,214.3,23778.251
144,214.4,70243.952
145,214.5,181449.62
146,214.6,409058.723
147,214.7,805462.316
148,214.8,1384524.376
149,214.9,2078871.794
150,215.0,2726000.0
151,215.1,3122129.842
152,215.2,3121804.159
153,215.3,2726107.272
154,215.4,2079317.218
155,215.5,1385011.309
156,215.6,805377.23
157,215.7,409076.601
158,215.8,181400.0
159,215.9,70259.492
160,216.0,23754.082
161,216.1,7013.476
162,216.2,1804.583
163,216.3,405.691
164,216.4,79.556
165,216.5,13.656
166,216.6,2.053
167,216.7,0.271
168,216.8,0.031
169,216.9,0.003
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.002
180,218.0,0.015
181,218.1,0.163
182,218.2,1.469
183,218.3,11.66
184,218.4,81.169
185,218.5,498.407
