,wavelength,intensity
0,200.0,23370000.0
1,200.1,23690000.0
2,200.2,20968511.933
3,200.3,16228482.451
4,200.4,10967758.427
5,200.5,6475916.433
6,200.6,3340859.435
7,200.7,1507238.179
8,200.8,595096.976
9,200.9,207350.013
10,201.0,64853.479
11,201.1,19779.047
12,201.2,6914.732
13,201.3,3358.065
14,201.4,2014.402
15,201.5,1232.24
16,201.6,694.755
17,201.7,349.042
18,201.8,154.688
19,201.9,60.245
20,202.0,20.564
21,202.1,6.152
22,202.2,1.616
23,202.3,0.37
24,202.4,0.076
25,202.5,0.018
26,202.6,0.022
27,202.7,0.068
28,202.8,0.209
29,202.9,0.564
30,203.0,1.342
31,203.1,2.816
32,203.2,5.211
33,203.3,8.51
34,203.4,12.272
35,203.5,15.654
36,203.6,17.684
37,203.7,18.002
38,203.8,17.823
39,203.9,33.511
40,204.0,178.503
41,204.1,1277.567
42,204.2,8537.712
43,204.3,49140.409
44,204.4,254244.979
45,204.5,1151577.708
46,204.6,4569092.921
47,204.7,16040873.196
48,204.8,49413099.372
49,204.9,134100000.0
50,205.0,319999999.999
51,205.1,672499999.999
52,205.2,1244730763.989
53,205.3,2031135266.837
54,205.4,2927796405.108
55,205.5,3744439238.466
56,205.6,4287008679.676
57,205.7,4469208656.836
58,205.8,4370041532.857
59,205.9,4178052506.337
60,206.0,4067060224.503
61,206.1,4085401024.515
62,206.2,4158907712.64
63,206.3,4166761210.919
64,206.4,4023149764.473
65,206.5,3703856654.454
66,206.6,3230363710.611
67,206.7,2644096419.865
68,206.8,2006895903.273
69,206.9,1394090782.83
70,207.0,875917156.576
71,207.1,493426349.326
72,207.2,247706788.555
73,207.3,110254347.961
74,207.4,43460000.0
75,207.5,15130000.0
76,207.6,4646000.0
77,207.7,1257527.713
78,207.8,301124.711
79,207.9,62861.754
80,208.0,11895.9
81,208.1,1934.05
82,208.2,308.318
83,208.3,55.657
84,208.4,20.34
85,208.5,13.055
86,208.6,11.621
87,208.7,13.077
88,208.8,20.19
89,208.9,41.715
90,209.0,98.615
91,209.1,232.75
92,209.2,510.364
93,209.3,1012.243
94,209.4,1800.203
95,209.5,2863.335
96,209.6,4078.502
97,209.7,5219.322
98,209.8,6028.218
99,209.9,6331.0
100,210.0,6112.0
101,210.1,5518.0
102,210.2,4771.739
103,210.3,4063.131
104,210.4,3473.375
105,210.5,2975.303
106,210.6,2497.956
107,210.7,1993.517
108,210.8,1474.033
109,210.9,990.847
110,211.0,600.192
111,211.1,324.797
112,211.2,156.723
113,211.3,67.217
114,211.4,25.61
115,211.5,8.644
116,211.6,2.598
117,211.7,0.687
118,211.8,0.164
119,211.9,0.039
120,212.0,0.025
121,212.1,0.059
122,212.2,0.162
123,212.3,0.4
124,212.4,0.884
125,212.5,1.743
126,212.6,3.072
127,212.7,4.851
128,212.8,6.871
129,212.9,8.754
130,213.0,10.066
131,213.1,10.485
132,213.2,9.944
133,213.3,8.651
134,213.4,6.988
135,213.5,5.37
136,213.6,4.114
137,213.7,3.389
138,213.8,3.236
139,213.9,3.628
140,214.0,4.542
141,214.1,5.952
142,214.2,7.765
143,214.3,9.7
144,214.4,11.307
