,wavelength,intensity
0,200.0,27210000.0
1,200.1,32781391.951
2,200.2,38220000.0
3,200.3,43369574.148
4,200.4,47980000.0
5,200.5,51820000.0
6,200.6,54844663.069
7,200.7,57120000.0
8,200.8,58746006.626
9,200.9,59890000.0
10,201.0,60712560.429
11,201.1,61280000.0
12,201.2,61610000.0
13,201.3,61612196.384
14,201.4,61140000.0
15,201.5,60052167.487
16,201.6,58260000.0
17,201.7,55722883.666
18,201.8,52540000.0
19,201.9,48855047.847
20,202.0,44850000.0
21,202.1,40710000.0
22,202.2,36581230.912
23,202.3,32550000.0
24,202.4,28676507.051
25,202.5,24970000.0
26,202.6,21430240.885
27,202.7,18070000.0
28,202.8,14912529.41
29,202.9,12010000.0
30,203.0,9417000.0
31,203.1,7166726.823
32,203.2,5279000.0
33,203.3,3762510.427
34,203.4,2590000.0
35,203.5,1722106.468
36,203.6,1107000.0
37,203.7,690600.0
38,203.8,424825.235
39,203.9,272600.0
40,204.0,203804.102
41,204.1,206000.0
42,204.2,275058.357
43,204.3,422400.0
44,204.4,666187.469
45,204.5,1036000.0
46,204.6,1565000.0
47,204.7,2287065.246
48,204.8,3228000.0
49,204.9,4404546.324
50,205.0,5806000.0
51,205.1,7405124.458
52,205.2,9136000.0
53,205.3,10917955.843
54,205.4,12650000.0
55,205.5,14230000.0
56,205.6,15577543.329
57,205.7,16640000.0
58,205.8,17386578.686
59,205.9,17850000.0
60,206.0,18083641.927
61,206.1,18160000.0
62,206.2,18160000.0
63,206.3,18168334.463
64,206.4,18230000.0
65,206.5,18375411.031
66,206.6,18620000.0
67,206.7,18972521.413
68,206.8,19430000.0
69,206.9,19987003.318
70,207.0,20640000.0
71,207.1,21380000.0
72,207.2,22168755.9
73,207.3,22940000.0
74,207.4,23612843.558
75,207.5,24070000.0
76,207.6,24192369.869
77,207.7,23890000.0
78,207.8,23097676.966
79,207.9,21820000.0
80,208.0,20100000.0
81,208.1,18066898.242
82,208.2,15880000.0
83,208.3,13703244.34
84,208.4,11710000.0
85,208.5,10062749.396
86,208.6,8871000.0
87,208.7,8225000.0
88,208.8,8187188.318
89,208.9,8799000.0
90,209.0,10097842.345
91,209.1,12120000.0
92,209.2,14895442.303
93,209.3,18430000.0
94,209.4,22704013.445
95,209.5,27620000.0
96,209.6,33040000.0
97,209.7,38724113.666
98,209.8,44340000.0
99,209.9,49527924.677
100,210.0,53890000.0
101,210.1,57050437.624
102,210.2,58760000.0
103,210.3,58855324.826
104,210.4,57390000.0
105,210.5,54520000.0
106,210.6,50607844.687
107,210.7,46120000.0
108,210.8,41534518.226
109,210.9,37320000.0
110,211.0,33899082.409
111,211.1,31520000.0
112,211.2,30350000.0
113,211.3,30376700.085
114,211.4,31430000.0
115,211.5,33290258.297
116,211.6,35660000.0
117,211.7,38237266.728
118,211.8,40780000.0
119,211.9,43108174.791
120,212.0,45230000.0
121,212.1,47240000.0
122,212.2,49428478.296
123,212.3,52280000.0
124,212.4,56348451.541
125,212.5,62310000.0
126,212.6,70863965.539
127,212.7,82680000.0
128,212.8,98339436.303
129,212.9,118100000.0
130,213.0,142100000.0
131,213.1,170196586.888
132,213.2,201700000.0
133,213.3,235673396.334
134,213.4,270700000.0
135,213.5,305147327.774
136,213.6,337000000.0
137,213.7,364200000.0
138,213.8,384962609.81
139,213.9,397800000.0
140,214.0,401523840.845
141,214.1,395900000.0
142,214.2,381179526.811
143,214.3,358600000.0
144,214.4,329758051.912
145,214.5,296700000.0
146,214.6,261600000.0
147,214.7,226564767.195
148,214.8,193200000.0
149,214.9,162796260.586
150,215.0,135900000.0
151,215.1,112758940.464
152,215.2,93170000.0
153,215.3,76784227.56
154,215.4,63120000.0
155,215.5,51680000.0
156,215.6,42061747.028
157,215.7,33980000.0
158,215.8,27196356.104
159,215.9,21560000.0
160,216.0,16945328.557
161,216.1,13240000.0
162,216.2,10330000.0
163,216.3,8084845.883
164,216.4,6383000.0
165,216.5,5110281.025
166,216.6,4168000.0
167,216.7,3468155.016
168,216.8,2950000.0
169,216.9,2565223.912
170,217.0,2288000.0
171,217.1,2101000.0
172,217.2,2000870.966
173,217.3,1997000.0
174,217.4,2103934.446
175,217.5,2347000.0
176,217.6,2754266.249
177,217.7,3354000.0
178,217.8,4170000.558
179,217.9,5208000.0
180,218.0,6464000.0
181,218.1,7906350.7
182,218.2,9471000.0
183,218.3,11081623.971
184,218.4,12640000.0
185,218.5,14043028.418
186,218.6,15190000.0
187,218.7,15990000.0
188,218.8,16394929.517
189,218.9,16390000.0
190,219.0,15979510.876
191,219.1,15220000.0
192,219.2,14184526.978
193,219.3,12960000.0
194,219.4,11634881.212
195,219.5,10290000.0
196,219.6,8998000.0
197,219.7,7804477.145
198,219.8,6741000.0
199,219.9,5832986.268
200,220.0,5089000.0
201,220.1,4512077.783
202,220.2,4100000.0
203,220.3,3848202.601
204,220.4,3748000.0
