,wavelength,intensity
0,200.0,17570000.0
1,200.1,18677334.341
2,200.2,19710000.0
3,200.3,20610243.182
4,200.4,21387969.637
5,200.5,22070000.0
6,200.6,22680928.207
7,200.7,23236441.395
8,200.8,23750000.0
9,200.9,24231927.558
10,201.0,24680000.0
11,201.1,25085964.398
12,201.2,25430000.0
13,201.3,25688897.545
14,201.4,25837461.556
15,201.5,25850000.0
16,201.6,25705097.082
17,201.7,25398441.952
18,201.8,24930000.0
19,201.9,24305034.465
20,202.0,23550000.0
21,202.1,22699557.322
22,202.2,21800000.0
23,202.3,20901320.259
24,202.4,20056672.108
25,202.5,19320000.0
26,202.6,18739793.409
27,202.7,18342721.886
28,202.8,18150000.0
29,202.9,18175034.394
30,203.0,18400000.0
31,203.1,18797114.713
32,203.2,19330000.0
33,203.3,19956868.855
34,203.4,20622896.802
35,203.5,21270000.0
36,203.6,21844653.026
37,203.7,22311564.135
38,203.8,22640000.0
39,203.9,22804413.208
40,204.0,22800000.0
41,204.1,22631364.661
42,204.2,22320000.0
43,204.3,21892484.679
44,204.4,21378852.254
45,204.5,20810000.0
46,204.6,20215673.453
47,204.7,19621011.179
48,204.8,19050000.0
49,204.9,18522266.961
50,205.0,18040000.0
51,205.1,17600630.157
52,205.2,17200000.0
53,205.3,16833369.716
54,205.4,16495258.429
55,205.5,16180000.0
56,205.6,15882495.678
57,205.7,15599916.277
58,205.8,15330000.0
59,205.9,15070596.347
60,206.0,14820000.0
61,206.1,14575510.295
62,206.2,14330000.0
63,206.3,14075049.803
64,206.4,13801498.638
65,206.5,13500000.0
66,206.6,13163268.341
67,206.7,12792261.932
68,206.8,12390000.0
69,206.9,11960278.462
70,207.0,11510000.0
71,207.1,11049532.763
72,207.2,10600000.0
73,207.3,10183949.706
74,207.4,9818873.756
75,207.5,9521000.0
76,207.6,9304746.27
77,207.7,9177290.348
78,207.8,9144000.0
79,207.9,9208819.608
80,208.0,9370000.0
81,208.1,9624899.506
82,208.2,9973000.0
83,208.3,10417772.205
84,208.4,10976518.693
85,208.5,11670000.0
86,208.6,12525774.506
87,208.7,13598591.972
88,208.8,14950000.0
89,208.9,16644698.925
90,209.0,18760000.0
91,209.1,21377084.14
92,209.2,24580000.0
93,209.3,28446054.14
94,209.4,33022717.002
95,209.5,38350000.0
96,209.6,44452148.475
97,209.7,51290343.481
98,209.8,58810000.0
99,209.9,66942113.326
100,210.0,75560000.0
101,210.1,84513971.774
102,210.2,93620000.0
103,210.3,102677164.044
104,210.4,111451315.731
105,210.5,119700000.0
106,210.6,127181921.135
107,210.7,133660420.799
108,210.8,138900000.0
109,210.9,142675109.616
110,211.0,144800000.0
111,211.1,145124380.879
112,211.2,143600000.0
113,211.3,140233490.196
114,211.4,135148986.618
115,211.5,128500000.0
116,211.6,120465920.732
117,211.7,111329657.838
118,211.8,101400000.0
119,211.9,90993779.123
120,212.0,80460000.0
121,212.1,70137215.762
122,212.2,60290000.0
123,212.3,51141003.617
124,212.4,42819166.316
125,212.5,35430000.0
126,212.6,29051474.127
127,212.7,23651388.38
