,wavelength,intensity
0,200.0,1472000.0
1,200.1,2010000.0
2,200.2,2423000.0
3,200.3,2579000.0
4,200.4,2423000.0
5,200.5,2010000.0
6,200.6,1472000.0
7,200.7,951100.0
8,200.8,542700.0
9,200.9,273400.0
10,201.0,121600.0
11,201.1,47720.0
12,201.2,16540.0
13,201.3,5058.0
14,201.4,1366.0
15,201.5,325.6
16,201.6,68.53
17,201.7,12.73
18,201.8,2.095
19,201.9,0.374
20,202.0,0.7
21,202.1,5.444
22,202.2,39.65
23,202.3,256.2
24,202.4,1468.0
25,202.5,7460.0
26,202.6,33610.0
27,202.7,134300.0
28,202.8,476200.0
29,202.9,1498000.0
30,203.0,4180000.0
31,203.1,10360000.0
32,203.2,22800000.0
33,203.3,44640000.0
34,203.4,77770000.0
35,203.5,120800000.0
36,203.6,167600000.0
37,203.7,208400000.0
38,203.8,232800000.0
39,203.9,234800000.0
40,204.0,214800000.0
41,204.1,178800000.0
42,204.2,136100000.0
43,204.3,94810000.0
44,204.4,60500000.0
45,204.5,35290000.0
46,204.6,18750000.0
47,204.7,9039000.0
48,204.8,3935000.0
49,204.9,1540000.0
50,205.0,540400.0
51,205.1,169500.0
52,205.2,47410.0
53,205.3,11810.0
54,205.4,2618.0
55,205.5,516.2
56,205.6,90.53
57,205.7,14.14
58,205.8,2.0
59,205.9,0.512
60,206.0,2.051
61,206.1,13.7
62,206.2,82.61
63,206.3,443.6
64,206.4,2121.0
65,206.5,9035.0
66,206.6,34260.0
67,206.7,115700.0
68,206.8,348100.0
69,206.9,932400.0
70,207.0,2224000.0
71,207.1,4725000.0
72,207.2,8941000.0
73,207.3,15070000.0
74,207.4,22640000.0
75,207.5,30330000.0
76,207.6,36330000.0
77,207.7,39160000.0
78,207.8,38510000.0
79,207.9,35650000.0
80,208.0,32890000.0
81,208.1,32370000.0
82,208.2,34940000.0
83,208.3,39670000.0
84,208.4,44330000.0
85,208.5,46640000.0
86,208.6,45360000.0
87,208.7,40790000.0
88,208.8,34340000.0
89,208.9,27650000.0
90,209.0,21950000.0
91,209.1,18020000.0
92,209.2,16380000.0
93,209.3,17510000.0
94,209.4,21650000.0
95,209.5,28470000.0
96,209.6,36940000.0
97,209.7,45650000.0
98,209.8,53570000.0
99,209.9,60600000.0
100,210.0,67300000.0
101,210.1,73970000.0
102,210.2,79720000.0
103,210.3,82550000.0
104,210.4,80560000.0
105,210.5,73600000.0
106,210.6,64060000.0
107,210.7,56360000.0
108,210.8,55200000.0
109,210.9,63580000.0
110,211.0,81290000.0
111,211.1,104500000.0
112,211.2,126800000.0
113,211.3,141600000.0
114,211.4,144400000.0
115,211.5,134900000.0
116,211.6,116700000.0
117,211.7,95230000.0
118,211.8,74990000.0
119,211.9,58380000.0
120,212.0,45430000.0
121,212.1,35040000.0
122,212.2,26170000.0
123,212.3,18440000.0
124,212.4,12060000.0
125,212.5,7323000.0
126,212.6,4372000.0
127,212.7,3130000.0
128,212.8,3440000.0
129,212.9,5149000.0
130,213.0,8041000.0
131,213.1,11680000.0
132,213.2,15340000.0
133,213.3,18080000.0
134,213.4,19090000.0
135,213.5,18070000.0
136,213.6,15330000.0
137,213.7,11650000.0
138,213.8,7934000.0
139,213.9,4841000.0
140,214.0,2648000.0
141,214.1,1299000.0
142,214.2,576400.0
143,214.3,241900.0
144,214.4,119200.0
145,214.5,106200.0
146,214.6,154100.0
147,214.7,240800.0
148,214.8,349200.0
149,214.9,457000.0
150,215.0,537300.0
151,215.1,567100.0
152,215.2,537200.0
153,215.3,456900.0
154,215.4,348700.0
155,215.5,239000.0
156,215.6,147000.0
157,215.7,81130.0
158,215.8,40200.0
159,215.9,17880.0
160,216.0,7140.0
161,216.1,2559.0
162,216.2,823.1
163,216.3,237.7
164,216.4,61.6
165,216.5,14.33
166,216.6,2.992
167,216.7,0.561
168,216.8,0.094
169,216.9,0.014
170,217.0,0.002
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.002
178,217.8,0.013
179,217.9,0.095
180,218.0,0.646
181,218.1,3.948
182,218.2,21.76
183,218.3,108.2
184,218.4,485.0
185,218.5,1961.0
186,218.6,7149.0
187,218.7,23510.0
188,218.8,69720.0
189,218.9,186500.0
190,219.0,450200.0
191,219.1,980400.0
192,219.2,1927000.0
193,219.3,3419000.0
194,219.4,5479000.0
195,219.5,7934000.0
196,219.6,10390000.0
197,219.7,12330000.0
198,219.8,13270000.0
199,219.9,13040000.0
200,220.0,11810000.0
201,220.1,10150000.0
202,220.2,8798000.0
203,220.3,8460000.0
204,220.4,9619000.0
205,220.5,12340000.0
206,220.6,16180000.0
207,220.7,20200000.0
208,220.8,23240000.0
209,220.9,24340000.0
210,221.0,23080000.0
211,221.1,19780000.0
212,221.2,15310000.0
213,221.3,10690000.0
214,221.4,6743000.0
215,221.5,3839000.0
216,221.6,1973000.0
217,221.7,918300.0
218,221.8,396600.0
219,221.9,193100.0
220,222.0,204700.0
221,222.1,466600.0
222,222.2,1192000.0
223,222.3,2831000.0
224,222.4,6104000.0
225,222.5,11930000.0
226,222.6,21100000.0
227,222.7,33820000.0
228,222.8,49110000.0
229,222.9,64600000.0
230,223.0,76990000.0
231,223.1,83150000.0
232,223.2,81390000.0
233,223.3,72200000.0
234,223.4,58060000.0
235,223.5,42320000.0
236,223.6,27970000.0
237,223.7,16760000.0
238,223.8,9105000.0
239,223.9,4485000.0
240,224.0,2003000.0
241,224.1,811500.0
242,224.2,298100.0
243,224.3,99280.0
244,224.4,29990.0
245,224.5,8213.0
246,224.6,2040.0
247,224.7,459.2
248,224.8,93.75
249,224.9,17.35
250,225.0,2.911
251,225.1,0.443
252,225.2,0.061
253,225.3,0.008
254,225.4,0.001
255,225.5,0.002
256,225.6,0.014
257,225.7,0.093
258,225.8,0.556
259,225.9,3.01
260,226.0,14.8
261,226.1,66.05
262,226.2,267.7
263,226.3,984.9
264,226.4,3291.0
265,226.5,9984.0
266,226.6,27500.0
267,226.7,68790.0
268,226.8,156200.0
269,226.9,322200.0
270,227.0,603400.0
271,227.1,1026000.0
272,227.2,1584000.0
273,227.3,2220000.0
274,227.4,2826000.0
275,227.5,3266000.0
276,227.6,3428000.0
277,227.7,3266000.0
278,227.8,2826000.0
279,227.9,2220000.0
280,228.0,1584000.0
281,228.1,1026000.0
282,228.2,603400.0
283,228.3,322200.0
284,228.4,156200.0
285,228.5,68790.0
286,228.6,27500.0
287,228.7,9984.0
288,228.8,3291.0
