,wavelength,intensity
0,200.0,0.0
1,200.1,0.0
2,200.2,0.0
3,200.3,0.0
4,200.4,0.0
5,200.5,0.0
6,200.6,0.0
7,200.7,0.0
8,200.8,0.0
9,200.9,0.0
10,201.0,0.0
11,201.1,0.0
12,201.2,0.0
13,201.3,0.0
14,201.4,0.0
15,201.5,0.005
16,201.6,0.873
17,201.7,93.76
18,201.8,6189.0
19,201.9,251000.0
20,202.0,6253000.0
21,202.1,95710000.0
22,202.2,899899999.998
23,202.3,5198999999.989
24,202.4,18449999999.973
25,202.5,40229999999.969
26,202.6,53889999999.996
27,202.7,44350000000.028
28,202.8,22420000000.035
29,202.9,6964000000.017
30,203.0,1329000000.004
31,203.1,155800000.001
32,203.2,11220000.0
33,203.3,496500.0
34,203.4,13600.0
35,203.5,459.6
36,203.6,338.2
37,203.7,325.2
38,203.8,221.2
39,203.9,107.9
40,204.0,37.3
41,204.1,10.5
42,204.2,16.18
43,204.3,74.92
44,204.4,234.0
45,204.5,454.6
46,204.6,548.6
47,204.7,411.1
48,204.8,191.3
49,204.9,55.25
50,205.0,9.906
51,205.1,1.103
52,205.2,0.133
53,205.3,6.853
54,205.4,517.4
55,205.5,24430.0
56,205.6,720800.0
57,205.7,13290000.0
58,205.8,153199999.999
59,205.9,1102999999.993
60,206.0,4965999999.978
61,206.1,13969999999.962
62,206.2,24569999999.972
63,206.3,27040000000.014
64,206.4,18650000000.042
65,206.5,8106000000.032
66,206.6,2252000000.012
67,206.7,414500000.003
68,206.8,54360000.0
69,206.9,5583000.0
70,207.0,462600.0
71,207.1,28770.0
72,207.2,1227.0
73,207.3,36.5
74,207.4,17.2
75,207.5,71.04
76,207.6,206.0
77,207.7,429.2
78,207.8,674.7
79,207.9,798.5
80,208.0,680.5
81,208.1,408.0
82,208.2,189.9
83,208.3,101.2
84,208.4,92.93
85,208.5,108.7
86,208.6,105.2
87,208.7,79.13
88,208.8,77.35
89,208.9,131.5
90,209.0,197.6
91,209.1,196.7
92,209.2,139.2
93,209.3,635.4
94,209.4,14640.0
95,209.5,232300.0
96,209.6,2345000.0
97,209.7,15050000.0
98,209.8,61520000.0
99,209.9,160899999.999
100,210.0,273699999.999
101,210.1,321400000.0
102,210.2,306300000.0
103,210.3,291000000.0
104,210.4,262600000.0
105,210.5,181200000.001
106,210.6,84620000.0
107,210.7,25710000.0
108,210.8,5584000.0
109,210.9,5925000.0
110,211.0,30730000.0
111,211.1,113599999.999
112,211.2,269399999.999
113,211.3,409099999.999
114,211.4,398100000.001
115,211.5,248300000.001
116,211.6,99330000.001
117,211.7,25490000.0
118,211.8,4200000.0
119,211.9,444500.0
120,212.0,30240.0
121,212.1,1322.0
122,212.2,37.22
123,212.3,0.678
124,212.4,0.066
125,212.5,0.633
126,212.6,4.463
127,212.7,20.51
128,212.8,62.03
129,212.9,128.0
130,213.0,338.6
131,213.1,7467.0
132,213.2,211000.0
133,213.3,3942000.0
134,213.4,47599999.999
135,213.5,371199999.995
136,213.6,1869999999.98
137,213.7,6085999999.955
138,213.8,12789999999.947
139,213.9,17369999999.988
140,214.0,15240000000.042
141,214.1,8633000000.054
142,214.2,3160000000.031
143,214.3,747000000.01
144,214.4,114100000.002
145,214.5,11250000.0
146,214.6,720500.0
147,214.7,58210.0
148,214.8,161700.0
149,214.9,587900.0
150,215.0,1395000.0
151,215.1,2149000.0
152,215.2,2149000.0
153,215.3,1395000.0
154,215.4,587900.0
155,215.5,160800.0
156,215.6,28560.0
157,215.7,3292.0
158,215.8,246.4
159,215.9,11.97
160,216.0,0.378
161,216.1,0.008
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
