,wavelength,intensity
0,200.0,31.59
1,200.1,618.14
2,200.2,8025.897
3,200.3,68602.504
4,200.4,384696.227
5,200.5,1415099.511
6,200.6,3421000.0
7,200.7,5447545.48
8,200.8,5766103.485
9,200.9,4222720.534
10,201.0,2586448.402
11,201.1,2595983.921
12,201.2,5934000.0
13,201.3,14290000.0
14,201.4,24957698.077
15,201.5,29304817.817
16,201.6,22783756.667
17,201.7,11691956.924
18,201.8,3951431.508
19,201.9,881000.0
20,202.0,134298.781
21,202.1,62207.158
22,202.2,338422.587
23,202.3,1570083.792
24,202.4,5036966.214
25,202.5,11280000.0
26,202.6,17750837.905
27,202.7,19634992.928
28,202.8,15167798.945
29,202.9,8104200.258
30,203.0,2957758.622
31,203.1,730900.0
32,203.2,121183.467
33,203.3,13375.366
34,203.4,1100.417
35,203.5,278.664
36,203.6,316.58
37,203.7,307.8
38,203.8,219.4
39,203.9,116.503
40,204.0,63.636
41,204.1,383.186
42,204.2,5088.202
43,204.3,47115.303
44,204.4,289700.0
45,204.5,1189553.944
46,204.6,3262058.34
47,204.7,5984620.997
48,204.8,7394710.02
49,204.9,6443413.629
50,205.0,4962000.0
51,205.1,5331943.463
52,205.2,7161120.789
53,205.3,8184657.476
54,205.4,7867732.692
55,205.5,7551043.924
56,205.6,7306000.0
57,205.7,6252793.619
58,205.8,5394101.167
59,205.9,6497159.598
60,206.0,8986070.796
61,206.1,11656239.247
62,206.2,18040000.0
63,206.3,34250000.0
64,206.4,56100540.714
65,206.5,66773651.734
66,206.6,59130227.383
67,206.7,47121898.143
68,206.8,42183326.197
69,206.9,37610000.0
70,207.0,26116361.741
71,207.1,12669681.21
72,207.2,4176894.863
73,207.3,927390.332
74,207.4,138812.797
75,207.5,14110.0
76,207.6,1163.92
77,207.7,479.526
78,207.8,811.441
79,207.9,3969.891
80,208.0,43973.431
81,208.1,397900.0
82,208.2,2472938.844
83,208.3,10428001.663
84,208.4,29811024.209
85,208.5,57787737.111
86,208.6,76150385.399
87,208.7,69260000.0
88,208.8,47160000.0
89,208.9,32583564.722
90,209.0,32050872.551
91,209.1,36070897.235
92,209.2,39390360.537
93,209.3,44310890.418
94,209.4,46990000.0
95,209.5,39212092.961
96,209.6,23312689.65
97,209.7,9552978.312
98,209.8,2667219.483
99,209.9,506916.083
100,210.0,65580.0
101,210.1,5716.341
102,210.2,330.514
103,210.3,12.325
104,210.4,0.304
105,210.5,0.551
106,210.6,11.12
107,210.7,157.137
108,210.8,1527.989
109,210.9,10197.374
110,211.0,46505.106
111,211.1,145765.051
112,211.2,318600.0
113,211.3,511500.0
114,211.4,705130.747
115,211.5,1043114.528
116,211.6,1620579.17
117,211.7,2219177.574
118,211.8,2856312.077
119,211.9,4591000.0
120,212.0,8657660.803
121,212.1,14262853.297
122,212.2,19359737.417
123,212.3,25459456.358
124,212.4,37421348.909
125,212.5,54850000.0
126,212.6,73386852.037
127,212.7,98879013.436
128,212.8,136987610.588
129,212.9,164397480.231
130,213.0,147611808.162
131,213.1,93430000.0
132,213.2,41000414.396
133,213.3,12469050.013
134,213.4,3115442.212
135,213.5,3509243.31
136,213.6,12842560.129
137,213.7,36070000.0
138,213.8,70190000.0
139,213.9,94354675.239
140,214.0,87623372.776
141,214.1,56219069.4
142,214.2,24927765.069
143,214.3,7676863.262
144,214.4,1923000.0
145,214.5,1579787.018
146,214.6,4061778.707
147,214.7,8410501.22
148,214.8,12131457.187
149,214.9,12126834.318
150,215.0,8408000.0
151,215.1,4039710.254
152,215.2,1359787.594
153,215.3,475077.555
154,215.4,1300433.739
155,215.5,6671144.577
156,215.6,25170000.0
157,215.7,67683333.908
158,215.8,131454358.15
159,215.9,190642284.918
160,216.0,221009824.63
161,216.1,232246813.302
162,216.2,284899999.999
163,216.3,525899999.996
164,216.4,1133430748.761
165,216.5,2011955147.287
166,216.6,2629966437.761
167,216.7,2570048272.178
168,216.8,2095660120.145
169,216.9,1695000000.003
170,217.0,1395739514.262
171,217.1,1035575854.047
172,217.2,778086895.976
173,217.3,957515415.821
174,217.4,1592349544.115
175,217.5,2196999999.996
176,217.6,2188866611.127
177,217.7,1541236562.998
178,217.8,765940473.746
179,217.9,268948497.011
180,218.0,72787775.165
181,218.1,47800000.0
182,218.2,140953661.119
183,218.3,376784018.023
184,218.4,712820685.898
185,218.5,946478528.15
186,218.6,881898655.05
187,218.7,577200000.004
188,218.8,267500000.003
189,218.9,92660739.309
190,219.0,31766693.15
191,219.1,17540268.571
192,219.2,12112904.034
193,219.3,6963736.803
194,219.4,3932000.0
195,219.5,5127249.924
196,219.6,11438600.769
197,219.7,24610203.26
198,219.8,56780563.458
199,219.9,144270293.354
200,220.0,325099999.997
201,220.1,555981604.218
202,220.2,688345167.677
203,220.3,633973510.607
204,220.4,527396054.83
205,220.5,607371731.623
206,220.6,922099999.996
207,220.7,1220890331.443
208,220.8,1225332282.85
209,220.9,969490764.067
210,221.0,701327554.331
211,221.1,532388234.132
212,221.2,421900000.001
213,221.3,444999999.998
214,221.4,903750618.611
215,221.5,2082153542.07
216,221.6,3697435136.218
217,221.7,4711954596.5
218,221.8,4303020249.197
219,221.9,2898000000.019
220,222.0,1638413940.942
221,222.1,1142763113.615
222,222.2,1307629207.37
223,222.3,1795547975.377
224,222.4,2294966267.966
225,222.5,2556999999.999
226,222.6,2419424096.843
227,222.7,1887454571.603
228,222.8,1177379599.937
229,222.9,574089185.371
230,223.0,226859630.692
231,223.1,107000000.001
232,223.2,112340346.052
233,223.3,148013707.332
234,223.4,151613515.951
235,223.5,111594486.981
236,223.6,58558487.416
237,223.7,21890000.0
238,223.8,5831000.0
239,223.9,1136800.43
240,224.0,363838.414
241,224.1,1054095.65
242,224.2,3603425.983
243,224.3,8917471.256
244,224.4,15780000.0
245,224.5,19960126.122
246,224.6,18052621.349
247,224.7,11761988.997
248,224.8,6375122.632
249,224.9,9074533.826
250,225.0,39009999.999
251,225.1,146227237.687
252,225.2,396900938.75
253,225.3,772725330.549
254,225.4,1079333948.185
255,225.5,1082027370.919
256,225.6,779600000.006
257,225.7,406717115.152
258,225.8,157749853.027
259,225.9,51554582.531
260,226.0,28940795.499
261,226.1,68791174.641
262,226.2,215699999.997
263,226.3,520899999.994
264,226.4,912023148.164
265,226.5,1153640826.441
266,226.6,1074577149.981
267,226.7,824606188.693
268,226.8,766398648.202
269,226.9,1111999999.992
270,227.0,1702103571.859
271,227.1,2167570525.088
272,227.2,2313647881.617
273,227.3,2188348243.195
274,227.4,1843838876.307
275,227.5,1324000000.009
276,227.6,849716920.718
277,227.7,690307994.7
278,227.8,868046232.285
279,227.9,1105892045.01
280,228.0,1092573367.461
281,228.1,790200000.006
282,228.2,416848540.481
283,228.3,173223451.291
284,228.4,106362679.729
285,228.5,191783756.689
286,228.6,389530663.183
287,228.7,604199999.997
288,228.8,701300000.0
289,228.9,631405022.832
290,229.0,471634006.777
291,229.1,316859765.978
292,229.2,211373432.733
293,229.3,202948904.088
294,229.4,411999999.994
295,229.5,1011489510.498
296,229.6,2032842590.054
297,229.7,3106067853.577
298,229.8,3591623681.411
299,229.9,3193275487.771
300,230.0,2329000000.014
301,230.1,1734488168.033
