,wavelength,intensity
0,200.0,13750000.0
1,200.1,21918099.379
2,200.2,32270000.0
3,200.3,46569451.862
4,200.4,64900000.0
5,200.5,86920000.0
6,200.6,112095451.075
7,200.7,139200000.0
8,200.8,166722519.46
9,200.9,192700000.0
10,201.0,215229471.086
11,201.1,233100000.0
12,201.2,245500000.0
13,201.3,252762007.042
14,201.4,256400000.0
15,201.5,258302363.654
16,201.6,260900000.0
17,201.7,266528538.343
18,201.8,276600000.0
19,201.9,291870982.974
20,202.0,311400000.0
21,202.1,333600000.0
22,202.2,355923884.145
23,202.3,375300000.0
24,202.4,388790966.601
25,202.5,394300000.0
26,202.6,390312249.449
27,202.7,376800000.0
28,202.8,354397535.603
29,202.9,324900000.0
30,203.0,290500000.0
31,203.1,253733353.373
32,203.2,216900000.0
33,203.3,182027872.445
34,203.4,150400000.0
35,203.5,122918906.846
36,203.6,99710000.0
37,203.7,80610000.0
38,203.8,65080663.576
39,203.9,52500000.0
40,204.0,42280259.949
41,204.1,33960000.0
42,204.2,27153296.627
43,204.3,21650000.0
44,204.4,17311553.543
45,204.5,14110000.0
46,204.6,12050000.0
47,204.7,11165116.381
48,204.8,11530000.0
49,204.9,13231607.661
50,205.0,16370000.0
51,205.1,21040952.974
52,205.2,27310000.0
53,205.3,35202080.441
54,205.4,44610000.0
55,205.5,55370000.0
56,205.6,67190300.379
57,205.7,79620000.0
58,205.8,92140749.908
59,205.9,104100000.0
60,206.0,114812949.988
61,206.1,123600000.0
62,206.2,129800000.0
63,206.3,132884674.475
64,206.4,132600000.0
65,206.5,128835777.132
66,206.6,121800000.0
67,206.7,111879716.996
68,206.8,99860000.0
69,206.9,86627854.885
70,207.0,73080000.0
71,207.1,60100000.0
72,207.2,48444975.733
73,207.3,38600000.0
74,207.4,30906776.657
75,207.5,25390000.0
76,207.6,21941667.64
77,207.7,20240000.0
78,207.8,19895302.782
79,207.9,20460000.0
80,208.0,21470000.0
81,208.1,22483683.573
82,208.2,23180000.0
83,208.3,23304934.213
84,208.4,22750000.0
85,208.5,21479079.574
86,208.6,19600000.0
87,208.7,17270000.0
