,wavelength,intensity
0,200.0,5167000.0
1,200.1,6558753.906
2,200.2,7928000.0
3,200.3,9226000.0
4,200.4,10321919.923
5,200.5,11150000.0
6,200.6,11680000.0
7,200.7,11944879.896
8,200.8,12040000.0
9,200.9,12070000.0
10,201.0,12119468.469
11,201.1,12240000.0
12,201.2,12450000.0
13,201.3,12666881.378
14,201.4,12790000.0
15,201.5,12720000.0
16,201.6,12377192.886
17,201.7,11770000.0
18,201.8,10940000.0
19,201.9,9973108.349
20,202.0,8968000.0
21,202.1,8013000.0
22,202.2,7144986.523
23,202.3,6357000.0
24,202.4,5628000.0
25,202.5,4919932.762
26,202.6,4214000.0
27,202.7,3504000.0
28,202.8,2809971.286
29,202.9,2162000.0
30,203.0,1590000.0
31,203.1,1115547.172
32,203.2,743400.0
33,203.3,471200.0
34,203.4,283734.877
35,203.5,162200.0
36,203.6,88030.0
37,203.7,45187.179
38,203.8,22640.0
39,203.9,11470.0
40,204.0,7076.64
41,204.1,7932.0
42,204.2,13540.0
43,204.3,25992.743
44,204.4,50230.0
45,204.5,92520.0
46,204.6,162530.134
47,204.7,272400.0
48,204.8,434900.0
49,204.9,662025.576
50,205.0,959700.0
51,205.1,1328389.193
52,205.2,1753000.0
53,205.3,2211000.0
54,205.4,2665946.723
55,205.5,3079000.0
56,205.6,3413000.0
57,205.7,3641747.513
58,205.8,3762000.0
59,205.9,3782000.0
60,206.0,3734014.73
61,206.1,3655000.0
62,206.2,3581000.0
63,206.3,3540730.806
64,206.4,3542000.0
65,206.5,3584000.0
66,206.6,3652812.758
67,206.7,3735000.0
68,206.8,3821000.0
69,206.9,3914366.95
70,207.0,4028000.0
71,207.1,4177000.0
72,207.2,4373499.97
73,207.3,4609000.0
74,207.4,4864000.0
75,207.5,5095132.591
76,207.6,5249000.0
77,207.7,5273000.0
78,207.8,5130055.187
79,207.9,4817000.0
80,208.0,4347000.0
81,208.1,3768222.806
82,208.2,3144000.0
83,208.3,2539000.0
84,208.4,2011648.307
85,208.5,1601000.0
86,208.6,1337000.0
87,208.7,1236950.948
88,208.8,1333000.0
89,208.9,1669000.0
90,209.0,2338591.384
91,209.1,3531000.0
92,209.2,5484000.0
93,209.3,8555715.507
94,209.4,13190000.0
95,209.5,19850000.0
96,209.6,28945998.976
97,209.7,40610000.0
98,209.8,54820000.0
99,209.9,71112768.619
100,210.0,88510000.0
101,210.1,105953840.676
102,210.2,122500000.0
103,210.3,137300000.0
104,210.4,149985827.629
105,210.5,161100000.0
106,210.6,171500000.0
107,210.7,182265237.582
108,210.8,193800000.0
109,210.9,206100000.0
110,211.0,218112854.895
111,211.1,227800000.0
112,211.2,232900000.0
113,211.3,231346513.287
114,211.4,222300000.0
115,211.5,205600000.0
116,211.6,182670601.046
117,211.7,155800000.0
118,211.8,127500000.0
119,211.9,100414052.923
120,212.0,76230000.0
121,212.1,56180000.0
122,212.2,40617219.262
123,212.3,29260000.0
124,212.4,21650000.0
125,212.5,17109095.64
126,212.6,15070000.0
127,212.7,15050000.0
128,212.8,16748763.162
129,212.9,19990000.0
130,213.0,24630000.0
131,213.1,30555483.367
132,213.2,37600000.0
133,213.3,45560000.0
134,213.4,54121229.026
135,213.5,62840000.0
136,213.6,71220000.0
137,213.7,78668566.531
138,213.8,84590000.0
139,213.9,88410000.0
140,214.0,89689052.201
141,214.1,88290000.0
142,214.2,84230000.0
143,214.3,77897992.592
144,214.4,69930000.0
145,214.5,61040000.0
146,214.6,52032332.974
147,214.7,43520000.0
148,214.8,36000000.0
149,214.9,29684418.503
150,215.0,24530000.0
151,215.1,20416236.88
152,215.2,17110000.0
153,215.3,14360000.0
154,215.4,11976494.304
155,215.5,9866000.0
156,215.6,7972000.0
157,215.7,6299299.837
158,215.8,4867000.0
159,215.9,3691000.0
160,216.0,2769903.174
161,216.1,2077000.0
162,216.2,1577000.0
163,216.3,1224674.362
164,216.4,979800.0
165,216.5,806300.0
166,216.6,678849.437
167,216.7,582900.0
168,216.8,507500.0
169,216.9,447679.416
170,217.0,400800.0
171,217.1,364600.0
172,217.2,337969.018
173,217.3,322100.0
174,217.4,319400.0
175,217.5,335777.863
176,217.6,381000.0
177,217.7,466400.0
178,217.8,605612.865
179,217.9,809900.0
180,218.0,1089000.0
181,218.1,1447946.547
182,218.2,1884000.0
183,218.3,2392000.0
184,218.4,2967521.116
185,218.5,3619000.0
186,218.6,4364000.0
187,218.7,5248255.756
188,218.8,6344000.0
189,218.9,7734000.0
190,219.0,9508818.106
191,219.1,11710000.0
192,219.2,14350000.0
193,219.3,17357674.88
194,219.4,20560000.0
195,219.5,23750000.0
196,219.6,26690642.537
197,219.7,29210000.0
198,219.8,31190000.0
199,219.9,32684784.444
200,220.0,33920000.0
201,220.1,35160381.27
202,220.2,36690000.0
203,220.3,38760000.0
204,220.4,41413756.036
205,220.5,44430000.0
206,220.6,47470000.0
207,220.7,49975337.29
208,220.8,51420000.0
209,220.9,51340000.0
210,221.0,49498971.964
211,221.1,45990000.0
212,221.2,41050000.0
213,221.3,35192478.144
214,221.4,28970000.0
215,221.5,22910000.0
216,221.6,17429439.273
217,221.7,12760000.0
218,221.8,9046000.0
219,221.9,6242330.586
220,222.0,4226000.0
221,222.1,2858000.0
222,222.2,1977434.802
223,222.3,1454000.0
224,222.4,1174000.0
225,222.5,1056408.852
226,222.6,1046000.0
227,222.7,1095000.0
228,222.8,1168277.397
229,222.9,1240000.0
230,223.0,1287000.0
231,223.1,1292890.805
232,223.2,1253000.0
233,223.3,1167000.0
234,223.4,1042330.076
235,223.5,892400.0
236,223.6,731900.0
237,223.7,575212.868
238,223.8,432400.0
239,223.9,311300.0
240,224.0,214694.378
241,224.1,141500.0
242,224.2,89390.0
243,224.3,54027.484
244,224.4,31290.0
245,224.5,17380.0
246,224.6,9260.62
247,224.7,4932.0
248,224.8,2794.0
249,224.9,2014.005
250,225.0,2221.0
251,225.1,3187.694
252,225.2,4974.0
253,225.3,7723.0
254,225.4,11635.159
255,225.5,16970.0
256,225.6,23980.0
257,225.7,32992.648
258,225.8,44920.0
259,225.9,60970.0
260,226.0,83663.757
261,226.1,118600.0
262,226.2,173000.0
263,226.3,258743.09
264,226.4,393000.0
265,226.5,595300.0
266,226.6,889012.894
267,226.7,1294000.0
268,226.8,1827000.0
269,226.9,2491756.763
270,227.0,3269000.0
271,227.1,4128000.0
272,227.2,5011254.439
273,227.3,5847000.0
274,227.4,6560000.0
275,227.5,7076812.045
276,227.6,7353000.0
277,227.7,7360000.0
278,227.8,7108457.265
279,227.9,6642000.0
280,228.0,6016000.0
281,228.1,5305025.567
282,228.2,4577000.0
283,228.3,3894000.0
284,228.4,3301939.023
285,228.5,2824000.0
286,228.6,2475000.0
287,228.7,2253779.296
288,228.8,2146000.0
289,228.9,2133000.0
290,229.0,2188515.059
291,229.1,2284000.0
292,229.2,2390000.0
293,229.3,2475954.123
294,229.4,2519000.0
295,229.5,2500000.0
296,229.6,2409148.849
297,229.7,2250000.0
298,229.8,2031000.0
299,229.9,1769103.036
300,230.0,1486000.0
301,230.1,1202987.345
302,230.2,937000.0
303,230.3,702500.0
304,230.4,507093.394
305,230.5,351700.0
306,230.6,234900.0
307,230.7,151214.018
308,230.8,94130.0
309,230.9,57180.0
310,231.0,34467.642
311,231.1,21650.0
312,231.2,15060.0
313,231.3,12434.433
314,231.4,12630.0
315,231.5,14880.0
316,231.6,19307.32
317,231.7,27020.0
318,231.8,39540.0
319,231.9,59649.03
320,232.0,92010.0
321,232.1,142200.0
322,232.2,218317.646
323,232.3,331100.0
324,232.4,492400.0
325,232.5,716163.233
326,232.6,1016000.0
327,232.7,1405000.0
328,232.8,1892599.969
329,232.9,2478000.0
330,233.0,3156000.0
331,233.1,3910811.285
332,233.2,4713000.0
333,233.3,5529000.0
334,233.4,6320724.952
335,233.5,7050000.0
336,233.6,7681000.0
337,233.7,8188425.473
338,233.8,8558000.0
339,233.9,8780000.0
340,234.0,8856119.882
341,234.1,8799000.0
342,234.2,8626000.0
343,234.3,8365807.694
344,234.4,8054000.0
345,234.5,7729000.0
346,234.6,7432774.376
347,234.7,7195000.0
348,234.8,7038000.0
349,234.9,6963945.13
350,235.0,6952000.0
351,235.1,6973421.304
352,235.2,6987000.0
353,235.3,6950000.0
354,235.4,6830000.371
355,235.5,6612000.0
356,235.6,6289000.0
357,235.7,5871709.441
358,235.8,5381000.0
359,235.9,4840000.0
360,236.0,4273870.959
361,236.1,3705000.0
362,236.2,3154000.0
363,236.3,2637415.423
364,236.4,2169000.0
365,236.5,1762000.0
366,236.6,1429193.094
367,236.7,1182000.0
368,236.8,1032000.0
369,236.9,992702.534
370,237.0,1078000.0
371,237.1,1302000.0
372,237.2,1677821.177
373,237.3,2211000.0
374,237.4,2903000.0
375,237.5,3741900.712
376,237.6,4694000.0
377,237.7,5716000.0
378,237.8,6744264.856
379,237.9,7704000.0
380,238.0,8519000.0
381,238.1,9119829.549
382,238.2,9461000.0
383,238.3,9511000.0
384,238.4,9276843.159
385,238.5,8799000.0
386,238.6,8131000.0
387,238.7,7352239.411
388,238.8,6545000.0
389,238.9,5789000.0
390,239.0,5151117.708
391,239.1,4671000.0
392,239.2,4375000.0
393,239.3,4257210.066
394,239.4,4286000.0
395,239.5,4420000.0
396,239.6,4599263.308
397,239.7,4765000.0
398,239.8,4862000.0
399,239.9,4848621.214
400,240.0,4707000.0
401,240.1,4431418.946
402,240.2,4043000.0
403,240.3,3572000.0
404,240.4,3057437.235
405,240.5,2537000.0
406,240.6,2046000.0
407,240.7,1610608.19
408,240.8,1242000.0
409,240.9,945800.0
410,241.0,718139.713
411,241.1,549600.0
412,241.2,429600.0
413,241.3,346769.858
414,241.4,291300.0
415,241.5,254400.0
416,241.6,229805.58
417,241.7,213100.0
418,241.8,200500.0
419,241.9,189604.14
420,242.0,178900.0
421,242.1,167200.0
422,242.2,154146.088
423,242.3,140000.0
424,242.4,125300.0
425,242.5,111308.971
426,242.6,99690.0
427,242.7,92240.0
428,242.8,91097.959
429,242.9,98640.0
