,wavelength,intensity
0,200.0,0.0
1,200.1,0.004
2,200.2,0.154
3,200.3,3.672
4,200.4,60.396
5,200.5,673.107
6,200.6,5214.129
7,200.7,28140.0
8,200.8,105392.655
9,200.9,274815.925
10,201.0,500150.671
11,201.1,639500.0
12,201.2,579987.268
13,201.3,379540.19
14,201.4,183500.0
15,201.5,67235.613
16,201.6,18990.819
17,201.7,4129.193
18,201.8,676.0
19,201.9,80.711
20,202.0,7.006
21,202.1,0.433
22,202.2,0.018
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.004
29,202.9,0.054
30,203.0,0.528
31,203.1,3.708
32,203.2,18.55
33,203.3,65.974
34,203.4,167.622
35,203.5,306.189
36,203.6,407.1
37,203.7,400.122
38,203.8,295.529
39,203.9,166.0
40,204.0,72.101
41,204.1,32.071
42,204.2,49.872
43,204.3,148.3
44,204.4,342.851
45,204.5,560.35
46,204.6,644.014
47,204.7,520.161
48,204.8,295.327
49,204.9,117.806
50,205.0,33.02
51,205.1,6.495
52,205.2,0.895
53,205.3,0.089
54,205.4,0.059
55,205.5,1.926
56,205.6,49.939
57,205.7,956.6
58,205.8,12481.59
59,205.9,114418.401
60,206.0,746979.836
61,206.1,3440000.0
62,206.2,11197187.535
63,206.3,25817661.867
64,206.4,42390000.0
65,206.5,50536598.524
66,206.6,46630007.641
67,206.7,38707747.475
68,206.8,33790000.0
69,206.9,29076592.43
70,207.0,20611744.853
71,207.1,10852116.022
72,207.2,4104090.776
73,207.3,1101467.254
74,207.4,209297.064
75,207.5,28370.0
76,207.6,2991.245
77,207.7,769.516
78,207.8,866.975
79,207.9,974.665
80,208.0,854.196
81,208.1,577.697
82,208.2,319.5
83,208.3,179.139
84,208.4,139.926
85,208.5,140.324
86,208.6,134.4
87,208.7,119.765
88,208.8,130.693
89,208.9,183.7
90,209.0,238.243
91,209.1,234.541
92,209.2,166.692
93,209.3,84.79
94,209.4,34.505
95,209.5,92.585
96,209.6,1391.027
97,209.7,16567.928
98,209.8,140202.268
99,209.9,854419.583
100,210.0,3720000.0
101,210.1,11588473.115
102,210.2,25846954.244
103,210.3,41256974.469
104,210.4,47154492.126
105,210.5,38589386.487
106,210.6,22622523.868
107,210.7,9581000.0
108,210.8,3548311.883
109,210.9,4186538.195
110,211.0,13216925.987
111,211.1,34600000.0
112,211.2,65574897.627
113,211.3,89408807.663
114,211.4,87820000.0
115,211.5,62360984.232
116,211.6,32473591.12
117,211.7,13023971.556
118,211.8,4821000.0
119,211.9,2550612.262
120,212.0,2321108.399
121,212.1,2353682.056
122,212.2,1959655.187
123,212.3,1219609.971
124,212.4,551722.548
125,212.5,180100.0
126,212.6,42364.084
127,212.7,7197.388
128,212.8,969.913
129,212.9,240.626
130,213.0,221.405
131,213.1,224.161
132,213.2,190.0
133,213.3,139.848
134,213.4,92.388
135,213.5,54.288
136,213.6,29.38
137,213.7,21.502
138,213.8,29.457
139,213.9,44.25
140,214.0,54.243
141,214.1,59.012
142,214.2,78.073
143,214.3,138.6
144,214.4,280.322
145,214.5,852.325
146,214.6,4147.679
147,214.7,19365.845
148,214.8,68986.862
149,214.9,179742.067
150,215.0,340400.0
151,215.1,468543.977
152,215.2,468443.639
153,215.3,340379.39
154,215.4,179676.404
155,215.5,68878.109
156,215.6,19174.197
157,215.7,3881.0
158,215.8,570.596
159,215.9,60.82
160,216.0,4.746
161,216.1,0.266
162,216.2,0.011
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
