,wavelength,intensity
0,200.0,5103000.0
1,200.1,6532000.0
2,200.2,7986596.627
3,200.3,9357000.0
4,200.4,10510000.0
5,200.5,11365567.307
6,200.6,11900000.0
7,200.7,12130000.0
8,200.8,12178571.637
9,200.9,12160000.0
10,201.0,12180000.0
11,201.1,12321043.074
12,201.2,12560000.0
13,201.3,12830000.0
14,201.4,13002596.003
15,201.5,12960000.0
16,201.6,12610000.0
17,201.7,11949194.971
18,201.8,11050000.0
19,201.9,10010000.0
20,202.0,8955926.043
21,202.1,7968000.0
22,202.2,7097000.0
23,202.3,6329408.698
24,202.4,5621000.0
25,202.5,4927000.0
26,202.6,4220000.0
27,202.7,3497746.657
28,202.8,2786000.0
29,202.9,2119000.0
30,203.0,1535454.923
31,203.1,1055000.0
32,203.2,687600.0
33,203.3,424692.144
34,203.4,247900.0
35,203.5,137000.0
36,203.6,71347.061
37,203.7,35590.0
38,203.8,16970.0
39,203.9,8006.68
40,204.0,5045.0
41,204.1,5633.0
42,204.2,9916.603
43,204.3,20410.0
44,204.4,40680.0
45,204.5,77455.538
46,204.6,141200.0
47,204.7,244100.0
48,204.8,401724.607
49,204.9,629100.0
50,205.0,939500.0
51,205.1,1340000.0
52,205.2,1831777.781
53,205.3,2408000.0
54,205.4,3060000.0
55,205.5,3783031.436
56,205.6,4588000.0
57,205.7,5495000.0
58,205.8,6542334.477
59,205.9,7762000.0
60,206.0,9175000.0
61,206.1,10756527.959
62,206.2,12420000.0
63,206.3,14050000.0
64,206.4,15474973.884
65,206.5,16530000.0
66,206.6,17070000.0
67,206.7,17028692.236
68,206.8,16440000.0
69,206.9,15380000.0
70,207.0,14007255.773
71,207.1,12500000.0
72,207.2,11030000.0
73,207.3,9726147.241
74,207.4,8639000.0
75,207.5,7783000.0
76,207.6,7099000.0
77,207.7,6506799.724
78,207.8,5933000.0
79,207.9,5315000.0
80,208.0,4633799.894
81,208.1,3913000.0
82,208.2,3190000.0
83,208.3,2519848.63
84,208.4,1948000.0
85,208.5,1511000.0
86,208.6,1221603.875
87,208.7,1075000.0
88,208.8,1062000.0
89,208.9,1170636.428
90,209.0,1397000.0
91,209.1,1744000.0
92,209.2,2233010.754
93,209.3,2892000.0
94,209.4,3750000.0
95,209.5,4829530.263
96,209.6,6119000.0
97,209.7,7589000.0
98,209.8,9161333.318
99,209.9,10700000.0
100,210.0,12060000.0
101,210.1,13100000.0
102,210.2,13669077.748
103,210.3,13700000.0
104,210.4,13170000.0
105,210.5,12154226.573
106,210.6,10800000.0
107,210.7,9278000.0
108,210.8,7789809.134
109,210.9,6501000.0
110,211.0,5553000.0
111,211.1,5022815.002
112,211.2,4917000.0
113,211.3,5215000.0
114,211.4,5840948.39
115,211.5,6687000.0
116,211.6,7636000.0
117,211.7,8560010.046
118,211.8,9355000.0
119,211.9,9932000.0
120,212.0,10248707.319
121,212.1,10330000.0
122,212.2,10230000.0
123,212.3,10072078.405
124,212.4,10040000.0
125,212.5,10330000.0
126,212.6,11150000.0
127,212.7,12728998.374
128,212.8,15260000.0
129,212.9,18910000.0
130,213.0,23765861.841
131,213.1,29820000.0
132,213.2,37020000.0
133,213.3,45183110.16
134,213.4,53980000.0
135,213.5,63020000.0
136,213.6,71772345.633
137,213.7,79610000.0
138,213.8,85880000.0
139,213.9,89945747.147
140,214.0,91380000.0
141,214.1,89880000.0
142,214.2,85505485.142
143,214.3,78720000.0
144,214.4,70140000.0
145,214.5,60633022.559
146,214.6,51030000.0
147,214.7,42090000.0
148,214.8,34315114.514
149,214.9,27860000.0
150,215.0,22750000.0
151,215.1,18780000.0
152,215.2,15646900.041
