,wavelength,intensity
0,200.0,2556000.0
1,200.1,2633459.759
2,200.2,2029000.0
3,200.3,1172426.217
4,200.4,507713.941
5,200.5,165353.281
6,200.6,43290.152
7,200.7,19530.746
8,200.8,35435.351
9,200.9,73132.407
10,201.0,117095.643
11,201.1,142541.969
12,201.2,132343.162
13,201.3,94641.215
14,201.4,52648.926
15,201.5,23083.674
16,201.6,8064.4
17,201.7,2263.847
18,201.8,509.034
19,201.9,90.651
20,202.0,12.59
21,202.1,1.38
22,202.2,0.114
23,202.3,0.007
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.004
28,202.8,0.046
29,202.9,0.371
30,203.0,2.262
31,203.1,10.558
32,203.2,37.618
33,203.3,102.711
34,203.4,215.694
35,203.5,349.901
36,203.6,441.697
37,203.7,437.337
38,203.8,342.288
39,203.9,213.837
40,204.0,111.18
41,204.1,66.807
42,204.2,97.697
43,204.3,219.002
44,204.4,418.714
45,204.5,627.556
46,204.6,907.996
47,204.7,3808.247
48,204.8,37610.0
49,204.9,313535.646
50,205.0,2011000.0
51,205.1,9804925.378
52,205.2,36400000.0
53,205.3,102852930.49
54,205.4,220964398.693
55,205.5,361555954.092
56,205.6,451331796.29
57,205.7,434167888.944
58,205.8,337342370.848
59,205.9,252253078.105
60,206.0,246328758.148
61,206.1,306478066.525
62,206.2,364707294.32
63,206.3,373404798.628
64,206.4,345424013.031
65,206.5,315466653.704
66,206.6,285608572.913
67,206.7,233811635.415
68,206.8,159152914.016
69,206.9,86579281.511
70,207.0,37478557.277
71,207.1,13092848.314
72,207.2,3780977.201
73,207.3,929100.0
74,207.4,195097.981
75,207.5,34660.0
76,207.6,5400.446
77,207.7,1282.0
78,207.8,1009.994
79,207.9,1066.455
80,208.0,953.815
81,208.1,698.088
82,208.2,434.691
83,208.3,261.962
84,208.4,188.257
85,208.5,167.738
86,208.6,159.053
87,208.7,155.36
88,208.8,174.4
89,208.9,220.052
90,209.0,260.006
91,209.1,252.873
92,209.2,192.592
93,209.3,113.258
94,209.4,51.24
95,209.5,17.795
96,209.6,4.744
97,209.7,0.969
98,209.8,0.153
99,209.9,0.019
100,210.0,0.002
101,210.1,0.0
102,210.2,0.003
103,210.3,0.05
104,210.4,0.667
105,210.5,6.746
106,210.6,54.033
107,210.7,331.642
108,210.8,1567.859
109,210.9,5742.115
110,211.0,16375.204
111,211.1,36796.978
112,211.2,67200.338
113,211.3,106034.348
114,211.4,156994.89
115,211.5,228305.759
116,211.6,315675.18
117,211.7,396061.726
118,211.8,454685.003
119,211.9,502711.865
120,212.0,543588.46
121,212.1,540449.391
122,212.2,455959.681
123,212.3,310000.0
124,212.4,165696.237
125,212.5,68960.0
126,212.6,22269.786
127,212.7,5618.0
128,212.8,1189.273
129,212.9,348.77
130,213.0,257.154
131,213.1,250.452
132,213.2,219.335
133,213.3,168.368
134,213.4,115.501
135,213.5,71.941
136,213.6,43.747
137,213.7,33.508
138,213.8,38.743
139,213.9,51.359
140,214.0,63.689
141,214.1,78.396
142,214.2,110.753
143,214.3,173.1
144,214.4,251.149
145,214.5,302.523
146,214.6,289.9
147,214.7,218.012
148,214.8,128.0
149,214.9,58.626
150,215.0,20.91
151,215.1,5.806
152,215.2,1.255
153,215.3,0.21
154,215.4,0.028
155,215.5,0.003
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,0.0
189,218.9,0.0
190,219.0,0.0
191,219.1,0.0
192,219.2,0.0
193,219.3,0.0
194,219.4,0.0
195,219.5,0.0
196,219.6,0.0
197,219.7,0.0
198,219.8,0.0
199,219.9,0.0
200,220.0,0.0
201,220.1,0.0
202,220.2,0.0
203,220.3,0.0
204,220.4,0.0
205,220.5,0.0
206,220.6,0.0
207,220.7,0.0
208,220.8,0.0
209,220.9,0.0
210,221.0,0.0
211,221.1,0.0
212,221.2,0.0
213,221.3,0.0
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.0
218,221.8,0.0
219,221.9,0.001
220,222.0,0.018
221,222.1,0.254
222,222.2,4.143
223,222.3,57.61
224,222.4,595.062
225,222.5,4912.0
226,222.6,32042.528
227,222.7,165900.0
228,222.8,680707.282
229,222.9,2218512.836
230,223.0,5735335.834
231,223.1,11750417.907
232,223.2,19115540.062
233,223.3,24656022.026
234,223.4,25233484.286
235,223.5,20488532.365
236,223.6,13192594.108
237,223.7,6743026.425
238,223.8,2733205.19
239,223.9,878204.766
240,224.0,224094.517
241,224.1,45377.494
242,224.2,7252.647
243,224.3,925.901
244,224.4,92.583
245,224.5,7.165
246,224.6,0.489
247,224.7,0.028
248,224.8,0.001
249,224.9,0.0
250,225.0,0.001
251,225.1,0.011
252,225.2,0.143
253,225.3,1.513
254,225.4,13.041
255,225.5,88.48
256,225.6,482.535
257,225.7,2095.075
258,225.8,7264.464
259,225.9,20182.081
260,226.0,45236.159
261,226.1,83114.008
262,226.2,129987.504
263,226.3,185318.925
264,226.4,263855.317
265,226.5,406311.619
266,226.6,763744.313
267,226.7,2007513.75
268,226.8,6420228.427
269,226.9,19477491.787
270,227.0,49734105.623
271,227.1,103041391.282
272,227.2,171459666.935
273,227.3,228699999.999
274,227.4,244267177.244
275,227.5,208700000.001
276,227.6,142739707.345
277,227.7,78130000.001
278,227.8,34372650.382
279,227.9,12387747.081
280,228.0,4042335.612
281,228.1,1626568.973
282,228.2,1012662.773
283,228.3,723547.836
284,228.4,455530.386
285,228.5,238231.012
286,228.6,112701.474
287,228.7,71080.079
288,228.8,81651.188
289,228.9,110723.113
290,229.0,130330.152
291,229.1,124428.386
292,229.2,95513.401
293,229.3,58842.394
