,wavelength,intensity
0,200.0,14.25
1,200.1,482.9
2,200.2,9963.0
3,200.3,125200.0
4,200.4,957100.0
5,200.5,4457000.0
6,200.6,12630000.0
7,200.7,21810000.0
8,200.8,22920000.0
9,200.9,14690000.0
10,201.0,6034000.0
11,201.1,4173000.0
12,201.2,15240000.0
13,201.3,49100000.0
14,201.4,97820000.0
15,201.5,119100000.0
16,201.6,88640000.0
17,201.7,40300000.0
18,201.8,11200000.0
19,201.9,1901000.0
20,202.0,202200.0
21,202.1,88970.0
22,202.2,719100.0
23,202.3,4285000.0
24,202.4,16480000.0
25,202.5,41680000.0
26,202.6,70220000.0
27,202.7,79020000.0
28,202.8,58780000.0
29,202.9,28410000.0
30,203.0,8764000.0
31,203.1,1702000.0
32,203.2,206000.0
33,203.3,15460.0
34,203.4,716.1
35,203.5,20.45
36,203.6,0.36
37,203.7,0.004
38,203.8,0.001
39,203.9,0.122
40,204.0,7.036
41,204.1,251.5
42,204.2,5579.0
43,204.3,76830.0
44,204.4,656800.0
45,204.5,3485000.0
46,204.6,11480000.0
47,204.7,23490000.0
48,204.8,29950000.0
49,204.9,24640000.0
50,205.0,16790000.0
51,205.1,18610000.0
52,205.2,27780000.0
53,205.3,32040000.0
54,205.4,29190000.0
55,205.5,28040000.0
56,205.6,28390000.0
57,205.7,23480000.0
58,205.8,18340000.0
59,205.9,23050000.0
60,206.0,33440000.0
61,206.1,34400000.0
62,206.2,22460000.0
63,206.3,9176000.0
64,206.4,2341000.0
65,206.5,372900.0
66,206.6,37080.0
67,206.7,2302.0
68,206.8,89.26
69,206.9,2.16
70,207.0,0.033
71,207.1,0.0
72,207.2,0.0
73,207.3,0.0
74,207.4,0.0
75,207.5,0.0
76,207.6,0.013
77,207.7,1.116
78,207.8,60.79
79,207.9,2092.0
80,208.0,45460.0
81,208.1,624000.0
82,208.2,5409000.0
83,208.3,29620000.0
84,208.4,102399999.999
85,208.5,223799999.999
86,208.6,309200000.0
87,208.7,273200000.0
88,208.8,167900000.0
89,208.9,109000000.0
90,209.0,118100000.0
91,209.1,137500000.0
92,209.2,144900000.0
93,209.3,166700000.0
94,209.4,186300000.0
95,209.5,154600000.0
96,209.6,84510000.0
97,209.7,29540000.0
98,209.8,6661000.0
99,209.9,2133000.0
100,210.0,8921000.0
101,210.1,41080000.0
102,210.2,121499999.999
103,210.3,228699999.999
104,210.4,274000000.0
105,210.5,208900000.001
106,210.6,101400000.001
107,210.7,31370000.0
108,210.8,6891000.0
109,210.9,7400000.0
110,211.0,38410000.0
111,211.1,141999999.999
112,211.2,336699999.999
113,211.3,511399999.999
114,211.4,497600000.001
115,211.5,310400000.001
116,211.6,124200000.001
117,211.7,32030000.0
118,211.8,6526000.0
119,211.9,6876000.0
120,212.0,20210000.0
121,212.1,42220000.0
122,212.2,62700000.0
123,212.3,84480000.0
124,212.4,132900000.0
125,212.5,206799999.999
126,212.6,271000000.0
127,212.7,354599999.999
128,212.8,518899999.999
129,212.9,659300000.0
130,213.0,588400000.001
131,213.1,344700000.002
132,213.2,130400000.001
133,213.3,31850000.0
134,213.4,5828000.0
135,213.5,7382000.0
136,213.6,36240000.0
137,213.7,123099999.999
138,213.8,270299999.999
139,213.9,383400000.0
140,214.0,351400000.001
141,214.1,208000000.001
142,214.2,79520000.001
143,214.3,19710000.0
144,214.4,3777000.0
145,214.5,3967000.0
146,214.6,13390000.0
147,214.7,31840000.0
148,214.8,49240000.0
149,214.9,49780000.0
