,wavelength,intensity
0,200.0,7.218
1,200.1,34.962
2,200.2,138.448
3,200.3,444.695
4,200.4,1163.772
5,200.5,2493.501
6,200.6,4414.42
7,200.7,6568.705
8,200.8,8437.523
9,200.9,9675.482
10,201.0,10170.0
11,201.1,9826.281
12,201.2,8507.596
13,201.3,6384.437
14,201.4,4038.567
15,201.5,2115.248
16,201.6,908.266
17,201.7,317.997
18,201.8,90.519
19,201.9,20.96
20,202.0,3.944
21,202.1,0.602
22,202.2,0.073
23,202.3,0.007
24,202.4,0.001
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.0
31,203.1,0.0
32,203.2,0.0
33,203.3,0.0
34,203.4,0.0
35,203.5,0.0
36,203.6,0.0
37,203.7,0.0
38,203.8,0.0
39,203.9,0.0
40,204.0,0.0
41,204.1,0.0
42,204.2,0.0
43,204.3,0.0
44,204.4,0.0
45,204.5,0.0
46,204.6,0.0
47,204.7,0.0
48,204.8,0.0
49,204.9,0.0
50,205.0,0.0
51,205.1,0.0
52,205.2,0.0
53,205.3,0.0
54,205.4,0.0
55,205.5,0.0
56,205.6,0.0
57,205.7,0.0
58,205.8,0.0
59,205.9,0.0
60,206.0,0.0
61,206.1,0.0
62,206.2,0.0
63,206.3,0.0
64,206.4,0.0
65,206.5,0.0
66,206.6,0.0
67,206.7,0.0
68,206.8,0.0
69,206.9,0.0
70,207.0,0.0
71,207.1,0.0
72,207.2,0.0
73,207.3,0.0
74,207.4,0.0
75,207.5,0.0
76,207.6,0.0
77,207.7,0.0
78,207.8,0.0
79,207.9,0.0
80,208.0,0.0
81,208.1,0.0
82,208.2,0.0
83,208.3,0.0
84,208.4,0.0
85,208.5,0.001
86,208.6,0.013
87,208.7,0.114
88,208.8,0.848
89,208.9,5.457
90,209.0,29.33
91,209.1,141.679
92,209.2,697.068
93,209.3,3712.667
94,209.4,21207.985
95,209.5,116818.692
96,209.6,562736.606
97,209.7,2289270.222
98,209.8,7737188.871
99,209.9,21673227.122
100,210.0,50170000.0
101,210.1,95991886.967
102,210.2,151803412.195
103,210.3,198252001.586
104,210.4,214118964.959
105,210.5,191303141.164
106,210.6,142894255.676
107,210.7,93936696.915
108,210.8,68640430.899
109,210.9,82858107.062
110,211.0,142799999.999
111,211.1,239708352.177
112,211.2,343479189.523
113,211.3,409684261.823
114,211.4,404856611.273
115,211.5,331449747.207
116,211.6,224674024.205
117,211.7,126175185.927
118,211.8,58653816.873
119,211.9,22581577.816
120,212.0,7202000.0
121,212.1,1901696.202
122,212.2,413937.284
123,212.3,75233.563
124,212.4,11262.427
125,212.5,1408.24
126,212.6,140.27
127,212.7,12.12
128,212.8,1.036
129,212.9,0.03
130,213.0,0.003
131,213.1,0.001
132,213.2,0.0
133,213.3,0.0
134,213.4,0.0
135,213.5,0.0
136,213.6,0.001
137,213.7,0.01
138,213.8,0.128
139,213.9,1.411
140,214.0,12.65
141,214.1,93.952
142,214.2,583.822
143,214.3,3022.378
144,214.4,13012.208
145,214.5,46721.885
146,214.6,139824.848
147,214.7,348294.007
148,214.8,722975.396
149,214.9,1250465.423
150,215.0,1801000.0
151,215.1,2161594.635
152,215.2,2161043.605
153,215.3,1801179.092
154,215.4,1250548.982
155,215.5,722977.797
156,215.6,348404.591
157,215.7,139764.764
158,215.8,46735.232
159,215.9,13021.993
160,216.0,3024.0
161,216.1,584.943
162,216.2,92.919
163,216.3,12.611
164,216.4,1.409
165,216.5,0.132
166,216.6,0.01
167,216.7,0.001
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.003
183,218.3,0.035
184,218.4,0.474
185,218.5,5.779
186,218.6,55.607
187,218.7,454.06
188,218.8,3081.58
189,218.9,17916.1
190,219.0,86440.0
191,219.1,350139.455
192,219.2,1191578.749
193,219.3,3407486.156
194,219.4,8190058.416
195,219.5,16550379.454
196,219.6,28143456.132
197,219.7,40372995.968
198,219.8,48954426.476
199,219.9,50419014.694
200,220.0,44400000.0
201,220.1,33871996.33
202,220.2,23167736.453
203,220.3,16020467.07
204,220.4,15066267.895
205,220.5,22239412.832
206,220.6,38172027.734
207,220.7,60344065.577
208,220.8,81897793.516
209,220.9,93928200.812
210,221.0,90700000.0
211,221.1,73683978.9
212,221.2,50351700.392
213,221.3,28930365.577
214,221.4,13987255.721
215,221.5,5682078.809
216,221.6,1941823.746
217,221.7,558517.562
218,221.8,134825.474
219,221.9,27437.042
220,222.0,4699.0
221,222.1,675.204
222,222.2,79.886
223,222.3,8.284
224,222.4,0.714
225,222.5,0.053
226,222.6,0.02
227,222.7,0.129
228,222.8,0.818
229,222.9,4.457
230,223.0,20.34
231,223.1,78.379
232,223.2,255.114
233,223.3,701.992
234,223.4,1631.634
235,223.5,3203.002
236,223.6,5311.546
237,223.7,7441.877
238,223.8,8808.244
239,223.9,8808.461
240,224.0,7442.0
241,224.1,5311.249
242,224.2,3203.368
243,224.3,1631.67
244,224.4,701.959
245,224.5,255.124
246,224.6,78.307
247,224.7,20.324
248,224.8,4.452
249,224.9,0.832
250,225.0,0.228
251,225.1,1.03
252,225.2,9.135
253,225.3,67.48
254,225.4,425.359
255,225.5,2292.777
256,225.6,10445.508
257,225.7,40384.988
258,225.8,132272.822
259,225.9,367419.643
260,226.0,865500.0
261,226.1,1728532.313
262,226.2,2929683.738
263,226.3,4209126.921
264,226.4,5128158.694
265,226.5,5300816.233
266,226.6,4648999.182
267,226.7,3469985.378
268,226.8,2249321.318
269,226.9,1428080.605
270,227.0,1360000.0
271,227.1,2451947.822
272,227.2,5284780.326
273,227.3,10437218.675
274,227.4,17964484.294
275,227.5,26869618.877
276,227.6,35210226.165
277,227.7,40942791.972
278,227.8,42950611.186
279,227.9,41378467.998
280,228.0,37010000.0
281,228.1,30688970.46
282,228.2,23280363.449
283,228.3,15849305.071
284,228.4,9513530.733
285,228.5,4965938.498
286,228.6,2233762.401
287,228.7,861022.562
288,228.8,283282.077
289,228.9,79769.92
290,229.0,20550.0
291,229.1,11627.753
292,229.2,34003.532
293,229.3,122650.83
294,229.4,385103.787
295,229.5,1038344.006
296,229.6,2408509.315
297,229.7,4832554.461
298,229.8,8444320.551
299,229.9,12982696.56
300,230.0,17810000.0
301,230.1,22158636.21
302,230.2,25455956.521
303,230.3,27472500.779
304,230.4,28113819.244
305,230.5,27253099.442
306,230.6,24741120.348
307,230.7,20652584.84
308,230.8,15554494.587
309,230.9,10379890.94
310,231.0,6064000.0
311,231.1,3073108.435
312,231.2,1342888.233
313,231.3,503943.431
314,231.4,161954.915
315,231.5,44493.791
316,231.6,10442.29
317,231.7,2099.741
318,231.8,360.122
319,231.9,54.023
320,232.0,18.55
321,232.1,74.368
322,232.2,388.947
323,232.3,1761.365
324,232.4,6824.639
325,232.5,22699.77
326,232.6,64831.505
327,232.7,158954.972
328,232.8,335619.535
329,232.9,611147.028
330,233.0,964100.0
331,233.1,1325504.161
332,233.2,1602068.884
333,233.3,1728099.933
334,233.4,1707471.641
335,233.5,1609239.117
336,233.6,1530834.794
337,233.7,1534293.969
338,233.8,1603439.897
339,233.9,1655990.165
340,234.0,1605000.0
341,234.1,1439846.281
342,234.2,1253770.1
343,234.3,1199954.967
344,234.4,1390085.975
345,234.5,1808954.844
346,234.6,2298442.733
347,234.7,2622815.897
348,234.8,2605318.45
349,234.9,2231131.464
350,235.0,1641000.0
351,235.1,1036102.937
352,235.2,560874.769
353,235.3,260569.345
354,235.4,103769.905
355,235.5,35473.61
356,235.6,10394.4
357,235.7,2616.919
358,235.8,564.296
359,235.9,104.394
360,236.0,16.63
361,236.1,2.384
362,236.2,1.32
363,236.3,7.622
364,236.4,46.989
365,236.5,252.265
366,236.6,1163.044
367,236.7,4615.504
368,236.8,15750.927
369,236.9,46314.932
370,237.0,117200.0
371,237.1,255287.594
372,237.2,478808.429
373,237.3,772951.804
374,237.4,1074437.321
375,237.5,1286967.857
376,237.6,1329323.84
377,237.7,1191622.402
378,237.8,948095.831
379,237.9,726676.537
380,238.0,652100.0
381,238.1,801801.509
382,238.2,1175184.826
383,238.3,1677928.611
384,238.4,2135333.52
385,238.5,2362723.618
386,238.6,2258499.786
387,238.7,1861970.403
388,238.8,1323416.933
389,238.9,813864.347
390,239.0,443300.0
391,239.1,250950.225
392,239.2,253052.292
393,239.3,505251.784
394,239.4,1130931.845
395,239.5,2274549.639
396,239.6,3970347.634
397,239.7,5988022.729
398,239.8,7797777.997
399,239.9,8770198.346
400,240.0,8516000.0
401,240.1,7140836.911
402,240.2,5170326.392
403,240.3,3232129.707
404,240.4,1746012.793
405,240.5,816541.577
406,240.6,340246.918
407,240.7,156274.062
408,240.8,154866.573
409,240.9,306145.605
410,241.0,636600.0
411,241.1,1177011.173
412,241.2,1903556.697
413,241.3,2704909.497
414,241.4,3421389.439
415,241.5,3941251.761
416,241.6,4284322.706
417,241.7,4592187.747
418,241.8,5025459.239
419,241.9,5673536.147
420,242.0,6516000.0
421,242.1,7453982.634
422,242.2,8341071.207
423,242.3,8992322.876
424,242.4,9220113.706
425,242.5,8903054.96
426,242.6,8063289.57
427,242.7,6871465.248
428,242.8,5552563.346
429,242.9,4285206.116
430,243.0,3163000.0
431,243.1,2271298.874
432,243.2,1796880.786
433,243.3,2206304.329
434,243.4,4482020.209
435,243.5,10322652.542
436,243.6,21926204.632
437,243.7,40902388.573
438,243.8,66342620.921
439,243.9,93435379.143
440,244.0,114300000.0
441,244.1,121281932.626
442,244.2,112069176.423
443,244.3,90693846.41
444,244.4,66086736.273
445,244.5,47827853.88
446,244.6,42853499.179
447,244.7,54008619.519
448,244.8,79423145.782
449,244.9,112198565.595
450,245.0,141299999.999
451,245.1,155654666.834
452,245.2,149126667.515
453,245.3,124194541.678
454,245.4,89885891.17
455,245.5,56511155.292
456,245.6,30867432.74
457,245.7,14646384.734
458,245.8,6036767.796
459,245.9,2162734.604
460,246.0,673100.0
461,246.1,181986.828
462,246.2,42539.632
463,246.3,8707.989
464,246.4,1540.743
465,246.5,237.858
466,246.6,31.312
467,246.7,3.678
468,246.8,0.393
469,246.9,0.03
470,247.0,0.003
471,247.1,0.0
472,247.2,0.0
473,247.3,0.0
474,247.4,0.0
475,247.5,0.0
476,247.6,0.0
477,247.7,0.0
478,247.8,0.0
479,247.9,0.0
480,248.0,0.0
481,248.1,0.0
482,248.2,0.0
483,248.3,0.0
484,248.4,0.0
485,248.5,0.0
486,248.6,0.0
487,248.7,0.0
