,wavelength,intensity
0,200.0,46460000.0
1,200.1,49374967.387
2,200.2,52050000.0
3,200.3,54303083.753
4,200.4,56183887.305
5,200.5,57800000.0
6,200.6,59250447.408
7,200.7,60600000.0
8,200.8,61896147.587
9,200.9,63151512.454
10,201.0,64370000.0
11,201.1,65541520.035
12,201.2,66600000.0
13,201.3,67461925.854
14,201.4,68030000.0
15,201.5,68211861.273
16,201.6,67948677.793
17,201.7,67190000.0
18,201.8,65902332.931
19,201.9,64120000.0
20,202.0,61907223.144
21,202.1,59380000.0
22,202.2,56674639.967
23,202.3,53956923.777
24,202.4,51400000.0
25,202.5,49171876.709
26,202.6,47420000.0
27,202.7,46265382.685
28,202.8,45743866.403
29,202.9,45870000.0
30,203.0,46636655.796
31,203.1,47950000.0
32,203.2,49685183.248
33,203.3,51680000.0
34,203.4,53765616.58
35,203.5,55784042.955
36,203.6,57580000.0
37,203.7,59011534.891
38,203.8,59990000.0
39,203.9,60453019.554
40,204.0,60390000.0
41,204.1,59818544.202
42,204.2,58817258.475
43,204.3,57480000.0
44,204.4,55904001.765
45,204.5,54200000.0
46,204.6,52473547.712
47,204.7,50795961.769
48,204.8,49230000.0
49,204.9,47825422.699
50,205.0,46580000.0
51,205.1,45476540.899
52,205.2,44490000.0
53,205.3,43594042.509
54,205.4,42765030.437
55,205.5,41980000.0
56,205.6,41220983.8
57,205.7,40490000.0
58,205.8,39792752.466
59,205.9,39129702.321
60,206.0,38500000.0
61,206.1,37899390.868
62,206.2,37310000.0
63,206.3,36708078.266
64,206.4,36060000.0
65,206.5,35332341.588
66,206.6,34502364.152
67,206.7,33550000.0
68,206.8,32462951.341
69,206.9,31260000.0
70,207.0,29972373.181
71,207.1,28650000.0
72,207.2,27348579.559
73,207.3,26128189.006
74,207.4,25050000.0
75,207.5,24170820.042
76,207.6,23530000.0
77,207.7,23154468.568
78,207.8,23038922.367
79,207.9,23170000.0
80,208.0,23529517.423
81,208.1,24080000.0
82,208.2,24778566.51
83,208.3,25580000.0
84,208.4,26449110.933
85,208.5,27393155.189
86,208.6,28430000.0
87,208.7,29592067.571
88,208.8,30970000.0
89,208.9,32675963.393
90,209.0,34850000.0
91,209.1,37641318.814
92,209.2,41207919.643
93,209.3,45710000.0
94,209.4,51297583.73
95,209.5,58080000.0
96,209.6,66130559.901
97,209.7,75419196.886
98,209.8,85890000.0
99,209.9,97467750.687
100,210.0,110000000.0
101,210.1,123284870.352
102,210.2,137000000.0
103,210.3,150792827.758
104,210.4,164310478.826
105,210.5,177200000.0
106,210.6,189085583.096
107,210.7,199500000.0
108,210.8,207985929.743
109,210.9,214217099.857
110,211.0,217900000.0
111,211.1,218772751.204
112,211.2,216700000.0
113,211.3,211627636.546
114,211.4,203700000.0
115,211.5,193158265.256
116,211.6,180432501.148
117,211.7,166000000.0
118,211.8,150360059.649
119,211.9,134100000.0
120,212.0,117809543.415
121,212.1,102000000.0
122,212.2,87121820.534
123,212.3,73460430.721
124,212.4,61260000.0
125,212.5,50714861.11
126,212.6,41820000.0
127,212.7,34501729.78
128,212.8,28611018.983
129,212.9,23980000.0
130,213.0,20435109.342
131,213.1,17780000.0
132,213.2,15822509.871
133,213.3,14410000.0
134,213.4,13411757.766
135,213.5,12745252.73
136,213.6,12340000.0
137,213.7,12135350.698
138,213.8,12110000.0
139,213.9,12254814.198
140,214.0,12570000.0
141,214.1,13057610.14
142,214.2,13717741.029
143,214.3,14550000.0
144,214.4,15555327.946
145,214.5,16740000.0
146,214.6,18113618.643
147,214.7,19693761.504
148,214.8,21500000.0
149,214.9,23558274.352
150,215.0,25920000.0
151,215.1,28643593.418
152,215.2,31790000.0
153,215.3,35412950.147
154,215.4,39534785.38
155,215.5,44170000.0
156,215.6,49317020.232
157,215.7,54910000.0
158,215.8,60848671.264
159,215.9,66959350.426
160,216.0,73050000.0
161,216.1,78919449.945
162,216.2,84330000.0
163,216.3,89040183.703
164,216.4,92830000.0
165,216.5,95510336.505
166,216.6,96994170.103
167,216.7,97220000.0
168,216.8,96154869.711
169,216.9,93880000.0
170,217.0,90518893.117
171,217.1,86250000.0
172,217.2,81270750.08
173,217.3,75799538.07
174,217.4,70060000.0
175,217.5,64271960.677
176,217.6,58640000.0
177,217.7,53352728.251
178,217.8,48550122.143
179,217.9,44360000.0
180,218.0,40899120.031
181,218.1,38240000.0
182,218.2,36438738.764
183,218.3,35530000.0
184,218.4,35532645.355
185,218.5,36423763.532
186,218.6,38170000.0
187,218.7,40727449.017
188,218.8,44010000.0
189,218.9,47918021.069
190,219.0,52340000.0
191,219.1,57160533.711
192,219.2,62260536.027
193,219.3,67520000.0
194,219.4,72825508.042
195,219.5,78090000.0
196,219.6,83243276.508
197,219.7,88256223.915
198,219.8,93110000.0
199,219.9,97790178.876
200,220.0,102300000.0
201,220.1,106654720.145
202,220.2,110900000.0
203,220.3,115077552.546
204,220.4,119182896.027
205,220.5,123200000.0
206,220.6,127112163.067
207,220.7,130900000.0
208,220.8,134535417.87
209,220.9,137958176.758
210,221.0,141100000.0
211,221.1,143896644.32
212,221.2,146300000.0
213,221.3,148259673.195
214,221.4,149700000.0
215,221.5,150543255.001
216,221.6,150728736.799
217,221.7,150200000.0
218,221.8,148916338.081
219,221.9,146900000.0
220,222.0,144186317.753
221,222.1,140800000.0
222,222.2,136780663.938
223,222.3,132238184.252
224,222.4,127300000.0
225,222.5,122100265.987
226,222.6,116800000.0
227,222.7,111564219.074
228,222.8,106547074.233
229,222.9,101900000.0
230,223.0,97764205.717
231,223.1,94240000.0
232,223.2,91410380.283
233,223.3,89330000.0
234,223.4,88037909.173
235,223.5,87539088.182
236,223.6,87830000.0
237,223.7,88898748.354
238,223.8,90700000.0
239,223.9,93178157.05
