,wavelength,intensity
0,200.0,0.0
1,200.1,0.0
2,200.2,0.004
3,200.3,0.302
4,200.4,12.93
5,200.5,338.3
6,200.6,5396.0
7,200.7,52520.0
8,200.8,312100.0
9,200.9,1134000.0
10,201.0,2529000.0
11,201.1,3490000.0
12,201.2,3041000.0
13,201.3,1737000.0
14,201.4,690600.0
15,201.5,201400.0
16,201.6,43060.0
17,201.7,6399.0
18,201.8,623.4
19,201.9,38.33
20,202.0,1.459
21,202.1,0.034
22,202.2,0.0
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.0
31,203.1,0.0
32,203.2,0.0
33,203.3,0.0
34,203.4,0.0
35,203.5,0.0
36,203.6,0.0
37,203.7,0.0
38,203.8,0.0
39,203.9,0.0
40,204.0,0.0
41,204.1,0.0
42,204.2,0.0
43,204.3,0.0
44,204.4,0.0
45,204.5,0.0
46,204.6,0.0
47,204.7,0.0
48,204.8,0.0
49,204.9,0.0
50,205.0,0.0
51,205.1,0.0
52,205.2,0.0
53,205.3,0.0
54,205.4,0.0
55,205.5,0.028
56,205.6,2.272
57,205.7,116.9
58,205.8,3759.0
59,205.9,75650.0
60,206.0,952500.0
61,206.1,7502000.0
62,206.2,36970000.0
63,206.3,114000000.0
64,206.4,220600000.0
65,206.5,271100000.0
66,206.6,227100000.0
67,206.7,170100000.0
68,206.8,160400000.0
69,206.9,150600000.0
70,207.0,100700000.0
71,207.1,43200000.0
72,207.2,11660000.0
73,207.3,1974000.0
74,207.4,209500.0
75,207.5,13930.0
76,207.6,580.6
77,207.7,15.16
78,207.8,0.248
79,207.9,0.003
80,208.0,0.0
81,208.1,0.0
82,208.2,0.0
83,208.3,0.0
84,208.4,0.0
85,208.5,0.0
86,208.6,0.0
87,208.7,0.0
88,208.8,0.0
89,208.9,0.0
90,209.0,0.0
91,209.1,0.0
92,209.2,0.0
93,209.3,0.0
94,209.4,0.013
95,209.5,0.929
96,209.6,41.35
97,209.7,1171.0
98,209.8,21110.0
99,209.9,242100.0
100,210.0,1768000.0
101,210.1,8215000.0
102,210.2,24300000.0
103,210.3,45740000.0
104,210.4,54800000.0
105,210.5,41790000.0
106,210.6,20280000.0
107,210.7,6275000.0
108,210.8,1380000.0
109,210.9,1501000.0
110,211.0,7809000.0
111,211.1,28890000.0
112,211.2,68540000.0
113,211.3,104300000.0
114,211.4,102100000.0
115,211.5,65780000.0
116,211.6,30970000.0
117,211.7,14820000.0
118,211.8,9850000.0
119,211.9,8963000.0
120,212.0,10880000.0
121,212.1,12480000.0
122,212.2,10180000.0
123,212.3,5439000.0
124,212.4,1870000.0
125,212.5,412400.0
126,212.6,58310.0
127,212.7,5287.0
128,212.8,307.3
129,212.9,11.45
130,213.0,0.274
131,213.1,0.004
132,213.2,0.0
133,213.3,0.0
134,213.4,0.0
135,213.5,0.0
136,213.6,0.0
137,213.7,0.0
138,213.8,0.0
139,213.9,0.0
140,214.0,0.0
141,214.1,0.0
142,214.2,0.002
143,214.3,0.094
144,214.4,2.992
145,214.5,61.6
146,214.6,823.1
147,214.7,7140.0
148,214.8,40200.0
149,214.9,147000.0
150,215.0,348700.0
151,215.1,537200.0
152,215.2,537200.0
153,215.3,348700.0
154,215.4,147000.0
155,215.5,40200.0
156,215.6,7140.0
157,215.7,823.1
158,215.8,61.6
159,215.9,2.992
160,216.0,0.094
161,216.1,0.002
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
