,wavelength,intensity
0,200.0,4773000.0
1,200.1,9573000.0
2,200.2,17997199.516
3,200.3,32110000.0
4,200.4,53710000.0
5,200.5,84670323.874
6,200.6,125300000.0
7,200.7,174900000.0
8,200.8,229958195.529
9,200.9,284500000.0
10,201.0,332000000.0
11,201.1,365800000.0
12,201.2,381181414.831
13,201.3,378600000.0
14,201.4,361000000.0
15,201.5,336341918.241
16,201.6,314000000.0
17,201.7,303100000.0
18,201.8,310330817.905
19,201.9,337000000.0
20,202.0,381800000.0
21,202.1,438000000.0
22,202.2,497188610.779
23,202.3,550400000.0
24,202.4,589000000.0
25,202.5,607045134.563
26,202.6,602500000.0
27,202.7,575000000.0
28,202.8,527835974.955
29,202.9,466800000.0
30,203.0,398200000.0
31,203.1,328700000.0
32,203.2,264351853.334
33,203.3,208600000.0
34,203.4,163700000.0
35,203.5,129459154.845
36,203.6,104000000.0
37,203.7,85100000.0
38,203.8,70471296.769
39,203.9,58450000.0
40,204.0,47770000.0
41,204.1,38100000.0
42,204.2,29476635.291
43,204.3,22100000.0
44,204.4,16180000.0
45,204.5,11801379.811
46,204.6,8914000.0
47,204.7,7435000.0
48,204.8,7306876.784
49,204.9,8650000.0
50,205.0,11670000.0
51,205.1,16750000.0
52,205.2,24347731.296
53,205.3,34770000.0
54,205.4,48220000.0
55,205.5,64574504.879
56,205.6,83320000.0
57,205.7,103800000.0
58,205.8,125102094.331
59,205.9,146200000.0
60,206.0,166000000.0
61,206.1,183200000.0
62,206.2,196462153.281
63,206.3,204400000.0
64,206.4,205700000.0
65,206.5,199607903.863
66,206.6,186300000.0
67,206.7,166500000.0
68,206.8,142272856.598
69,206.9,116000000.0
70,207.0,90070000.0
71,207.1,66760000.0
72,207.2,47530765.498
73,207.3,32930000.0
74,207.4,23160000.0
75,207.5,17771952.077
76,207.6,16070000.0
77,207.7,17310000.0
78,207.8,20643241.692
79,207.9,25190000.0
80,208.0,30060000.0
81,208.1,34340000.0
82,208.2,37241319.047
83,208.3,38300000.0
84,208.4,37230000.0
85,208.5,34208256.729
86,208.6,29760000.0
87,208.7,24510000.0
88,208.8,19194160.248
89,208.9,14430000.0
90,209.0,10760000.0
91,209.1,8587000.0
92,209.2,8330266.43
93,209.3,10550000.0
94,209.4,15920000.0
95,209.5,25397407.257
96,209.6,39880000.0
97,209.7,60170000.0
98,209.8,86532921.052
99,209.9,118000000.0
100,210.0,153100000.0
101,210.1,189400000.0
102,210.2,224056677.486
103,210.3,255300000.0
104,210.4,282100000.0
105,210.5,305458755.384
106,210.6,327900000.0
107,210.7,352200000.0
108,210.8,380341530.963
109,210.9,411400000.0
110,211.0,443000000.0
111,211.1,469600000.0
112,211.2,484491659.655
113,211.3,483000000.0
114,211.4,461800000.0
115,211.5,421504467.944
116,211.6,366800000.0
117,211.7,303700000.0
118,211.8,239690093.47
119,211.9,180600000.0
120,212.0,131100000.0
121,212.1,93100000.0
122,212.2,66443515.323
123,212.3,49410000.0
124,212.4,39830000.0
125,212.5,35179463.709
126,212.6,33440000.0
127,212.7,32890000.0
128,212.8,32470672.173
129,212.9,31700000.0
130,213.0,30290000.0
131,213.1,28290000.0
132,213.2,25838723.313
133,213.3,23100000.0
134,213.4,20230000.0
135,213.5,17329743.606
136,213.6,14490000.0
137,213.7,11800000.0
138,213.8,9338052.576
139,213.9,7176000.0
140,214.0,5378000.0
141,214.1,3978000.0
142,214.2,2981021.913
143,214.3,2355000.0
144,214.4,2053000.0
145,214.5,2003182.256
146,214.6,2131000.0
147,214.7,2362000.0
148,214.8,2623053.062
149,214.9,2859000.0
150,215.0,3024000.0
151,215.1,3093000.0
152,215.2,3059273.045
153,215.3,2936000.0
154,215.4,2744000.0
155,215.5,2514787.006
156,215.6,2274000.0
157,215.7,2044000.0
158,215.8,1842800.551
159,215.9,1686000.0
160,216.0,1591000.0
161,216.1,1586000.0
162,216.2,1716742.892
163,216.3,2058000.0
164,216.4,2699000.0
165,216.5,3760220.199
166,216.6,5371000.0
167,216.7,7659000.0
168,216.8,10717295.189
169,216.9,14530000.0
170,217.0,19030000.0
171,217.1,24030000.0
172,217.2,29231112.437
173,217.3,34320000.0
174,217.4,38990000.0
175,217.5,42992464.482
