,wavelength,intensity
0,200.0,28280000.0
1,200.1,38330000.0
2,200.2,48989745.398
3,200.3,59220000.0
4,200.4,67650000.0
5,200.5,73310000.0
6,200.6,75750000.0
7,200.7,75288645.851
8,200.8,73110000.0
9,200.9,70630000.0
10,201.0,69380000.0
11,201.1,70354669.105
12,201.2,73310000.0
13,201.3,77460000.0
14,201.4,81080000.0
15,201.5,82490000.0
16,201.6,80552755.263
17,201.7,75440000.0
18,201.8,67870000.0
19,201.9,59450000.0
20,202.0,51709602.458
21,202.1,45380000.0
22,202.2,40770000.0
23,202.3,37270000.0
24,202.4,34040000.0
25,202.5,30352034.798
26,202.6,26010000.0
27,202.7,21070000.0
28,202.8,16030000.0
29,202.9,11390000.0
30,203.0,7553681.363
31,203.1,4642000.0
32,203.2,2657000.0
33,203.3,1412000.0
34,203.4,692990.736
35,203.5,319800.0
36,203.6,136100.0
37,203.7,53840.0
38,203.8,19860.0
39,203.9,6592.196
40,204.0,3395.0
41,204.1,4523.0
42,204.2,11360.0
43,204.3,29045.11
44,204.4,74770.0
45,204.5,174100.0
46,204.6,378300.0
47,204.7,767600.0
48,204.8,1454067.691
49,204.9,2577000.0
50,205.0,4271000.0
51,205.1,6623000.0
52,205.2,9632911.278
53,205.3,13100000.0
54,205.4,16740000.0
55,205.5,20120000.0
56,205.6,22760000.0
57,205.7,24318862.078
58,205.8,24740000.0
59,205.9,24110000.0
60,206.0,22840000.0
61,206.1,21455757.489
62,206.2,20390000.0
63,206.3,19980000.0
64,206.4,20260000.0
65,206.5,21040000.0
66,206.6,21980472.613
67,206.7,22780000.0
68,206.8,23220000.0
69,206.9,23360000.0
70,207.0,23429326.231
71,207.1,23790000.0
72,207.2,24800000.0
73,207.3,26630000.0
74,207.4,29140000.0
75,207.5,31890302.118
76,207.6,34190000.0
77,207.7,35330000.0
78,207.8,34790000.0
79,207.9,32390000.0
80,208.0,28383582.344
81,208.1,23400000.0
82,208.2,18150000.0
83,208.3,13340000.0
84,208.4,9486053.994
85,208.5,6763000.0
86,208.6,5214000.0
87,208.7,4672000.0
88,208.8,4930000.0
89,208.9,5811614.352
90,209.0,7334000.0
91,209.1,9648000.0
92,209.2,13280000.0
93,209.3,19142349.201
94,209.4,28750000.0
95,209.5,43880000.0
96,209.6,66700000.0
97,209.7,99080000.0
98,209.8,142023080.573
99,209.9,194000000.0
100,210.0,252100000.0
101,210.1,310200000.0
102,210.2,361181427.091
103,210.3,399700000.0
104,210.4,422300000.0
105,210.5,431600000.0
106,210.6,434400000.0
107,210.7,440621195.779
108,210.8,457600000.0
109,210.9,490000000.0
110,211.0,534200000.0
111,211.1,580093377.95
112,211.2,614700000.0
113,211.3,625600000.0
114,211.4,605800000.0
115,211.5,555900000.0
116,211.6,483072559.19
117,211.7,398700000.001
118,211.8,314400000.001
119,211.9,239100000.0
120,212.0,178026407.26
121,212.1,131700000.0
122,212.2,99090000.0
123,212.3,77340000.0
124,212.4,63960000.0
125,212.5,57194554.917
126,212.6,56550000.0
127,212.7,62030000.0
128,212.8,74410000.0
129,212.9,94590000.0
130,213.0,123258482.292
131,213.1,160600000.0
132,213.2,206400000.0
133,213.3,259400000.0
134,213.4,318084069.369
135,213.5,380000000.0
136,213.6,442100000.0
137,213.7,500000000.0
138,213.8,548800000.0
139,213.9,582647893.082
140,214.0,596800000.0
141,214.1,587600000.0
142,214.2,554800000.0
143,214.3,501663277.777
144,214.4,435000000.001
145,214.5,362600000.001
146,214.6,292700000.001
147,214.7,231700000.0
148,214.8,183338413.116
149,214.9,147400000.0
150,215.0,122300000.0
151,215.1,104600000.0
152,215.2,90731256.489
153,215.3,78430000.0
154,215.4,66120000.0
155,215.5,53730000.0
156,215.6,41850000.0
157,215.7,31307892.967
158,215.8,22630000.0
159,215.9,16130000.0
160,216.0,11620000.0
161,216.1,8697142.009
162,216.2,6890000.0
163,216.3,5744000.0
164,216.4,4940000.0
165,216.5,4288000.0
166,216.6,3710427.696
167,216.7,3203000.0
168,216.8,2777000.0
169,216.9,2448000.0
170,217.0,2212108.844
171,217.1,2045000.0
172,217.2,1917000.0
173,217.3,1799000.0
174,217.4,1686000.0
175,217.5,1597868.828
176,217.6,1604000.0
177,217.7,1795000.0
178,217.8,2299000.0
