,wavelength,intensity
0,200.0,759400.0
1,200.1,1049979.602
2,200.2,1234735.737
3,200.3,1234570.722
4,200.4,1050017.583
5,200.5,759460.474
6,200.6,467011.663
7,200.7,244300.0
8,200.8,108657.568
9,200.9,41079.536
10,201.0,13192.417
11,201.1,3604.994
12,201.2,836.362
13,201.3,165.232
14,201.4,27.99
15,201.5,4.041
16,201.6,0.48
17,201.7,0.053
18,201.8,0.003
19,201.9,0.0
20,202.0,0.002
21,202.1,0.008
22,202.2,0.13
23,202.3,1.798
24,202.4,15.535
25,202.5,141.068
26,202.6,991.769
27,202.7,6160.548
28,202.8,32214.87
29,202.9,144734.307
30,203.0,557134.204
31,203.1,1837782.187
32,203.2,5197082.363
33,203.3,12611577.922
34,203.4,26272566.271
35,203.5,47122311.583
36,203.6,72920000.0
37,203.7,97664579.982
38,203.8,113678236.326
39,203.9,115659200.565
40,204.0,103336738.272
41,204.1,81473510.607
42,204.2,56943548.567
43,204.3,35330000.0
44,204.4,19440201.66
45,204.5,9461388.604
46,204.6,4046385.04
47,204.7,1515152.346
48,204.8,494128.042
49,204.9,139517.786
50,205.0,34080.0
51,205.1,7167.864
52,205.2,1295.743
53,205.3,196.402
54,205.4,26.83
55,205.5,2.843
56,205.6,0.305
57,205.7,0.025
58,205.8,0.001
59,205.9,0.001
60,206.0,0.012
61,206.1,0.084
62,206.2,1.074
63,206.3,8.735
64,206.4,66.96
65,206.5,432.554
66,206.6,2394.94
67,206.7,11550.65
68,206.8,47544.092
69,206.9,168864.376
70,207.0,515036.683
71,207.1,1351468.56
72,207.2,3048283.051
73,207.3,5915446.69
74,207.4,9873584.156
75,207.5,14177083.53
76,207.6,17521549.151
77,207.7,18689179.55
78,207.8,17329885.632
79,207.9,14332801.89
80,208.0,11411036.737
81,208.1,10230963.357
82,208.2,11590998.222
83,208.3,15046655.047
84,208.4,19138904.442
85,208.5,22051001.525
86,208.6,22540000.0
87,208.7,20562655.161
88,208.8,17027650.768
89,208.9,13098452.637
90,209.0,9619443.989
91,209.1,6993675.252
92,209.2,5496880.439
93,209.3,5515000.0
94,209.4,7546324.297
95,209.5,12170708.467
96,209.6,20443652.003
97,209.7,35222432.875
98,209.8,62824809.036
99,209.9,113046894.02
100,210.0,194399999.999
101,210.1,304829589.676
102,210.2,423862509.573
103,210.3,515132586.754
104,210.4,544379979.854
105,210.5,501259437.599
106,210.6,409585550.61
107,210.7,317700000.0
108,210.8,278644890.596
109,210.9,329713828.898
110,211.0,478593958.218
111,211.1,694171094.725
112,211.2,908502175.278
113,211.3,1040243474.59
114,211.4,1034000000.001
115,211.5,890154857.258
116,211.6,664895508.34
117,211.7,432193960.627
118,211.8,246838574.544
119,211.9,126643056.917
120,212.0,61411225.272
121,212.1,30518885.525
122,212.2,16588526.102
123,212.3,9654175.208
124,212.4,5544626.087
125,212.5,2950469.253
126,212.6,1457550.3
127,212.7,817267.965
128,212.8,855897.877
129,212.9,1520273.412
130,213.0,2828828.3
131,213.1,4704793.246
132,213.2,6811755.308
133,213.3,8557658.956
134,213.4,9321548.878
135,213.5,8805239.5
136,213.6,7211000.0
137,213.7,5120538.976
138,213.8,3152609.662
139,213.9,1682546.982
140,214.0,779064.96
141,214.1,314888.296
142,214.2,118441.546
143,214.3,67270.0
144,214.4,114567.963
145,214.5,285112.595
146,214.6,657775.497
147,214.7,1327041.649
148,214.8,2325368.447
149,214.9,3543051.315
150,215.0,4692000.0
151,215.1,5398391.059
152,215.2,5398926.699
153,215.3,4691687.8
154,215.4,3543907.884
155,215.5,2325770.336
156,215.6,1326086.401
157,215.7,657400.0
158,215.8,283142.43
159,215.9,106004.678
160,216.0,34400.966
161,216.1,9720.34
162,216.2,2382.955
163,216.3,508.224
164,216.4,94.82
165,216.5,15.377
166,216.6,2.123
167,216.7,0.269
168,216.8,0.024
169,216.9,0.003
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.001
180,218.0,0.008
181,218.1,0.152
182,218.2,1.219
183,218.3,11.729
184,218.4,85.869
185,218.5,570.309
186,218.6,3260.0
187,218.7,16289.869
188,218.8,71557.69
189,218.9,275110.261
190,219.0,924207.985
191,219.1,2716539.823
192,219.2,6974963.202
193,219.3,15670000.0
194,219.4,30812449.541
195,219.5,53072242.035
196,219.6,80116791.564
197,219.7,106161419.294
198,219.8,123685964.712
199,219.9,127104107.693
200,220.0,115900000.0
201,220.1,95234361.417
202,220.2,73525903.561
203,220.3,59819564.46
204,220.4,61318862.4
205,220.5,81902432.362
206,220.6,120242917.459
207,220.7,168099999.999
208,220.8,211125088.8
209,220.9,234082460.576
210,221.0,227672920.016
211,221.1,193982510.124
212,221.2,144760222.882
213,221.3,94536168.211
214,221.4,54040000.0
215,221.5,27035748.23
216,221.6,11843491.624
217,221.7,4541329.847
218,221.8,1522911.264
219,221.9,451307.604
220,222.0,133335.201
221,222.1,95940.519
222,222.2,238545.542
223,222.3,684660.039
224,222.4,1762993.305
225,222.5,4000490.622
226,222.6,7998607.579
227,222.7,14103096.6
228,222.8,21943592.829
229,222.9,30183311.585
230,223.0,36701523.731
231,223.1,39536273.691
