,wavelength,intensity
0,200.0,5984000.0
1,200.1,6239150.941
2,200.2,4298311.774
3,200.3,1959259.288
4,200.4,589611.5
5,200.5,117378.217
6,200.6,15460.0
7,200.7,1346.884
8,200.8,78.854
9,200.9,3.224
10,201.0,0.095
11,201.1,0.001
12,201.2,0.0
13,201.3,0.0
14,201.4,0.0
15,201.5,0.0
16,201.6,0.0
17,201.7,0.0
18,201.8,0.0
19,201.9,0.0
20,202.0,0.0
21,202.1,0.0
22,202.2,0.0
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.0
31,203.1,0.0
32,203.2,0.0
33,203.3,0.0
34,203.4,0.0
35,203.5,0.0
36,203.6,0.0
37,203.7,0.0
38,203.8,0.0
39,203.9,0.0
40,204.0,0.001
41,204.1,0.001
42,204.2,0.002
43,204.3,0.002
44,204.4,0.001
45,204.5,0.0
46,204.6,0.237
47,204.7,37.958
48,204.8,1415.596
49,204.9,31603.654
50,205.0,458600.0
51,205.1,4441140.727
52,205.2,29130341.323
53,205.3,129196343.713
54,205.4,386822095.352
55,205.5,782713655.938
56,205.6,1071000000.0
57,205.7,994322189.611
58,205.8,644803236.294
59,205.9,371255221.109
60,206.0,389253794.703
61,206.1,626699999.999
62,206.2,820007381.43
63,206.3,787106264.513
64,206.4,643029027.487
65,206.5,588564322.412
66,206.6,590567791.158
67,206.7,491700000.001
68,206.8,292604511.18
69,206.9,119530402.293
70,207.0,33192078.131
71,207.1,6259763.965
72,207.2,800900.0
73,207.3,68733.483
74,207.4,3893.419
75,207.5,140.051
76,207.6,2.538
77,207.7,0.0
78,207.8,0.001
79,207.9,0.001
80,208.0,0.0
81,208.1,0.0
82,208.2,0.0
83,208.3,0.0
84,208.4,0.0
85,208.5,0.0
86,208.6,0.0
87,208.7,0.0
88,208.8,0.0
89,208.9,0.0
90,209.0,0.0
91,209.1,0.002
92,209.2,0.029
93,209.3,0.378
94,209.4,9.792
95,209.5,314.172
96,209.6,7394.655
97,209.7,119667.812
98,209.8,1327257.621
99,209.9,10067181.777
100,210.0,52270000.0
101,210.1,186534941.913
102,210.2,457968913.154
103,210.3,773048710.925
104,210.4,897843386.118
105,210.5,717373902.504
106,210.6,394300000.002
107,210.7,149849810.528
108,210.8,46178488.927
109,210.9,52996365.205
110,211.0,198131183.935
111,211.1,583899999.997
112,211.2,1194216220.615
113,211.3,1688191139.289
114,211.4,1650916354.687
115,211.5,1116199145.749
116,211.6,522225043.355
117,211.7,169000000.001
118,211.8,37873991.939
119,211.9,5873982.267
120,212.0,633113.127
121,212.1,47484.853
122,212.2,2426.0
123,212.3,75.623
124,212.4,0.433
125,212.5,0.0
126,212.6,0.0
127,212.7,0.0
128,212.8,0.0
129,212.9,0.0
130,213.0,0.0
131,213.1,0.0
132,213.2,0.0
133,213.3,0.0
134,213.4,0.0
135,213.5,0.0
136,213.6,0.0
137,213.7,0.0
138,213.8,0.0
139,213.9,0.0
140,214.0,0.001
141,214.1,0.036
142,214.2,0.991
143,214.3,22.947
144,214.4,395.9
145,214.5,4830.872
146,214.6,41352.338
147,214.7,247880.578
148,214.8,1038100.105
149,214.9,3036308.009
150,215.0,6210000.0
151,215.1,8881552.383
152,215.2,8879841.206
153,215.3,6210861.781
154,215.4,3037001.95
155,215.5,1037686.159
156,215.6,248100.0
157,215.7,41453.298
158,215.8,4848.692
159,215.9,399.285
160,216.0,23.139
161,216.1,0.904
162,216.2,0.017
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,1.005
189,218.9,38.64
190,219.0,858.501
191,219.1,13168.457
192,219.2,144155.754
193,219.3,1126306.426
194,219.4,6250000.0
195,219.5,24628499.75
196,219.6,68957399.984
197,219.7,137412646.154
198,219.8,195778614.766
199,219.9,201771313.345
200,220.0,154600000.001
201,220.1,93464324.157
202,220.2,48499075.051
203,220.3,23086501.23
204,220.4,12491391.612
205,220.5,20163619.119
206,220.6,63339999.999
207,220.7,162072725.983
208,220.8,298376158.537
209,220.9,391361317.74
210,221.0,365754045.713
211,221.1,243400000.002
212,221.2,115389292.031
213,221.3,38961355.821
214,221.4,9362781.813
215,221.5,1600264.147
216,221.6,195215.466
217,221.7,17010.0
218,221.8,1065.064
219,221.9,49.881
220,222.0,1.883
221,222.1,0.059
222,222.2,0.001
223,222.3,0.0
224,222.4,0.0
225,222.5,0.0
226,222.6,0.0
227,222.7,0.0
228,222.8,0.0
229,222.9,0.0
230,223.0,0.0
231,223.1,0.0
232,223.2,0.0
233,223.3,0.0
234,223.4,0.0
235,223.5,0.0
236,223.6,0.0
237,223.7,0.0
238,223.8,0.0
239,223.9,0.0
240,224.0,0.0
241,224.1,0.0
242,224.2,0.0
243,224.3,0.0
244,224.4,0.0
245,224.5,0.0
246,224.6,0.0
247,224.7,0.0
248,224.8,0.0
249,224.9,0.0
250,225.0,0.0
251,225.1,0.0
252,225.2,0.0
253,225.3,0.0
254,225.4,0.0
255,225.5,0.0
256,225.6,0.0
257,225.7,0.0
258,225.8,0.0
259,225.9,0.0
260,226.0,0.0
261,226.1,0.0
262,226.2,0.0
263,226.3,0.0
264,226.4,0.0
265,226.5,0.069
266,226.6,3.11
267,226.7,74.81
268,226.8,1216.698
269,226.9,14184.95
270,227.0,120530.987
271,227.1,745350.677
272,227.2,3348000.0
273,227.3,10923246.146
274,227.4,25912307.375
275,227.5,44604381.221
276,227.6,55782653.817
277,227.7,50689646.888
278,227.8,33450000.0
279,227.9,16036490.637
280,228.0,5584347.071
281,228.1,1412561.644
282,228.2,259610.187
283,228.3,34640.0
284,228.4,3325.329
285,228.5,227.817
286,228.6,11.006
287,228.7,0.359
288,228.8,0.007
289,228.9,0.0
290,229.0,0.0
291,229.1,0.0
292,229.2,0.0
293,229.3,0.0
294,229.4,0.0
295,229.5,0.0
296,229.6,0.0
297,229.7,0.0
298,229.8,0.0
299,229.9,0.0
300,230.0,0.0
301,230.1,0.0
302,230.2,0.0
303,230.3,0.0
304,230.4,0.0
305,230.5,0.0
306,230.6,0.0
307,230.7,0.0
308,230.8,0.0
309,230.9,0.0
310,231.0,0.0
311,231.1,0.001
312,231.2,0.001
313,231.3,0.001
314,231.4,0.001
315,231.5,0.0
316,231.6,0.0
317,231.7,0.0
318,231.8,0.0
319,231.9,0.0
320,232.0,0.0
321,232.1,0.0
322,232.2,0.0
323,232.3,0.0
324,232.4,0.0
325,232.5,0.0
326,232.6,0.0
327,232.7,0.0
328,232.8,0.0
329,232.9,0.0
330,233.0,0.0
331,233.1,0.0
332,233.2,0.0
333,233.3,0.0
334,233.4,0.0
335,233.5,0.0
336,233.6,0.0
337,233.7,0.0
338,233.8,0.0
339,233.9,0.0
340,234.0,0.0
341,234.1,0.0
342,234.2,0.0
343,234.3,0.0
344,234.4,0.01
345,234.5,0.225
346,234.6,3.844
347,234.7,49.024
348,234.8,464.28
349,234.9,3247.989
350,235.0,16800.0
351,235.1,64415.061
352,235.2,183194.447
353,235.3,386522.32
354,235.4,604826.017
355,235.5,702207.091
356,235.6,604900.0
357,235.7,386538.041
358,235.8,183475.272
359,235.9,67086.635
360,236.0,33132.013
361,236.1,78530.0
362,236.2,263545.613
363,236.3,702111.341
364,236.4,1440952.846
365,236.5,2296385.861
366,236.6,2861570.472
367,236.7,2805000.0
368,236.8,2163190.5
369,236.9,1308443.448
370,237.0,619751.397
371,237.1,241718.461
372,237.2,124600.0
373,237.3,176654.101
374,237.4,322957.737
375,237.5,470107.224
376,237.6,513444.726
377,237.7,421304.239
378,237.8,277000.0
379,237.9,230547.337
380,238.0,469810.108
381,238.1,1214978.439
382,238.2,2538913.086
383,238.3,4059000.0
384,238.4,5014144.031
385,238.5,4922750.37
386,238.6,4035414.295
387,238.7,2987377.275
388,238.8,2221627.666
389,238.9,1789000.0
390,239.0,1477709.692
391,239.1,1094171.212
392,239.2,671058.93
393,239.3,424908.443
394,239.4,757600.0
395,239.5,2621409.54
396,239.6,7747754.754
397,239.7,17326983.007
398,239.8,29078759.672
399,239.9,36596134.776
400,240.0,34550000.0
401,240.1,24471938.148
402,240.2,12992717.875
403,240.3,5192741.764
404,240.4,1638817.26
405,240.5,728779.347
406,240.6,1230000.0
407,240.7,2705415.757
408,240.8,4670866.749
409,240.9,6077723.847
410,241.0,5948156.646
411,241.1,4376000.0
412,241.2,2421841.625
413,241.3,1007253.368
414,241.4,314979.86
415,241.5,74060.141
416,241.6,13087.517
417,241.7,1742.0
418,241.8,174.547
419,241.9,13.265
420,242.0,0.772
421,242.1,0.034
422,242.2,0.001
423,242.3,0.0
424,242.4,0.0
425,242.5,0.0
426,242.6,0.0
427,242.7,0.0
428,242.8,0.0
429,242.9,0.0
430,243.0,0.0
431,243.1,0.0
432,243.2,0.0
433,243.3,0.0
434,243.4,0.0
435,243.5,0.0
436,243.6,0.0
437,243.7,0.0
438,243.8,0.0
439,243.9,0.0
440,244.0,0.0
441,244.1,0.0
442,244.2,0.0
443,244.3,0.0
444,244.4,0.0
445,244.5,0.0
446,244.6,0.0
447,244.7,0.0
448,244.8,0.0
449,244.9,0.0
450,245.0,0.0
451,245.1,0.0
452,245.2,0.0
453,245.3,0.0
454,245.4,0.0
455,245.5,0.0
456,245.6,0.0
457,245.7,0.0
458,245.8,0.0
459,245.9,0.0
460,246.0,0.0
461,246.1,0.0
462,246.2,0.0
463,246.3,0.0
464,246.4,0.0
465,246.5,0.0
466,246.6,0.0
467,246.7,0.0
468,246.8,0.004
469,246.9,0.093
470,247.0,1.488
471,247.1,18.537
472,247.2,177.7
473,247.3,1302.527
474,247.4,7299.41
475,247.5,31270.402
476,247.6,102323.574
477,247.7,255643.626
478,247.8,487800.0
479,247.9,711250.237
480,248.0,792078.551
481,248.1,673918.107
482,248.2,438039.342
483,248.3,217500.0
484,248.4,82507.504
485,248.5,24165.283
486,248.6,7489.605
487,248.7,14468.549
488,248.8,64077.319
489,248.9,231300.0
490,249.0,645565.491
491,249.1,1404136.464
492,249.2,2429980.536
493,249.3,3488367.792
494,249.4,4437000.0
495,249.5,5305647.947
496,249.6,5978726.098
497,249.7,6036702.331
498,249.8,5254883.959
499,249.9,4059096.666
500,250.0,3218000.0
501,250.1,3230571.706
502,250.2,4105073.851
503,250.3,5424649.51
504,250.4,6475799.749
505,250.5,6612765.637
506,250.6,5789000.0
507,250.7,4623491.892
508,250.8,3752467.637
509,250.9,3227910.253
510,251.0,2718970.956
511,251.1,2103000.0
512,251.2,1594637.347
513,251.3,1368752.541
514,251.4,1304979.136
515,251.5,1157432.177
516,251.6,844276.32
517,251.7,483300.0
518,251.8,214137.95
519,251.9,73280.583
520,252.0,20921.653
521,252.1,15533.145
522,252.2,61780.0
523,252.3,247974.878
524,252.4,775752.085
525,252.5,1872875.093
526,252.6,3487659.959
527,252.7,5012593.733
528,252.8,5561000.0
529,252.9,4759643.741
530,253.0,3144068.78
531,253.1,1602583.904
532,253.2,630650.799
533,253.3,193600.0
534,253.4,55767.561
535,253.5,49783.298
536,253.6,123770.938
537,253.7,279146.161
538,253.8,491381.331
539,253.9,672200.0
540,254.0,723842.142
541,254.1,647681.329
542,254.2,570162.334
543,254.3,628500.227
544,254.4,829400.0
545,254.5,1040868.459
546,254.6,1148970.395
547,254.7,1210970.235
548,254.8,1385805.985
549,254.9,1687692.273
550,255.0,1888000.0
551,255.1,1743280.842
552,255.2,1273413.403
553,255.3,726031.025
554,255.4,323220.49
555,255.5,123357.059
556,255.6,89330.0
557,255.7,218136.287
558,255.8,583161.895
559,255.9,1241472.688
560,256.0,2056879.033
561,256.1,2647000.0
562,256.2,2647394.887
563,256.3,2056402.411
564,256.4,1242653.527
565,256.5,585721.772
566,256.6,232446.336
567,256.7,151600.0
568,256.8,333122.205
569,256.9,873076.053
570,257.0,1844974.913
571,257.1,3045244.023
572,257.2,3922000.0
573,257.3,3971091.347
574,257.4,3262247.256
575,257.5,2442003.696
576,257.6,2147674.276
577,257.7,2479274.627
578,257.8,2992000.0
579,257.9,3135346.854
580,258.0,2701567.229
581,258.1,1930220.114
582,258.2,1238063.808
583,258.3,888600.0
584,258.4,871742.663
585,258.5,1013476.778
586,258.6,1170926.141
587,258.7,1349509.234
588,258.8,1680860.051
589,258.9,2340000.0
590,259.0,3439726.574
591,259.1,4800236.08
592,259.2,5797252.592
593,259.3,5736877.058
594,259.4,4529000.0
595,259.5,2819080.685
596,259.6,1376487.465
597,259.7,527230.29
598,259.8,163932.133
599,259.9,64775.49
600,260.0,97320.0
601,260.1,230168.292
602,260.2,454156.633
603,260.3,704674.71
604,260.4,856616.359
605,260.5,815831.776
606,260.6,608600.0
607,260.7,355705.645
608,260.8,162802.737
609,260.9,58387.711
610,261.0,16430.169
611,261.1,3844.0
612,261.2,2103.878
613,261.3,7461.316
614,261.4,29079.461
615,261.5,91067.624
616,261.6,228965.147
617,261.7,468400.0
618,261.8,798015.683
619,261.9,1170940.674
620,262.0,1542411.582
621,262.1,1895211.635
622,262.2,2214000.0
623,262.3,2451790.243
624,262.4,2559108.352
625,262.5,2531325.766
626,262.6,2385422.299
627,262.7,2136949.274
628,262.8,1812000.0
629,262.9,1472279.975
630,263.0,1166116.794
631,263.1,885956.727
632,263.2,610243.769
633,263.3,358900.0
634,263.4,173077.473
635,263.5,66963.709
636,263.6,20569.143
637,263.7,4990.618
638,263.8,955.947
639,263.9,144.3
640,264.0,17.174
641,264.1,1.708
642,264.2,1.936
643,264.3,28.892
644,264.4,371.2
645,264.5,3791.202
646,264.6,30694.555
647,264.7,196827.065
648,264.8,998437.721
649,264.9,3999812.462
650,265.0,12660000.0
651,265.1,31690092.441
652,265.2,62812669.282
653,265.3,98957885.848
654,265.4,125443419.83
655,265.5,132374486.13
656,265.6,126800000.0
657,265.7,125976069.581
658,265.8,136560118.32
659,265.9,145870293.924
660,266.0,136651807.502
661,266.1,108500000.001
662,266.2,81791252.15
663,266.3,82941460.456
664,266.4,127569243.469
665,266.5,209163841.931
666,266.6,299315182.202
667,266.7,363499999.998
668,266.8,387728449.632
669,266.9,388713431.357
670,267.0,396864017.371
671,267.1,427289231.191
672,267.2,461799999.999
673,267.3,459147370.346
674,267.4,393052506.821
675,267.5,279371490.102
676,267.6,162126149.377
677,267.7,76540485.834
678,267.8,29830000.001
679,267.9,10270291.474
680,268.0,3795674.843
681,268.1,1886109.618
682,268.2,1146311.44
683,268.3,673700.0
684,268.4,344087.848
685,268.5,155869.486
686,268.6,92776.541
687,268.7,137725.712
688,268.8,285415.144
689,268.9,512400.0
690,269.0,738977.962
691,269.1,852135.843
692,269.2,794644.189
693,269.3,627839.194
694,269.4,484700.0
695,269.5,459910.313
696,269.6,552228.692
697,269.7,716222.532
698,269.8,972593.753
699,269.9,1451551.138
700,270.0,2274000.0
701,270.1,3333103.383
702,270.2,4219284.788
703,270.3,4460888.415
704,270.4,3894115.01
705,270.5,2798776.703
706,270.6,1657000.0
707,270.7,808960.522
708,270.8,325666.696
709,270.9,108672.319
710,271.0,33847.074
711,271.1,25840.0
712,271.2,67457.088
713,271.3,182069.507
714,271.4,398925.992
715,271.5,698856.353
716,271.6,978370.717
717,271.7,1095000.0
718,271.8,978832.084
719,271.9,702646.66
720,272.0,420680.44
721,272.1,281130.718
722,272.2,427200.0
723,272.3,1070164.739
724,272.4,2455534.66
725,272.5,4578590.668
726,272.6,6863998.86
727,272.7,8319126.375
728,272.8,8328000.0
729,272.9,7317227.849
730,273.0,6406106.763
731,273.1,6300802.933
732,273.2,6694587.919
733,273.3,6826000.0
734,273.4,6511770.654
735,273.5,6607426.43
736,273.6,8716618.047
737,273.7,14667777.382
738,273.8,25572328.722
739,273.9,40019999.999
740,274.0,53027996.501
741,274.1,58726429.968
742,274.2,55638869.11
743,274.3,48433461.771
744,274.4,42930000.0
745,274.5,40263901.302
746,274.6,36891057.73
747,274.7,29898948.083
748,274.8,20332781.795
749,274.9,11615646.546
750,275.0,6204000.0
751,275.1,4210046.528
752,275.2,4323815.636
753,275.3,5083504.258
754,275.4,5631387.094
755,275.5,5864997.178
756,275.6,6052000.0
757,275.7,6241805.137
758,275.8,6155684.962
759,275.9,5646963.355
760,276.0,5044270.408
761,276.1,4847000.0
762,276.2,5201238.063
763,276.3,5779293.768
764,276.4,6101556.893
765,276.5,5906620.34
766,276.6,5373568.625
767,276.7,5097000.0
768,276.8,5666121.699
769,276.9,7038506.057
770,277.0,8332715.893
771,277.1,8456788.575
772,277.2,7055000.0
773,277.3,4778287.189
774,277.4,2642731.942
775,277.5,1308224.62
776,277.6,987507.896
777,277.7,1808274.867
778,277.8,4010000.0
779,277.9,7578902.746
780,278.0,11649688.228
781,278.1,14557803.817
782,278.2,15125501.714
783,278.3,14210000.0
784,278.4,14945187.889
785,278.5,20907205.396
786,278.6,33086778.813
787,278.7,47629236.818
788,278.8,57158544.026
789,278.9,55830000.0
790,279.0,44145737.88
791,279.1,28220118.168
792,279.2,14583052.418
793,279.3,6088790.582
794,279.4,2055000.0
795,279.5,560115.043
796,279.6,123288.998
797,279.7,21904.882
798,279.8,3149.8
799,279.9,366.766
800,280.0,34.62
801,280.1,2.618
802,280.2,0.157
803,280.3,0.007
804,280.4,0.0
805,280.5,0.0
806,280.6,0.0
807,280.7,0.0
808,280.8,0.011
809,280.9,0.218
810,281.0,3.611
811,281.1,49.82
812,281.2,563.706
813,281.3,5200.782
814,281.4,39094.395
815,281.5,238938.56
816,281.6,1185229.412
817,281.7,4773000.0
818,281.8,15607082.881
819,281.9,41431076.967
820,282.0,89384674.895
821,282.1,156658992.236
822,282.2,222999999.997
823,282.3,257885486.885
824,282.4,242285411.628
825,282.5,184976329.177
826,282.6,114701728.527
827,282.7,57924912.157
828,282.8,24570000.001
829,282.9,12664476.899
830,283.0,22427326.135
831,283.1,70290025.033
832,283.2,195565377.023
833,283.3,445599999.985
834,283.4,827613090.296
835,283.5,1254080191.83
836,283.6,1553401717.978
837,283.7,1587139022.72
838,283.8,1361284461.424
839,283.9,1025000000.016
840,284.0,743866874.752
841,284.1,592391888.37
842,284.2,548857800.484
843,284.3,546889024.602
844,284.4,524200000.002
845,284.5,456428078.379
846,284.6,370094282.043
847,284.7,323690790.37
848,284.8,361394537.866
849,284.9,473979670.198
850,285.0,596499999.995
851,285.1,649800689.232
852,285.2,595990488.616
853,285.3,462329366.006
854,285.4,314913717.368
855,285.5,210078689.441
856,285.6,166300000.001
857,285.7,169853823.715
858,285.8,201420820.313
859,285.9,255046135.519
860,286.0,334271869.068
861,286.1,432899999.995
862,286.2,524066651.486
863,286.3,578981028.67
864,286.4,597539442.068
865,286.5,612729619.642
866,286.6,653348805.52
867,286.7,707199999.998
868,286.8,728620842.938
869,286.9,685170103.98
870,287.0,585434068.432
871,287.1,462720368.712
872,287.2,345100000.005
873,287.3,245828678.04
874,287.4,168978341.703
875,287.5,115142710.219
876,287.6,83447525.759
877,287.7,71645119.089
878,287.8,76609999.999
879,287.9,92233247.147
880,288.0,108824411.844
881,288.1,115989892.016
882,288.2,107520102.802
883,288.3,85000000.001
884,288.4,57004703.384
885,288.5,32926917.949
886,288.6,17846578.702
887,288.7,11451259.443
888,288.8,10542737.533
889,288.9,11710000.0
890,289.0,12699112.588
891,289.1,12807376.235
892,289.2,12554243.972
893,289.3,13149286.214
894,289.4,16250000.0
895,289.5,24247457.664
896,289.6,39587455.59
897,289.7,61986413.809
898,289.8,85446188.17
899,289.9,99617505.026
900,290.0,96610000.001
901,290.1,77462598.367
902,290.2,51371692.363
903,290.3,28492203.459
904,290.4,13840048.015
905,290.5,6878769.458
906,290.6,4664000.0
907,290.7,4690774.311
908,290.8,5686078.912
909,290.9,7089207.264
910,291.0,8393321.399
911,291.1,8978000.0
912,291.2,8404011.855
913,291.3,6756003.22
914,291.4,4636626.92
915,291.5,2829366.168
916,291.6,2061772.904
917,291.7,3173000.0
918,291.8,7488016.732
919,291.9,16573525.322
920,292.0,30760059.24
921,292.1,47100448.426
922,292.2,59440000.0
923,292.3,61811894.822
924,292.4,53026709.69
925,292.5,37798378.251
926,292.6,23250843.908
927,292.7,14676684.738
928,292.8,13860000.0
929,292.9,19952169.947
930,293.0,30661155.062
931,293.1,43587485.951
932,293.2,57881811.279
933,293.3,74389999.999
934,293.4,92683118.603
935,293.5,107477026.924
936,293.6,110676210.112
937,293.7,97418276.523
938,293.8,72022103.188
939,293.9,44280000.001
940,294.0,22540391.057
941,294.1,9485625.016
942,294.2,3295039.834
943,294.3,945120.525
944,294.4,225100.0
945,294.5,53259.57
946,294.6,57274.133
947,294.7,217691.131
948,294.8,773697.317
949,294.9,2282586.94
950,295.0,5568000.0
951,295.1,11238507.013
952,295.2,18754249.066
953,295.3,25900965.482
954,295.4,29573962.584
955,295.5,27938663.097
956,295.6,21830000.0
957,295.7,14112320.931
958,295.8,7562101.402
959,295.9,3423541.491
960,296.0,1576206.172
961,296.1,1564000.0
962,296.2,3427557.444
963,296.3,7768220.038
964,296.4,15059629.109
965,296.5,24720787.619
966,296.6,35212101.132
967,296.7,46179999.999
968,296.8,61252705.916
969,296.9,87753559.483
970,297.0,130397680.166
971,297.1,182428939.075
972,297.2,224299999.998
973,297.3,234854331.477
974,297.4,208748669.276
975,297.5,161478605.902
976,297.6,119645193.384
977,297.7,103753145.609
978,297.8,118099999.999
979,297.9,150392161.562
980,298.0,179605475.496
981,298.1,190324999.927
982,298.2,183634359.737
983,298.3,175300000.0
984,298.4,180703437.283
985,298.5,201062184.846
986,298.6,224025160.196
987,298.7,237271768.337
988,298.8,237255402.897
989,298.9,225800000.001
990,299.0,203370158.637
991,299.1,169981826.151
992,299.2,130598723.602
993,299.3,95410201.476
994,299.4,73030000.001
995,299.5,65121947.304
996,299.6,67098424.152
997,299.7,72923134.482
998,299.8,78759379.638
999,299.9,83173095.239
1000,300.0,85190000.0
1001,300.1,83396554.72
1002,300.2,77410060.517
1003,300.3,70118001.672
1004,300.4,67098805.643
1005,300.5,72503685.935
1006,300.6,84879999.999
1007,300.7,97145218.607
1008,300.8,101213543.679
1009,300.9,93382823.418
1010,301.0,76293642.588
1011,301.1,56260000.001
1012,301.2,39239651.949
1013,301.3,28212252.46
1014,301.4,22720781.923
1015,301.5,20454611.085
1016,301.6,19387240.439
1017,301.7,19480000.0
1018,301.8,22783658.524
1019,301.9,31578201.822
1020,302.0,45695687.338
1021,302.1,61072148.739
1022,302.2,71270000.0
1023,302.3,71592744.868
1024,302.4,62128838.782
1025,302.5,47335358.292
1026,302.6,32839383.675
1027,302.7,22511074.016
1028,302.8,17600000.0
1029,302.9,17082475.203
1030,303.0,18647956.191
1031,303.1,19844873.221
1032,303.2,19316091.29
1033,303.3,17330000.0
1034,303.4,15116209.693
1035,303.5,13743534.217
1036,303.6,13387376.334
1037,303.7,13516439.668
1038,303.8,13464748.512
1039,303.9,12940000.0
1040,304.0,11993060.322
1041,304.1,10693412.25
1042,304.2,9001445.963
1043,304.3,6912722.718
1044,304.4,4690000.0
1045,304.5,2746527.814
1046,304.6,1375760.657
1047,304.7,619863.694
1048,304.8,373428.71
1049,304.9,584675.392
1050,305.0,1360000.0
1051,305.1,2888048.204
1052,305.2,5183088.298
1053,305.3,7794808.258
1054,305.4,9815586.668
1055,305.5,10352820.121
1056,305.6,9145000.0
1057,305.7,6762758.678
1058,305.8,4188244.889
1059,305.9,2171939.493
1060,306.0,942744.732
1061,306.1,342900.0
1062,306.2,104402.262
1063,306.3,26595.993
1064,306.4,5670.642
1065,306.5,1012.745
