,wavelength,intensity
0,200.0,594900000.0
1,200.1,538300000.0
2,200.2,295500000.0
3,200.3,98400000.0
4,200.4,19880000.0
5,200.5,2436000.0
6,200.6,181100.0
7,200.7,8230.0
8,200.8,1517.0
9,200.9,16050.0
10,201.0,122400.0
11,201.1,583900.0
12,201.2,1839000.0
13,201.3,4358000.0
14,201.4,9089000.0
15,201.5,16250000.0
16,201.6,21070000.0
17,201.7,17730000.0
18,201.8,9290000.0
19,201.9,2993000.0
20,202.0,634800.0
21,202.1,561900.0
22,202.2,3491000.0
23,202.3,16310000.0
24,202.4,49940000.0
25,202.5,98760000.0
26,202.6,124500000.0
27,202.7,98880000.0
28,202.8,49370000.0
29,202.9,16180000.0
30,203.0,5345000.0
31,203.1,4538000.0
32,203.2,7120000.0
33,203.3,23870000.0
34,203.4,96350000.0
35,203.5,276500000.0
36,203.6,527400000.0
37,203.7,676900000.0
38,203.8,590900000.0
39,203.9,349100000.001
40,204.0,140100000.0
41,204.1,58380000.0
42,204.2,105100000.0
43,204.3,259700000.0
44,204.4,418100000.0
45,204.5,418100000.0
46,204.6,259200000.0
47,204.7,99770000.0
48,204.8,24070000.0
49,204.9,3857000.0
50,205.0,724000.0
51,205.1,2377000.0
52,205.2,15880000.0
53,205.3,68590000.0
54,205.4,184800000.0
55,205.5,310500000.0
56,205.6,325100000.0
57,205.7,212100000.0
58,205.8,86220000.0
59,205.9,21860000.0
60,206.0,3584000.0
61,206.1,805700.0
62,206.2,1013000.0
63,206.3,1336000.0
64,206.4,1204000.0
65,206.5,921100.0
66,206.6,873100.0
67,206.7,879000.0
68,206.8,679300.0
69,206.9,422600.0
70,207.0,297500.0
71,207.1,235900.0
72,207.2,146200.0
73,207.3,60010.0
74,207.4,20860.0
75,207.5,52950.0
76,207.6,292900.0
77,207.7,1069000.0
78,207.8,2457000.0
79,207.9,3558000.0
80,208.0,3244000.0
81,208.1,1864000.0
82,208.2,688600.0
83,208.3,231400.0
84,208.4,294100.0
85,208.5,756900.0
86,208.6,1890000.0
87,208.7,4008000.0
88,208.8,6186000.0
89,208.9,6341000.0
90,209.0,4186000.0
91,209.1,1832000.0
92,209.2,785100.0
93,209.3,815100.0
94,209.4,1080000.0
95,209.5,1053000.0
96,209.6,985300.0
97,209.7,1592000.0
98,209.8,3239000.0
99,209.9,8244000.0
100,210.0,36740000.0
101,210.1,159199999.999
102,210.2,471599999.998
103,210.3,905599999.998
104,210.4,1131000000.0
105,210.5,935300000.002
106,210.6,526700000.002
107,210.7,209400000.001
108,210.8,64500000.0
109,210.9,49930000.0
110,211.0,201699999.998
111,211.1,691399999.996
112,211.2,1550999999.994
113,211.3,2252999999.998
114,211.4,2118000000.004
115,211.5,1287000000.006
116,211.6,507600000.004
117,211.7,135400000.001
118,211.8,31410000.0
119,211.9,13550000.0
120,212.0,23270000.0
121,212.1,76149999.999
122,212.2,191899999.999
123,212.3,324299999.999
124,212.4,388700000.0
125,212.5,391600000.0
126,212.6,390400000.0
127,212.7,349600000.001
128,212.8,231600000.001
129,212.9,103100000.001
130,213.0,30370000.0
131,213.1,8323000.0
132,213.2,20370000.0
133,213.3,115299999.999
134,213.4,455299999.996
135,213.5,1178999999.993
136,213.6,1981999999.995
137,213.7,2157000000.002
138,213.8,1517000000.007
139,213.9,689100000.006
140,214.0,202000000.002
141,214.1,38230000.001
142,214.2,4683000.0
143,214.3,463000.0
144,214.4,579700.0
145,214.5,3456000.0
146,214.6,18440000.0
147,214.7,70729999.999
148,214.8,181499999.999
149,214.9,305499999.999
150,215.0,336700000.0
151,215.1,244600000.001
152,215.2,119500000.001
153,215.3,40870000.0
154,215.4,10530000.0
155,215.5,2206000.0
156,215.6,383800.0
157,215.7,64050.0
158,215.8,89470.0
159,215.9,380600.0
160,216.0,1151000.0
161,216.1,2600000.0
162,216.2,5802000.0
163,216.3,15230000.0
164,216.4,36160000.0
165,216.5,61410000.0
166,216.6,69440000.0
167,216.7,51470000.0
168,216.8,24930000.0
169,216.9,7883000.0
170,217.0,1633000.0
171,217.1,267300.0
172,217.2,303100.0
173,217.3,1118000.0
174,217.4,3119000.0
175,217.5,7975000.0
176,217.6,26620000.0
177,217.7,95329999.999
178,217.8,260299999.998
179,217.9,485399999.998
180,218.0,609400000.0
181,218.1,523300000.002
182,218.2,321200000.002
183,218.3,152100000.001
184,218.4,59760000.001
185,218.5,19940000.0
186,218.6,9993000.0
187,218.7,26990000.0
188,218.8,88009999.999
189,218.9,210999999.998
190,219.0,400699999.998
191,219.1,669299999.997
192,219.2,967199999.997
193,219.3,1079000000.001
194,219.4,850800000.004
195,219.5,469900000.004
196,219.6,226800000.001
197,219.7,188300000.0
198,219.8,232600000.0
199,219.9,232200000.0
200,220.0,167000000.001
201,220.1,93490000.001
202,220.2,46740000.0
203,220.3,21570000.0
204,220.4,9425000.0
205,220.5,12730000.0
206,220.6,51549999.999
207,220.7,166399999.998
208,220.8,369399999.997
209,220.9,572699999.998
210,221.0,638500000.0
211,221.1,526600000.002
212,221.2,325100000.002
213,221.3,149400000.002
214,221.4,55710000.001
215,221.5,44870000.0
216,221.6,121899999.998
217,221.7,299599999.997
218,221.8,504699999.998
219,221.9,569300000.001
220,222.0,428300000.003
221,222.1,214900000.002
222,222.2,72450000.001
223,222.3,19250000.0
224,222.4,13000000.0
225,222.5,24910000.0
226,222.6,45610000.0
227,222.7,79099999.999
228,222.8,132699999.999
229,222.9,184700000.0
230,223.0,187000000.0
231,223.1,130700000.001
232,223.2,62500000.001
233,223.3,20690000.0
234,223.4,4920000.0
235,223.5,898900.0
236,223.6,151800.0
237,223.7,261100.0
238,223.8,2447000.0
239,223.9,16480000.0
240,224.0,74619999.999
241,224.1,227199999.997
242,224.2,466299999.997
243,224.3,652399999.999
244,224.4,661600000.001
245,224.5,617600000.0
246,224.6,750199999.997
247,224.7,1001999999.997
248,224.8,1045000000.002
249,224.9,757000000.006
250,225.0,371400000.005
251,225.1,123000000.002
252,225.2,27570000.001
253,225.3,4329000.0
254,225.4,781600.0
255,225.5,585300.0
256,225.6,600400.0
257,225.7,437400.0
258,225.8,216700.0
259,225.9,82310.0
260,226.0,82190.0
261,226.1,285200.0
262,226.2,834500.0
263,226.3,1705000.0
264,226.4,2432000.0
265,226.5,2456000.0
266,226.6,1791000.0
267,226.7,966300.0
268,226.8,393200.0
269,226.9,124000.0
270,227.0,74190.0
271,227.1,451300.0
272,227.2,2951000.0
273,227.3,13490000.0
274,227.4,42829999.999
275,227.5,94549999.999
276,227.6,145299999.999
277,227.7,155600000.0
278,227.8,115900000.001
279,227.9,60000000.001
280,228.0,21620000.0
281,228.1,5439000.0
282,228.2,969800.0
283,228.3,149700.0
284,228.4,127100.0
285,228.5,350100.0
