,wavelength,intensity
0,200.0,17.1
1,200.1,579.5
2,200.2,11960.0
3,200.3,150200.0
4,200.4,1149000.0
5,200.5,5348000.0
6,200.6,15160000.0
7,200.7,26170000.0
8,200.8,27500000.0
9,200.9,17620000.0
10,201.0,7241000.0
11,201.1,5008000.0
12,201.2,18290000.0
13,201.3,58920000.0
14,201.4,117400000.0
15,201.5,143000000.0
16,201.6,106400000.0
17,201.7,48360000.0
18,201.8,13430000.0
19,201.9,2281000.0
20,202.0,242600.0
21,202.1,106800.0
22,202.2,862900.0
23,202.3,5141000.0
24,202.4,19780000.0
25,202.5,50020000.0
26,202.6,84270000.0
27,202.7,94820000.0
28,202.8,70540000.0
29,202.9,34090000.0
30,203.0,10520000.0
31,203.1,2042000.0
32,203.2,247200.0
33,203.3,18550.0
34,203.4,878.7
35,203.5,67.13
36,203.6,61.51
37,203.7,59.13
38,203.8,40.22
39,203.9,19.77
40,204.0,15.22
41,204.1,303.7
42,204.2,6698.0
43,204.3,92210.0
44,204.4,788200.0
45,204.5,4182000.0
46,204.6,13780000.0
47,204.7,28180000.0
48,204.8,35940000.0
49,204.9,29560000.0
50,205.0,20150000.0
51,205.1,22330000.0
52,205.2,33340000.0
53,205.3,38450000.0
54,205.4,35020000.0
55,205.5,33650000.0
56,205.6,34070000.0
57,205.7,28180000.0
58,205.8,22000000.0
59,205.9,27660000.0
60,206.0,40130000.0
61,206.1,41280000.0
62,206.2,26950000.0
63,206.3,11010000.0
64,206.4,2809000.0
65,206.5,447400.0
66,206.6,44500.0
67,206.7,2763.0
68,206.8,107.1
69,206.9,2.592
70,207.0,0.039
71,207.1,0.003
72,207.2,0.045
73,207.3,0.46
74,207.4,3.018
75,207.5,12.91
76,207.6,37.48
77,207.7,79.38
78,207.8,195.6
79,207.9,2655.0
80,208.0,54680.0
81,208.1,748900.0
82,208.2,6491000.0
83,208.3,35540000.0
84,208.4,122899999.999
85,208.5,268499999.999
86,208.6,371000000.0
87,208.7,327900000.001
88,208.8,201500000.001
89,208.9,130700000.0
90,209.0,141700000.0
91,209.1,165000000.0
92,209.2,173900000.0
93,209.3,200000000.0
94,209.4,223600000.0
95,209.5,185500000.0
96,209.6,101400000.0
97,209.7,35450000.0
98,209.8,7867000.0
99,209.9,1107000.0
100,210.0,98740.0
101,210.1,5582.0
102,210.2,200.0
103,210.3,4.542
104,210.4,0.065
105,210.5,0.001
106,210.6,0.0
107,210.7,0.0
108,210.8,0.0
109,210.9,0.0
110,211.0,0.0
111,211.1,0.0
112,211.2,0.009
113,211.3,0.66
114,211.4,30.1
115,211.5,879.9
116,211.6,16500.0
117,211.7,198500.0
118,211.8,1531000.0
119,211.9,7584000.0
120,212.0,24200000.0
121,212.1,50660000.0
122,212.2,75240000.0
123,212.3,101400000.0
124,212.4,159499999.999
125,212.5,248099999.999
126,212.6,325199999.999
127,212.7,425599999.999
128,212.8,622699999.998
129,212.9,791100000.0
130,213.0,706100000.002
131,213.1,413600000.002
132,213.2,156500000.001
133,213.3,38220000.0
134,213.4,6994000.0
135,213.5,8859000.0
136,213.6,43490000.0
137,213.7,147699999.999
138,213.8,324399999.999
139,213.9,460100000.0
140,214.0,421600000.001
141,214.1,249600000.001
142,214.2,95420000.001
143,214.3,23650000.0
144,214.4,4532000.0
145,214.5,4760000.0
146,214.6,16070000.0
147,214.7,38160000.0
148,214.8,58850000.0
149,214.9,58850000.0
150,215.0,38160000.0
151,215.1,16040000.0
152,215.2,4388000.0
153,215.3,1020000.0
154,215.4,2711000.0
155,215.5,18600000.0
156,215.6,87959999.999
157,215.7,278399999.998
158,215.8,595799999.997
159,215.9,892999999.998
160,216.0,1020000000.0
