,wavelength,intensity
0,200.0,8329000000.0
1,200.1,7536000000.0
2,200.2,4137000000.0
3,200.3,1378000000.001
4,200.4,278300000.0
5,200.5,34100000.0
6,200.6,2535000.0
7,200.7,115200.0
8,200.8,21230.0
9,200.9,224700.0
10,201.0,1714000.0
11,201.1,8175000.0
12,201.2,25740000.0
13,201.3,61010000.0
14,201.4,127200000.0
15,201.5,227500000.0
16,201.6,295000000.0
17,201.7,248300000.0
18,201.8,130100000.0
19,201.9,41900000.0
20,202.0,8888000.0
21,202.1,7866000.0
22,202.2,48880000.0
23,202.3,228400000.0
24,202.4,699199999.999
25,202.5,1382999999.999
26,202.6,1742000000.0
27,202.7,1384000000.001
28,202.8,691200000.001
29,202.9,226500000.0
30,203.0,74830000.0
31,203.1,63540000.0
32,203.2,99670000.0
33,203.3,334099999.999
34,203.4,1348999999.997
35,203.5,3870999999.993
36,203.6,7382999999.993
37,203.7,9476999999.999
38,203.8,8273000000.006
39,203.9,4887000000.008
40,204.0,1961000000.005
41,204.1,817300000.0
42,204.2,1471999999.997
43,204.3,3634999999.993
44,204.4,5853999999.996
45,204.5,5854000000.004
46,204.6,3629000000.007
47,204.7,1397000000.004
48,204.8,337000000.002
49,204.9,53990000.0
50,205.0,10140000.0
51,205.1,33280000.0
52,205.2,222399999.999
53,205.3,960299999.996
54,205.4,2587999999.994
55,205.5,4346999999.996
56,205.6,4551000000.003
57,205.7,2969000000.006
58,205.8,1207000000.005
59,205.9,306100000.002
60,206.0,50180000.0
61,206.1,11280000.0
62,206.2,14190000.0
63,206.3,18710000.0
64,206.4,16850000.0
65,206.5,12890000.0
66,206.6,12220000.0
67,206.7,12310000.0
68,206.8,9510000.0
69,206.9,5916000.0
70,207.0,4165000.0
71,207.1,3303000.0
72,207.2,2047000.0
73,207.3,840100.0
74,207.4,292100.0
75,207.5,741400.0
76,207.6,4101000.0
77,207.7,14960000.0
78,207.8,34400000.0
79,207.9,49810000.0
80,208.0,45410000.0
81,208.1,26090000.0
82,208.2,9640000.0
83,208.3,3240000.0
84,208.4,4117000.0
85,208.5,10600000.0
86,208.6,26460000.0
87,208.7,56120000.0
88,208.8,86600000.0
89,208.9,88770000.0
90,209.0,58600000.0
91,209.1,25650000.0
92,209.2,10990000.0
93,209.3,11410000.0
94,209.4,15130000.0
95,209.5,14750000.0
96,209.6,13780000.0
97,209.7,21980000.0
98,209.8,39730000.0
99,209.9,51010000.0
100,210.0,44190000.0
101,210.1,43710000.0
102,210.2,139399999.999
103,210.3,512599999.997
104,210.4,1259999999.995
105,210.5,1977999999.997
106,210.6,1978000000.003
107,210.7,1262000000.005
108,210.8,536400000.003
109,210.9,305299999.999
110,211.0,780099999.994
111,211.1,2123999999.989
112,211.2,3794999999.992
113,211.3,4338000000.003
114,211.4,3172000000.011
115,211.5,1498000000.009
116,211.6,500600000.004
117,211.7,200900000.001
118,211.8,160400000.0
119,211.9,160200000.0
120,212.0,323699999.997
121,212.1,1065999999.992
122,212.2,2686999999.987
123,212.3,4539999999.989
124,212.4,5441999999.998
125,212.5,5483000000.0
126,212.6,5465000000.001
127,212.7,4894000000.008
128,212.8,3242000000.014
129,212.9,1443000000.011
130,213.0,425100000.004
131,213.1,116500000.001
132,213.2,285199999.996
133,213.3,1613999999.98
134,213.4,6374999999.943
135,213.5,16499999999.907
136,213.6,27739999999.936
137,213.7,30200000000.031
138,213.8,21240000000.096
139,213.9,9647000000.077
140,214.0,2828000000.033
141,214.1,535200000.008
142,214.2,65560000.001
143,214.3,6482000.0
144,214.4,8114000.0
145,214.5,48369999.999
146,214.6,257899999.997
147,214.7,988299999.991
148,214.8,2529999999.984
149,214.9,4236999999.989
150,215.0,4620000000.005
151,215.1,3282000000.016
152,215.2,1530000000.013
153,215.3,479400000.006
154,215.4,108300000.002
155,215.5,20190000.0
156,215.6,3474000.0
157,215.7,677700.0
158,215.8,1236000.0
159,215.9,5328000.0
160,216.0,16120000.0
161,216.1,36400000.0
162,216.2,81229999.999
163,216.3,213299999.998
164,216.4,506199999.997
165,216.5,859699999.997
166,216.6,972200000.001
167,216.7,720600000.003
168,216.8,349000000.003
169,216.9,110400000.001
170,217.0,22860000.0
171,217.1,3743000.0
172,217.2,4243000.0
173,217.3,15650000.0
174,217.4,43660000.0
175,217.5,111699999.999
176,217.6,372699999.995
177,217.7,1334999999.984
178,217.8,3643999999.969
179,217.9,6794999999.97
180,218.0,8531999999.997
181,218.1,7326000000.025
182,218.2,4496000000.029
183,218.3,2130000000.019
184,218.4,836700000.009
185,218.5,279200000.003
186,218.6,139900000.0
187,218.7,377799999.995
188,218.8,1231999999.986
189,218.9,2952999999.976
190,219.0,5609999999.966
191,219.1,9369999999.954
192,219.2,13539999999.962
193,219.3,15100000000.009
194,219.4,11860000000.057
195,219.5,6320000000.058
196,219.6,2279000000.03
197,219.7,582300000.01
198,219.8,123600000.002
199,219.9,31510000.0
200,220.0,16850000.0
201,220.1,16110000.0
202,220.2,13530000.0
203,220.3,7864000.0
204,220.4,3209000.0
205,220.5,3225000.0
206,220.6,23259999.999
207,220.7,145299999.997
208,220.8,606399999.991
209,220.9,1681999999.984
210,221.0,3101999999.985
211,221.1,3803000000.0
212,221.2,3102000000.015
213,221.3,1700000000.016
214,221.4,710100000.007
215,221.5,619799999.995
216,221.6,1705999999.978
