,wavelength,intensity
0,200.0,3412000.0
1,200.1,5408814.483
2,200.2,6815223.679
3,200.3,6814695.494
4,200.4,5411560.366
5,200.5,3411831.791
6,200.6,1708509.084
7,200.7,679413.939
8,200.8,214322.886
9,200.9,53653.95
10,201.0,10679.662
11,201.1,1690.0
12,201.2,213.238
13,201.3,20.643
14,201.4,1.672
15,201.5,0.103
16,201.6,0.005
17,201.7,0.0
18,201.8,0.0
19,201.9,0.0
20,202.0,0.0
21,202.1,0.0
22,202.2,0.0
23,202.3,0.005
24,202.4,0.135
25,202.5,2.705
26,202.6,43.566
27,202.7,578.791
28,202.8,6109.408
29,202.9,51543.299
30,203.0,353112.086
31,203.1,1912168.474
32,203.2,8307515.531
33,203.3,29068747.985
34,203.4,81631756.279
35,203.5,184557917.336
36,203.6,337300000.0
37,203.7,501358567.374
38,203.8,611434224.797
39,203.9,619400000.0
40,204.0,529086177.522
41,204.1,386566145.795
42,204.2,243581908.469
43,204.3,132040211.846
44,204.4,60957137.072
45,204.5,23591725.237
46,204.6,7544491.518
47,204.7,1972724.759
48,204.8,418103.515
49,204.9,70995.475
50,205.0,9894.0
51,205.1,1095.63
52,205.2,99.6
53,205.3,7.758
54,205.4,0.53
55,205.5,0.039
56,205.6,0.003
57,205.7,0.0
58,205.8,0.0
59,205.9,0.0
60,206.0,0.0
61,206.1,0.0
62,206.2,0.003
63,206.3,0.113
64,206.4,1.852
65,206.5,26.002
66,206.6,307.061
67,206.7,2835.487
68,206.8,20951.817
69,206.9,128838.119
70,207.0,628689.918
71,207.1,2479025.993
72,207.2,7893438.469
73,207.3,20279491.293
74,207.4,42041539.795
75,207.5,70320000.0
76,207.6,94930036.247
77,207.7,103453713.512
78,207.8,91293401.802
79,207.9,66046612.944
80,208.0,42246205.536
81,208.1,32085132.28
82,208.2,40796084.182
83,208.3,65853268.52
84,208.4,96829661.563
85,208.5,118571583.1
86,208.6,120300000.0
87,208.7,103540057.826
88,208.8,79226448.317
89,208.9,57380000.0
90,209.0,40847467.914
91,209.1,28177702.556
92,209.2,19061295.99
93,209.3,16019091.145
94,209.4,22917761.262
95,209.5,42171080.599
96,209.6,71084395.788
97,209.7,99673592.873
98,209.8,115169766.274
99,209.9,111548651.109
100,210.0,95560000.0
101,210.1,79599389.264
102,210.2,70168319.281
103,210.3,63988622.066
104,210.4,54547670.165
105,210.5,40123251.942
106,210.6,24550270.895
107,210.7,12519505.783
108,210.8,6198718.368
109,210.9,5970272.417
110,211.0,12880520.036
111,211.1,29140000.0
112,211.2,55209309.042
113,211.3,85409533.134
114,211.4,108100000.0
115,211.5,113042329.374
116,211.6,101330596.848
117,211.7,84869722.004
118,211.8,76213141.264
119,211.9,77366290.303
120,212.0,79777059.239
121,212.1,73766424.455
122,212.2,57433648.39
123,212.3,36817475.49
124,212.4,19286465.741
125,212.5,8242000.0
126,212.6,2926960.155
127,212.7,1121410.995
128,212.8,1374588.359
129,212.9,3738500.608
130,213.0,9432959.131
131,213.1,19573596.858
132,213.2,33198907.602
133,213.3,45930148.982
134,213.4,51873229.251
135,213.5,47831052.144
136,213.6,36000000.0
137,213.7,22117429.354
138,213.8,11088252.465
139,213.9,4538000.0
140,214.0,1515759.68
141,214.1,412583.269
142,214.2,91975.383
143,214.3,16634.66
144,214.4,2556.031
145,214.5,394.311
146,214.6,116.043
147,214.7,72.033
148,214.8,45.552
149,214.9,24.264
150,215.0,10.61
151,215.1,3.802
152,215.2,1.115
153,215.3,0.267
154,215.4,0.053
155,215.5,0.008
156,215.6,0.001
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,0.0
189,218.9,0.0
190,219.0,0.0
191,219.1,0.0
192,219.2,0.0
193,219.3,0.0
194,219.4,0.0
195,219.5,0.0
196,219.6,0.0
197,219.7,0.0
198,219.8,0.0
199,219.9,0.0
200,220.0,0.0
201,220.1,0.0
202,220.2,0.0
203,220.3,0.0
204,220.4,0.0
205,220.5,0.0
206,220.6,0.0
207,220.7,0.0
208,220.8,0.0
209,220.9,0.0
210,221.0,0.0
211,221.1,0.0
212,221.2,0.0
213,221.3,0.0
214,221.4,0.001
215,221.5,0.015
216,221.6,0.402
217,221.7,5.139
218,221.8,55.806
219,221.9,558.849
220,222.0,4404.343
221,222.1,29240.325
222,222.2,160592.813
223,222.3,734338.791
224,222.4,2794764.257
225,222.5,8876000.0
226,222.6,23497954.276
227,222.7,51976684.415
228,222.8,96266963.285
229,222.9,149635188.785
230,223.0,195923759.048
231,223.1,216536074.377
232,223.2,202748250.186
233,223.3,161429279.072
234,223.4,109441898.343
235,223.5,63267614.166
236,223.6,31190000.0
237,223.7,13082686.869
238,223.8,4662985.969
239,223.9,1406000.0
240,224.0,357540.845
241,224.1,76263.114
242,224.2,13739.083
243,224.3,2046.316
244,224.4,259.232
245,224.5,27.586
246,224.6,2.201
247,224.7,0.178
248,224.8,0.012
249,224.9,0.0
250,225.0,0.0
251,225.1,0.0
252,225.2,0.0
253,225.3,0.0
254,225.4,0.0
255,225.5,0.0
256,225.6,0.0
257,225.7,0.0
258,225.8,0.0
259,225.9,0.0
260,226.0,0.0
261,226.1,0.0
262,226.2,0.0
263,226.3,0.0
264,226.4,0.0
265,226.5,0.0
266,226.6,0.0
267,226.7,0.0
268,226.8,0.0
269,226.9,0.0
270,227.0,0.0
271,227.1,0.0
272,227.2,0.0
273,227.3,0.0
274,227.4,0.0
275,227.5,0.0
276,227.6,0.0
277,227.7,0.0
278,227.8,0.0
279,227.9,0.0
280,228.0,0.0
281,228.1,0.0
282,228.2,0.0
283,228.3,0.0
284,228.4,0.0
285,228.5,0.0
286,228.6,0.0
287,228.7,0.0
288,228.8,0.0
289,228.9,0.0
290,229.0,0.0
291,229.1,0.0
292,229.2,0.0
293,229.3,0.0
294,229.4,0.0
295,229.5,0.0
296,229.6,0.0
297,229.7,0.0
298,229.8,0.0
299,229.9,0.0
300,230.0,0.0
301,230.1,0.0
302,230.2,0.0
303,230.3,0.0
304,230.4,0.002
305,230.5,0.035
306,230.6,0.49
307,230.7,5.979
308,230.8,62.173
309,230.9,535.237
310,231.0,3943.019
311,231.1,24490.0
312,231.2,127017.634
313,231.3,556818.406
314,231.4,2053000.0
315,231.5,6371363.678
316,231.6,16669394.968
317,231.7,36704761.243
318,231.8,68111020.266
319,231.9,106392120.579
320,232.0,140042456.959
321,232.1,155217178.754
322,232.2,144937090.665
323,232.3,113937674.069
324,232.4,75523349.625
325,232.5,42200000.001
326,232.6,20124408.267
327,232.7,8858440.298
328,232.8,5281476.407
329,232.9,6630385.769
