,wavelength,intensity
0,200.0,61510000.0
1,200.1,64660000.0
2,200.2,41240000.0
3,200.3,15960000.0
4,200.4,3747000.0
5,200.5,533700.0
6,200.6,46120.0
7,200.7,2418.0
8,200.8,76.93
9,200.9,1.485
10,201.0,0.017
11,201.1,0.0
12,201.2,0.0
13,201.3,0.0
14,201.4,0.0
15,201.5,0.0
16,201.6,0.0
17,201.7,0.0
18,201.8,0.0
19,201.9,0.0
20,202.0,0.0
21,202.1,0.0
22,202.2,0.0
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.005
31,203.1,0.061
32,203.2,0.522
33,203.3,2.825
34,203.4,9.695
35,203.5,21.3
36,203.6,30.54
37,203.7,29.56
38,203.8,20.11
39,203.9,9.812
40,204.0,3.391
41,204.1,0.955
42,204.2,1.471
43,204.3,6.811
44,204.4,21.27
45,204.5,41.33
46,204.6,50.01
47,204.7,52.24
48,204.8,972.5
49,204.9,38230.0
50,205.0,953500.0
51,205.1,14820000.0
52,205.2,143499999.999
53,205.3,865899999.996
54,205.4,3255999999.989
55,205.5,7627999999.985
56,205.6,11139999999.995
57,205.7,10150000000.01
58,205.8,5877000000.015
59,205.9,2787000000.005
60,206.0,3144999999.993
61,206.1,6072999999.989
62,206.2,8437999999.997
63,206.3,7763000000.007
64,206.4,5766000000.005
65,206.5,5403999999.998
66,206.6,5933000000.0
67,206.7,4947000000.007
68,206.8,2674000000.009
69,206.9,909300000.005
70,207.0,193700000.001
71,207.1,25840000.0
72,207.2,2158000.0
73,207.3,112800.0
74,207.4,3690.0
75,207.5,81.99
76,207.6,19.7
77,207.7,39.03
78,207.8,61.33
79,207.9,72.59
80,208.0,61.87
81,208.1,37.09
82,208.2,17.27
83,208.3,9.201
84,208.4,8.448
85,208.5,9.879
86,208.6,9.561
87,208.7,7.194
88,208.8,7.032
89,208.9,11.96
90,209.0,17.96
91,209.1,17.86
92,209.2,11.3
93,209.3,4.523
94,209.4,1.146
95,209.5,0.184
96,209.6,0.019
97,209.7,0.001
98,209.8,0.0
99,209.9,0.0
100,210.0,0.0
101,210.1,0.0
102,210.2,0.0
103,210.3,0.0
104,210.4,0.0
105,210.5,0.0
106,210.6,0.0
107,210.7,0.0
108,210.8,0.0
109,210.9,0.0
110,211.0,0.0
111,211.1,0.0
112,211.2,0.0
113,211.3,0.0
114,211.4,0.0
115,211.5,0.0
116,211.6,0.0
117,211.7,0.0
118,211.8,0.0
119,211.9,0.0
120,212.0,0.0
121,212.1,0.0
122,212.2,0.0
123,212.3,0.0
124,212.4,0.005
125,212.5,0.058
126,212.6,0.406
127,212.7,1.864
128,212.8,5.637
129,212.9,11.42
130,213.0,15.99
131,213.1,16.24
132,213.2,12.97
133,213.3,9.116
134,213.4,5.931
135,213.5,3.281
136,213.6,1.456
137,213.7,0.938
138,213.8,1.73
139,213.9,3.17
140,214.0,3.97
141,214.1,3.639
142,214.2,3.916
143,214.3,7.614
144,214.4,15.16
145,214.5,21.53
146,214.6,20.29
147,214.7,12.5
148,214.8,5.004
149,214.9,1.299
150,215.0,0.219
151,215.1,0.024
152,215.2,0.002
153,215.3,0.0
154,215.4,0.0
155,215.5,0.0
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,0.0
189,218.9,0.0
190,219.0,0.0
191,219.1,0.0
192,219.2,0.0
193,219.3,0.0
194,219.4,0.0
195,219.5,0.0
196,219.6,0.0
197,219.7,0.0
198,219.8,0.0
199,219.9,0.0
200,220.0,0.0
201,220.1,0.0
202,220.2,0.0
203,220.3,0.0
204,220.4,0.0
205,220.5,0.0
206,220.6,0.0
207,220.7,0.0
208,220.8,0.0
209,220.9,0.0
210,221.0,0.0
211,221.1,0.0
212,221.2,0.0
213,221.3,0.0
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.0
218,221.8,0.0
219,221.9,0.0
220,222.0,0.0
221,222.1,0.0
222,222.2,0.0
223,222.3,0.0
224,222.4,0.0
225,222.5,0.0
226,222.6,0.0
227,222.7,0.0
228,222.8,0.0
229,222.9,0.0
230,223.0,0.0
231,223.1,0.0
232,223.2,0.0
233,223.3,0.0
234,223.4,0.0
235,223.5,0.0
236,223.6,0.0
237,223.7,0.0
238,223.8,0.0
239,223.9,0.0
240,224.0,0.0
241,224.1,0.0
242,224.2,0.0
243,224.3,0.0
244,224.4,0.0
245,224.5,0.0
246,224.6,0.0
247,224.7,0.0
248,224.8,0.0
249,224.9,0.0
250,225.0,0.0
251,225.1,0.0
252,225.2,0.0
253,225.3,0.0
254,225.4,0.0
255,225.5,0.0
256,225.6,0.0
257,225.7,0.0
258,225.8,0.0
259,225.9,0.0
260,226.0,0.0
261,226.1,0.0
262,226.2,0.0
263,226.3,0.0
264,226.4,0.0
265,226.5,0.0
266,226.6,0.0
267,226.7,0.0
268,226.8,0.0
269,226.9,0.0
270,227.0,0.0
271,227.1,0.0
272,227.2,0.0
273,227.3,0.0
274,227.4,0.0
275,227.5,0.0
276,227.6,0.0
277,227.7,0.0
278,227.8,0.0
279,227.9,0.0
280,228.0,0.0
281,228.1,0.0
282,228.2,0.0
283,228.3,0.0
284,228.4,0.0
285,228.5,0.0
286,228.6,0.0
287,228.7,0.0
288,228.8,0.0
289,228.9,0.0
290,229.0,0.0
291,229.1,0.0
292,229.2,0.0
293,229.3,0.0
294,229.4,0.0
295,229.5,0.0
296,229.6,0.0
297,229.7,0.0
298,229.8,0.0
299,229.9,0.0
300,230.0,0.0
301,230.1,0.0
302,230.2,0.0
303,230.3,0.0
304,230.4,0.0
305,230.5,0.0
306,230.6,0.0
307,230.7,0.0
308,230.8,0.0
309,230.9,0.0
310,231.0,0.0
311,231.1,0.0
312,231.2,0.0
313,231.3,0.0
314,231.4,0.0
315,231.5,0.0
316,231.6,0.0
317,231.7,0.0
318,231.8,0.0
319,231.9,0.0
320,232.0,0.0
321,232.1,0.0
322,232.2,0.0
323,232.3,0.0
324,232.4,0.0
325,232.5,0.0
326,232.6,0.0
327,232.7,0.0
328,232.8,0.0
329,232.9,0.0
330,233.0,0.0
331,233.1,0.0
332,233.2,0.0
333,233.3,0.0
334,233.4,0.0
335,233.5,0.0
336,233.6,0.0
337,233.7,0.0
338,233.8,0.0
339,233.9,0.0
340,234.0,0.0
341,234.1,0.0
342,234.2,0.0
343,234.3,0.0
344,234.4,0.002
345,234.5,0.108
346,234.6,3.33
347,234.7,71.39
348,234.8,1067.0
349,234.9,11120.0
350,235.0,80830.0
351,235.1,409500.0
352,235.2,1447000.0
353,235.3,3564000.0
354,235.4,6122000.0
355,235.5,7331000.0
356,235.6,6122000.0
357,235.7,3564000.0
358,235.8,1448000.0
359,235.9,416900.0
360,236.0,145300.0
361,236.1,411900.0
362,236.2,1777000.0
363,236.3,5666000.0
364,236.4,13170000.0
365,236.5,22650000.0
366,236.6,29210000.0
367,236.7,28520000.0
368,236.8,21120000.0
369,236.9,11770000.0
370,237.0,4890000.0
371,237.1,1572000.0
372,237.2,742900.0
373,237.3,1395000.0
374,237.4,3041000.0
375,237.5,4811000.0
376,237.6,5350000.0
377,237.7,4183000.0
378,237.8,2367000.0
379,237.9,1444000.0
380,238.0,2999000.0
381,238.1,9556000.0
382,238.2,23190000.0
383,238.3,40370000.0
384,238.4,51210000.0
385,238.5,49270000.0
386,238.6,38580000.0
387,238.7,27290000.0
388,238.8,19970000.0
389,238.9,16690000.0
390,239.0,14440000.0
391,239.1,10620000.0
392,239.2,5883000.0
393,239.3,2345000.0
394,239.4,663000.0
395,239.5,132300.0
396,239.6,18620.0
397,239.7,1846.0
398,239.8,129.0
399,239.9,6.838
400,240.0,15.12
401,240.1,321.9
402,240.2,4927.0
403,240.3,53460.0
404,240.4,411000.0
405,240.5,2240000.0
406,240.6,8649000.0
407,240.7,23670000.0
408,240.8,45909999.999
409,240.9,63110000.0
410,241.0,61480000.0
411,241.1,42450000.001
412,241.2,20770000.0
413,241.3,7203000.0
414,241.4,1770000.0
415,241.5,308400.0
416,241.6,38070.0
417,241.7,3331.0
418,241.8,206.6
419,241.9,9.079
420,242.0,0.283
421,242.1,0.006
422,242.2,0.0
423,242.3,0.0
424,242.4,0.0
425,242.5,0.0
426,242.6,0.0
427,242.7,0.0
428,242.8,0.0
429,242.9,0.0
430,243.0,0.0
431,243.1,0.0
432,243.2,0.0
433,243.3,0.0
434,243.4,0.0
435,243.5,0.0
436,243.6,0.0
437,243.7,0.0
438,243.8,0.0
439,243.9,0.0
440,244.0,0.0
441,244.1,0.0
442,244.2,0.0
443,244.3,0.0
444,244.4,0.0
445,244.5,0.0
