,wavelength,intensity
0,200.0,0.194
1,200.1,2.127
2,200.2,16.924
3,200.3,98.3
4,200.4,416.468
5,200.5,1288.0
6,200.6,2927.17
7,200.7,4960.561
8,200.8,6534.707
9,200.9,7290.505
10,201.0,7658.0
11,201.1,7711.759
12,201.2,6772.452
13,201.3,4706.447
14,201.4,2459.09
15,201.5,946.4
16,201.6,266.5
17,201.7,54.757
18,201.8,8.19
19,201.9,0.9
20,202.0,0.071
21,202.1,0.004
22,202.2,0.0
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.001
28,202.8,0.011
29,202.9,0.105
30,203.0,0.771
31,203.1,4.21
32,203.2,17.108
33,203.3,51.719
34,203.4,116.889
35,203.5,198.7
36,203.6,256.033
37,203.7,252.808
38,203.8,193.359
39,203.9,115.711
40,204.0,55.85
41,204.1,29.897
42,204.2,45.034
43,204.3,112.574
44,204.4,231.645
45,204.5,354.2
46,204.6,399.562
47,204.7,332.127
48,204.8,203.447
49,204.9,91.808
50,205.0,30.54
51,205.1,7.484
52,205.2,1.352
53,205.3,0.179
54,205.4,0.018
55,205.5,0.001
56,205.6,0.0
57,205.7,0.0
58,205.8,0.0
59,205.9,0.0
60,206.0,0.0
61,206.1,0.0
62,206.2,0.0
63,206.3,0.0
64,206.4,0.0
65,206.5,0.0
66,206.6,0.0
67,206.7,0.0
68,206.8,0.0
69,206.9,0.004
70,207.0,0.048
71,207.1,0.388
72,207.2,2.36
73,207.3,10.88
74,207.4,38.371
75,207.5,105.2
76,207.6,227.564
77,207.7,394.316
78,207.8,549.92
79,207.9,614.489
80,208.0,546.2
81,208.1,387.568
82,208.2,230.365
83,208.3,134.529
84,208.4,99.374
85,208.5,92.77
86,208.6,88.416
87,208.7,83.674
88,208.8,93.29
89,208.9,122.663
90,209.0,151.2
91,209.1,155.729
92,209.2,168.094
93,209.3,354.381
94,209.4,1119.7
95,209.5,3076.0
96,209.6,6515.287
97,209.7,10608.295
98,209.8,13534.283
99,209.9,13994.501
100,210.0,12190.0
101,210.1,9319.396
102,210.2,6693.11
103,210.3,5280.067
104,210.4,5170.395
105,210.5,5445.0
106,210.6,5025.454
107,210.7,3693.887
108,210.8,2092.693
109,210.9,903.942
110,211.0,296.0
111,211.1,73.181
112,211.2,13.662
113,211.3,1.913
114,211.4,0.203
115,211.5,0.016
116,211.6,0.001
117,211.7,0.0
118,211.8,0.0
119,211.9,0.0
120,212.0,0.0
121,212.1,0.001
122,212.2,0.014
123,212.3,0.112
124,212.4,0.689
125,212.5,3.223
126,212.6,11.473
127,212.7,31.241
128,212.8,65.493
129,212.9,106.774
130,213.0,137.4
131,213.1,142.827
132,213.2,124.059
133,213.3,93.567
134,213.4,63.058
135,213.5,38.29
136,213.6,22.278
137,213.7,16.82
138,213.8,20.722
139,213.9,28.792
140,214.0,35.45
141,214.1,41.626
142,214.2,57.693
143,214.3,93.712
144,214.4,142.505
145,214.5,176.0
146,214.6,168.349
147,214.7,122.905
148,214.8,68.221
149,214.9,28.73
150,215.0,9.171
151,215.1,2.218
152,215.2,0.407
153,215.3,0.056
154,215.4,0.006
155,215.5,0.0
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,0.0
189,218.9,0.001
190,219.0,0.016
191,219.1,0.197
192,219.2,1.806
193,219.3,12.823
194,219.4,69.626
195,219.5,290.5
196,219.6,929.913
197,219.7,2286.672
198,219.8,4313.847
199,219.9,6245.432
200,220.0,6943.0
201,220.1,5924.105
202,220.2,3879.986
203,220.3,1951.066
204,220.4,752.757
205,220.5,223.0
206,220.6,50.679
207,220.7,8.854
208,220.8,1.182
209,220.9,0.122
210,221.0,0.01
211,221.1,0.001
212,221.2,0.0
213,221.3,0.0
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.0
218,221.8,0.0
219,221.9,0.0
220,222.0,0.0
221,222.1,0.0
222,222.2,0.0
223,222.3,0.0
224,222.4,0.0
225,222.5,0.0
226,222.6,0.0
227,222.7,0.0
228,222.8,0.006
229,222.9,0.077
230,223.0,0.777
231,223.1,5.998
232,223.2,35.84
233,223.3,165.997
234,223.4,595.513
235,223.5,1654.0
236,223.6,3560.118
237,223.7,5933.295
238,223.8,7660.53
239,223.9,7660.724
240,224.0,5934.0
241,224.1,3559.933
242,224.2,1654.564
243,224.3,595.533
244,224.4,165.937
245,224.5,35.85
246,224.6,5.983
247,224.7,0.779
248,224.8,0.077
249,224.9,0.006
250,225.0,0.0
251,225.1,0.0
252,225.2,0.008
253,225.3,0.181
254,225.4,2.881
255,225.5,37.38
256,225.6,372.132
257,225.7,2870.787
258,225.8,17334.207
259,225.9,81416.443
260,226.0,298200.0
261,226.1,850518.524
262,226.2,1890330.884
263,226.3,3273450.106
264,226.4,4415645.287
265,226.5,4642000.0
266,226.6,3801506.51
267,226.7,2425971.88
268,226.8,1206707.004
269,226.9,470339.941
270,227.0,163000.0
271,227.1,154089.075
272,227.2,525601.513
273,227.3,1748765.185
274,227.4,4618518.753
275,227.5,9638000.0
276,227.6,16093036.308
277,227.7,22021672.302
278,227.8,25733390.589
279,227.9,26924721.824
280,228.0,25860000.0
281,228.1,22348979.552
282,228.2,16609822.525
283,228.3,10167295.748
284,228.4,4993973.078
285,228.5,1941000.0
286,228.6,593116.351
287,228.7,142070.267
288,228.8,26605.249
289,228.9,3909.968
290,229.0,461.1
291,229.1,193.71
292,229.2,1387.266
293,229.3,9871.917
294,229.4,55000.728
295,229.5,241800.0
296,229.6,838146.556
297,229.7,2301649.721
298,229.8,5048747.488
299,229.9,8977412.164
300,230.0,13260000.0
301,230.1,16852174.751
302,230.2,19256754.592
303,230.3,20574507.509
304,230.4,21109184.691
305,230.5,20820000.0
306,230.6,19237399.139
307,230.7,15864135.309
308,230.8,11127610.064
309,230.9,6415752.689
310,231.0,2975000.0
311,231.1,1096837.793
312,231.2,319756.541
313,231.3,73487.392
314,231.4,13302.191
315,231.5,1892.0
316,231.6,210.394
317,231.7,18.781
318,231.8,1.263
319,231.9,0.071
320,232.0,0.031
321,232.1,0.434
