,wavelength,intensity
0,200.0,39270000.0
1,200.1,55850000.0
2,200.2,74220000.0
3,200.3,92170000.0
4,200.4,107033167.995
5,200.5,116700000.0
6,200.6,119700000.0
7,200.7,116800000.0
8,200.8,110100000.0
9,200.9,103000000.0
10,201.0,98910000.0
11,201.1,100364002.541
12,201.2,107000000.0
13,201.3,117100000.0
14,201.4,126500000.0
15,201.5,131100000.0
16,201.6,128400000.0
17,201.7,118200000.0
18,201.8,103195244.321
19,201.9,87120000.0
20,202.0,73490000.0
21,202.1,64150000.0
22,202.2,58850000.0
23,202.3,55730000.0
24,202.4,52520000.0
25,202.5,47483998.601
26,202.6,40440000.0
27,202.7,31840000.0
28,202.8,23070000.0
29,202.9,15320000.0
30,203.0,9311000.0
31,203.1,5175000.0
32,203.2,2626536.015
33,203.3,1221000.0
34,203.4,517900.0
35,203.5,200800.0
36,203.6,71250.0
37,203.7,23180.0
38,203.8,6979.0
39,203.9,1729.035
40,204.0,880.7
41,204.1,1347.0
42,204.2,4108.0
43,204.3,13100.0
44,204.4,39180.0
45,204.5,108300.0
46,204.6,270800.031
47,204.7,645600.0
48,204.8,1391000.0
49,204.9,2761000.0
50,205.0,5051000.0
51,205.1,8524000.0
52,205.2,13290000.0
53,205.3,19150000.0
54,205.4,25572383.068
55,205.5,31660000.0
56,205.6,36450000.0
57,205.7,39130000.0
58,205.8,39390000.0
59,205.9,37530000.0
60,206.0,34420000.0
61,206.1,31251453.883
62,206.2,28980000.0
63,206.3,28320000.0
64,206.4,29260000.0
65,206.5,31270000.0
66,206.6,33500000.0
67,206.7,35150000.0
68,206.8,35724302.077
69,206.9,35380000.0
70,207.0,34560000.0
71,207.1,34200000.0
72,207.2,35200000.0
73,207.3,38120000.0
74,207.4,42870000.0
75,207.5,48597710.596
76,207.6,53780000.0
77,207.7,56800000.0
78,207.8,56380000.0
79,207.9,52140000.0
80,208.0,44700000.0
81,208.1,35450000.0
82,208.2,26078248.765
83,208.3,17830000.0
84,208.4,11650000.0
85,208.5,7739000.0
86,208.6,5855000.0
87,208.7,5555000.0
88,208.8,6348000.0
89,208.9,7810066.235
90,209.0,9747000.0
91,209.1,12090000.0
92,209.2,15090000.0
93,209.3,19270000.0
94,209.4,25320000.0
95,209.5,34030000.0
96,209.6,46083983.775
97,209.7,61570000.0
98,209.8,80200000.0
99,209.9,100600000.0
100,210.0,120400000.0
101,210.1,136800000.0
102,210.2,146700000.0
103,210.3,147900000.0
104,210.4,139828960.891
105,210.5,124000000.0
106,210.6,102800000.0
107,210.7,80070000.0
108,210.8,59160000.0
109,210.9,42580000.0
110,211.0,31630000.0
111,211.1,26530232.657
112,211.2,26770000.0
113,211.3,31650000.0
114,211.4,40270000.0
115,211.5,51610000.0
116,211.6,64340000.0
117,211.7,76850000.0
118,211.8,87352614.851
119,211.9,94490000.0
120,212.0,97270000.0
121,212.1,95770000.0
122,212.2,90850000.0
123,212.3,84040000.0
124,212.4,77220000.0
125,212.5,72526099.433
126,212.6,72350000.0
127,212.7,79180000.0
128,212.8,95630000.0
129,212.9,124100000.0
130,213.0,166400000.0
131,213.1,223200000.0
132,213.2,294035225.084
133,213.3,376899999.999
134,213.4,469299999.999
135,213.5,568099999.999
136,213.6,669299999.999
137,213.7,766999999.999
138,213.8,852999999.999
139,213.9,916476394.511
140,214.0,946800000.0
141,214.1,934900000.0
142,214.2,878500000.001
143,214.3,783500000.001
144,214.4,663000000.001
145,214.5,534200000.001
146,214.6,414432423.891
147,214.7,314500000.001
148,214.8,241400000.001
149,214.9,193300000.0
150,215.0,164100000.0
151,215.1,145800000.0
152,215.2,131100000.0
153,215.3,115300000.0
154,215.4,96872991.388
155,215.5,77050000.0
156,215.6,57730000.0
157,215.7,41040000.0
158,215.8,28180000.0
159,215.9,19350000.0
160,216.0,13910000.0
161,216.1,10839958.078
162,216.2,9196000.0
163,216.3,8156000.0
164,216.4,7278000.0
165,216.5,6379000.0
166,216.6,5461000.0
167,216.7,4613000.0
168,216.8,3929468.191
169,216.9,3444000.0
170,217.0,3157000.0
171,217.1,3000000.0
172,217.2,2889000.0
173,217.3,2745000.0
174,217.4,2534000.0
175,217.5,2274248.012
176,217.6,2071000.0
177,217.7,2069000.0
