,wavelength,intensity
0,200.0,29660000.0
1,200.1,31462162.205
2,200.2,33050000.0
3,200.3,34267263.384
4,200.4,35190000.0
5,200.5,35942247.834
6,200.6,36607708.614
7,200.7,37260000.0
8,200.8,37962796.5
9,200.9,38740000.0
10,201.0,39596386.366
11,201.1,40500000.0
12,201.2,41400408.038
13,201.3,42210000.0
14,201.4,42834481.483
15,201.5,43190000.0
16,201.6,43199166.029
17,201.7,42800000.0
18,201.8,41951736.36
19,201.9,40683055.666
20,202.0,39040000.0
21,202.1,37085494.935
22,202.2,34950000.0
23,202.3,32781431.637
24,202.4,30730000.0
25,202.5,28941278.515
26,202.6,27540000.0
27,202.7,26632204.301
28,202.8,26270000.0
29,202.9,26474904.279
30,203.0,27200000.0
31,203.1,28370662.236
32,203.2,29869869.226
33,203.3,31570000.0
34,203.4,33339364.961
35,203.5,35030000.0
36,203.6,36500253.711
37,203.7,37650000.0
38,203.8,38399620.195
39,203.9,38710000.0
40,204.0,38566265.507
41,204.1,38010000.0
42,204.2,37105317.775
43,204.3,35950000.0
44,204.4,34648310.775
45,204.5,33296779.052
46,204.6,31990000.0
47,204.7,30810183.713
48,204.8,29790000.0
49,204.9,28942274.942
50,205.0,28250000.0
51,205.1,27684466.52
52,205.2,27200000.0
53,205.3,26749858.979
54,205.4,26300000.0
55,205.5,25827205.006
56,205.6,25338859.529
57,205.7,24850000.0
58,205.8,24376802.285
59,205.9,23940000.0
60,206.0,23557331.957
61,206.1,23230000.0
62,206.2,22950119.887
63,206.3,22690000.0
64,206.4,22414688.496
65,206.5,22080000.0
66,206.6,21643626.131
67,206.7,21080000.0
68,206.8,20375451.469
69,206.9,19547155.892
70,207.0,18620000.0
71,207.1,17625288.748
72,207.2,16620000.0
73,207.3,15667370.551
74,207.4,14830000.0
75,207.5,14163979.05
76,207.6,13700000.0
77,207.7,13456713.25
78,207.8,13430000.0
79,207.9,13604167.951
80,208.0,13940000.0
81,208.1,14389194.224
82,208.2,14890634.228
83,208.3,15380000.0
84,208.4,15794817.927
85,208.5,16080000.0
86,208.6,16187493.343
87,208.7,16090000.0
88,208.8,15770208.701
89,208.9,15230000.0
90,209.0,14482921.854
91,209.1,13570000.0
92,209.2,12540603.882
93,209.3,11450000.0
94,209.4,10355434.694
95,209.5,9316176.616
96,209.6,8392000.0
97,209.7,7637430.566
98,209.8,7086000.0
99,209.9,6761655.455
100,210.0,6671000.0
101,210.1,6811322.613
102,210.2,7160000.0
103,210.3,7685554.091
104,210.4,8341000.0
105,210.5,9074436.404
106,210.6,9829803.061
107,210.7,10550000.0
108,210.8,11180866.645
109,210.9,11680000.0
110,211.0,12012284.908
111,211.1,12160000.0
112,211.2,12114993.723
113,211.3,11890000.0
114,211.4,11505240.201
115,211.5,10990000.0
116,211.6,10378170.473
117,211.7,9713000.0
118,211.8,9037805.176
119,211.9,8386818.159
120,212.0,7792000.0
121,212.1,7282097.441
122,212.2,6873000.0
123,212.3,6574642.723
124,212.4,6386000.0
125,212.5,6300956.665
126,212.6,6304000.0
127,212.7,6376030.616
128,212.8,6493000.0
129,212.9,6629920.87
130,213.0,6763000.0
131,213.1,6871696.757
132,213.2,6947286.833
133,213.3,6984000.0
134,213.4,6979726.694
135,213.5,6947000.0
136,213.6,6903518.486
137,213.7,6873000.0
138,213.8,6880449.36
139,213.9,6950000.0
140,214.0,7103934.072
141,214.1,7358000.0
142,214.2,7723564.353
143,214.3,8201000.0
144,214.4,8787161.788
145,214.5,9475826.17
146,214.6,10260000.0
147,214.7,11135577.205
148,214.8,12110000.0
149,214.9,13200260.234
150,215.0,14450000.0
151,215.1,15910881.858
152,215.2,17640000.0
153,215.3,19697462.333
154,215.4,22150000.0
155,215.5,25051113.487
156,215.6,28394757.429
157,215.7,32160000.0
158,215.8,36305715.158
159,215.9,40710000.0
160,216.0,45221271.126
161,216.1,49650000.0
162,216.2,53794200.339
163,216.3,57440000.0
164,216.4,60384427.52
165,216.5,62480000.0
166,216.6,63610589.583
167,216.7,63730000.0
168,216.8,62834183.713
169,216.9,61017756.507
170,217.0,58400000.0
171,217.1,55112992.615
172,217.2,51340000.0
173,217.3,47272045.997
174,217.4,43080000.0
175,217.5,38922573.397
176,217.6,34930000.0
177,217.7,31216410.417
178,217.8,27860000.0
179,217.9,24925534.937
180,218.0,22460000.0
181,218.1,20499550.531
182,218.2,19054805.55
183,218.3,18130000.0
184,218.4,17724725.452
185,218.5,17820000.0
186,218.6,18386236.457
187,218.7,19370000.0
188,218.8,20709078.718
189,218.9,22330000.0
190,219.0,24154948.669
191,219.1,26100000.0
192,219.2,28082376.606
193,219.3,30030000.0
194,219.4,31881232.596
195,219.5,33605501.502
196,219.6,35180000.0
197,219.7,36592114.01
198,219.8,37870000.0
199,219.9,39053696.531
200,220.0,40190000.0
201,220.1,41331849.866
202,220.2,42550000.0
203,220.3,43916404.007
204,220.4,45490000.0
205,220.5,47320517.321
206,220.6,49433865.709
207,220.7,51850000.0
208,220.8,54578819.327
209,220.9,57590000.0
210,221.0,60837171.647
211,221.1,64250000.0
212,221.2,67744994.085
213,221.3,71210000.0
214,221.4,74524102.014
215,221.5,77560000.0
216,221.6,80188597.859
217,221.7,82280000.0
218,221.8,83718182.165
219,221.9,84443404.911
220,222.0,84410000.0
221,222.1,83591719.913
222,222.2,82040000.0
223,222.3,79835738.209
224,222.4,77100000.0
225,222.5,73970327.25
226,222.6,70610000.0
227,222.7,67185452.792
228,222.8,63850000.0
229,222.9,60746611.581
230,223.0,57990000.0
231,223.1,55674579.747
232,223.2,53841830.915
233,223.3,52520000.0
234,223.4,51730823.759
235,223.5,51470000.0
236,223.6,51725446.518
237,223.7,52480000.0
238,223.8,53714890.17
239,223.9,55410000.0
240,224.0,57539992.801
241,224.1,60060000.0
242,224.2,62915138.624
243,224.3,66030000.0
244,224.4,69315617.374
245,224.5,72649317.381
246,224.6,75900000.0
247,224.7,78933076.087
248,224.8,81600000.0
249,224.9,83755330.442
250,225.0,85280000.0
251,225.1,86071852.146
252,225.2,86070000.0
253,225.3,85236010.976
254,225.4,83580000.0
255,225.5,81137835.419
256,225.6,77999851.738
257,225.7,74270000.0
258,225.8,70058419.184
259,225.9,65500000.0
260,226.0,60734950.956
261,226.1,55900000.0
262,226.2,51126776.994
263,226.3,46530000.0
264,226.4,42215441.069
265,226.5,38270000.0
266,226.6,34771458.729
267,226.7,31780000.0
268,226.8,29344149.404
269,226.9,27483403.126
270,227.0,26210000.0
271,227.1,25526906.542
272,227.2,25400000.0
273,227.3,25776989.383
274,227.4,26570000.0
275,227.5,27678885.926
276,227.6,28990000.0
277,227.7,30384966.913
278,227.8,31740000.0
279,227.9,32934996.42
280,228.0,33870000.0
281,228.1,34464689.06
282,228.2,34697133.238
283,228.3,34560000.0
284,228.4,34059997.919
285,228.5,33260000.0
286,228.6,32239711.217
287,228.7,31090000.0
288,228.8,29902407.213
289,228.9,28760000.0
290,229.0,27738159.932
291,229.1,26890000.0
292,229.2,26253703.06
293,229.3,25830000.0
294,229.4,25605142.675
295,229.5,25544918.787
296,229.6,25610000.0
297,229.7,25761212.43
298,229.8,25960000.0
299,229.9,26170874.329
300,230.0,26370000.0
301,230.1,26542790.255
302,230.2,26700000.0
303,230.3,26862964.649
304,230.4,27070000.0
305,230.5,27375106.233
306,230.6,27878040.69
307,230.7,28690000.0
308,230.8,29940208.331
309,230.9,31830000.0
310,231.0,34598014.266
311,231.1,38560000.0
312,231.2,44075234.607
313,231.3,51600000.0
314,231.4,61638547.308
315,231.5,74790000.0
316,231.6,91686826.162
317,231.7,113000000.0
318,231.8,139389988.362
319,231.9,171436722.555
320,232.0,209699999.999
321,232.1,254675196.325
322,232.2,306599999.999
323,232.3,365586240.685
324,232.4,431499999.999
325,232.5,504092340.927
326,232.6,582899999.998
327,232.7,667369395.597
328,232.8,756799999.998
329,232.9,850480076.676
330,233.0,947799999.998
331,233.1,1048147602.769
332,233.2,1150798440.646
333,233.3,1254999999.998
334,233.4,1359994113.618
335,233.5,1464999999.998
336,233.6,1569118555.215
337,233.7,1670999999.998
338,233.8,1769031665.51
339,233.9,1860999999.998
340,234.0,1944504782.734
341,234.1,2016999999.999
342,234.2,2075949203.547
343,234.3,2118999999.999
344,234.4,2144227559.689
345,234.5,2151233252.922
346,234.6,2140000000.0
347,234.7,2110917179.112
348,234.8,2066000000.001
349,234.9,2007876475.595
350,235.0,1940000000.001
351,235.1,1866076918.517
352,235.2,1790000000.002
353,235.3,1715565850.347
354,235.4,1646000000.001
355,235.5,1583965215.713
356,235.6,1530444284.865
357,235.7,1486000000.001
358,235.8,1450996086.364
359,235.9,1425000000.0
360,236.0,1407317021.648
361,236.1,1397000000.0
362,236.2,1393235827.046
363,236.3,1396000000.0
364,236.4,1405614670.166
365,236.5,1423000000.0
366,236.6,1449555492.287
367,236.7,1487999999.999
368,236.8,1541228342.51
369,236.9,1611519854.623
370,237.0,1700999999.998
371,237.1,1811540736.647
