,wavelength,intensity
0,200.0,10710000000.0
1,200.1,9690000000.0
2,200.2,5319000000.0
3,200.3,1771000000.001
4,200.4,357800000.0
5,200.5,43850000.0
6,200.6,3260000.0
7,200.7,153700.0
8,200.8,60150.0
9,200.9,408300.0
10,201.0,2470000.0
11,201.1,10880000.0
12,201.2,33410000.0
13,201.3,78620000.0
14,201.4,163700000.0
15,201.5,292500000.0
16,201.6,379300000.0
17,201.7,319200000.0
18,201.8,167200000.0
19,201.9,53880000.0
20,202.0,11430000.0
21,202.1,10110000.0
22,202.2,62850000.0
23,202.3,293599999.999
24,202.4,898999999.999
25,202.5,1777999999.999
26,202.6,2240000000.0
27,202.7,1780000000.001
28,202.8,888700000.001
29,202.9,291300000.001
30,203.0,96210000.0
31,203.1,81690000.0
32,203.2,128200000.0
33,203.3,429599999.999
34,203.4,1733999999.996
35,203.5,4976999999.992
36,203.6,9492999999.992
37,203.7,12179999999.999
38,203.8,10640000000.008
39,203.9,6283000000.01
40,204.0,2521000000.006
41,204.1,1051000000.001
42,204.2,1891999999.996
43,204.3,4673999999.992
44,204.4,7526999999.995
45,204.5,7526000000.005
46,204.6,4666000000.009
47,204.7,1796000000.005
48,204.8,433300000.002
49,204.9,69420000.0
50,205.0,13030000.0
51,205.1,42790000.0
52,205.2,285899999.999
53,205.3,1234999999.995
54,205.4,3326999999.992
55,205.5,5588999999.995
56,205.6,5851000000.003
57,205.7,3818000000.008
58,205.8,1552000000.006
59,205.9,393600000.002
60,206.0,64610000.0
61,206.1,15290000.0
62,206.2,22130000.0
63,206.3,36060000.0
64,206.4,44880000.0
65,206.5,45120000.0
66,206.6,39620000.0
67,206.7,33720000.0
68,206.8,29110000.0
69,206.9,23460000.0
70,207.0,15950000.0
71,207.1,8794000.0
72,207.2,3860000.0
73,207.3,1288000.0
74,207.4,397600.0
75,207.5,954600.0
76,207.6,5272000.0
77,207.7,19240000.0
78,207.8,44230000.0
79,207.9,64040000.0
80,208.0,58380000.0
81,208.1,33550000.0
82,208.2,12390000.0
83,208.3,4166000.0
84,208.4,5293000.0
85,208.5,13620000.0
86,208.6,34020000.0
87,208.7,72150000.0
88,208.8,111300000.0
89,208.9,114100000.0
90,209.0,75340000.0
91,209.1,32980000.0
92,209.2,14130000.0
93,209.3,14670000.0
94,209.4,19450000.0
95,209.5,18960000.0
96,209.6,17720000.0
97,209.7,28260000.0
98,209.8,51090000.0
99,209.9,65580000.0
100,210.0,56820000.0
101,210.1,56190000.0
102,210.2,179199999.999
103,210.3,659099999.996
104,210.4,1619999999.993
105,210.5,2543999999.997
106,210.6,2544000000.003
107,210.7,1623000000.006
108,210.8,689600000.004
109,210.9,392499999.999
110,211.0,1002999999.993
111,211.1,2730999999.986
112,211.2,4879999999.989
113,211.3,5578000000.003
114,211.4,4079000000.014
115,211.5,1927000000.012
116,211.6,644300000.005
117,211.7,259200000.001
118,211.8,207100000.0
119,211.9,206900000.0
120,212.0,417399999.997
121,212.1,1371999999.99
122,212.2,3454999999.983
123,212.3,5837999999.986
124,212.4,6996999999.997
125,212.5,7049000000.0
126,212.6,7026000000.001
127,212.7,6293000000.011
128,212.8,4168000000.019
129,212.9,1855000000.014
130,213.0,546600000.006
131,213.1,149800000.001
132,213.2,366699999.995
133,213.3,2074999999.975
134,213.4,8195999999.927
135,213.5,21209999999.88
136,213.6,35669999999.917
137,213.7,38820000000.04
138,213.8,27310000000.124
139,213.9,12400000000.1
140,214.0,3637000000.042
141,214.1,688100000.01
142,214.2,84290000.002
143,214.3,8334000.0
144,214.4,10430000.0
145,214.5,62189999.999
146,214.6,331599999.996
147,214.7,1270999999.988
148,214.8,3251999999.98
149,214.9,5447999999.986
150,215.0,5940000000.006
151,215.1,4220000000.02
152,215.2,1967000000.016
153,215.3,616400000.007
154,215.4,139200000.002
155,215.5,25960000.0
156,215.6,4467000.0
157,215.7,871300.0
158,215.8,1589000.0
159,215.9,6850000.0
160,216.0,20720000.0
161,216.1,46800000.0
162,216.2,104399999.999
163,216.3,274199999.997
164,216.4,650799999.996
165,216.5,1104999999.997
166,216.6,1250000000.001
167,216.7,926500000.004
168,216.8,448700000.004
169,216.9,141900000.002
170,217.0,29390000.001
171,217.1,4812000.0
172,217.2,5455000.0
173,217.3,20120000.0
174,217.4,56129999.999
175,217.5,143599999.999
176,217.6,479199999.994
177,217.7,1715999999.98
178,217.8,4684999999.961
179,217.9,8736999999.962
180,218.0,10969999999.996
181,218.1,9420000000.032
182,218.2,5781000000.037
183,218.3,2738000000.024
184,218.4,1076000000.012
185,218.5,358900000.004
186,218.6,179900000.0
187,218.7,485799999.993
188,218.8,1583999999.982
189,218.9,3796999999.97
190,219.0,7212999999.956
191,219.1,12049999999.941
192,219.2,17409999999.951
193,219.3,19410000000.012
194,219.4,15250000000.073
195,219.5,8126000000.075
196,219.6,2931000000.039
197,219.7,748700000.012
198,219.8,158900000.003
199,219.9,40510000.0
200,220.0,21660000.0
201,220.1,20720000.0
202,220.2,17390000.0
203,220.3,10110000.0
204,220.4,4126000.0
205,220.5,4147000.0
206,220.6,29899999.999
207,220.7,186799999.996
208,220.8,779599999.989
209,220.9,2162999999.979
210,221.0,3988999999.981
211,221.1,4889000000.0
212,221.2,3988000000.019
213,221.3,2186000000.021
214,221.4,913000000.009
215,221.5,796899999.993
216,221.6,2193999999.972
217,221.7,5392999999.953
218,221.8,9084999999.963
219,221.9,10250000000.011
220,222.0,7710000000.047
221,222.1,3868000000.043
222,222.2,1304000000.021
223,222.3,346400000.005
224,222.4,233999999.999
225,222.5,448299999.996
226,222.6,820999999.994
227,222.7,1423999999.99
228,222.8,2388999999.986
229,222.9,3325999999.992
230,223.0,3371000000.007
231,223.1,2371000000.017
232,223.2,1165000000.013
233,223.3,435400000.006
234,223.4,154100000.002
235,223.5,61850000.001
236,223.6,24050000.0
237,223.7,11370000.0
238,223.8,45439999.999
239,223.9,296799999.993
