,wavelength,intensity
0,200.0,84830000.0
1,200.1,115000000.0
2,200.2,146997281.462
3,200.3,177700000.0
4,200.4,203000000.0
5,200.5,220000000.0
6,200.6,227300000.0
7,200.7,225912881.108
8,200.8,219400000.0
9,200.9,212000000.0
10,201.0,208300000.0
11,201.1,211246184.652
12,201.2,220100000.0
13,201.3,232500000.0
14,201.4,243300000.0
15,201.5,247600000.0
16,201.6,241779485.46
17,201.7,226400000.0
18,201.8,203700000.0
19,201.9,178400000.0
20,202.0,155115533.993
21,202.1,136100000.0
22,202.2,122300000.0
23,202.3,111800000.0
24,202.4,102100000.0
25,202.5,91041134.89
26,202.6,78030000.0
27,202.7,63220000.0
28,202.8,48090000.0
29,202.9,34170000.0
30,203.0,22665169.731
31,203.1,13930000.0
32,203.2,7970000.0
33,203.3,4237000.0
34,203.4,2080168.62
35,203.5,959300.0
36,203.6,408400.0
37,203.7,161500.0
38,203.8,59580.0
39,203.9,19794.207
40,204.0,10180.0
41,204.1,13570.0
42,204.2,34080.0
43,204.3,87132.823
44,204.4,224300.0
45,204.5,522300.0
46,204.6,1135000.0
47,204.7,2303000.0
48,204.8,4362994.895
49,204.9,7734000.0
50,205.0,12820000.0
51,205.1,19880000.0
52,205.2,28923038.694
53,205.3,39370000.0
54,205.4,50380000.0
55,205.5,60660000.0
56,205.6,68910000.0
57,205.7,74121547.157
58,205.8,76210000.0
59,205.9,75530000.0
60,206.0,73330000.0
61,206.1,71158081.275
62,206.2,70150000.0
63,206.3,71100000.0
64,206.4,73820000.0
65,206.5,77480000.0
66,206.6,80875672.368
67,206.7,83080000.0
68,206.8,83470000.0
69,206.9,82350000.0
70,207.0,80651466.203
71,207.1,79690000.0
72,207.2,80740000.0
73,207.3,84450000.0
74,207.4,90530000.0
75,207.5,97679469.679
76,207.6,103800000.0
77,207.7,106700000.0
78,207.8,104700000.0
79,207.9,97350000.0
80,208.0,85247469.362
81,208.1,70240000.0
82,208.2,54470000.0
83,208.3,40040000.0
84,208.4,28463830.05
85,208.5,20280000.0
86,208.6,15630000.0
87,208.7,13970000.0
88,208.8,14650000.0
89,208.9,17053643.623
90,209.0,20930000.0
91,209.1,26240000.0
92,209.2,33460000.0
93,209.3,43443787.502
94,209.4,57270000.0
95,209.5,75980000.0
96,209.6,100200000.0
97,209.7,129900000.0
98,209.8,163814752.677
99,209.9,199000000.0
100,210.0,231900000.0
101,210.1,258000000.0
102,210.2,273009786.552
103,210.3,274500000.0
104,210.4,261300000.0
105,210.5,235600000.0
106,210.6,201400000.0
107,210.7,163858494.376
108,210.8,128000000.0
109,210.9,98330000.0
110,211.0,77500000.0
111,211.1,66684369.528
112,211.2,65520000.0
113,211.3,73100000.0
114,211.4,87660000.0
115,211.5,107000000.0
116,211.6,128564100.247
117,211.7,149600000.0
118,211.8,167400000.0
119,211.9,179700000.0
120,212.0,185230777.037
121,212.1,184300000.0
122,212.2,178000000.0
123,212.3,169100000.0
124,212.4,160900000.0
125,212.5,157546106.596
126,212.6,163600000.0
127,212.7,183700000.0
128,212.8,222400000.0
129,212.9,283499999.999
130,213.0,369826300.926
131,213.1,481899999.999
132,213.2,619099999.999
133,213.3,778299999.999
134,213.4,954464824.567
135,213.5,1139999999.999
136,213.6,1325999999.999
137,213.7,1499999999.999
138,213.8,1645999999.999
139,213.9,1747551386.443
