,wavelength,intensity
0,200.0,6683000.0
1,200.1,13950000.0
2,200.2,27190541.771
3,200.3,50190000.0
4,200.4,86490000.0
5,200.5,140056074.506
6,200.6,212000000.0
7,200.7,301500000.0
8,200.8,402400000.0
9,200.9,503942689.591
10,201.0,592900000.0
11,201.1,655900000.0
12,201.2,683224234.319
13,201.3,675500000.0
14,201.4,638200000.0
15,201.5,586700000.0
16,201.6,540220399.585
17,201.7,515300000.0
18,201.8,525500000.0
19,201.9,574700000.0
20,202.0,658567589.771
21,202.1,764100000.0
22,202.2,875600000.0
23,202.3,975182884.008
24,202.4,1048000000.0
25,202.5,1082000000.0
26,202.6,1073000000.0
27,202.7,1021968921.61
28,202.8,935600000.0
29,202.9,823000000.0
30,203.0,697260913.192
31,203.1,570800000.0
32,203.2,454700000.0
33,203.3,356000000.0
34,203.4,277897569.76
35,203.5,219100000.0
36,203.6,176700000.0
37,203.7,145668559.27
38,203.8,121700000.0
39,203.9,101300000.0
40,204.0,82920000.0
41,204.1,65884893.42
42,204.2,50540000.0
43,204.3,37450000.0
44,204.4,27030000.0
45,204.5,19425122.374
46,204.6,14470000.0
47,204.7,11930000.0
48,204.8,11645799.006
49,204.9,13800000.0
50,205.0,18760000.0
51,205.1,27310000.0
52,205.2,40365667.806
53,205.3,58640000.0
54,205.4,82670000.0
55,205.5,112374996.583
56,205.6,147000000.0
57,205.7,185500000.0
58,205.8,226300000.0
59,205.9,267840941.103
60,206.0,308100000.0
61,206.1,344800000.0
62,206.2,375112884.245
63,206.3,395800000.0
64,206.4,403700000.0
65,206.5,396500000.0
66,206.6,373621419.509
67,206.7,337100000.0
68,206.8,290100000.0
69,206.9,237900000.0
70,207.0,185894784.267
71,207.1,138300000.0
72,207.2,98610000.0
73,207.3,68302211.073
74,207.4,47310000.0
75,207.5,35080000.0
76,207.6,30250000.0
77,207.7,31328433.083
78,207.8,36710000.0
79,207.9,44720000.0
80,208.0,53572169.922
81,208.1,61540000.0
82,208.2,67030000.0
83,208.3,68960000.0
84,208.4,66860106.012
85,208.5,61180000.0
86,208.6,52730000.0
87,208.7,42856958.453
88,208.8,32820000.0
89,208.9,23720000.0
90,209.0,16200000.0
91,209.1,10481686.066
92,209.2,6420000.0
93,209.3,3760000.0
94,209.4,2125000.0
95,209.5,1179187.211
96,209.6,696500.0
97,209.7,498900.0
98,209.8,517458.743
99,209.9,763900.0
100,210.0,1278000.0
101,210.1,2157000.0
102,210.2,3510445.724
103,210.3,5409000.0
104,210.4,7893000.0
105,210.5,10886588.659
106,210.6,14150000.0
107,210.7,17380000.0
108,210.8,20160000.0
109,210.9,22076702.733
110,211.0,22890000.0
111,211.1,22460000.0
112,211.2,20914404.112
113,211.3,18610000.0
114,211.4,15970000.0
115,211.5,13500000.0
116,211.6,11662545.321
117,211.7,10810000.0
118,211.8,11240000.0
119,211.9,13120000.0
120,212.0,16501717.261
121,212.1,21260000.0
122,212.2,27180000.0
123,212.3,33821905.885
124,212.4,40570000.0
125,212.5,46770000.0
126,212.6,51760000.0
127,212.7,55023830.145
128,212.8,56370000.0
129,212.9,55760000.0
130,213.0,53472937.215
131,213.1,49910000.0
132,213.2,45480000.0
133,213.3,40560000.0
134,213.4,35432803.196
135,213.5,30270000.0
136,213.6,25220000.0
137,213.7,20429286.353
138,213.8,16030000.0
139,213.9,12150000.0
140,214.0,8903000.0
141,214.1,6338559.191
142,214.2,4429000.0
143,214.3,3115000.0
144,214.4,2276000.0
145,214.5,1780030.543
146,214.6,1512000.0
147,214.7,1369000.0
148,214.8,1287329.107
149,214.9,1241000.0
150,215.0,1217000.0
151,215.1,1224000.0
152,215.2,1272772.787
153,215.3,1367000.0
154,215.4,1505000.0
155,215.5,1669702.914
156,215.6,1838000.0
157,215.7,1987000.0
158,215.8,2100000.0
159,215.9,2180137.946
160,216.0,2262000.0
161,216.1,2396000.0
162,216.2,2678125.789
163,216.3,3256000.0
164,216.4,4302000.0
165,216.5,6049000.0
166,216.6,8756702.642
167,216.7,12670000.0
168,216.8,17990000.0
169,216.9,24750000.0
170,217.0,32831120.979
171,217.1,41840000.0
172,217.2,51270000.0
173,217.3,60461835.625
174,217.4,68860000.0
175,217.5,76000000.0
176,217.6,81660000.0
177,217.7,85848174.421
178,217.8,88830000.0
179,217.9,90960000.0
180,218.0,92831537.607
181,218.1,95510000.0
182,218.2,100300000.0
183,218.3,109100000.0
184,218.4,124201522.457
185,218.5,147800000.0
186,218.6,181800000.0
187,218.7,226588880.883
188,218.8,280199999.999
189,218.9,339399999.999
190,219.0,397999999.999
191,219.1,449232351.34
192,219.2,486900000.0
193,219.3,505800000.0
194,219.4,504500000.0
195,219.5,484759741.389
196,219.6,452300000.0
197,219.7,414200000.0
198,219.8,378860947.088
199,219.9,353100000.0
200,220.0,342400000.0
201,220.1,348600000.0
202,220.2,370641333.264
203,220.3,404400000.0
204,220.4,444700000.0
205,220.5,485251255.59
206,220.6,520900000.0
207,220.7,547500000.0
208,220.8,563600000.0
209,220.9,569578236.987
210,221.0,568000000.0
211,221.1,562000000.0
212,221.2,554677799.561
213,221.3,548000000.0
214,221.4,543200000.0
