,wavelength,intensity
0,200.0,4.53
1,200.1,28.314
2,200.2,156.145
3,200.3,757.075
4,200.4,3291.882
5,200.5,12628.573
6,200.6,41455.838
7,200.7,113368.465
8,200.8,253346.908
9,200.9,458012.737
10,201.0,666575.799
11,201.1,780400.0
12,201.2,735912.601
13,201.3,560898.901
14,201.4,347400.0
15,201.5,175941.125
16,201.6,73273.003
17,201.7,25242.824
18,201.8,7204.272
19,201.9,1711.463
20,202.0,336.372
21,202.1,53.644
22,202.2,7.077
23,202.3,0.756
24,202.4,0.064
25,202.5,0.005
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.0
31,203.1,0.0
32,203.2,0.0
33,203.3,0.0
34,203.4,0.0
35,203.5,0.0
36,203.6,0.0
37,203.7,0.0
38,203.8,0.0
39,203.9,0.0
40,204.0,0.0
41,204.1,0.0
42,204.2,0.0
43,204.3,0.0
44,204.4,0.0
45,204.5,0.0
46,204.6,0.0
47,204.7,0.0
48,204.8,0.0
49,204.9,0.0
50,205.0,0.002
51,205.1,0.036
52,205.2,0.856
53,205.3,12.187
54,205.4,140.053
55,205.5,1391.313
56,205.6,10604.638
57,205.7,65229.203
58,205.8,326547.683
59,205.9,1309437.496
60,206.0,4230018.328
61,206.1,11020000.0
62,206.2,23170457.754
63,206.3,39528083.076
64,206.4,55190000.0
65,206.5,64255325.106
66,206.6,64539921.921
67,206.7,58709715.292
68,206.8,50378311.255
69,206.9,40801616.845
70,207.0,29969997.899
71,207.1,19022544.289
72,207.2,10076487.77
73,207.3,4372999.911
74,207.4,1540261.271
75,207.5,438700.0
76,207.6,100479.724
77,207.7,18646.719
78,207.8,2788.672
79,207.9,336.48
80,208.0,32.036
81,208.1,2.553
82,208.2,0.15
83,208.3,0.009
84,208.4,0.001
85,208.5,0.0
86,208.6,0.004
87,208.7,0.039
88,208.8,0.363
89,208.9,2.663
90,209.0,15.893
91,209.1,77.048
92,209.2,303.785
93,209.3,973.374
94,209.4,2540.039
95,209.5,5424.344
96,209.6,9525.769
97,209.7,13879.4
98,209.8,16972.762
99,209.9,17715.113
100,210.0,16120.0
101,210.1,13196.903
102,210.2,10304.624
103,210.3,8396.034
104,210.4,7595.546
105,210.5,7385.701
106,210.6,7608.557
107,210.7,10243.29
108,210.8,21759.556
109,210.9,54733.625
110,211.0,125984.966
111,211.1,249300.0
112,211.2,429941.899
113,211.3,673117.55
114,211.4,995700.0
115,211.5,1408887.835
116,211.6,1877575.92
117,211.7,2323624.772
118,211.8,2694179.502
119,211.9,2979142.463
120,212.0,3133191.986
121,212.1,3030056.86
122,212.2,2575083.581
123,212.3,1857930.456
124,212.4,1113820.928
125,212.5,549000.0
126,212.6,221423.18
127,212.7,72814.797
128,212.8,19519.123
129,212.9,4260.59
130,213.0,756.626
131,213.1,110.139
132,213.2,12.536
133,213.3,1.256
134,213.4,0.103
135,213.5,0.005
136,213.6,0.0
137,213.7,0.0
138,213.8,0.0
139,213.9,0.0
140,214.0,0.0
141,214.1,0.0
142,214.2,0.0
143,214.3,0.0
144,214.4,0.0
145,214.5,0.0
146,214.6,0.0
147,214.7,0.0
148,214.8,0.0
149,214.9,0.0
150,215.0,0.0
151,215.1,0.0
152,215.2,0.0
153,215.3,0.0
154,215.4,0.0
155,215.5,0.0
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.0
166,216.6,0.0
167,216.7,0.0
168,216.8,0.0
169,216.9,0.0
170,217.0,0.0
171,217.1,0.0
172,217.2,0.0
173,217.3,0.0
174,217.4,0.0
175,217.5,0.0
176,217.6,0.0
177,217.7,0.0
178,217.8,0.0
179,217.9,0.0
180,218.0,0.0
181,218.1,0.0
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.001
188,218.8,0.011
189,218.9,0.097
190,219.0,0.709
191,219.1,4.264
192,219.2,21.27
193,219.3,87.402
194,219.4,297.326
195,219.5,834.49
196,219.6,1934.299
197,219.7,3704.792
198,219.8,5860.04
199,219.9,7656.557
200,220.0,8266.0
201,220.1,7369.761
202,220.2,5428.842
203,220.3,3302.95
204,220.4,1660.189
205,220.5,689.334
206,220.6,236.412
207,220.7,66.84
208,220.8,15.663
209,220.9,3.023
210,221.0,0.483
211,221.1,0.064
212,221.2,0.007
213,221.3,0.001
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.001
218,221.8,0.02
219,221.9,0.366
220,222.0,4.876
221,222.1,56.257
222,222.2,530.389
223,222.3,4136.075
224,222.4,26784.354
225,222.5,145500.0
226,222.6,651088.48
227,222.7,2433960.215
228,222.8,7543795.064
229,222.9,19416560.062
230,223.0,41515278.78
231,223.1,73743242.406
232,223.2,108882961.872
233,223.3,133437172.243
234,223.4,135977381.015
235,223.5,115099115.894
236,223.6,80920000.0
237,223.7,47273261.441
238,223.8,22948793.984
239,223.9,9258000.0
240,224.0,3104859.344
241,224.1,866260.941
242,224.2,202352.228
243,224.3,39479.033
244,224.4,6687.159
245,224.5,1007.655
246,224.6,138.687
247,224.7,20.122
248,224.8,2.909
249,224.9,0.402
250,225.0,0.222
251,225.1,1.696
252,225.2,14.359
253,225.3,102.038
254,225.4,614.915
255,225.5,3177.26
256,225.6,13902.852
257,225.7,52005.747
258,225.8,166880.34
259,225.9,457613.742
260,226.0,1074287.222
261,226.1,2157000.0
262,226.2,3713756.976
263,226.3,5516570.111
264,226.4,7232000.0
265,226.5,9071036.733
266,226.6,13411739.99
267,226.7,28106835.33
268,226.8,71227748.269
269,226.9,173445813.214
270,227.0,367478751.592
271,227.1,658595804.674
272,227.2,990679772.463
273,227.3,1249835719.898
274,227.4,1321127255.324
275,227.5,1172000000.004
276,227.6,876026779.975
277,227.7,556095506.566
278,227.8,306619995.562
279,227.9,155068654.097
280,228.0,79885762.9
281,228.1,46695827.399
282,228.2,30546221.889
283,228.3,19962768.585
284,228.4,11854470.009
285,228.5,6150968.874
286,228.6,2809000.0
287,228.7,1260562.716
288,228.8,752252.002
289,228.9,689200.0
290,229.0,718105.132
291,229.1,682410.824
292,229.2,566851.565
293,229.3,453088.724
294,229.4,498475.601
295,229.5,947424.419
296,229.6,2152364.773
297,229.7,4497344.961
298,229.8,8169375.26
299,229.9,12904561.525
300,230.0,17960000.0
301,230.1,22457707.542
302,230.2,25816844.512
303,230.3,27841032.523
304,230.4,28510877.51
305,230.5,27729307.312
306,230.6,25240959.847
307,230.7,21050722.819
308,230.8,15758401.551
309,230.9,10484071.061
310,231.0,6284301.083
311,231.1,3641000.0
312,231.2,2421762.389
313,231.3,2200588.29
314,231.4,2550000.0
315,231.5,3131683.124
316,231.6,3694315.207
317,231.7,4126553.383
318,231.8,4464835.887
319,231.9,4770784.205
320,232.0,4959643.523
321,232.1,4812233.856
322,232.2,4179734.038
323,232.3,3178188.264
324,232.4,2129262.124
325,232.5,1348000.0
326,232.6,974902.331
327,232.7,963579.141
328,232.8,1182210.503
329,232.9,1506332.338
330,233.0,1870253.262
331,233.1,2258873.233
332,233.2,2666742.047
333,233.3,3062652.193
334,233.4,3372475.186
335,233.5,3507900.156
336,233.6,3425000.0
337,233.7,3164873.702
338,233.8,2816511.975
339,233.9,2444000.0
340,234.0,2066787.255
341,234.1,1716740.62
342,234.2,1511936.48
343,234.3,1624508.378
344,234.4,2157077.597
345,234.5,3016764.945
346,234.6,3880463.644
347,234.7,4342086.36
348,234.8,4150874.805
349,234.9,3372424.029
350,235.0,2325000.0
351,235.1,1358955.6
352,235.2,673686.467
353,235.3,283045.403
354,235.4,100769.99
355,235.5,30416.265
356,235.6,7782.026
357,235.7,1674.345
358,235.8,309.14
359,235.9,48.014
360,236.0,6.313
361,236.1,0.733
362,236.2,0.355
363,236.3,2.561
364,236.4,18.8
365,236.5,117.664
366,236.6,625.406
367,236.7,2827.977
368,236.8,10828.009
369,236.9,35278.86
370,237.0,97437.905
371,237.1,228455.722
372,237.2,454605.157
373,237.3,767939.319
374,237.4,1101682.434
375,237.5,1341000.0
376,237.6,1387400.352
377,237.7,1225189.969
378,237.8,941424.91
379,237.9,680770.701
380,238.0,581887.491
381,238.1,730281.928
382,238.2,1131778.68
383,238.3,1689529.783
384,238.4,2208504.856
385,238.5,2470311.376
386,238.6,2352000.0
387,238.7,1903654.471
388,238.8,1309699.736
389,238.9,766000.0
390,239.0,380825.563
391,239.1,160888.377
392,239.2,57777.319
393,239.3,17606.762
394,239.4,4575.021
395,239.5,1010.609
396,239.6,188.145
397,239.7,29.99
398,239.8,4.06
399,239.9,0.473
400,240.0,0.164
401,240.1,1.106
402,240.2,9.035
403,240.3,62.58
404,240.4,369.711
405,240.5,1874.686
406,240.6,8057.405
407,240.7,29571.01
408,240.8,92760.788
409,240.9,248580.03
410,241.0,568860.612
411,241.1,1115000.0
412,241.2,1877359.991
413,241.3,2733419.458
414,241.4,3490000.0
415,241.5,4003301.51
416,241.6,4296727.178
417,241.7,4546271.018
418,241.8,4952878.062
419,241.9,5609914.742
420,242.0,6485746.776
421,242.1,7475088.162
422,242.2,8439874.094
423,242.3,9219934.15
424,242.4,9657527.704
425,242.5,9683000.0
426,242.6,9390498.345
427,242.7,8975530.538
428,242.8,8547107.272
429,242.9,7996008.319
430,243.0,7104723.057
431,243.1,5820803.321
432,243.2,4460939.786
433,243.3,3766303.542
434,243.4,4981354.49
435,243.5,10050636.942
436,243.6,21530000.0
437,243.7,41519885.069
438,243.8,69387740.06
439,243.9,99749999.999
440,244.0,123181829.879
441,244.1,130474905.81
442,244.2,118762435.145
443,244.3,93299307.86
444,244.4,64767559.101
445,244.5,43850468.468
446,244.6,37745391.714
447,244.7,49305336.178
448,244.8,76840439.882
449,244.9,113284322.253
450,245.0,146299999.999
451,245.1,162681956.269
452,245.2,155360726.287
453,245.3,127134225.336
454,245.4,89280301.789
455,245.5,53709055.735
456,245.6,27707186.332
457,245.7,12255712.219
458,245.8,4646781.844
459,245.9,1509903.597
460,246.0,420770.366
461,246.1,100600.0
462,246.2,20626.715
463,246.3,3601.731
464,246.4,545.2
465,246.5,69.585
466,246.6,7.67
467,246.7,0.738
468,246.8,0.059
469,246.9,0.004
470,247.0,0.0
471,247.1,0.0
472,247.2,0.0
473,247.3,0.0
474,247.4,0.0
475,247.5,0.0
476,247.6,0.0
477,247.7,0.0
478,247.8,0.0
479,247.9,0.0
480,248.0,0.0
481,248.1,0.0
482,248.2,0.0
483,248.3,0.0
484,248.4,0.0
485,248.5,0.0
486,248.6,0.0
487,248.7,0.0
488,248.8,0.0
489,248.9,0.0
490,249.0,0.0
491,249.1,0.0
492,249.2,0.0
493,249.3,0.0
494,249.4,0.0
495,249.5,0.0
496,249.6,0.0
497,249.7,0.0
498,249.8,0.0
499,249.9,0.001
500,250.0,0.011
501,250.1,0.122
502,250.2,1.269
503,250.3,11.181
504,250.4,85.522
505,250.5,586.765
506,250.6,3439.112
507,250.7,17570.65
508,250.8,79029.913
509,250.9,308084.44
510,251.0,1047980.826
511,251.1,3102000.0
512,251.2,7982309.816
513,251.3,17852505.813
514,251.4,34699999.999
515,251.5,58639478.368
516,251.6,86326028.082
517,251.7,111414928.217
518,251.8,128763744.761
519,251.9,140410478.897
520,252.0,160696654.372
521,252.1,214992819.291
522,252.2,328950148.693
523,252.3,511230420.605
524,252.4,738192559.212
525,252.5,954299999.994
526,252.6,1098019743.662
527,252.7,1139898493.167
528,252.8,1102187768.915
529,252.9,1040430612.339
530,253.0,1003465594.251
531,253.1,1004257296.945
532,253.2,1020536344.6
533,253.3,1024240201.2
534,253.4,995177539.501
535,253.5,926982705.876
536,253.6,818100000.004
537,253.7,674047689.884
538,253.8,513060633.235
539,253.9,365800000.004
540,254.0,265174533.109
541,254.1,235652919.042
542,254.2,285220815.618
543,254.3,400935919.301
544,254.4,549996218.93
545,254.5,691605053.318
546,254.6,804719733.894
547,254.7,919858087.403
548,254.8,1127463180.253
549,254.9,1535446645.354
550,255.0,2192999999.976
551,255.1,3018397771.451
552,255.2,3801534342.416
553,255.3,4302108848.901
554,255.4,4387049314.219
555,255.5,4101261045.31
556,255.6,3635784551.572
557,255.7,3207401328.511
558,255.8,2960087552.543
559,255.9,2910884780.687
560,256.0,2970017211.672
561,256.1,2997000000.001
562,256.2,2875925478.025
563,256.3,2569330840.781
564,256.4,2115000000.016
565,256.5,1599506669.264
566,256.6,1113977274.559
567,256.7,725405383.602
568,256.8,464810900.346
569,256.9,324490592.766
570,257.0,269898586.054
571,257.1,255647668.794
572,257.2,243526754.589
573,257.3,213959268.259
574,257.4,167049590.403
575,257.5,114300000.002
576,257.6,68358787.699
577,257.7,35746997.449
578,257.8,16421835.653
579,257.9,6704129.379
580,258.0,2479098.423
581,258.1,859506.358
582,258.2,294474.085
583,258.3,118054.907
584,258.4,92098.236
585,258.5,158913.855
586,258.6,327700.0
587,258.7,627561.401
588,258.8,1077529.668
589,258.9,1664000.0
590,259.0,2348409.207
591,259.1,3082415.709
592,259.2,3851098.094
593,259.3,4697897.787
594,259.4,5744272.448
595,259.5,7189241.312
596,259.6,9255041.281
597,259.7,12070532.039
598,259.8,15465326.967
599,259.9,18925390.245
600,260.0,21840000.0
601,260.1,23874008.745
602,260.2,25310605.41
603,260.3,26935419.148
604,260.4,29630663.497
605,260.5,34485586.528
606,260.6,43342772.762
607,260.7,59174179.932
608,260.8,84904285.785
609,260.9,120385039.35
610,261.0,159571479.751
611,261.1,190899999.999
612,261.2,202553899.126
613,261.3,189015083.873
614,261.4,154600000.001
615,261.5,111038095.096
616,261.6,70480050.501
617,261.7,40512318.5
618,261.8,22515316.71
619,261.9,13702425.647
620,262.0,10079233.986
621,262.1,8447354.863
622,262.2,7059358.06
623,262.3,5434175.445
624,262.4,3775633.67
625,262.5,2484000.0
626,262.6,1902659.175
627,262.7,2306842.813
628,262.8,4012344.442
629,262.9,7454787.703
630,263.0,13204833.0
631,263.1,21864700.965
632,263.2,33985872.403
633,263.3,49751884.466
634,263.4,68794405.782
635,263.5,90196929.597
636,263.6,112899999.999
637,263.7,136200828.568
638,263.8,160308690.071
639,263.9,185999999.999
640,264.0,213757433.566
641,264.1,243832006.521
642,264.2,275751717.658
643,264.3,308085839.456
644,264.4,337280145.477
645,264.5,356520458.503
646,264.6,357038923.479
647,264.7,332060526.858
648,264.8,281976571.317
649,264.9,215716907.11
650,265.0,147400000.002
651,265.1,89430400.621
652,265.2,48079112.78
653,265.3,22944084.015
654,265.4,9926043.931
655,265.5,4238926.55
656,265.6,2269583.944
657,265.7,1903816.474
658,265.8,2154514.955
659,265.9,2655031.991
660,266.0,3323837.635
661,266.1,4194000.0
662,266.2,5395411.758
663,266.3,7194069.883
664,266.4,9956000.0
665,266.5,13909444.405
666,266.6,18795204.903
667,266.7,23642431.711
668,266.8,27006188.925
669,266.9,27657418.695
670,267.0,25255513.669
671,267.1,20518985.298
672,267.2,14868322.519
673,267.3,9694348.663
674,267.4,5887423.33
675,267.5,3756000.0
676,267.6,3170285.063
677,267.7,3785169.747
678,267.8,5123790.095
679,267.9,6614201.832
680,268.0,7665802.559
681,268.1,7853069.325
682,268.2,7081126.988
683,268.3,5618092.96
684,268.4,3921693.654
685,268.5,2415837.691
686,268.6,1334000.0
687,268.7,710400.996
688,268.8,468495.526
689,268.9,512500.0
690,269.0,779562.961
691,269.1,1263531.175
692,269.2,2055976.633
693,269.3,3422512.761
694,269.4,5853392.079
695,269.5,9956416.816
696,269.6,16100780.025
697,269.7,23888782.334
698,269.8,31855604.475
699,269.9,37791157.959
700,270.0,39750000.0
701,270.1,37079244.693
702,270.2,30919650.459
703,270.3,23537697.33
704,270.4,17196970.474
