,wavelength,intensity
0,200.0,47370000.0
1,200.1,50317084.678
2,200.2,52980000.0
3,200.3,55145612.302
4,200.4,56884930.699
5,200.5,58340000.0
6,200.6,59642168.695
7,200.7,60880000.0
8,200.8,62122096.06
9,200.9,63400000.0
10,201.0,64721947.067
11,201.1,66040000.0
12,201.2,67283252.851
13,201.3,68345097.434
14,201.4,69110000.0
15,201.5,69465321.291
16,201.6,69310000.0
17,201.7,68561524.008
18,201.8,67200000.0
19,201.9,65238582.675
20,202.0,62760000.0
21,202.1,59880577.972
22,202.2,56781461.449
23,202.3,53660000.0
24,202.4,50713613.121
25,202.5,48140000.0
26,202.6,46124158.313
27,202.7,44800000.0
28,202.8,44260553.331
29,202.9,44486397.633
30,203.0,45430000.0
31,203.1,47021284.111
32,203.2,49100000.0
33,203.3,51479785.089
34,203.4,53960000.0
35,203.5,56339575.533
36,203.6,58430000.0
37,203.7,60066543.91
38,203.8,61167049.044
39,203.9,61670000.0
40,204.0,61537984.155
41,204.1,60830000.0
42,204.2,59636832.324
43,204.3,58080000.0
44,204.4,56294686.547
45,204.5,54440000.0
46,204.6,52667674.208
47,204.7,51076021.776
48,204.8,49750000.0
49,204.9,48761481.474
50,205.0,48130000.0
51,205.1,47859011.602
52,205.2,47940000.0
53,205.3,48361465.746
54,205.4,49111949.042
55,205.5,50180000.0
56,205.6,51552543.064
57,205.7,53210000.0
58,205.8,55123061.922
59,205.9,57230000.0
60,206.0,59448959.249
61,206.1,61650000.0
62,206.2,63686865.01
63,206.3,65396111.428
64,206.4,66610000.0
65,206.5,67173198.149
66,206.6,66980000.0
67,206.7,65956954.102
68,206.8,64110000.0
69,206.9,61485235.442
70,207.0,58210000.0
71,207.1,54442759.68
72,207.2,50385244.386
73,207.3,46250000.0
74,207.4,42241258.968
75,207.5,38530000.0
76,207.6,35263814.702
77,207.7,32530000.0
78,207.8,30380593.519
79,207.9,28786890.362
80,208.0,27700000.0
81,208.1,27057144.962
82,208.2,26740000.0
83,208.3,26619603.98
84,208.4,26580000.0
85,208.5,26510689.119
86,208.6,26310000.0
87,208.7,25893097.139
88,208.8,25233660.755
89,208.9,24320000.0
90,209.0,23151268.777
91,209.1,21770000.0
92,209.2,20234151.278
93,209.3,18620000.0
94,209.4,17009626.11
95,209.5,15490000.0
96,209.6,14143850.289
97,209.7,13032048.057
98,209.8,12210000.0
99,209.9,11723513.665
100,210.0,11580000.0
101,210.1,11771878.57
102,210.2,12270000.0
103,210.3,13033289.147
104,210.4,13994536.746
105,210.5,15080000.0
106,210.6,16214860.827
107,210.7,17320000.0
108,210.8,18318931.09
109,210.9,19150000.0
110,211.0,19760664.815
111,211.1,20120000.0
112,211.2,20210083.621
113,211.3,20043391.759
114,211.4,19640000.0
115,211.5,19025806.538
116,211.6,18250000.0
117,211.7,17367142.543
118,211.8,16430000.0
119,211.9,15489373.292
120,212.0,14590000.0
121,212.1,13771338.24
122,212.2,13057791.591
123,212.3,12470000.0
124,212.4,12023073.191
125,212.5,11710000.0
126,212.6,11516332.926
127,212.7,11420000.0
128,212.8,11396459.236
129,212.9,11418913.06
130,213.0,11460000.0
131,213.1,11495030.167
132,213.2,11510000.0
133,213.3,11496773.678
134,213.4,11460000.0
135,213.5,11410375.122
136,213.6,11370000.0
137,213.7,11365164.024
138,213.8,11427505.508
139,213.9,11590000.0
140,214.0,11882204.272
141,214.1,12320000.0
142,214.2,12915572.906
143,214.3,13680000.0
144,214.4,14620504.103
145,214.5,15730000.0
146,214.6,17003535.979
147,214.7,18459002.366
148,214.8,20120000.0
149,214.9,22017255.674
150,215.0,24210000.0
151,215.1,26767416.937
152,215.2,29770000.0
153,215.3,33294331.022
154,215.4,37390035.535
155,215.5,42100000.0
156,215.6,47445329.048
157,215.7,53360000.0
158,215.8,59739189.651
159,215.9,66410000.0
160,216.0,73164162.347
161,216.1,79720000.0
162,216.2,85785733.235
163,216.3,91102578.198
164,216.4,95420000.0
165,216.5,98505659.433
166,216.6,100200000.0
167,216.7,100399250.726
168,216.8,99150000.0
169,216.9,96551087.662
