,wavelength,intensity
0,200.0,18780000.0
1,200.1,19660000.0
2,200.2,12991417.778
3,200.3,5416795.201
4,200.4,1424624.272
5,200.5,236639.348
6,200.6,31013.046
7,200.7,53113.193
8,200.8,266323.706
9,200.9,875245.658
10,201.0,1835626.639
11,201.1,2476529.979
12,201.2,2185000.0
13,201.3,1299000.0
14,201.4,545582.583
15,201.5,169160.299
16,201.6,39108.179
17,201.7,6513.632
18,201.8,743.313
19,201.9,55.358
20,202.0,2.688
21,202.1,0.079
22,202.2,0.001
23,202.3,0.0
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.001
29,202.9,0.002
30,203.0,0.002
31,203.1,0.003
32,203.2,0.004
33,203.3,0.005
34,203.4,0.006
35,203.5,0.006
36,203.6,0.007
37,203.7,0.007
38,203.8,0.007
39,203.9,0.006
40,204.0,0.006
41,204.1,0.004
42,204.2,0.003
43,204.3,0.001
44,204.4,0.002
45,204.5,0.02
46,204.6,0.568
47,204.7,23.878
48,204.8,1051.855
49,204.9,31130.0
50,205.0,603400.0
51,205.1,7562000.0
52,205.2,61282065.915
53,205.3,321211427.747
54,205.4,1089224797.765
55,205.5,2386039346.737
56,205.6,3382848836.048
57,205.7,3107350453.289
58,205.8,1892693335.747
59,205.9,981269849.604
60,206.0,1070340633.947
61,206.1,1908183538.862
62,206.2,2602999999.999
63,206.3,2498000000.002
64,206.4,2032432451.168
65,206.5,1927094247.429
66,206.6,1992451965.284
67,206.7,1652006289.655
68,206.8,979311576.326
69,206.9,426555773.014
70,207.0,150260438.461
71,207.1,45634160.542
72,207.2,11281737.693
73,207.3,2039696.385
74,207.4,251400.0
75,207.5,20490.0
76,207.6,1092.0
77,207.7,38.298
78,207.8,0.901
79,207.9,0.021
80,208.0,0.001
81,208.1,0.0
82,208.2,0.0
83,208.3,0.0
84,208.4,0.0
85,208.5,0.0
86,208.6,0.0
87,208.7,0.0
88,208.8,0.0
89,208.9,0.0
90,209.0,0.0
91,209.1,0.0
92,209.2,0.0
93,209.3,0.0
94,209.4,0.0
95,209.5,0.0
96,209.6,0.0
97,209.7,0.0
98,209.8,0.0
99,209.9,0.0
100,210.0,0.0
101,210.1,0.0
102,210.2,0.0
103,210.3,0.0
104,210.4,0.013
105,210.5,0.479
106,210.6,12.787
107,210.7,225.712
108,210.8,2689.356
109,210.9,21185.597
110,211.0,110468.15
111,211.1,382256.236
112,211.2,886600.0
113,211.3,1442000.0
114,211.4,1929943.867
115,211.5,2826373.835
116,211.6,4517742.877
117,211.7,6074354.437
118,211.8,6459777.835
119,211.9,6679799.794
120,212.0,7986924.241
121,212.1,8902294.5
122,212.2,7324700.697
123,212.3,4099967.578
124,212.4,1532000.0
125,212.5,380200.0
126,212.6,62680.0
127,212.7,6857.74
128,212.8,496.882
129,212.9,23.262
130,213.0,0.72
131,213.1,0.013
132,213.2,0.0
133,213.3,0.0
134,213.4,0.0
135,213.5,0.0
136,213.6,0.0
137,213.7,0.0
138,213.8,0.0
139,213.9,0.0
140,214.0,0.0
141,214.1,0.0
142,214.2,0.0
143,214.3,0.0
144,214.4,0.0
145,214.5,0.0
146,214.6,0.0
147,214.7,0.0
148,214.8,0.0
149,214.9,0.0
150,215.0,0.0
151,215.1,0.0
152,215.2,0.0
153,215.3,0.0
154,215.4,0.0
155,215.5,0.0
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
164,216.4,0.0
165,216.5,0.001
166,216.6,0.001
167,216.7,0.001
168,216.8,0.001
169,216.9,0.001
170,217.0,0.001
171,217.1,0.001
172,217.2,0.001
173,217.3,0.001
174,217.4,0.001
175,217.5,0.001
176,217.6,0.001
177,217.7,0.001
178,217.8,0.001
179,217.9,0.001
180,218.0,0.001
181,218.1,0.001
182,218.2,0.001
183,218.3,0.001
184,218.4,0.001
185,218.5,0.001
186,218.6,0.001
187,218.7,0.001
188,218.8,0.001
189,218.9,0.001
190,219.0,0.001
191,219.1,0.001
192,219.2,0.001
193,219.3,0.001
194,219.4,0.001
195,219.5,0.001
196,219.6,0.001
197,219.7,0.001
198,219.8,0.001
199,219.9,0.001
200,220.0,0.001
201,220.1,0.001
202,220.2,0.001
203,220.3,0.001
204,220.4,0.001
205,220.5,0.001
206,220.6,0.001
207,220.7,0.001
208,220.8,0.001
209,220.9,0.001
210,221.0,0.0
211,221.1,0.0
212,221.2,0.0
213,221.3,0.0
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.0
218,221.8,0.0
219,221.9,0.0
220,222.0,0.0
221,222.1,0.0
222,222.2,0.006
223,222.3,0.422
224,222.4,18.36
225,222.5,529.8
226,222.6,10560.0
227,222.7,145482.798
228,222.8,1384772.432
229,222.9,9112640.86
230,223.0,41489017.311
231,223.1,130442297.154
232,223.2,283262074.503
233,223.3,425326007.991
234,223.4,441356276.857
235,223.5,316510705.805
