,wavelength,intensity
0,200.0,5.7
1,200.1,193.2
2,200.2,3985.0
3,200.3,50060.0
4,200.4,382900.0
5,200.5,1783000.0
6,200.6,5058000.0
7,200.7,8762000.0
8,200.8,9397000.0
9,200.9,6710000.0
10,201.0,4277000.0
11,201.1,4241000.0
12,201.2,8337000.0
13,201.3,20920000.0
14,201.4,39640000.0
15,201.5,47800000.0
16,201.6,35490000.0
17,201.7,16130000.0
18,201.8,4479000.0
19,201.9,760300.0
20,202.0,80880.0
21,202.1,35590.0
22,202.2,287600.0
23,202.3,1714000.0
24,202.4,6594000.0
25,202.5,16670000.0
26,202.6,28090000.0
27,202.7,31610000.0
28,202.8,23510000.0
29,202.9,11360000.0
30,203.0,3506000.0
31,203.1,680700.0
32,203.2,82400.0
33,203.3,6182.0
34,203.4,286.4
35,203.5,8.18
36,203.6,0.144
37,203.7,0.002
38,203.8,0.001
39,203.9,0.049
40,204.0,2.814
41,204.1,100.6
42,204.2,2232.0
43,204.3,30730.0
44,204.4,262700.0
45,204.5,1394000.0
46,204.6,4592000.0
47,204.7,9395000.0
48,204.8,11980000.0
49,204.9,9854000.0
50,205.0,6715000.0
51,205.1,7444000.0
52,205.2,11110000.0
53,205.3,12820000.0
54,205.4,11670000.0
55,205.5,11220000.0
56,205.6,11360000.0
57,205.7,9393000.0
58,205.8,7338000.0
59,205.9,9275000.0
60,206.0,14080000.0
61,206.1,19290000.0
62,206.2,36220000.0
63,206.3,87680000.0
64,206.4,163500000.0
65,206.5,199900000.0
66,206.6,167300000.0
67,206.7,125300000.0
68,206.8,118200000.0
69,206.9,111000000.0
70,207.0,74180000.0
71,207.1,31830000.0
72,207.2,8593000.0
73,207.3,1455000.0
74,207.4,154400.0
75,207.5,10270.0
76,207.6,427.8
77,207.7,11.62
78,207.8,24.5
79,207.9,836.7
80,208.0,18180.0
81,208.1,249600.0
82,208.2,2164000.0
83,208.3,11850000.0
84,208.4,40970000.0
85,208.5,89500000.0
86,208.6,123700000.0
87,208.7,109300000.0
88,208.8,67170000.0
89,208.9,43580000.0
90,209.0,47230000.0
91,209.1,55010000.0
92,209.2,57980000.0
93,209.3,66670000.0
94,209.4,74530000.0
95,209.5,61820000.0
96,209.6,33800000.0
97,209.7,11820000.0
98,209.8,2622000.0
99,209.9,369000.0
100,210.0,32910.0
101,210.1,1861.0
102,210.2,66.67
103,210.3,1.514
104,210.4,0.024
105,210.5,0.136
106,210.6,4.89
107,210.7,112.3
108,210.8,1649.0
109,210.9,15470.0
110,211.0,92750.0
111,211.1,356100.0
112,211.2,881200.0
113,211.3,1459000.0
114,211.4,1893000.0
115,211.5,2728000.0
116,211.6,4530000.0
117,211.7,6290000.0
118,211.8,6994000.0
119,211.9,9050000.0
120,212.0,16080000.0
121,212.1,26080000.0
122,212.2,32580000.0
123,212.3,37800000.0
124,212.4,54560000.0
125,212.5,83020000.0
126,212.6,108400000.0
127,212.7,141900000.0
128,212.8,207599999.999
129,212.9,263700000.0
130,213.0,235400000.001
131,213.1,137900000.001
132,213.2,52180000.0
133,213.3,12740000.0
134,213.4,2331000.0
135,213.5,2953000.0
136,213.6,14500000.0
137,213.7,49240000.0
138,213.8,108100000.0
139,213.9,153400000.0
140,214.0,140500000.0
141,214.1,83190000.0
142,214.2,31810000.0
143,214.3,7884000.0
144,214.4,1511000.0
145,214.5,1587000.0
146,214.6,5356000.0
147,214.7,12720000.0
148,214.8,19620000.0
149,214.9,19620000.0
150,215.0,12720000.0
151,215.1,5347000.0
152,215.2,1463000.0
153,215.3,339900.0
154,215.4,903800.0
155,215.5,6199000.0
156,215.6,29320000.0
157,215.7,92789999.999
158,215.8,198599999.999
159,215.9,297699999.999
160,216.0,339900000.0
161,216.1,340600000.0
162,216.2,373899999.999
163,216.3,655299999.995
164,216.4,1573999999.988
165,216.5,3104999999.985
166,216.6,4223999999.995
167,216.7,4003000000.007
168,216.8,3073000000.008
169,216.9,2497000000.003
170,217.0,2146000000.004
171,217.1,1534000000.007
172,217.2,1003000000.002
173,217.3,1249999999.992
174,217.4,2386999999.986
175,217.5,3539999999.993
176,217.6,3533000000.007
177,217.7,2339000000.014
178,217.8,1027000000.011
179,217.9,299100000.004
180,218.0,61950000.001
181,218.1,39990000.0
182,218.2,160899999.998
183,218.3,517899999.995
184,218.4,1100999999.994
185,218.5,1538999999.998
186,218.6,1415000000.004
187,218.7,857100000.006
188,218.8,344800000.004
189,218.9,100400000.001
190,219.0,35370000.0
191,219.1,25380000.0
192,219.2,18560000.0
193,219.3,9651000.0
194,219.4,4431000.0
195,219.5,5984000.0
196,219.6,15360000.0
197,219.7,32610000.0
198,219.8,68259999.999
199,219.9,179999999.998
200,220.0,460899999.996
201,220.1,869599999.996
202,220.2,1113999999.999
203,220.3,977700000.003
204,220.4,714100000.002
205,220.5,807999999.996
206,220.6,1384999999.992
207,220.7,1956999999.996
208,220.8,1943000000.004
209,220.9,1442000000.007
210,221.0,1005000000.004
211,221.1,790300000.002
212,221.2,607400000.002
213,221.3,526299999.999
214,221.4,1075999999.986
215,221.5,2906999999.969
216,221.6,5753999999.966
217,221.7,7658999999.992
218,221.8,6846000000.026
219,221.9,4242000000.033
220,222.0,2145000000.017
221,222.1,1485000000.0
222,222.2,1856999999.991
223,222.3,2691999999.988
224,222.4,3527999999.991
225,222.5,3980999999.998
226,222.6,3779000000.007
227,222.7,2898000000.014
228,222.8,1718000000.015
229,222.9,763800000.01
230,223.0,276200000.003
231,223.1,176200000.0
232,223.2,291799999.998
233,223.3,441399999.999
234,223.4,458600000.001
235,223.5,319700000.002
236,223.6,149300000.002
237,223.7,46670000.001
238,223.8,9774000.0
239,223.9,1387000.0
240,224.0,282200.0
241,224.1,998300.0
242,224.2,4298000.0
243,224.3,12550000.0
244,224.4,24630000.0
245,224.5,32510000.0
246,224.6,28860000.0
247,224.7,17260000.0
248,224.8,7370000.0
249,224.9,6647000.0
250,225.0,34479999.999
251,225.1,164599999.997
252,225.2,535599999.993
253,225.3,1176999999.99
254,225.4,1745999999.995
255,225.5,1750000000.005
256,225.6,1187000000.01
257,225.7,550700000.008
258,225.8,182400000.003
259,225.9,52580000.001
260,226.0,27370000.0
261,226.1,68279999.999
262,226.2,259799999.995
263,226.3,735599999.991
264,226.4,1423999999.99
265,226.5,1874999999.998
266,226.6,1695000000.007
267,226.7,1160000000.007
268,226.8,983499999.997
269,226.9,1591999999.985
