,wavelength,intensity
0,200.0,1011000.0
1,200.1,1430158.114
2,200.2,1703144.324
3,200.3,1707165.983
4,200.4,1452245.128
5,200.5,1079230.521
6,200.6,780889.935
7,200.7,700430.884
8,200.8,876914.049
9,200.9,1232094.249
10,201.0,1600537.921
11,201.1,1799000.0
12,201.2,1721760.399
13,201.3,1401155.066
14,201.4,970888.796
15,201.5,574147.233
16,201.6,290417.861
17,201.7,126084.653
18,201.8,47131.687
19,201.9,15147.249
20,202.0,4213.932
21,202.1,1004.617
22,202.2,208.5
23,202.3,37.894
24,202.4,11.741
25,202.5,78.513
26,202.6,592.59
27,202.7,4289.238
28,202.8,25170.0
29,202.9,125099.946
30,203.0,532234.047
31,203.1,1906979.756
32,203.2,5804540.968
33,203.3,14969112.199
34,203.4,32804644.08
35,203.5,61203247.934
36,203.6,97396240.623
37,203.7,132862977.942
38,203.8,155945780.257
39,203.9,158600000.0
40,204.0,140531206.344
41,204.1,109347390.025
42,204.2,74928352.333
43,204.3,45327907.472
44,204.4,24166235.616
45,204.5,11292944.4
46,204.6,4601858.841
47,204.7,1621438.648
48,204.8,492313.914
49,204.9,127594.683
50,205.0,28410.0
51,205.1,5373.311
52,205.2,1032.585
53,205.3,1332.571
54,205.4,8156.781
55,205.5,44179.686
56,205.6,204923.961
57,205.7,809389.737
58,205.8,2710851.216
59,205.9,7733474.779
60,206.0,18746377.841
61,206.1,38730000.0
62,206.2,68351863.776
63,206.3,103563738.465
64,206.4,135778133.059
65,206.5,156081951.747
66,206.6,160428228.72
67,206.7,150406103.712
68,206.8,131230914.833
69,206.9,106877623.104
70,207.0,80664761.939
71,207.1,55865857.102
72,207.2,36290000.0
73,207.3,24542733.513
74,207.4,20689197.892
75,207.5,22141637.983
76,207.6,25041311.113
77,207.7,26022040.096
78,207.8,23710000.0
79,207.9,19092263.905
80,208.0,14647122.822
81,208.1,12815470.195
82,208.2,14761258.598
83,208.3,19853424.198
84,208.4,25908010.216
85,208.5,30183777.817
86,208.6,30859051.01
87,208.7,27893771.932
88,208.8,22786744.398
89,208.9,17300000.0
90,209.0,12568419.923
91,209.1,8995638.203
92,209.2,6872549.935
93,209.3,6683177.29
94,209.4,8969814.058
95,209.5,13764464.726
96,209.6,20091510.877
97,209.7,25976721.653
98,209.8,29386572.887
99,209.9,29448768.393
100,210.0,26980000.0
101,210.1,23632667.986
102,210.2,20562184.708
103,210.3,17805112.432
104,210.4,14796242.777
105,210.5,11277642.919
106,210.6,7686468.885
107,210.7,4791457.131
108,210.8,3268120.625
109,210.9,3586636.025
110,211.0,6099265.103
111,211.1,10950000.0
112,211.2,17649383.553
113,211.3,24776692.854
114,211.4,30378292.145
