,wavelength,intensity
0,200.0,38190000.0
1,200.1,38979164.807
2,200.2,32731807.458
3,200.3,22735932.226
4,200.4,13020000.0
5,200.5,6158752.313
6,200.6,2402458.383
7,200.7,773838.558
8,200.8,206551.121
9,200.9,46425.271
10,201.0,9546.35
11,201.1,2576.884
12,201.2,1337.275
13,201.3,919.878
14,201.4,592.117
15,201.5,326.08
16,201.6,150.501
17,201.7,57.775
18,201.8,18.397
19,201.9,4.839
20,202.0,1.06
21,202.1,0.192
22,202.2,0.029
23,202.3,0.004
24,202.4,0.0
25,202.5,0.0
26,202.6,0.0
27,202.7,0.0
28,202.8,0.0
29,202.9,0.0
30,203.0,0.0
31,203.1,0.0
32,203.2,0.0
33,203.3,0.0
34,203.4,0.0
35,203.5,0.0
36,203.6,0.0
37,203.7,0.001
38,203.8,0.004
39,203.9,0.0
40,204.0,0.413
41,204.1,3.442
42,204.2,53.133
43,204.3,707.619
44,204.4,6933.557
45,204.5,60691.004
46,204.6,432700.0
47,204.7,2559651.529
48,204.8,12697860.667
49,204.9,52552995.971
50,205.0,181099999.999
51,205.1,519970706.891
52,205.2,1244614932.886
53,205.3,2485834232.269
54,205.4,4141999999.995
55,205.5,5775976308.035
56,205.6,6779830725.604
57,205.7,6821661929.766
58,205.8,6150354948.873
59,205.9,5435839668.575
60,206.0,5223949851.08
61,206.1,5533026206.207
62,206.2,5961007662.405
63,206.3,6113479856.31
64,206.4,5887693690.567
65,206.5,5385224150.334
66,206.6,4680322078.289
67,206.7,3779633034.836
68,206.8,2739009585.725
69,206.9,1730071283.979
70,207.0,933193579.18
71,207.1,425300000.001
72,207.2,162806731.378
73,207.3,52192268.456
74,207.4,13990855.662
75,207.5,3141000.0
76,207.6,587532.6
77,207.7,91335.911
78,207.8,11879.779
79,207.9,1312.0
80,208.0,120.362
81,208.1,8.687
82,208.2,0.648
83,208.3,0.023
84,208.4,0.0
85,208.5,0.001
86,208.6,0.006
87,208.7,0.044
88,208.8,0.277
89,208.9,1.458
90,209.0,6.468
91,209.1,24.134
92,209.2,75.748
93,209.3,200.435
94,209.4,448.343
95,209.5,849.965
96,209.6,1373.0
97,209.7,1900.3
98,209.8,2274.529
99,209.9,2380.341
100,210.0,2215.0
101,210.1,1883.249
102,210.2,1530.541
103,210.3,1265.441
104,210.4,1107.0
105,210.5,1000.796
106,210.6,870.538
107,210.7,686.509
108,210.8,472.831
109,210.9,279.493
110,211.0,140.507
111,211.1,59.838
112,211.2,21.541
113,211.3,6.55
114,211.4,1.677
115,211.5,0.362
116,211.6,0.066
117,211.7,0.01
118,211.8,0.001
119,211.9,0.0
120,212.0,0.0
121,212.1,0.0
122,212.2,0.0
123,212.3,0.0
124,212.4,0.0
125,212.5,0.0
126,212.6,0.0
127,212.7,0.0
128,212.8,0.0
129,212.9,0.0
130,213.0,0.0
131,213.1,0.0
132,213.2,0.0
133,213.3,0.0
134,213.4,0.0
135,213.5,0.0
136,213.6,0.0
137,213.7,0.0
138,213.8,0.0
139,213.9,0.0
140,214.0,0.0
141,214.1,0.0
142,214.2,0.0
143,214.3,0.0
144,214.4,0.0
145,214.5,0.0
146,214.6,0.0
147,214.7,0.0
148,214.8,0.0
149,214.9,0.0
150,215.0,0.0
151,215.1,0.0
152,215.2,0.0
153,215.3,0.0
154,215.4,0.0
155,215.5,0.0
156,215.6,0.0
157,215.7,0.0
158,215.8,0.0
159,215.9,0.0
160,216.0,0.0
161,216.1,0.0
162,216.2,0.0
163,216.3,0.0
