,wavelength,intensity
0,200.0,62230000.0
1,200.1,66095917.575
2,200.2,69802396.969
3,200.3,73190000.0
4,200.4,76145435.456
5,200.5,78740000.0
6,200.6,81075103.766
7,200.7,83188022.889
8,200.8,85100000.0
9,200.9,86824770.119
10,201.0,88346037.805
11,201.1,89640000.0
12,201.2,90675254.187
13,201.3,91390000.0
14,201.4,91719386.171
15,201.5,91616755.663
16,201.6,91040000.0
17,201.7,89957550.791
18,201.8,88380000.0
19,201.9,86343736.764
20,202.0,83946178.572
21,202.1,81300000.0
22,202.2,78525042.744
23,202.3,75769816.98
24,202.4,73190000.0
25,202.5,70936356.403
26,202.6,69140000.0
27,202.7,67908366.532
28,202.8,67273830.242
29,202.9,67250000.0
30,203.0,67829787.111
31,203.1,68923312.618
32,203.2,70420000.0
33,203.3,72199203.447
34,203.4,74100000.0
35,203.5,75959470.529
36,203.6,77646988.376
37,203.7,79040000.0
38,203.8,80028165.558
39,203.9,80550000.0
40,204.0,80571239.266
41,204.1,80117648.466
42,204.2,79230000.0
43,204.3,77957939.136
44,204.4,76386602.605
45,204.5,74610000.0
46,204.6,72718761.549
47,204.7,70790000.0
48,204.8,68890563.158
49,204.9,67059756.518
50,205.0,65330000.0
51,205.1,63726630.917
52,205.2,62246656.156
53,205.3,60880000.0
54,205.4,59615794.152
55,205.5,58440000.0
56,205.6,57337979.841
57,205.7,56295869.927
58,205.8,55300000.0
59,205.9,54336213.594
60,206.0,53388409.425
61,206.1,52440000.0
62,206.2,51473770.902
63,206.3,50470000.0
64,206.4,49409451.352
65,206.5,48277341.475
66,206.6,47060000.0
67,206.7,45748138.962
68,206.8,44350000.0
69,206.9,42882868.045
70,207.0,41382671.585
71,207.1,39890000.0
72,207.2,38446441.62
73,207.3,37097580.588
74,207.4,35890000.0
75,207.5,34867156.384
76,207.6,34060000.0
77,207.7,33487803.014
78,207.8,33135631.498
79,207.9,32980000.0
80,208.0,32991219.694
81,208.1,33114788.258
82,208.2,33290000.0
83,208.3,33454582.945
84,208.4,33540000.0
85,208.5,33482435.864
86,208.6,33243227.514
87,208.7,32790000.0
88,208.8,32097629.91
89,208.9,31170000.0
90,209.0,30025026.258
91,209.1,28707751.442
92,209.2,27270000.0
