,wavelength,intensity
0,200.0,17880000.0
1,200.1,30521925.496
2,200.2,47550000.0
3,200.3,72560000.0
4,200.4,106052143.201
5,200.5,148000000.0
6,200.6,197915464.448
7,200.7,253200000.0
8,200.8,310400000.0
9,200.9,364806369.839
10,201.0,411600000.0
11,201.1,446679886.509
12,201.2,468600000.0
13,201.3,477300000.0
14,201.4,476048406.152
15,201.5,470600000.0
16,201.6,467038618.052
17,201.7,471000000.0
18,201.8,487400000.0
19,201.9,517892323.362
20,202.0,560200000.0
21,202.1,610511516.473
22,202.2,662200000.0
23,202.3,707900000.0
24,202.4,740621838.821
25,202.5,755400000.0
26,202.6,748730926.521
27,202.7,720900000.0
28,202.8,673700000.0
29,202.9,611378525.018
30,203.0,539600000.0
31,203.1,464069745.332
32,203.2,389800000.0
33,203.3,321300000.0
34,203.4,261342460.129
35,203.5,210700000.0
36,203.6,169442594.232
37,203.7,136500000.0
38,203.8,110400000.0
39,203.9,89371287.517
40,204.0,72200000.0
41,204.1,57943539.226
42,204.2,46070000.0
43,204.3,36220000.0
44,204.4,28318488.89
45,204.5,22380000.0
46,204.6,18439005.641
47,204.7,16590000.0
48,204.8,16950000.0
49,204.9,19685731.863
50,205.0,25050000.0
51,205.1,33302258.594
52,205.2,44650000.0
53,205.3,59250000.0
54,205.4,77051563.043
55,205.5,97740000.0
56,205.6,120832495.918
57,205.7,145400000.0
58,205.8,170400000.0
59,205.9,194695486.664
60,206.0,216800000.0
61,206.1,235184853.143
62,206.2,248500000.0
63,206.3,255500000.0
64,206.4,255330210.429
65,206.5,247800000.0
66,206.6,233107271.761
67,206.7,212400000.0
68,206.8,187200000.0
69,206.9,159558558.456
70,207.0,131600000.0
71,207.1,105298384.749
72,207.2,82090000.0
73,207.3,63140000.0
74,207.4,48950274.129
75,207.5,39420000.0
76,207.6,34220787.807
77,207.7,32580000.0
78,207.8,33590000.0
79,207.9,36254292.047
80,208.0,39580000.0
81,208.1,42643422.424
82,208.2,44770000.0
83,208.3,45410000.0
84,208.4,44330787.137
85,208.5,41630000.0
86,208.6,37529461.622
87,208.7,32480000.0
88,208.8,26990000.0
89,208.9,21540678.997
90,209.0,16500000.0
91,209.1,12159303.51
92,209.2,8617000.0
93,209.3,5899000.0
94,209.4,3929893.522
95,209.5,2593000.0
96,209.6,1772747.281
97,209.7,1375000.0
98,209.8,1320000.0
99,209.9,1569496.743
100,210.0,2116000.0
101,210.1,2956729.185
102,210.2,4086000.0
103,210.3,5491000.0
104,210.4,7122670.356
105,210.5,8883000.0
106,210.6,10653960.001
107,210.7,12280000.0
108,210.8,13600000.0
109,210.9,14481560.106
110,211.0,14850000.0
111,211.1,14673778.236
112,211.2,14040000.0
113,211.3,13080000.0
114,211.4,11991593.491
115,211.5,11020000.0
116,211.6,10408527.332
117,211.7,10360000.0
118,211.8,11050000.0
119,211.9,12564767.408
120,212.0,14890000.0
121,212.1,17957886.494
122,212.2,21570000.0
123,212.3,25480000.0
124,212.4,29380646.819
125,212.5,32950000.0
126,212.6,35889056.0
127,212.7,37990000.0
128,212.8,39090000.0
129,212.9,39138342.073
130,213.0,38200000.0
131,213.1,36381240.505
132,213.2,33860000.0
133,213.3,30830000.0
134,213.4,27474887.973
135,213.5,23970000.0
136,213.6,20478369.711
137,213.7,17120000.0
138,213.8,14000000.0
139,213.9,11199405.489
140,214.0,8765000.0
141,214.1,6726941.266
142,214.2,5079000.0
143,214.3,3801000.0
144,214.4,2851031.147
145,214.5,2173000.0
146,214.6,1709849.339
147,214.7,1410000.0
148,214.8,1226000.0
149,214.9,1123725.466
150,215.0,1081000.0
151,215.1,1079984.597
152,215.2,1111000.0
153,215.3,1167000.0
154,215.4,1243079.349
155,215.5,1334000.0
156,215.6,1436231.54
157,215.7,1554000.0
158,215.8,1696000.0
159,215.9,1885359.792
160,216.0,2165000.0
161,216.1,2589773.591
162,216.2,3245000.0
163,216.3,4228000.0
164,216.4,5652615.227
165,216.5,7633000.0
166,216.6,10273087.699
167,216.7,13640000.0
168,216.8,17770000.0
169,216.9,22600707.017
170,217.0,28000000.0
171,217.1,33805264.851
172,217.2,39780000.0
173,217.3,45670000.0
174,217.4,51242627.79
175,217.5,56340000.0
176,217.6,60873800.946
177,217.7,64960000.0
178,217.8,68800000.0
179,217.9,72788756.143
180,218.0,77580000.0
181,218.1,83913655.271
182,218.2,92650000.0
183,218.3,104700000.0
184,218.4,120940140.919
185,218.5,141800000.0
186,218.6,167351068.333
187,218.7,196700000.0
188,218.8,228600000.0
189,218.9,261198070.529
190,219.0,291900000.0
191,219.1,318128131.404
192,219.2,338000000.0
193,219.3,350000000.0
194,219.4,353721768.392
