,wavelength,intensity
0,200.0,0.0
1,200.1,0.013
2,200.2,0.221
3,200.3,2.486
4,200.4,18.172
5,200.5,85.968
6,200.6,262.915
7,200.7,525.105
8,200.8,709.6
9,200.9,736.5
10,201.0,757.899
11,201.1,827.444
12,201.2,750.792
13,201.3,474.171
14,201.4,196.673
15,201.5,51.383
16,201.6,65.47
17,201.7,3506.0
18,201.8,144362.409
19,201.9,3771367.49
20,202.0,63772969.854
21,202.1,710734620.672
22,202.2,5175279703.091
23,202.3,24386115225.435
24,202.4,74693371033.178
25,202.5,148699999999.9
26,202.6,192565096690.886
27,202.7,162095860285.69
28,202.8,88718515125.546
29,202.9,31589538539.106
30,203.0,7303337905.598
31,203.1,1099196227.185
32,203.2,107516790.465
33,203.3,6840000.0
34,203.4,282900.0
35,203.5,7395.477
36,203.6,104.922
37,203.7,0.0
38,203.8,0.0
39,203.9,0.0
40,204.0,0.0
41,204.1,0.0
42,204.2,0.0
43,204.3,0.0
44,204.4,0.0
45,204.5,0.0
46,204.6,0.0
47,204.7,0.0
48,204.8,0.0
49,204.9,0.0
50,205.0,0.0
51,205.1,0.226
52,205.2,6.882
53,205.3,350.12
54,205.4,15173.246
55,205.5,448683.608
56,205.6,8775598.799
57,205.7,115441643.842
58,205.8,1000999999.993
59,205.9,5730999999.97
60,206.0,21650532318.185
61,206.1,54030052092.113
62,206.2,88973072265.107
63,206.3,96843437563.928
64,206.4,69764703309.085
65,206.5,33377511122.119
66,206.6,10700000000.053
67,206.7,2346000000.015
68,206.8,366717927.577
69,206.9,43574516.221
70,207.0,4182030.052
71,207.1,316512.369
72,207.2,18150.478
73,207.3,755.934
74,207.4,21.386
75,207.5,0.383
76,207.6,0.002
77,207.7,0.0
78,207.8,0.0
79,207.9,0.0
80,208.0,0.0
81,208.1,0.0
82,208.2,0.0
83,208.3,0.0
84,208.4,0.0
85,208.5,0.0
86,208.6,0.0
87,208.7,0.0
88,208.8,0.0
89,208.9,0.0
90,209.0,0.102
91,209.1,9.856
92,209.2,375.4
93,209.3,9658.274
94,209.4,165508.324
95,209.5,1894382.599
96,209.6,14615895.798
97,209.7,75725648.051
98,209.8,262644816.362
99,209.9,612801677.341
100,210.0,965699999.999
101,210.1,1039214458.346
102,210.2,782971574.911
103,210.3,431265391.691
104,210.4,184494589.356
105,210.5,63784028.956
106,210.6,17494342.099
107,210.7,3593911.953
108,210.8,524500.0
109,210.9,52750.0
110,211.0,3605.94
111,211.1,163.402
112,211.2,5.076
113,211.3,0.118
114,211.4,0.002
115,211.5,0.0
116,211.6,0.0
117,211.7,0.0
118,211.8,0.0
119,211.9,0.0
120,212.0,0.0
121,212.1,0.0
122,212.2,0.0
123,212.3,0.0
124,212.4,0.0
125,212.5,0.0
126,212.6,0.011
127,212.7,0.135
128,212.8,3.87
129,212.9,151.36
130,213.0,5308.28
131,213.1,144063.881
132,213.2,2817159.002
133,213.3,37429999.999
134,213.4,338199999.995
135,213.5,2076876037.082
136,213.6,8667154138.187
137,213.7,24592433854.387
138,213.8,47402638691.104
139,213.9,62103617736.66
140,214.0,55321993062.758
141,214.1,33490000000.185
142,214.2,13780000000.118
143,214.3,3851962141.882
144,214.4,732019998.006
145,214.5,94522687.747
146,214.6,8208608.587
147,214.7,488749.994
148,214.8,20287.229
149,214.9,566.033
150,215.0,10.37
151,215.1,0.112
152,215.2,0.0
153,215.3,0.0
154,215.4,0.001
155,215.5,0.002
156,215.6,0.003
157,215.7,0.004
158,215.8,0.004
159,215.9,0.005
160,216.0,0.005
161,216.1,0.005
162,216.2,0.006
163,216.3,0.006
164,216.4,0.006
165,216.5,0.006
166,216.6,0.006
167,216.7,0.006
168,216.8,0.005
169,216.9,0.005
170,217.0,0.005
171,217.1,0.004
172,217.2,0.004
173,217.3,0.004
174,217.4,0.003
175,217.5,0.003
176,217.6,0.002
177,217.7,0.002
178,217.8,0.002
179,217.9,0.001
180,218.0,0.001
181,218.1,0.001
182,218.2,0.0
183,218.3,0.0
184,218.4,0.0
185,218.5,0.0
186,218.6,0.0
187,218.7,0.0
188,218.8,0.0
189,218.9,0.0
190,219.0,0.0
191,219.1,0.0
192,219.2,0.009
193,219.3,0.137
194,219.4,1.42
195,219.5,10.187
196,219.6,50.834
197,219.7,175.936
198,219.8,422.63
199,219.9,704.583
200,220.0,815.4
201,220.1,654.897
202,220.2,365.184
203,220.3,141.338
204,220.4,37.935
205,220.5,7.067
206,220.6,0.916
207,220.7,0.082
208,220.8,0.005
209,220.9,0.0
210,221.0,0.0
211,221.1,0.0
212,221.2,0.0
213,221.3,0.0
214,221.4,0.0
215,221.5,0.0
216,221.6,0.0
217,221.7,0.0
218,221.8,0.0
219,221.9,0.0
220,222.0,0.0
221,222.1,0.0
222,222.2,0.0
223,222.3,0.0
224,222.4,0.0
225,222.5,0.0
226,222.6,0.0
227,222.7,0.0
228,222.8,0.0
229,222.9,0.0
230,223.0,0.003
