,wavelength,intensity
0,200.0,1334000000.0
1,200.1,1265233074.386
2,200.2,909500000.0
3,200.3,498200918.332
4,200.4,207469940.527
5,200.5,65702533.836
6,200.6,15836357.797
7,200.7,2926859.925
8,200.8,513102.117
9,200.9,473081.719
10,201.0,1412801.337
11,201.1,3838564.656
12,201.2,8891150.969
13,201.3,17746004.814
14,201.4,30196613.345
15,201.5,42627470.703
16,201.6,48399811.5
17,201.7,43257063.858
18,201.8,30062243.119
19,201.9,16560291.222
20,202.0,9435592.904
21,202.1,13639552.601
22,202.2,36789197.771
23,202.3,88590000.0
24,202.4,167726354.315
25,202.5,246200000.0
26,202.6,279873418.934
27,202.7,246100000.0
28,202.8,167986448.368
29,202.9,91175928.419
30,203.0,45120054.742
31,203.1,37209639.438
32,203.2,79607306.198
33,203.3,214064005.721
34,203.4,495865131.954
35,203.5,920910684.841
36,203.6,1354806993.278
37,203.7,1577032608.157
38,203.8,1454628522.926
39,203.9,1074275240.949
40,204.0,675383512.154
41,204.1,471619448.011
42,204.2,531299088.492
43,204.3,760519891.518
44,204.4,959387835.199
45,204.5,954660534.56
46,204.6,734399539.904
47,204.7,435368963.844
48,204.8,199300000.001
49,204.9,72899299.806
50,205.0,32310000.0
51,205.1,52806662.184
52,205.2,141200000.0
53,205.3,313365507.56
54,205.4,539072890.129
55,205.5,716185303.123
56,205.6,734426516.675
57,205.7,581294255.411
58,205.8,355154339.929
59,205.9,167650406.905
60,206.0,61726764.669
61,206.1,18758732.262
62,206.2,6277426.85
63,206.3,3795475.507
64,206.4,3341067.548
65,206.5,3016364.472
66,206.6,2691167.806
67,206.7,2356219.921
68,206.8,1929744.246
69,206.9,1449120.983
70,207.0,1029700.934
71,207.1,712604.54
72,207.2,469495.634
73,207.3,311100.0
74,207.4,348257.688
75,207.5,818500.0
76,207.6,2042726.295
77,207.7,4129000.0
78,207.8,6510897.065
79,207.9,7975463.966
80,208.0,7593633.531
81,208.1,5657256.635
82,208.2,3430165.728
83,208.3,2097033.936
84,208.4,2222180.561
85,208.5,3991681.819
86,208.6,7346369.837
87,208.7,11466501.068
88,208.8,14492917.132
89,208.9,14589125.97
90,209.0,11690176.503
91,209.1,7685432.45
92,209.2,4660246.956
93,209.3,3306257.949
94,209.4,3081379.546
95,209.5,3375778.999
96,209.6,4194102.766
97,209.7,5748039.287
98,209.8,7754000.0
99,209.9,10025284.907
100,210.0,15220000.0
101,210.1,32328379.641
102,210.2,75890000.0
103,210.3,154580037.284
104,210.4,251863700.14
105,210.5,322299793.088
106,210.6,324202109.687
107,210.7,262635782.296
108,210.8,194575480.009
109,210.9,191455621.152
110,211.0,292953481.464
111,211.1,474918302.005
112,211.2,644001426.09
113,211.3,692091400.593
114,211.4,584768537.889
115,211.5,390912373.765
116,211.6,212293545.99
117,211.7,103833888.84
118,211.8,64740803.656
119,211.9,83938985.377
120,212.0,172174365.662
121,212.1,348292590.06
122,212.2,597110133.285
123,212.3,850999999.998
124,212.4,1031760775.694
125,212.5,1103000000.0
126,212.6,1060802852.763
127,212.7,908400000.001
128,212.8,669161877.764
129,212.9,412739766.733
130,213.0,225963760.25
131,213.1,183551844.59
132,213.2,380083984.479
133,213.3,968690225.242
134,213.4,2060532645.864
135,213.5,3474159974.688
136,213.6,4619541468.821
137,213.7,4836917653.577
138,213.8,3987584804.895
139,213.9,2586750540.201
140,214.0,1320827862.06
141,214.1,530826780.101
142,214.2,168590005.093
143,214.3,45882184.817
144,214.4,25171361.645
145,214.5,57580006.748
146,214.6,150044799.153
147,214.7,317258164.565
148,214.8,532199999.998
149,214.9,706194244.448
150,215.0,741000000.0
151,215.1,614685466.308
152,215.2,403800000.002
153,215.3,210601861.528
154,215.4,87700124.648
155,215.5,29463858.265
156,215.6,8190922.652
157,215.7,2198545.104
158,215.8,1380412.865
159,215.9,2764367.833
160,216.0,6657710.546
161,216.1,15641334.91
162,216.2,34513996.629
163,216.3,67287929.593
164,216.4,109960605.174
165,216.5,146087395.538
166,216.6,155383098.398
167,216.7,131589499.28
168,216.8,88339995.817
169,216.9,47070180.137
170,217.0,20088427.155
171,217.1,7615587.997
172,217.2,4954679.06
173,217.3,10150000.0
174,217.4,29799182.537
175,217.5,86739999.999
176,217.6,224094398.17
177,217.7,484499999.997
178,217.8,854048990.985
179,217.9,1213489166.099
180,218.0,1390095512.23
181,218.1,1289077735.345
182,218.2,975748544.409
183,218.3,611101788.355
184,218.4,325904733.816
185,218.5,166336303.694
186,218.6,129612862.608
187,218.7,214045565.706
188,218.8,437533652.565
189,218.9,822247046.274
190,219.0,1360026333.552
191,219.1,1961322151.72
192,219.2,2424766470.594
193,219.3,2514427376.292
194,219.4,2148931886.479
195,219.5,1494424406.967
196,219.6,840340682.625
197,219.7,382182013.274
198,219.8,141900000.002
199,219.9,44487807.645
200,220.0,13300000.0
201,220.1,5024500.155
202,220.2,2886000.0
203,220.3,2262513.646
204,220.4,3531770.401
205,220.5,11225617.874
206,220.6,37003227.471
207,220.7,100872771.847
208,220.8,220568071.794
209,220.9,385928353.155
210,221.0,539952698.274
211,221.1,605394690.174
212,221.2,548478077.843
213,221.3,419391875.708
214,221.4,324492031.749
215,221.5,363878496.723
216,221.6,577181445.012
217,221.7,905304641.626
218,221.8,1192727667.199
219,221.9,1270532410.404
220,222.0,1086938244.774
221,222.1,747028678.885
222,222.2,417462908.02
223,222.3,203000000.002
224,222.4,114786172.432
225,222.5,117100000.0
226,222.6,176251963.705
227,222.7,270399999.999
228,222.8,372874295.323
229,222.9,440658234.86
230,223.0,434405457.34
231,223.1,351595853.895
232,223.2,231580785.698
233,223.3,123839743.477
234,223.4,53857747.406
235,223.5,19827942.484
236,223.6,9896089.324
237,223.7,20539615.745
238,223.8,68200646.388
239,223.9,193603471.383
240,224.0,445007951.68
241,224.1,829899825.685
242,224.2,1270984862.519
243,224.3,1645142471.524
244,224.4,1903168094.418
245,224.5,2122176116.012
246,224.6,2369895320.014
247,224.7,2550600199.945
248,224.8,2453000000.004
249,224.9,1994712258.605
250,225.0,1334000000.01
251,225.1,723861010.736
252,225.2,317700000.004
253,225.3,112891161.436
254,225.4,33020432.285
255,225.5,8644396.71
256,225.6,2714751.752
257,225.7,1365999.315
258,225.8,928573.739
259,225.9,914332.645
260,226.0,1614030.168
261,226.1,3433745.883
262,226.2,6463295.465
263,226.3,10027492.419
264,226.4,12683282.978
265,226.5,13057002.92
266,226.6,10960936.48
267,226.7,7514746.951
268,226.8,4254332.46
269,226.9,2204912.94
270,227.0,2049080.772
271,227.1,5468037.814
272,227.2,16926163.597
273,227.3,43999999.999
274,227.4,93042897.194
275,227.5,159599999.999
276,227.6,222817725.619
277,227.7,254000000.0
278,227.8,238550244.862
279,227.9,187738430.826
280,228.0,127351165.091
281,228.1,77501043.264
282,228.2,43823927.64
283,228.3,23303482.336
284,228.4,11658682.798
285,228.5,5840725.34
286,228.6,3574951.602
287,228.7,3134801.68
288,228.8,3894870.097
289,228.9,7254671.328
290,229.0,17624671.582
291,229.1,42171381.687
292,229.2,86781911.968
293,229.3,147571296.96
294,229.4,204993159.896
295,229.5,232197368.582
296,229.6,214867971.495
297,229.7,163724872.634
298,229.8,105800000.001
299,229.9,63087175.317
300,230.0,41230000.0
301,230.1,34176952.292
302,230.2,33740000.0
303,230.3,34849384.672
304,230.4,35435444.097
305,230.5,34629104.215
306,230.6,31685292.907
307,230.7,26205052.623
308,230.8,18922364.723
309,230.9,11609657.684
310,231.0,5947871.959
311,231.1,2514223.801
312,231.2,871649.644
313,231.3,246941.254
314,231.4,57048.845
315,231.5,10773.285
316,231.6,1637.335
317,231.7,206.123
318,231.8,21.082
319,231.9,1.816
320,232.0,0.631
321,232.1,5.662
322,232.2,49.083
323,232.3,346.2
324,232.4,1992.272
325,232.5,9434.0
326,232.6,36492.105
327,232.7,115800.0
328,232.8,301983.195
329,232.9,648526.434
330,233.0,1153794.528
331,233.1,1716885.063
332,233.2,2173746.999
333,233.3,2409275.273
334,233.4,2437007.082
335,233.5,2375881.534
336,233.6,2350196.62
337,233.7,2420877.957
338,233.8,2538697.113
339,233.9,2564830.626
340,234.0,2359417.876
341,234.1,1919092.263
342,234.2,1434555.493
343,234.3,1190253.519
344,234.4,1407905.668
345,234.5,2091871.486
346,234.6,2966581.064
347,234.7,3581868.817
348,234.8,3574000.0
349,234.9,2928563.778
350,235.0,1968000.0
351,235.1,1084432.243
352,235.2,489600.0
353,235.3,181180.1
354,235.4,54991.525
355,235.5,13659.262
356,235.6,2788.189
357,235.7,472.523
358,235.8,133.502
359,235.9,737.05
360,236.0,6486.23
361,236.1,46186.381
362,236.2,272315.874
363,236.3,1321178.572
364,236.4,5277482.622
365,236.5,17327690.451
366,236.6,46823659.822
367,236.7,104109456.236
368,236.8,190484669.576
369,236.9,286862836.868
370,237.0,355423674.754
371,237.1,362626121.954
372,237.2,304661956.404
373,237.3,211200000.002
374,237.4,121317689.431
375,237.5,58490000.001
376,237.6,24538593.037
377,237.7,9738000.0
378,237.8,4137466.767
379,237.9,2029582.428
380,238.0,1187148.227
381,238.1,1019745.419
382,238.2,1383090.662
383,238.3,2106270.963
384,238.4,2863391.171
385,238.5,3264023.179
386,238.6,3077663.496
387,238.7,2396066.625
388,238.8,1539379.722
389,238.9,815272.55
390,239.0,356359.43
391,239.1,128500.991
392,239.2,38201.058
393,239.3,9412.194
394,239.4,2233.008
395,239.5,2379.245
396,239.6,10614.911
397,239.7,44641.06
398,239.8,156000.0
399,239.9,450816.097
400,240.0,1078000.0
401,240.1,2132560.058
402,240.2,3490000.0
403,240.3,4725583.808
404,240.4,5294698.297
405,240.5,4909039.071
406,240.6,3767885.676
407,240.7,2405866.255
408,240.8,1318109.414
409,240.9,748728.611
410,241.0,738026.037
411,241.1,1256350.228
412,241.2,2215964.079
413,241.3,3391957.875
414,241.4,4424019.119
415,241.5,5031504.762
416,241.6,5245258.695
417,241.7,5400041.391
418,241.8,5840226.14
419,241.9,6691084.002
420,242.0,7870059.432
421,242.1,9238277.145
422,242.2,10648742.231
423,242.3,11870000.0
424,242.4,12521202.916
425,242.5,12220000.0
426,242.6,10932783.144
427,242.7,9023000.0
428,242.8,7029140.753
429,242.9,5264142.169
430,243.0,3763111.159
431,243.1,2497428.64
432,243.2,1561645.273
433,243.3,1260782.308
434,243.4,2384302.014
435,243.5,6848766.596
436,243.6,18246401.568
437,243.7,40985271.299
438,243.8,76719808.623
439,243.9,119549380.601
440,244.0,155127615.846
441,244.1,167475765.623
442,244.2,150751526.841
443,244.3,113210796.295
444,244.4,72211538.107
445,244.5,42985117.088
446,244.6,34122209.98
447,244.7,48886771.811
448,244.8,86499999.999
449,244.9,139115978.899
450,245.0,189199999.999
451,245.1,214871594.243
452,245.2,203400000.001
453,245.3,160526014.973
454,245.4,105541179.269
455,245.5,57832582.119
456,245.6,26406396.8
457,245.7,10049061.225
458,245.8,3186707.164
459,245.9,841483.148
460,246.0,185532.43
461,246.1,34061.822
462,246.2,5176.423
463,246.3,688.667
464,246.4,278.659
465,246.5,1165.156
466,246.6,5395.924
467,246.7,21031.724
468,246.8,68506.463
469,246.9,186634.985
470,247.0,425007.632
471,247.1,809270.472
472,247.2,1288755.102
473,247.3,1716000.0
474,247.4,1910234.722
475,247.5,1778000.0
476,247.6,1384505.148
477,247.7,901700.0
478,247.8,494067.05
479,247.9,238295.092
480,248.0,137084.749
481,248.1,178032.205
482,248.2,373672.163
483,248.3,747434.611
484,248.4,1277229.72
485,248.5,1854449.902
486,248.6,2341742.496
487,248.7,2739210.336
488,248.8,3322001.778
489,248.9,4564776.413
490,249.0,6750482.826
491,249.1,9534251.606
492,249.2,11888644.824
493,249.3,12637797.767
494,249.4,11346454.172
495,249.5,8548481.719
496,249.6,5404676.029
497,249.7,2866676.33
498,249.8,1279000.0
499,249.9,498579.426
500,250.0,236700.0
501,250.1,312985.565
502,250.2,723400.0
503,250.3,1567233.527
504,250.4,2882082.557
505,250.5,4454459.134
506,250.6,5786282.149
507,250.7,6316524.599
508,250.8,5814491.713
509,250.9,4597411.572
510,251.0,3480819.943
511,251.1,3705924.51
512,251.2,7213229.45
513,251.3,17024499.612
514,251.4,36703944.695
515,251.5,67843128.74
516,251.6,106512210.601
517,251.7,142155622.469
518,251.8,163197427.953
519,251.9,167852033.136
520,252.0,173748786.029
521,252.1,218316620.185
522,252.2,346241859.77
523,252.3,582599999.991
524,252.4,901128555.086
525,252.5,1215999999.992
526,252.6,1416458835.694
527,252.7,1449000000.001
528,252.8,1354150112.286
