,wavelength,intensity
0,200.0,1122.0
1,200.1,7288.881
2,200.2,36788.127
3,200.3,141745.008
4,200.4,419412.323
5,200.5,952541.616
6,200.6,1660693.143
7,200.7,2224906.357
8,200.8,2306021.326
9,200.9,1924406.516
10,201.0,1594725.08
11,201.1,2095000.0
12,201.2,4046553.037
13,201.3,7294000.0
14,201.4,10465954.243
15,201.5,11616168.925
16,201.6,9915488.011
17,201.7,6515747.917
18,201.8,3293995.861
19,201.9,1285623.684
20,202.0,417644.999
21,202.1,244226.053
22,202.2,561677.462
23,202.3,1501774.426
24,202.4,3246000.0
25,202.5,5551121.823
26,202.6,7502000.0
27,202.7,8005218.864
28,202.8,6735744.982
29,202.9,4458215.638
30,203.0,2313873.671
31,203.1,938885.826
32,203.2,297248.85
33,203.3,73228.42
34,203.4,14007.262
35,203.5,2082.851
36,203.6,235.872
37,203.7,21.87
38,203.8,9.983
39,203.9,98.46
40,204.0,847.999
41,204.1,5735.617
42,204.2,29894.072
43,204.3,121031.978
44,204.4,380106.998
45,204.5,925721.955
46,204.6,1754157.399
47,204.7,2601605.101
48,204.8,3078839.769
49,204.9,3073891.772
50,205.0,2926000.0
51,205.1,3040908.69
52,205.2,3421101.513
53,205.3,3754837.604
54,205.4,3845745.45
55,205.5,3734015.895
56,205.6,3501390.048
57,205.7,3244123.514
58,205.8,3170269.698
59,205.9,3409526.412
60,206.0,3688902.676
61,206.1,3522000.0
62,206.2,2743207.732
63,206.3,1689000.0
64,206.4,814022.965
65,206.5,305509.52
66,206.6,89261.432
67,206.7,20276.914
68,206.8,3584.53
69,206.9,491.185
70,207.0,53.118
71,207.1,4.253
72,207.2,0.282
73,207.3,0.03
74,207.4,0.369
75,207.5,6.461
76,207.6,88.97
77,207.7,949.975
78,207.8,8052.509
79,207.9,52879.371
80,208.0,273898.126
81,208.1,1105970.968
82,208.2,3497119.415
83,208.3,8660068.053
84,208.4,16800360.168
85,208.5,25601516.139
86,208.6,30867411.539
87,208.7,30070000.0
88,208.8,25034861.011
89,208.9,20120000.0
90,209.0,17991062.546
91,209.1,18368946.717
92,209.2,19829847.602
93,209.3,20994895.705
94,209.4,20450242.113
95,209.5,17254016.175
96,209.6,12029337.732
97,209.7,6749846.495
98,209.8,3013979.568
99,209.9,1071212.477
100,210.0,309800.0
101,210.1,79168.613
102,210.2,23308.257
103,210.3,11650.763
104,210.4,9682.989
105,210.5,9423.28
106,210.6,8521.453
107,210.7,6482.379
108,210.8,3998.004
109,210.9,1970.761
110,211.0,772.544
111,211.1,242.3
112,211.2,88.335
113,211.3,299.4
114,211.4,2195.452
115,211.5,13345.396
116,211.6,63771.551
117,211.7,241447.299
118,211.8,727525.009
119,211.9,1761520.355
120,212.0,3501838.715
121,212.1,5962610.064
122,212.2,9242573.784
123,212.3,13784143.722
124,212.4,20140000.0
125,212.5,28516081.085
126,212.6,39080000.0
127,212.7,51635229.611
128,212.8,63525071.216
129,212.9,68746080.53
130,213.0,62326013.273
131,213.1,45948373.651
132,213.2,27195107.445
133,213.3,13097235.196
134,213.4,6175202.746
135,213.5,5812093.647
136,213.6,11037719.006
137,213.7,20620000.0
138,213.8,31271114.92
139,213.9,37670000.0
140,214.0,35947616.011
141,214.1,27193608.341
142,214.2,16324982.224
143,214.3,7884996.784
144,214.4,3392753.547
145,214.5,2090565.666
146,214.6,2653918.933
147,214.7,3924253.35
148,214.8,4901327.399
149,214.9,4896653.649
150,215.0,3891000.0
151,215.1,2480818.005
152,215.2,1402333.583
153,215.3,1293020.114
154,215.4,3105172.016
155,215.5,8731219.588
156,215.6,20694727.559
157,215.7,40092503.38
158,215.8,64268423.603
159,215.9,87864600.282
160,216.0,109642807.525
161,216.1,142400000.0
162,216.2,218915822.584
163,216.3,379599999.998
164,216.4,632976492.231
165,216.5,914763636.509
166,216.6,1109950869.662
167,216.7,1141625998.268
168,216.8,1034319396.356
169,216.9,868646371.582
170,217.0,703665976.33
171,217.1,575805629.205
172,217.2,531961999.563
173,217.3,610050202.643
174,217.4,775099999.998
175,217.5,908044805.894
176,217.6,891700000.001
177,217.7,710579918.558
178,217.8,456010711.421
179,217.9,238171239.104
180,218.0,112678180.004
181,218.1,80133143.199
182,218.2,121548068.111
183,218.3,213186254.633
184,218.4,316303864.349
185,218.5,377835156.659
186,218.6,361621898.171
187,218.7,277400000.001
188,218.8,171431144.156
189,218.9,86670000.001
190,219.0,37703647.337
191,219.1,15955742.769
192,219.2,7743422.413
193,219.3,4593261.77
194,219.4,3669361.549
195,219.5,5001694.641
196,219.6,10115104.213
197,219.7,22902079.551
198,219.8,50769703.764
199,219.9,101425859.048
200,220.0,172699999.999
201,220.1,244885744.734
202,220.2,291208948.822
203,220.3,306192723.188
204,220.4,319612162.823
205,220.5,368460045.92
206,220.6,451536138.005
207,220.7,521183232.354
208,220.8,527764894.695
209,220.9,467010941.816
210,221.0,377048431.881
211,221.1,304400000.001
212,221.2,292547422.234
213,221.3,399299999.998
214,221.4,685704282.912
215,221.5,1142381408.288
216,221.6,1623921614.24
217,221.7,1896519121.373
218,221.8,1814615579.048
219,221.9,1456640116.793
220,222.0,1056798282.338
221,222.1,815736591.695
222,222.2,790626659.145
223,222.3,911175889.994
224,222.4,1058999999.998
225,222.5,1130861126.571
226,222.6,1067000000.002
227,222.7,875183252.345
228,222.8,615920547.944
229,222.9,367782105.755
230,223.0,184589707.76
231,223.1,77236626.888
232,223.2,26774167.62
233,223.3,7645757.109
234,223.4,1792265.564
235,223.5,346765.922
236,223.6,60871.309
237,223.7,23540.0
238,223.8,46519.449
239,223.9,149700.0
240,224.0,467555.287
241,224.1,1242089.252
242,224.2,2704639.127
243,224.3,4782417.377
244,224.4,6852398.145
245,224.5,7974117.482
246,224.6,7681140.985
247,224.7,6883836.353
248,224.8,8796794.108
249,224.9,20432100.713
250,225.0,54049999.999
251,225.1,123715478.944
252,225.2,231695159.665
253,225.3,352641817.202
254,225.4,435386419.365
255,225.5,436451031.351
256,225.6,355575012.21
257,225.7,236295208.238
258,225.8,130447904.61
259,225.9,66703313.373
260,226.0,50819407.329
261,226.1,83009999.999
262,226.2,164537499.214
263,226.3,284599999.998
264,226.4,406915243.962
265,226.5,482680212.752
266,226.6,492951120.798
267,226.7,475694328.034
268,226.8,496490235.853
269,226.9,581494993.114
270,227.0,680956147.584
271,227.1,708369855.244
272,227.2,619458193.49
273,227.3,451249142.844
274,227.4,287300000.002
275,227.5,196838688.53
276,227.6,203599999.999
277,227.7,289453917.64
278,227.8,404735895.115
279,227.9,485111053.952
280,228.0,482964483.686
281,228.1,397383163.229
282,228.2,274211041.396
283,228.3,171672502.254
284,228.4,126417952.985
285,228.5,143093350.019
286,228.6,200063226.01
287,228.7,260999999.999
288,228.8,291815123.847
289,228.9,278600000.001
290,229.0,232669356.516
291,229.1,181714566.332
292,229.2,159416018.033
293,229.3,204873686.872
294,229.4,359835366.643
295,229.5,643060311.98
296,229.6,1009761245.506
297,229.7,1340283194.466
298,229.8,1500908156.795
299,229.9,1444619568.176
300,230.0,1258000000.003
301,230.1,1084414086.373
302,230.2,1006218566.072
303,230.3,983133140.625
304,230.4,916862228.761
305,230.5,753373464.119
306,230.6,526748176.803
307,230.7,313170994.415
308,230.8,168138138.465
309,230.9,105191200.948
310,231.0,115675340.787
311,231.1,192999999.998
312,231.2,341211011.421
313,231.3,569599999.995
314,231.4,871504785.452
315,231.5,1195166170.122
316,231.6,1437880963.561
317,231.7,1509611238.075
318,231.8,1398276862.601
319,231.9,1185067240.444
320,232.0,963137903.342
321,232.1,773980308.023
322,232.2,610558300.566
323,232.3,466704393.339
324,232.4,356100000.002
325,232.5,290461335.35
326,232.6,259000000.0
327,232.7,236887860.607
328,232.8,207503764.225
329,232.9,172457267.625
330,233.0,142931002.876
331,233.1,128616638.284
332,233.2,133537717.206
333,233.3,155494011.436
334,233.4,182797025.9
335,233.5,196663013.208
336,233.6,182838935.719
337,233.7,143100000.001
338,233.8,93561121.608
339,233.9,51520000.001
340,234.0,25539996.227
341,234.1,15528394.757
342,234.2,18908251.386
343,234.3,34067972.353
344,234.4,58641295.304
345,234.5,86114407.802
346,234.6,106172180.542
347,234.7,110005469.359
348,234.8,96500048.88
349,234.9,72239606.484
350,235.0,46840000.0
