,wavelength,intensity
0,200.0,210200.0
1,200.1,267900.0
2,200.2,310100.0
3,200.3,326300.0
4,200.4,311823.076
5,200.5,272300.0
6,200.6,216900.0
7,200.7,158500.0
8,200.8,107300.0
9,200.9,68250.0
10,201.0,41800.0
11,201.1,25400.0
12,201.2,15655.898
13,201.3,10010.0
14,201.4,6432.0
15,201.5,4051.0
16,201.6,2434.0
17,201.7,1368.0
18,201.8,711.0
19,201.9,340.4
20,202.0,154.9
21,202.1,80.847
22,202.2,182.9
23,202.3,692.3
24,202.4,2652.0
25,202.5,9343.0
26,202.6,30010.0
27,202.7,87890.0
28,202.8,234700.0
29,202.9,565822.566
30,203.0,1269000.0
31,203.1,2572000.0
32,203.2,4761000.0
33,203.3,8052000.0
34,203.4,12450000.0
35,203.5,17630000.0
36,203.6,22890000.0
37,203.7,27247663.802
38,203.8,29890000.0
39,203.9,30200000.0
40,204.0,28180000.0
41,204.1,24330000.0
42,204.2,19480000.0
43,204.3,14480000.0
44,204.4,9995000.0
45,204.5,6412000.0
46,204.6,3824847.821
47,204.7,2107000.0
48,204.8,1076000.0
49,204.9,507600.0
50,205.0,220600.0
51,205.1,88180.0
52,205.2,32360.0
53,205.3,10880.0
54,205.4,3006.665
55,205.5,943.8
56,205.6,242.9
57,205.7,57.15
58,205.8,12.68
59,205.9,4.71
60,206.0,11.56
61,206.1,49.03
62,206.2,164.775
63,206.3,723.4
64,206.4,2431.0
65,206.5,7465.0
66,206.6,20960.0
67,206.7,53790.0
68,206.8,126200.0
69,206.9,270700.0
70,207.0,530900.0
71,207.1,954832.154
72,207.2,1561000.0
73,207.3,2343000.0
74,207.4,3220000.0
75,207.5,4062000.0
76,207.6,4723000.0
77,207.7,5100000.0
78,207.8,5190000.0
79,207.9,5098873.108
80,208.0,4994000.0
81,208.1,5033000.0
82,208.2,5272000.0
83,208.3,5645000.0
84,208.4,5992000.0
85,208.5,6141000.0
86,208.6,5982000.0
87,208.7,5512069.375
88,208.8,4837000.0
89,208.9,4092000.0
90,209.0,3431000.0
91,209.1,2975000.0
92,209.2,2807000.0
93,209.3,2968000.0
94,209.4,3444000.0
95,209.5,4151000.0
96,209.6,4944009.102
97,209.7,5655000.0
98,209.8,6127000.0
99,209.9,6274000.0
100,210.0,6095000.0
101,210.1,5650000.0
102,210.2,5024000.0
103,210.3,4300000.0
104,210.4,3544218.595
105,210.5,2820000.0
106,210.6,2194000.0
107,210.7,1744000.0
108,210.8,1545000.0
109,210.9,1655000.0
110,211.0,2095000.0
111,211.1,2831000.0
112,211.2,3770922.247
113,211.3,4767000.0
114,211.4,5662000.0
115,211.5,6319000.0
116,211.6,6661000.0
117,211.7,6677000.0
118,211.8,6406000.0
119,211.9,5903000.0
120,212.0,5222000.0
121,212.1,4417161.635
122,212.2,3553000.0
123,212.3,2700000.0
124,212.4,1938000.0
125,212.5,1332000.0
126,212.6,924800.0
127,212.7,731600.0
128,212.8,744500.0
129,212.9,938444.206
130,213.0,1263000.0
131,213.1,1656000.0
132,213.2,2032000.0
133,213.3,2303000.0
134,213.4,2401000.0
135,213.5,2301000.0
136,213.6,2025000.0
137,213.7,1638013.582
138,213.8,1216000.0
139,213.9,829400.0
140,214.0,519600.0
141,214.1,299000.0
142,214.2,158100.0
143,214.3,76730.0
