,wavelength,intensity
0,200.0,5231000.0
1,200.1,6567249.076
2,200.2,7878000.0
3,200.3,9117000.0
4,200.4,10173489.379
5,200.5,10990000.0
6,200.6,11540000.0
7,200.7,11854711.302
8,200.8,12010000.0
9,200.9,12090000.0
10,201.0,12170410.802
11,201.1,12290000.0
12,201.2,12460000.0
13,201.3,12617906.134
14,201.4,12680000.0
15,201.5,12568207.935
16,201.6,12230000.0
17,201.7,11640000.0
18,201.8,10854756.509
19,201.9,9947000.0
20,202.0,8991000.0
21,202.1,8060767.95
22,202.2,7189000.0
23,202.3,6389000.0
24,202.4,5641396.716
25,202.5,4922000.0
26,202.6,4212433.143
27,202.7,3514000.0
28,202.8,2837000.0
29,202.9,2206561.862
30,203.0,1646000.0
31,203.1,1175000.0
32,203.2,801788.213
33,203.3,521100.0
34,203.4,323000.0
35,203.5,190655.442
36,203.6,107200.0
37,203.7,57288.893
38,203.8,29860.0
39,203.9,15800.0
40,204.0,10102.901
41,204.1,11020.0
42,204.2,17960.0
43,204.3,33144.824
44,204.4,61610.0
45,204.5,109700.0
46,204.6,186954.368
47,204.7,304500.0
48,204.8,473700.0
49,204.9,704526.626
50,205.0,1001000.0
51,205.1,1362022.053
52,205.2,1772000.0
53,205.3,2209000.0
54,205.4,2640451.775
55,205.5,3032000.0
56,205.6,3351000.0
57,205.7,3575355.463
58,205.8,3703000.0
59,205.9,3741000.0
60,206.0,3714932.894
61,206.1,3657000.0
62,206.2,3599000.0
63,206.3,3565354.391
64,206.4,3565000.0
65,206.5,3600315.915
66,206.6,3662000.0
67,206.7,3739000.0
68,206.8,3826615.422
69,206.9,3928000.0
70,207.0,4050000.0
71,207.1,4204723.124
72,207.2,4395000.0
73,207.3,4617000.0
74,207.4,4847842.998
75,207.5,5046000.0
76,207.6,5167322.974
77,207.7,5172000.0
78,207.8,5026000.0
79,207.9,4720867.853
80,208.0,4280000.0
81,208.1,3739000.0
82,208.2,3153878.747
83,208.3,2581000.0
84,208.4,2073000.0
85,208.5,1668252.72
86,208.6,1385000.0
87,208.7,1234031.604
88,208.8,1214000.0
89,208.9,1321000.0
90,209.0,1555210.913
91,209.1,1926000.0
92,209.2,2447000.0
93,209.3,3138112.553
94,209.4,4013000.0
95,209.5,5080000.0
96,209.6,6325408.651
97,209.7,7696000.0
98,209.8,9122000.0
99,209.9,10498221.533
100,210.0,11690000.0
101,210.1,12568474.738
102,210.2,13050000.0
103,210.3,13070000.0
104,210.4,12613820.508
105,210.5,11750000.0
106,210.6,10580000.0
107,210.7,9258243.134
108,210.8,7940000.0
109,210.9,6773000.0
110,211.0,5875073.065
111,211.1,5308000.0
112,211.2,5108000.0
113,211.3,5253514.38
114,211.4,5681000.0
115,211.5,6314152.673
116,211.6,7055000.0
117,211.7,7801000.0
118,211.8,8461913.444
119,211.9,8984000.0
120,212.0,9332000.0
121,212.1,9521380.714
122,212.2,9627000.0
123,212.3,9747000.0
124,212.4,10029487.621
125,212.5,10660000.0
126,212.6,11827743.531
127,212.7,13710000.0
128,212.8,16480000.0
129,212.9,20283198.682
130,213.0,25170000.0
131,213.1,31150000.0
132,213.2,38135586.042
133,213.3,45910000.0
134,213.4,54200000.0
135,213.5,62598384.977
136,213.6,70590000.0
137,213.7,77636974.039
138,213.8,83190000.0
139,213.9,86720000.0
140,214.0,87849360.263
141,214.1,86460000.0
142,214.2,82570000.0
143,214.3,76540610.031
144,214.4,68950000.0
145,214.5,60440000.0
146,214.6,51723845.22
147,214.7,43370000.0
148,214.8,35860000.0
149,214.9,29448990.88
150,215.0,24140000.0
151,215.1,19857462.479
152,215.2,16420000.0
153,215.3,13620000.0
154,215.4,11269393.6
155,215.5,9255000.0
156,215.6,7496000.0
157,215.7,5968138.327
158,215.8,4668000.0
159,215.9,3594000.0
160,216.0,2740625.461
161,216.1,2086000.0
162,216.2,1602000.0
163,216.3,1252806.326
164,216.4,1004000.0
165,216.5,824558.563
166,216.6,693500.0
167,216.7,594000.0
168,216.8,516501.188
169,216.9,455800.0
170,217.0,407900.0
171,217.1,371184.849
172,217.2,345600.0
173,217.3,331800.0
174,217.4,333001.468
175,217.5,355900.0
176,217.6,408548.323
177,217.7,501400.0
178,217.8,645600.0
179,217.9,850761.181
180,218.0,1119000.0
181,218.1,1449000.0
