,wavelength,intensity
0,200.0,54210000.0
1,200.1,67380000.0
2,200.2,80025061.762
3,200.3,91020000.0
4,200.4,99200000.0
5,200.5,103900000.0
6,200.6,105018979.585
7,200.7,103400000.0
8,200.8,100200000.0
9,200.9,97000000.0
10,201.0,95420372.309
11,201.1,96050000.0
12,201.2,98920000.0
13,201.3,102849097.856
14,201.4,106100000.0
15,201.5,107000000.0
16,201.6,104500000.0
17,201.7,98362987.475
18,201.8,89640000.0
19,201.9,79730000.0
20,202.0,70160000.0
21,202.1,62000128.578
22,202.2,55360000.0
23,202.3,49980000.0
24,202.4,45050000.0
25,202.5,39867054.999
26,202.6,34190000.0
27,202.7,28000000.0
28,202.8,21740000.0
29,202.9,15925681.462
30,203.0,10940000.0
31,203.1,7061000.0
32,203.2,4268000.0
33,203.3,2414920.228
34,203.4,1280000.0
35,203.5,635500.0
36,203.6,300200.0
37,203.7,142132.793
38,203.8,126100.0
39,203.9,250600.0
40,204.0,649102.015
41,204.1,1838000.0
42,204.2,4697000.0
43,204.3,11260000.0
44,204.4,25054430.668
45,204.5,53400000.0
46,204.6,105600000.0
47,204.7,195800000.0
48,204.8,341087494.213
49,204.9,556699999.999
50,205.0,854599999.999
51,205.1,1233999999.999
52,205.2,1678903404.928
53,205.3,2154999999.999
54,205.4,2621999999.999
55,205.5,3033999999.999
56,205.6,3357427519.855
57,205.7,3583999999.999
58,205.8,3715000000.0
59,205.9,3768000000.0
60,206.0,3765425443.446
61,206.1,3716000000.0
62,206.2,3622000000.0
63,206.3,3475051306.285
64,206.4,3265000000.001
65,206.5,2985000000.001
66,206.6,2642000000.001
67,206.7,2253707644.795
68,206.8,1846000000.002
69,206.9,1447000000.002
70,207.0,1085000000.001
71,207.1,778080295.714
72,207.2,533400000.001
73,207.3,353300000.001
74,207.4,229400000.0
75,207.5,149760203.847
76,207.6,102000000.0
77,207.7,74380000.0
78,207.8,58250000.0
79,207.9,47569131.195
80,208.0,39400000.0
81,208.1,31920000.0
82,208.2,24970000.0
83,208.3,18831436.839
84,208.4,13820000.0
85,208.5,10200000.0
86,208.6,7983000.0
87,208.7,7037407.135
88,208.8,7158000.0
89,208.9,8137000.0
90,209.0,9856963.887
91,209.1,12390000.0
92,209.2,15890000.0
93,209.3,20680000.0
94,209.4,27170353.781
95,209.5,35670000.0
96,209.6,46370000.0
97,209.7,59070000.0
98,209.8,73180891.838
99,209.9,87530000.0
100,210.0,100700000.0
101,210.1,110900000.0
102,210.2,116636669.634
103,210.3,117100000.0
104,210.4,111900000.0
105,210.5,101800000.0
106,210.6,88293519.377
107,210.7,73330000.0
108,210.8,58890000.0
109,210.9,46660000.0
110,211.0,37862956.484
111,211.1,32950000.0
112,211.2,32070000.0
113,211.3,34822445.99
114,211.4,40460000.0
115,211.5,48120000.0
116,211.6,56700000.0
117,211.7,65062916.504
118,211.8,72200000.0
119,211.9,77240000.0
120,212.0,79770000.0
121,212.1,79793396.764
122,212.2,77980000.0
123,212.3,75280000.0
124,212.4,73160000.0
125,212.5,73345071.165
126,212.6,77760000.0
127,212.7,88340000.0
128,212.8,106900000.0
129,212.9,135076225.636
130,213.0,173700000.0
131,213.1,223200000.0
132,213.2,283100000.0
133,213.3,352023841.933
134,213.4,427499999.999
135,213.5,506499999.999
136,213.6,584599999.999
137,213.7,656315942.229
138,213.8,715400000.0
139,213.9,755400000.0
140,214.0,770501543.323
141,214.1,758200000.0
142,214.2,717900000.0
143,214.3,653700000.001
144,214.4,572803441.122
145,214.5,484300000.001
146,214.6,397300000.001
147,214.7,319200000.001
148,214.8,254761371.66
149,214.9,204500000.0
150,215.0,167400000.0
151,215.1,140200000.0
152,215.2,119187002.604
153,215.3,101600000.0
154,215.4,85320000.0
155,215.5,69850000.0
156,215.6,55348727.294
157,215.7,42380000.0
158,215.8,31530000.0
159,215.9,23060000.0
160,216.0,16893064.359
161,216.1,12650000.0
162,216.2,9866000.0
163,216.3,8027622.098
164,216.4,6772000.0
165,216.5,5816000.0
166,216.6,5030000.0
167,216.7,4362416.754
168,216.8,3806000.0
169,216.9,3362000.0
170,217.0,3025000.0
171,217.1,2771456.18
172,217.2,2575000.0
173,217.3,2415000.0
174,217.4,2295000.0
175,217.5,2248874.829
176,217.6,2367000.0
177,217.7,2762000.0
178,217.8,3585000.0
179,217.9,4995803.734
180,218.0,7107000.0
181,218.1,9987000.0
182,218.2,13570000.0
183,218.3,17682008.603
184,218.4,21960000.0
185,218.5,25990000.0
186,218.6,29330000.0
187,218.7,31565947.282
188,218.8,32500000.0
189,218.9,32040000.0
190,219.0,30328139.597
191,219.1,27690000.0
192,219.2,24490000.0
193,219.3,21110000.0
194,219.4,17882232.516
195,219.5,14990000.0
196,219.6,12550000.0
197,219.7,10550000.0
198,219.8,8920249.499
199,219.9,7583000.0
200,220.0,6468000.0
201,220.1,5544000.0
202,220.2,4824921.525
203,220.3,4359000.0
204,220.4,4199000.0
205,220.5,4385000.0
206,220.6,4923552.068
207,220.7,5758000.0
208,220.8,6806000.0
209,220.9,7940000.0
210,221.0,9023808.514
211,221.1,9953000.0
212,221.2,10640000.0
213,221.3,11041091.602
214,221.4,11160000.0
215,221.5,11020000.0
216,221.6,10670000.0
217,221.7,10124761.624
218,221.8,9428000.0
219,221.9,8634000.0
220,222.0,7803000.0
221,222.1,7023609.227
222,222.2,6404000.0
223,222.3,6053000.0
224,222.4,6064000.0
225,222.5,6486403.222
226,222.6,7276000.0
227,222.7,8344000.0
228,222.8,9507000.0
229,222.9,10544003.877
230,223.0,11250000.0
231,223.1,11450000.0
232,223.2,11080000.0
233,223.3,10171121.939
234,223.4,8856000.0
235,223.5,7299000.0
236,223.6,5696000.0
237,223.7,4212298.69
238,223.8,2942000.0
239,223.9,1947000.0
240,224.0,1220988.227
241,224.1,723100.0
242,224.2,405800.0
243,224.3,215500.0
244,224.4,107547.138
245,224.5,51640.0
246,224.6,23460.0
247,224.7,10500.0
248,224.8,5246.167
249,224.9,4547.0
250,225.0,6775.0
251,225.1,12340.0
252,225.2,22500.423
253,225.3,39420.0
254,225.4,65500.0
255,225.5,103200.0
256,225.6,154316.681
257,225.7,218200.0
258,225.8,292800.0
259,225.9,372500.0
260,226.0,449154.582
261,226.1,513600.0
262,226.2,556800.0
263,226.3,572259.717
264,226.4,559400.0
265,226.5,520700.0
266,226.6,465600.0
267,226.7,407820.829
268,226.8,366200.0
269,226.9,362200.0
270,227.0,423500.0
271,227.1,582669.729
272,227.2,879000.0
273,227.3,1353000.0
274,227.4,2043000.0
275,227.5,2974859.894
276,227.6,4138000.0
277,227.7,5501000.0
278,227.8,6980000.0
279,227.9,8459893.915
280,228.0,9819000.0
281,228.1,10940000.0
282,228.2,11740000.0
283,228.3,12218668.021
284,228.4,12460000.0
285,228.5,12580000.0
286,228.6,12750000.0
287,228.7,13130235.89
288,228.8,13830000.0
289,228.9,14920000.0
290,229.0,16345401.946
291,229.1,17950000.0
292,229.2,19540000.0
293,229.3,20850000.0
294,229.4,21629261.227
295,229.5,21700000.0
296,229.6,20940000.0
297,229.7,19390000.0
298,229.8,17188696.898
299,229.9,14570000.0
300,230.0,11790000.0
301,230.1,9100000.0
302,230.2,6698568.69
303,230.3,4688000.0
304,230.4,3127000.0
305,230.5,1986000.0
306,230.6,1201381.612
307,230.7,694500.0
308,230.8,386400.0
309,230.9,211500.0
310,231.0,119162.809
311,231.1,78020.0
312,231.2,63850.0
313,231.3,64583.891
314,231.4,74550.0
315,231.5,90120.0
316,231.6,112200.0
317,231.7,144250.763
318,231.8,196200.0
319,231.9,282300.0
320,232.0,428300.0
321,232.1,671524.354
322,232.2,1074000.0
323,232.3,1711000.0
324,232.4,2689000.0
325,232.5,4136361.718
326,232.6,6207000.0
327,232.7,9056000.0
328,232.8,12820000.0
329,232.9,17598783.504
330,233.0,23360000.0
331,233.1,30000000.0
332,233.2,37250000.0
333,233.3,44738445.068
334,233.4,52020000.0
335,233.5,58650000.0
336,233.6,64270000.0
337,233.7,68655152.561
338,233.8,71720000.0
339,233.9,73430000.0
340,234.0,73838915.214
341,234.1,73030000.0
342,234.2,71110000.0
343,234.3,68280000.0
344,234.4,64835581.473
345,234.5,61240000.0
346,234.6,58000000.0
347,234.7,55620000.0
348,234.8,54456109.374
349,234.9,54510000.0
350,235.0,55610000.0
351,235.1,57220000.0
352,235.2,58705074.865
353,235.3,59520000.0
354,235.4,59210000.0
355,235.5,57620000.0
356,235.6,54843298.475
357,235.7,51160000.0
358,235.8,46900000.0
359,235.9,42420000.0
360,236.0,37979863.606
361,236.1,33730000.0
362,236.2,29780000.0
363,236.3,26161780.369
364,236.4,22880000.0
365,236.5,19940000.0
