Wave   ,Sample   ,Dark     ,Reference
532.290,  232.965,  274.085,  237.083
532.421,  233.065,  281.685,  230.583
532.552,  255.365,  290.885,  249.982
532.683,  242.065,  280.685,  248.182
532.814,  242.265,  281.485,  244.182
532.945,  269.165,  307.485,  267.182
533.076,  220.465,  262.585,  226.583
533.207,  259.365,  294.085,  252.783
533.338,  247.965,  291.185,  245.182
533.469,  264.765,  307.185,  271.682
533.600,  256.065,  287.085,  245.283
533.730,  246.865,  292.585,  249.583
533.861,  233.365,  276.385,  247.883
533.992,  256.465,  297.385,  254.883
534.123,  242.765,  283.185,  243.583
534.254,  240.765,  287.485,  241.283
534.385,  264.265,  318.285,  255.982
534.515,  242.565,  289.385,  237.383
534.646,  240.965,  292.985,  250.982
534.777,  243.965,  289.985,  245.783
534.907,  224.865,  282.485,  230.883
535.038,  259.065,  306.185,  244.083
535.169,  232.165,  275.685,  223.982
535.299,  265.365,  332.085,  269.582
535.430,  236.365,  288.985,  232.283
535.561,  234.365,  292.385,  237.883
535.691,  254.465,  299.585,  252.383
535.822,  239.265,  284.585,  228.982
535.953,  231.065,  277.485,  232.583
536.083,  224.765,  269.585,  208.583
536.214,  253.865,  298.885,  243.383
536.344,  225.965,  284.785,  239.083
536.475,  211.165,  256.585,  210.083
536.605,  227.565,  286.585,  224.383
536.736,  229.065,  276.785,  231.783
536.866,  231.065,  278.685,  229.583
536.997,  196.965,  255.785,  196.783
537.127,  222.065,  273.285,  217.982
537.258,  220.065,  270.885,  220.482
537.388,  228.865,  282.585,  223.182
537.519,  214.665,  261.885,  212.682
537.649,  229.965,  281.885,  229.783
537.779,  201.565,  254.885,  192.283
537.910,  235.165,  274.385,  228.083
538.040,  195.465,  252.085,  192.383
538.170,  242.565,  291.785,  237.682
538.301,  233.365,  280.585,  219.783
538.431,  254.065,  301.885,  246.883
538.561,  239.765,  282.485,  232.583
538.692,  228.165,  281.985,  218.682
538.822,  224.565,  267.285,  232.883
538.952,  229.765,  282.985,  229.182
