Wave,Sample,Dark,Reference
392.083,324.365,311.871,308.110
392.168,322.865,318.551,316.390
392.253,321.465,317.421,315.990
392.339,343.165,339.961,335.510
392.424,327.865,323.441,317.600
392.509,345.365,338.311,333.640
392.595,346.365,334.291,329.440
392.680,342.065,337.851,334.440
392.765,325.265,319.461,313.210
392.851,356.465,352.591,343.580
392.936,332.865,326.041,321.680
393.021,372.365,360.711,355.170
393.107,342.165,336.561,332.750
393.192,340.665,340.121,330.880
393.277,348.465,341.641,332.570
393.362,347.365,346.951,339.650
393.447,346.065,339.431,328.180
393.533,319.265,309.811,303.850
393.618,327.765,327.861,321.010
393.703,353.765,345.551,338.320
393.788,319.265,323.471,320.090
393.873,334.965,325.131,321.070
393.959,331.265,328.591,320.750
394.044,308.465,302.371,298.770
394.129,322.165,307.901,306.970
394.214,323.665,318.151,318.350
394.299,344.865,333.511,333.340
394.384,343.565,338.591,337.980
394.469,305.065,295.451,291.540
394.554,311.265,309.711,305.850
394.640,328.965,314.531,311.400
394.725,334.765,329.961,327.390
394.810,307.665,299.931,295.010
394.895,332.965,326.091,319.590
394.980,313.365,301.491,297.320
395.065,319.265,310.781,305.070
395.150,297.765,296.431,292.110
395.235,314.865,309.571,301.410
395.320,318.265,311.651,307.670
395.405,317.465,313.171,305.670
395.490,295.665,288.271,284.870
395.575,306.565,303.281,299.510
395.660,306.465,290.241,287.970
395.745,306.065,304.351,300.150
395.829,325.965,329.301,325.800
395.914,338.065,327.941,321.950
395.999,308.865,300.071,294.030
396.084,305.865,302.641,297.290
396.169,329.865,322.021,316.100
396.254,314.065,315.551,311.120
396.339,322.465,312.741,305.240
396.424,322.265,322.861,320.240
396.509,324.265,304.781,300.390
396.593,327.365,313.451,307.240
396.678,302.865,302.221,297.790
396.763,310.865,308.261,304.820
396.848,324.865,316.871,309.280
396.933,325.065,323.791,317.450
397.017,335.465,315.701,310.630
397.102,312.765,315.061,309.680
397.187,310.065,303.331,295.850
397.272,314.765,308.821,303.230
397.356,325.865,309.661,305.170
397.441,328.565,318.951,315.070
397.526,297.865,297.691,287.810
397.610,318.465,314.481,308.130
397.695,319.065,316.941,312.780
397.780,310.265,306.981,296.830
397.865,333.265,319.701,312.830
397.949,319.365,314.741,306.660
398.034,300.465,296.261,290.540
398.118,329.665,316.681,317.700
398.203,303.465,300.881,294.340
398.288,295.265,300.421,297.010
398.372,306.265,290.071,281.180
398.457,316.165,314.331,307.890
398.542,276.265,269.021,262.520
398.626,318.465,313.101,311.200
398.711,273.965,273.781,272.590
398.795,291.265,288.291,281.890
398.880,339.465,336.021,329.780
398.964,306.565,299.031,293.130
399.049,303.865,298.881,294.990
399.133,296.365,292.721,287.490
399.218,332.765,325.501,319.320
399.302,313.565,311.361,303.410
399.387,303.765,297.931,296.910
399.471,308.265,306.381,297.270
399.556,302.365,293.751,288.580
399.640,317.065,307.071,302.770
399.725,279.865,270.561,268.570
399.809,294.565,293.061,288.930
399.893,291.265,281.621,271.640
399.978,303.265,301.041,296.400
400.062,313.165,308.981,304.470
400.147,310.665,306.281,298.320
400.231,258.265,254.091,251.990
400.315,309.965,305.591,296.280
400.400,290.665,275.861,274.500
400.484,320.265,315.131,312.230
400.568,319.665,299.051,296.610
400.653,298.065,290.431,281.520
400.737,294.465,296.541,288.810
400.821,286.865,282.811,278.690
400.905,311.065,301.851,295.490
400.990,304.765,291.181,288.440
401.074,295.065,293.371,288.000
401.158,299.765,301.681,295.330
401.242,289.265,286.791,281.190
401.327,293.165,289.521,285.040
401.411,284.065,284.511,276.200
401.495,289.965,292.101,284.750
401.579,316.265,311.021,306.450
401.664,302.465,287.791,283.000
401.748,291.465,277.331,276.640
401.832,311.665,302.081,298.700
401.916,280.865,274.801,268.050
402.000,315.865,312.621,308.770
402.084,285.465,277.391,270.120
402.168,302.665,293.391,287.640
402.253,285.065,278.641,274.470
402.337,330.665,312.201,306.670
402.421,317.765,306.221,303.320
402.505,325.665,313.231,307.590
402.589,291.065,278.831,273.290
402.673,324.065,311.761,308.270
402.757,301.265,288.981,285.640
402.841,304.365,284.621,276.960
402.925,311.665,302.821,296.020
403.009,325.765,312.851,303.390
403.093,328.565,299.371,293.380
403.177,295.765,288.151,277.490
403.261,326.165,316.871,307.560
403.345,324.365,300.291,296.410
403.429,324.765,306.401,301.200
403.513,318.065,302.201,297.370
403.597,315.165,300.131,294.500
403.681,319.865,297.081,293.960
403.765,306.665,285.591,280.580
403.848,329.465,307.211,298.160
403.932,318.265,280.091,274.410
404.016,365.865,321.291,320.720
404.100,335.465,282.941,279.730
404.184,381.465,313.611,310.060
404.268,430.765,315.231,309.530
404.352,445.065,273.071,263.170
404.435,656.865,305.191,299.530
404.519, 1607.165,297.281,283.440
