pru
Integration time [ms]:   0,150
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  293,825;  290,315;  293,845
230,311;  319,825;  319,885;  318,565
230,404;  312,025;  309,855;  312,875
230,497;  322,325;  317,385;  315,715
230,591;  341,225;  333,426;  335,355
230,684;  335,625;  326,486;  329,355
230,777;  329,825;  311,736;  314,765
230,870;  320,325;  313,326;  316,955
230,964;  311,625;  310,885;  314,745
231,057;  344,125;  342,496;  343,475
231,150;  339,025;  331,695;  332,715
231,243;  326,825;  330,635;  332,775
231,336;  331,025;  331,375;  331,335
231,430;  324,825;  316,496;  317,715
231,523;  325,525;  324,516;  326,785
231,616;  309,125;  305,445;  309,685
231,709;  338,925;  328,065;  330,025
231,802;  311,325;  300,945;  301,885
231,895;  308,025;  299,836;  300,315
231,988;  323,225;  315,655;  318,535
232,082;  309,225;  298,155;  302,425
232,175;  312,825;  302,155;  306,175
232,268;  315,425;  301,266;  305,345
232,361;  312,825;  304,806;  307,515
232,454;  340,225;  322,396;  323,025
232,547;  328,225;  318,716;  322,655
232,640;  307,325;  296,766;  294,035
232,733;  329,325;  314,116;  323,045
232,826;  312,025;  288,915;  295,035
232,919;  321,025;  313,826;  312,665
233,012;  297,525;  293,646;  292,775
233,105;  315,225;  294,766;  298,815
233,199;  323,825;  299,875;  304,045
233,292;  313,525;  293,475;  296,235
233,385;  277,425;  263,426;  262,225
233,478;  311,325;  293,885;  295,685
233,571;  331,825;  324,586;  327,675
233,664;  317,425;  305,996;  308,435
233,757;  293,825;  280,796;  281,395
233,850;  295,725;  282,255;  285,825
233,943;  305,025;  290,896;  292,195
234,035;  321,025;  300,576;  302,355
234,128;  279,825;  281,836;  283,945
234,221;  311,325;  297,665;  298,245
234,314;  324,125;  304,915;  311,975
234,407;  324,925;  302,935;  309,075
234,500;  288,325;  277,625;  281,875
234,593;  303,325;  287,095;  285,735
234,686;  308,425;  293,746;  293,765
234,779;  298,625;  291,266;  293,165
234,872;  302,525;  281,806;  281,565
234,965;  305,225;  292,806;  290,795
235,058;  290,725;  274,155;  276,215
235,150;  302,525;  285,776;  290,805
