fichero,medidas
20250801001,100
20250801002,100
20250801003,100
20250801004,100
20250801005,100
20250801006,100
20250801007,100
20250801008,100
20250801009,100
20250801010,100
20250801011,30
20250801012,30
20250801013,30
20250801014,30
20250801015,30
20250801016,30
20250801017,30
20250801018,30
20250801019,30
20250801020,30
20250801021,1
20250801022,1
20250801023,1
20250801024,1
20250801025,1
20250801026,1
20250801027,1
20250801028,1
20250801029,1
20250801030,1
20250801031,50
20250801033,50
20250801034,50
20250801035,50
20250801036,50
20250801037,50
20250801038,50
20250801039,50
20250801040,50
20250801041,10
20250801042,10
20250801043,10
20250801044,10
20250801045,10
20250801046,10
20250801047,10
20250801048,10
20250801049,10
20250801050,10
