medidas estadistica_lampara_20250617
Integration time [ms]:   0,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  319,400;  284,600;  274,450
230,311;  306,400;  306,600;  296,450
230,404;  303,400;  298,600;  326,450
230,497;  310,400;  295,600;  309,450
230,591;  343,400;  342,600;  328,450
230,684;  304,400;  317,600;  333,450
230,777;  311,400;  318,600;  312,450
230,870;  276,400;  330,600;  321,450
230,964;  325,400;  321,600;  306,450
231,057;  318,400;  306,600;  332,450
231,150;  332,400;  320,600;  304,450
231,243;  342,400;  310,600;  310,450
231,336;  336,400;  334,600;  326,450
231,430;  283,400;  320,600;  279,450
231,523;  319,400;  346,600;  304,450
231,616;  290,400;  297,600;  290,450
231,709;  361,400;  328,600;  315,450
231,802;  306,400;  280,600;  295,450
231,895;  320,400;  293,600;  313,450
231,988;  322,400;  312,600;  320,450
232,082;  289,400;  316,600;  281,450
232,175;  313,400;  289,600;  279,450
232,268;  297,400;  319,600;  301,450
232,361;  318,400;  288,600;  264,450
232,454;  325,400;  297,600;  320,450
232,547;  333,400;  333,600;  272,450
232,640;  277,400;  314,600;  287,450
232,733;  331,400;  297,600;  300,450
232,826;  281,400;  303,600;  270,450
232,919;  303,400;  318,600;  294,450
233,012;  281,400;  322,600;  292,450
233,105;  297,400;  318,600;  283,450
233,199;  316,400;  324,600;  298,450
233,292;  303,400;  293,600;  307,450
233,385;  282,400;  262,600;  233,450
233,478;  291,400;  302,600;  272,450
233,571;  293,400;  314,600;  293,450
233,664;  322,400;  341,600;  283,450
233,757;  310,400;  254,600;  231,450
233,850;  289,400;  272,600;  248,450
233,943;  294,400;  298,600;  272,450
234,035;  315,400;  318,600;  292,450
234,128;  319,400;  282,600;  265,450
234,221;  293,400;  310,600;  293,450
234,314;  331,400;  333,600;  318,450
234,407;  311,400;  338,600;  286,450
234,500;  256,400;  286,600;  280,450
234,593;  288,400;  280,600;  290,450
234,686;  287,400;  276,600;  256,450
234,779;  290,400;  270,600;  275,450
234,872;  288,400;  276,600;  261,450
234,965;  286,400;  298,600;  286,450
235,058;  290,400;  269,600;  263,450
