p
Integration time [ms]:   0,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  291,200;  284,600;  274,450
230,311;  298,200;  306,600;  296,450
230,404;  325,200;  298,600;  326,450
230,497;  318,200;  295,600;  309,450
230,591;  349,200;  342,600;  328,450
230,684;  323,200;  317,600;  333,450
230,777;  309,200;  318,600;  312,450
230,870;  302,200;  330,600;  321,450
230,964;  295,200;  321,600;  306,450
231,057;  338,200;  306,600;  332,450
231,150;  343,200;  320,600;  304,450
231,243;  320,200;  310,600;  310,450
231,336;  299,200;  334,600;  326,450
231,430;  311,200;  320,600;  279,450
231,523;  307,200;  346,600;  304,450
231,616;  319,200;  297,600;  290,450
231,709;  316,200;  328,600;  315,450
231,802;  311,200;  280,600;  295,450
231,895;  313,200;  293,600;  313,450
231,988;  325,200;  312,600;  320,450
232,082;  289,200;  316,600;  281,450
232,175;  316,200;  289,600;  279,450
232,268;  279,200;  319,600;  301,450
232,361;  300,200;  288,600;  264,450
232,454;  288,200;  297,600;  320,450
232,547;  338,200;  333,600;  272,450
232,640;  308,200;  314,600;  287,450
232,733;  321,200;  297,600;  300,450
232,826;  304,200;  303,600;  270,450
232,919;  304,200;  318,600;  294,450
233,012;  303,200;  322,600;  292,450
233,105;  296,200;  318,600;  283,450
233,199;  298,200;  324,600;  298,450
233,292;  300,200;  293,600;  307,450
233,385;  266,200;  262,600;  233,450
233,478;  291,200;  302,600;  272,450
233,571;  312,200;  314,600;  293,450
233,664;  295,200;  341,600;  283,450
233,757;  304,200;  254,600;  231,450
233,850;  267,200;  272,600;  248,450
233,943;  301,200;  298,600;  272,450
234,035;  302,200;  318,600;  292,450
234,128;  281,200;  282,600;  265,450
234,221;  302,200;  310,600;  293,450
234,314;  317,200;  333,600;  318,450
234,407;  314,200;  338,600;  286,450
234,500;  303,200;  286,600;  280,450
234,593;  318,200;  280,600;  290,450
234,686;  307,200;  276,600;  256,450
234,779;  294,200;  270,600;  275,450
234,872;  297,200;  276,600;  261,450
234,965;  315,200;  298,600;  286,450
235,058;  305,200;  269,600;  263,450
235,150;  315,200;  311,600;  286,450
