p10promedio
Integration time [ms]:   0,150
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7416147SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

230,218;  293,650;  284,600;  274,450
230,311;  319,350;  306,600;  296,450
230,404;  301,850;  298,600;  326,450
230,497;  318,050;  295,600;  309,450
230,591;  328,250;  342,600;  328,450
230,684;  319,650;  317,600;  333,450
230,777;  311,750;  318,600;  312,450
230,870;  305,750;  330,600;  321,450
230,964;  302,750;  321,600;  306,450
231,057;  346,750;  306,600;  332,450
231,150;  324,450;  320,600;  304,450
231,243;  317,450;  310,600;  310,450
231,336;  316,650;  334,600;  326,450
231,430;  320,750;  320,600;  279,450
231,523;  327,850;  346,600;  304,450
231,616;  303,050;  297,600;  290,450
231,709;  342,150;  328,600;  315,450
231,802;  315,050;  280,600;  295,450
231,895;  300,050;  293,600;  313,450
231,988;  327,650;  312,600;  320,450
232,082;  306,450;  316,600;  281,450
232,175;  317,350;  289,600;  279,450
232,268;  302,950;  319,600;  301,450
232,361;  303,450;  288,600;  264,450
232,454;  326,150;  297,600;  320,450
232,547;  323,650;  333,600;  272,450
232,640;  297,550;  314,600;  287,450
232,733;  320,850;  297,600;  300,450
232,826;  302,750;  303,600;  270,450
232,919;  316,350;  318,600;  294,450
233,012;  292,750;  322,600;  292,450
233,105;  303,250;  318,600;  283,450
233,199;  304,150;  324,600;  298,450
233,292;  298,150;  293,600;  307,450
233,385;  272,150;  262,600;  233,450
233,478;  298,350;  302,600;  272,450
233,571;  331,650;  314,600;  293,450
233,664;  315,650;  341,600;  283,450
233,757;  272,850;  254,600;  231,450
233,850;  287,050;  272,600;  248,450
233,943;  299,450;  298,600;  272,450
234,035;  302,350;  318,600;  292,450
234,128;  291,850;  282,600;  265,450
234,221;  304,750;  310,600;  293,450
234,314;  295,550;  333,600;  318,450
234,407;  326,250;  338,600;  286,450
234,500;  284,050;  286,600;  280,450
234,593;  302,150;  280,600;  290,450
234,686;  305,550;  276,600;  256,450
234,779;  286,550;  270,600;  275,450
234,872;  287,550;  276,600;  261,450
234,965;  300,850;  298,600;  286,450
235,058;  289,550;  269,600;  263,450
235,150;  297,550;  311,600;  286,450
