Wave   ,Sample   ,Dark     ,Reference
230.218,  292.730,  284.600,  274.450
230.311,  306.930,  306.600,  296.450
230.404,  305.230,  298.600,  326.450
230.497,  309.230,  295.600,  309.450
230.591,  328.430,  342.600,  328.450
230.684,  322.830,  317.600,  333.450
230.777,  309.630,  318.600,  312.450
230.870,  305.030,  330.600,  321.450
230.964,  307.330,  321.600,  306.450
231.057,  332.030,  306.600,  332.450
231.150,  329.530,  320.600,  304.450
231.243,  330.230,  310.600,  310.450
231.336,  314.330,  334.600,  326.450
231.430,  320.930,  320.600,  279.450
231.523,  319.530,  346.600,  304.450
231.616,  303.330,  297.600,  290.450
231.709,  345.530,  328.600,  315.450
231.802,  306.630,  280.600,  295.450
231.895,  306.930,  293.600,  313.450
231.988,  319.730,  312.600,  320.450
232.082,  303.730,  316.600,  281.450
232.175,  316.030,  289.600,  279.450
232.268,  317.730,  319.600,  301.450
232.361,  312.030,  288.600,  264.450
232.454,  326.930,  297.600,  320.450
232.547,  334.730,  333.600,  272.450
232.640,  288.530,  314.600,  287.450
232.733,  326.030,  297.600,  300.450
232.826,  305.430,  303.600,  270.450
232.919,  321.830,  318.600,  294.450
233.012,  293.330,  322.600,  292.450
233.105,  308.430,  318.600,  283.450
233.199,  305.130,  324.600,  298.450
233.292,  301.730,  293.600,  307.450
233.385,  259.930,  262.600,  233.450
233.478,  303.430,  302.600,  272.450
233.571,  334.730,  314.600,  293.450
233.664,  316.030,  341.600,  283.450
233.757,  280.430,  254.600,  231.450
233.850,  284.730,  272.600,  248.450
233.943,  307.030,  298.600,  272.450
234.035,  303.030,  318.600,  292.450
234.128,  295.130,  282.600,  265.450
234.221,  305.530,  310.600,  293.450
234.314,  311.230,  333.600,  318.450
234.407,  305.130,  338.600,  286.450
234.500,  281.130,  286.600,  280.450
234.593,  300.630,  280.600,  290.450
234.686,  301.930,  276.600,  256.450
234.779,  295.530,  270.600,  275.450
234.872,  286.930,  276.600,  261.450
234.965,  294.930,  298.600,  286.450
235.058,  283.530,  269.600,  263.450
235.150,  298.230,  311.600,  286.450
235.243,  293.930,  280.600,  311.450
235.336,  310.630,  317.600,  296.450
235.429,  278.530,  258.600,  241.450
235.522,  337.530,  352.600,  293.450
235.615,  265.830,  309.600,  253.450
235.707,  279.330,  289.600,  277.450
235.800,  301.230,  302.600,  268.450
235.893,  297.030,  328.600,  262.450
235.986,  311.030,  305.600,  312.450
236.079,  294.030,  310.600,  308.450
236.171,  274.630,  272.600,  270.450
236.264,  325.730,  310.600,  282.450
236.357,  301.230,  289.600,  297.450
236.450,  317.830,  314.600,  308.450
236.542,  270.630,  286.600,  258.450
